页码,评论者昵称,评论星级,评论时间,评论者IP属地,有用数,评论内容
1,朝暮雪,4星,2023/5/5 4:19,四川,14762,《银护1》22：04出现过水獭的名字莱拉。至高进化给她装了机械臂，《复联3》火箭浣熊想要得到巴基的机械臂，因为机械臂让他想起了莱拉。《银护1》火箭浣熊想要狱友的假肢，因为假肢让他想起了兔子板板。他还想要勇度手下的假眼，因为大牙的眼睛被至高进化改造过，它无法自发地眨眼，眨眼是由机器控制的。《银护2》25：13墙上出现了大牙的画像，可能是大牙被抓起来之前别人给它画的。《银护2》1：27：25左上角伊戈的其中一个妻子和螳螂女是相同的种族，《银护：圣诞特别篇》证实了螳螂女是星爵的妹妹。《银护2》毁灭者说“全宇宙有两种人，跳舞的和不跳舞的”，《银护3》他再次说“只有傻子才跳舞”，然而结局他却跳起了舞。格鲁特并没有说新的台词，他说的还是“我是格鲁特”，只不过这一次我们能听懂他说的话了，因为我们已经是银护的一员了。
1,黑特-007,4星,2023/5/3 17:57,北京,5179,银护系列将因为发挥稳定而被踢出漫威宇宙，虽然我觉得为了讲火箭身世完全可以走迷你剧没必要又水一部电影出来==结尾说明大家都知道漫威现在就这个系列还算拿得出手必须一直拍下去了
1,R人民艺术家,4星,2023/5/6 6:26,美国,4077,动森岛建不理想只能炸岛害
1,Agent阿神,5星,2023/4/30 0:16,山东,12554,很庆幸星爵没有和卡魔拉在一起，如果在一起，那就证明星爵从未爱过卡魔拉。几乎完美的结局，导演尊重了每一位银河护卫队成员，主创把这些角色当作了独立的人看待，而不是服务剧情的工具人。
1,睦谊日东,5星,2023/5/3 10:07,韩国,6827,我就说最后一部高低得把第一部里面最经典的那首歌再放一次，果然给了，赞！
1,Aslp_,5星,2023/5/3 10:04,北京,5609,众所周知，滚导宇宙和MCU毫不相干，早已是nextlevel。
1,理易封,4星,2023/5/3 18:10,辽宁,4198,第四+第五阶段目前最佳，感觉像一只摇滚乐队的解散演唱会，每个人物都照顾到了，真的family，而非虚假的口号。火箭浣熊是主角，算比较完整的成长吧，剧情方面还是偏弱，靠暴力大尺度镜头和音乐拉回了很多分，还有那段精彩的长镜头，太牛了
1,我是猪Pigangel,4星,2023/5/3 18:24,广东,2881,【银河护卫队3（8.0/10）】吊打《复联4》的完结篇。冈导是漫威影业唯一一位完整执导三部曲的导演，也许真的应该感谢他把对角色最后的理解最好的结局都放在这部片里。这种对角色情感和坚持如一的人设，最终完成了几近完美的三部曲，肯定如果你爱过这群loser，一定会被感动。也许这是最后一部“有笑有泪，漫威最佳”，因为他们可能再也塑造不出讨人喜欢的角色了。
1,穿越歧路花园,3星,2023/5/3 18:18,广东,1915,除了火箭的多个身世闪回穿插得很好以外，主线剧情完全不如前两部。还是乱。
1,琦殿,未知,2023/5/5 16:11,山东,1799,“他是我们中唯一一个不讨厌自己的人。”
1,连城易脆,3星,2023/5/4 9:45,上海,715,很遗憾，我的观影体验并不好。自诩漫威粉的我过去十多年也是一部不落，能0点场就0点场，能特效厅就特效厅，但是如今的我似乎某种程度丧失了看漫威电影的乐趣，最多的感受是【混乱】和【疲惫】。以至于我昨天看到有人评价胜过复联4的时候一方面感到匪夷所思，一方面又非常羡慕别人可以拥有这么愉快的观影体验。不过好在看到一些友邻评价后，中和了我内心的困惑和失落。【混乱】感主要在于出场人物太多，要么只有一些基础印象，要么对其前史一无所知，当你试图搞清楚人物关系和对白逻辑时，发现完全是徒劳。而且绝大多数角色都会沦为工具人，只是符号性的存在。包括反派在内，普遍缺乏人格魅力。【疲惫】感则体现在超长的时长和五彩斑斓的视觉带来不再是一种享受，反而是一种负担和消耗。本片唯一让我称道的可能就是走廊一气呵成的长镜头战斗吧。
1,不留痕迹,4星,2023/5/3 17:44,湖南,2455,又一次情感过山车般的体验，不断在笑点和泪点间自如的切换。第一次感到每个角色都如此重要，即便一代银河护卫队不复存在了，大家散落在宇宙各处，但WeareGroot！最后的彩蛋是银护全家福，让它没有变成MCU第五阶段的又一轮铺垫，而是独属于系列的最终章，滚导有心了。
1,就想睡觉,4星,2023/5/7 1:09,重庆,2265,幸好没有卡魔拉恢复记忆相亲相爱一家人的俗套戏码，这就是最好的结局
1,烧饼夹儿,4星,2023/5/7 14:01,北京,1035,最好的在一起就是活着各奔东西
