user_name,star,comment_time,geo_ip,vote,short
書衣偵探華斯比,5,2015-11-17 09:25:27,unknown,499,乔靖夫曾在《东滨街道故事集》后记中感叹：“在香港这样一个盛产优秀警匪影视作品的城市，有关警察的小说却竟然少得如此不成比例。甚至可以说，在华人通俗文坛，似乎从未建立‘警察小说’这个传统。”而本书正是这样一部包含本格推理元素和社会派元素，真正只属于香港的警察小说。
点点点,5,2015-04-19 18:56:31,unknown,331,无愧于时代挽歌评价的杰作！作者笔下的真实，跟案件以及想要表达的思想是一致的。单论推理性某些篇目会略略低于期待，但整体气势磅礴，尤其最后一段看完令人惊惧良久，无言以对；意外的伏线与彩蛋令作品平添一番风味。
陆小包,5,2017-02-04 11:15:40,unknown,283,本格层面真好，动机流诡计和逻辑都是一流水准，最喜欢第一篇和第三篇，第一篇的安乐椅模式巧思创意就值五星，第三篇有大山诚一郎+连城三纪彦的感觉。跃然纸上的本格魂是五星的最大原因。除此之外，从标题的中英文变化到地点饭店路线，逆年代记的反向兜圆主人公形象，也可以看出作者在文字布局方面的功力，这本推理真的了不起。
苇间疯,5,2016-05-12 00:17:31,unknown,260,陈浩基对调包和藏叶于林过于执着，六个中篇的犯罪手法存在着不同程度的可操作性问题，但总体上plot/trick各具亮点，个人比较喜欢第二、三、四篇……至于精妙的闭环结构，第三篇<最长的一日·TheLongestDay>中所言“或许世事就是冥冥中自有主宰，开端和结束总有着凡人无法参透的巧合，在时间洪流之中，人类不过是渺小的砂砾，无力地随着时代漂流”已经给出了提示。我认为这才是真正的推理小说，不仅好看，还有嚼头。
韧勉,5,2017-06-04 16:56:42,unknown,152,本书无愧为华语世界最卓越的推理小说，在这里你可以读懂香港！六个短篇独立成章相互联系，逻辑缜密、悬疑满满、看得人血脉贲张，以重要历史时间点将社会派与本格推理完美结合在香港大地，从13到67年的回溯，六个故事两回归后、两回归前后，两70年代前后，从标题的“中-中英-英”足见作者深意。
阿鲁,5,2015-06-20 13:54:53,unknown,97,丧心病狂的结构，丧心病狂的推理，丧心病狂的作者！看完全书最后一句话震惊了好久，呆住，迅速翻回第一章，以确保自己没看错。六个本格推理连成一个时代，绕成一个圈，继续翻滚在磅礴的岁月里。
bobo,5,2016-04-27 17:07:20,unknown,70,杰作。作者换15年前妥妥的港剧黄金编剧
Chambord,3,2017-09-24 12:33:10,unknown,71,作为警匪推理小说相当优秀，意外性屡令读者惊叹；但宣传把它说成“反映香港历史变迁的巨作”，实在吹捧过甚。作者企图在案件中融入时代感，表现香港史，但文笔太平，流于说教，历史反思也过浅，仍停留在娱乐小说的水平。虽然这些故事很适合改编成杜琪峰电影，但有困难（影射了向华强）。
欧阳杼,5,2015-04-24 20:59:18,unknown,53,年度前十，现在看来，《遗忘·刑警》只是实验性作品，到了这本《13.67》，陈浩基终于完成了推理小说的香港本土化。这是只能属于香港的推理小说，但我也真心希望日后能看到只能属于大陆的推理小说。
kylegun,4,2016-10-17 19:36:54,unknown,59,倒叙历史，正写现实；几大香港本土奇案再现，世态炎凉借古讽今。第一篇富豪家族情仇，本是一个应付征文比赛的故事，有点弱；第二篇演艺圈黑道计中计，开始有趣了——连接点：几只黑指甲；第三篇，高空镪水，医院逃匿，开始全城骚乱的大格局大场面了，连接点：一顶棒球帽；第四篇，悍匪恶警，双线视觉，bb机和大圈仔，动作推理两不误；第五篇：殖民地鬼佬绑架，廉政公署和贪污黑幕，义气至上；第六篇：左派恐袭，身份游戏，完美环形结构——六种推理情境，本格/社会任你选，确实是华语推理的惊喜
雪·法妮奥,4,2017-07-26 11:21:19,unknown,66,和多数友邻一样，看到最后一段愣了一下，然后迅速回顾第一章。于是，整个故事倒叙着串了起来！这是一个专属香港的时代传奇！
安东,5,2018-12-24 10:57:10,unknown,39,很厉害了，华语推理的最高峰之一。“反向年代记”的写法很新奇，前后六个案子，串起了香港的55年光阴，单个案子读起来有本格派的缜密，整本书读下来，又有社会派的厚重，看到最后一页，鸡皮疙瘩都起来了。
