user_name,star,comment_time,geo_ip,vote,short
耶桑,5,2015-12-10 11:19:08,unknown,2696,最后，让我们念念不忘的，还是曾让我们难以忍受的生活。
顽木匠,5,2016-06-22 19:09:02,unknown,1389,今年目前为止最喜欢的一本书。是个很简单的故事，但作者写的很动人，那些字里行间跳脱出的幽默和温情真的让人手不释卷。生活能给予的实在有限，不论好坏。就像索雅说的，欧维只是被困在了错误的时代。但错误的时代依然会有宝贵的馈赠，比如索雅，比如鲁尼，还有帕尔瓦娜和那只猫。头上一片屋顶，安静的街道，值得忠心对待的汽车品牌和女人。一份可以有所作为的工作，一套房子，里面的东西定期有个故障，好让人能够修修补补。这是欧维的人生哲学，也是一种幸福奥义。我很喜欢这个结局，无论天上还是人间都是团圆。
大西西,5,2015-12-15 16:12:21,unknown,949,強迫症大爺的自殺之路，微笑中帶著涙，你有多孤獨，就有多眷戀這世界，哪怕在某個時候真想拋棄它。
Ada,5,2016-03-06 17:10:12,unknown,798,“要是有人问起，他会说，在她之前，他没有生活。之后也没有。”对这个世界有多么眷恋，离别时就会有多么决绝。善良的人若被生活一次次地伤害，或许会变得冷漠刻薄，可内心永远是深沉地温柔的爱着这个世界。看到最后的遗言，泪如雨下。
烬。,1,2016-06-01 15:30:16,unknown,283,一遍又一遍的死而不成将这个本应该老境颓唐的具有千钧之力的故事生生写成了一个鸡汤文。而且文中的比喻好奇怪，有点为了比喻而比喻的感觉。
尼加拉西瓜,5,2017-01-17 02:42:30,unknown,213,简直太、棒、了。最后几章每章都想哭。非常感谢索雅，她如此乐观宽容，并且自始至终坚定地爱着这个世界，也自始至终透过欧维的顽固死板看到了他身上令她最引以为豪的东西——对正义、道德、勤劳以及一个对错分明的世界深信不疑。她因为守住了这样一个人而感到自己无比幸福。对于欧维来说，索雅也是他的幸福，她是他愿意坐几小时反方向的火车就为听到她说话的女孩，她是他黑白分明的世界里唯一的色彩，她是他唯一愿意为之奋斗的那个人。索雅是欧维的一座玻璃屏障：她用让欧维透过自己看到善良是如何温暖着这个不完美的世界的方式，温和而绵长地保护着他的善良。而帕尔瓦娜则是带着来势汹汹的善意与热情，在索雅死后无意却理直气壮地劈开了这道屏障，把欧维的善良用一种他并不想承认的方式展示给大家看。所以也感谢这个了不起的伊朗女人。翻译很棒。
大发发滚来滚去,5,2017-01-20 20:48:19,unknown,176,明明是個冰冷的人，心尖上卻有那麼一塊柔軟的地方。
虾坨坨艺仔,5,2016-04-10 16:29:13,unknown,151,被这本治愈了，夜里读完还流了一把老泪。刚开头还觉得轻浮而聒噪，越读越有味道，不知道北欧小国的文学是不是都是这样，淡淡的冷清下都是深深的温柔与善意。
斯弥,4,2016-11-12 10:47:22,unknown,111,这个萨博广告，我服气。曾坐过一个客户的萨博车飙车，很好。
三七莲华,3,2017-07-21 10:13:12,unknown,79,非常媚俗……刨去句子结构内核特别像张嘉佳啊。张嘉佳也很动人的对不对？啊完蛋了为什么我现在看不进去这种温馨可爱催人泪下感人肺腑的书。
zh_ayi,3,2016-02-22 09:33:09,unknown,76,为什么我就很讨厌这样的人？将自己的标准强加于他人、不停地抱怨、愤怒。如果家中有一个这样的人，极端讨厌。
似此星辰,5,2016-04-27 19:45:48,unknown,83,一个叫欧维的男人决定去死，因为要帮邻居倒车、修暖气、出借梯子、送伤员去医院、收养流浪猫、修自行车、收留被逐出家门的基佬、组织朋友被强制送进疗养院而没有成功，暂时没有成功。是一个非常治愈的故事，但我觉得特别之处不在温情而在叙述方式。零食杏仁说推理小说有如“翻牌游戏”，刻意打乱揭晓故事信息的顺序，甚至掩盖“仍有牌未掀开”的事实，以使揭开构图全景的瞬间能达到最具冲击力的效果。比如这本书在男主角一边照常巡视一边念叨妻子了好几章（并且还像每天一样检查妻子昨晚是否偷偷调高暖气）后，才揭示他妻子已去世半年，于是前文里普通的怪老头唠叨悉数变成向读者捅的刀，再无需赘述他对妻子的思念。还有欧维跟鲁尼的友谊与绝交的过程，第一次出现在索雅口中的时候像个玩笑，在解释过车子更换所象征的生活变迁后，就让人理解而心酸了。
菠菜,3,2018-07-19 20:32:34,unknown,88,自来熟乐观女拯救沉默靠谱男的故事哪国都流行啊！
晚回舟,3,2016-09-18 16:37:00,unknown,50,讲真，蛮无聊的。刚看到简介说是《一个的朝圣》瑞典版，果然我对老头子寻找生活真谛的故事不感兴趣==
何夏,5,2017-09-05 10:19:44,unknown,77,用我们的标准看，欧维绝对是个怪老头，不过要是换在他的角度，我们这群整天抱着手机电脑，吃着零食，从不运动，不在乎别人的事情，甚至连倒了的自行车也懒的扶起的人，恐怕是更怪异吧。
等待如果,2,2019-04-18 00:56:13,unknown,72,这么高评分也是太过了，啰嗦，媚俗，廉价的感动和温暖。人物毫不立体，显得单薄和刻板，为了反差而反差，故事也是很套路，在舒适区里低廉地煽情着。有幽默的部分，可以消遣一读但绝对不是足以进250榜单的伟大的作品。
lalala三只小猪,2,2017-12-26 13:20:07,unknown,51,坑爹的畅销书，是因为翻译才让人读的极尴尬吗？或着是这本书本来就不怎么样?
猫小丢,5,2016-11-19 11:23:57,unknown,47,原以为是阴冷忧郁的北欧小说，结果是滑稽而温馨、让人忍俊不禁又一直隐隐作痛最后泪如雨下的感人故事。十分推荐。
Trovatore,3,2017-05-17 04:34:04,unknown,41,精心炮制的媚俗鸡汤故事
B5,5,2016-10-15 20:19:35,unknown,29,沉默是另一种对爱情的诠释。比喻的才气遍布整篇文章，五星推荐。
华昔,5,2016-03-11 14:11:43,unknown,35,很好的一本书，慢慢读下去，会觉得世界一点点温暖可爱起来。欧维和索亚的爱情虽然提及不多，但很感动。力荐。
嗯哼,3,2017-04-30 01:15:12,unknown,23,不太喜欢这种温馨向的，以及文字有些太刻意了，以及我并看不得自杀未遂多次的故事，会想怎么还不死很坏
安^静,5,2017-10-15 14:54:38,unknown,24,其一:论正直又善良人之难得。其二：不善言辞的男人天敌是女人和小孩。其三：琐碎的生活一旦被爱包围，就不再面目可憎。人与人之间的联结太过重要，以至于必须在某种程度上得到认可，才有价值感。其实大家都需要人陪。
张躲躲,5,2016-01-11 14:43:57,unknown,24,怪老头儿的故事，太太太好看了！
阿咚,3,2016-11-12 09:26:22,unknown,23,文笔和国内的网文差不多，但是至死不渝的爱情很让人动容
李荷西,5,2017-06-26 09:07:12,unknown,16,把绝望写得这么妙趣横生，又光芒万丈，真的非常非常赞。看这本的同时也在看村上春树的《我的职业是小说家》，对日本作家的啰嗦实在是跪。只觉得不同的语言风格所带来的阅读体验真是天壤之别。
慕小雨,5,2017-06-14 18:59:57,unknown,20,一个晚年直男癌的死亡直播…
