user_name,star,comment_time,geo_ip,vote,short
迷雾之晨,5,2015-06-08 00:53:19,unknown,5920,同为曾暗恋者，别人这样劝我：这个不是真正的爱情，是宗教般的体验，来源于父爱的缺失，来源于自卑。
娅,4,2013-06-12 15:24:07,unknown,4442,我始终为你而紧张，为你而颤抖；可是你对此毫无感觉，就像你口袋里装了怀表，你对它紧绷的发条没有感觉一样；这根发条在暗中耐心地为你数着你的钟点，计算着你的时间，以它听不见的心跳陪着你东奔西走，而你在它那嘀嗒不停的几百万秒当中，只有一次向它匆匆瞥了一眼。
lullabi,4,2011-12-05 22:00:32,unknown,1646,暗恋是低到尘埃里的欣喜
桃兜兜,3,2014-06-06 10:49:59,unknown,1482,哪怕我已经死在床上假如你呼唤我我就会立即获得一种力量站起来跟着你走
巟良,4,2015-12-18 12:10:26,unknown,1195,茨威格一定是一个神经质的人，他的爱情都是很卑微和疯狂的，不管男女。看他的小说就能知道他最后肯定会自杀。这个女人好愚蠢啊。这个男的可能是脸盲症啊，可能是爱无能啊，她对这个男人真正又了解多少呢。自作多情演了一辈子的戏，那男的只见过她没几面，他不记得也很正常啊。我不觉得这种爱伟大，我觉得很愚蠢。倒觉得她还挺幸福的其实，这男的根本谁都不会记得，但这个男人还至少给过她几天，也给了她一个孩子，她自己也知道，不会更多了。她自己愿意把自己的一生定义在一个男人身上，那她也得到了她想得到的。其实她根本就不清楚自己想要什么。我倒是觉得那些爱她的男人很惨，爱上了一个偏执狂。我觉得她根本不需要怜悯，她的一生已经值了，这根本就是她自己想要的。怜悯她的人才都错了。
郑宁素,5,2011-04-14 18:04:43,unknown,446,最了解女人的作家，名不虚传，如此极端的想象还能把女人的心理描写的淋漓尽致，实在是高手
傻乐的猫,NaN,2013-12-11 22:13:20,unknown,637,小时候以为是爱情，现在才发现是写精神病的。
光,5,2010-05-12 16:02:31,unknown,402,偏执的人总是特别容易打动人
竹取,5,2013-06-26 16:07:46,unknown,396,用一生去暗恋，直到迷恋爱情，忘却爱人。——一个陌生女人的来劲。
盼,4,2013-05-02 12:40:34,unknown,345,书，不长，很快看完。内心却是煎熬的。陌生女人对作家的爱太执着，太宿命，不予置评。我只是想，是不是总有个人，在你不知道的情况下，曾经爱过你。
august,5,2012-06-25 19:36:51,unknown,229,这是我看的第一本斯台芬·茨威格。就像当初看麦卡勒斯一样，我毫无抵抗力的喜欢上了。读到他们是我近段时间发生的最好的事之一。当我把这本专注女性的短篇小说集看完后发现作者尽然是个纯爷们儿时彻底惊讶了，麦卡勒斯是透过女性的视角来描写孤单，不仅想问究竟是男人更了解女人，还是女人更了解自己？
豆友44887432,5,2013-12-22 11:20:50,unknown,209,可是请你相信，没有一个女人像我这样死心塌地的爱过！过去是这样，这么多年过去了，仍然是这样。因为这个世界上没有什么东西可以比得上一个孩子暗中怀有的、不为人察觉的爱情，因为这种爱情不抱希望、低声下气、趋意奉迎、热情奔放，这和成年女人那种欲火炙烈、不知不觉中贪求无厌的爱情完全不同。只有孤独的孩子，才能把全部的热情聚集起来。我毫无阅历，毫无准备，我一头栽进我的命里，就像跌进一个深坑，从那一秒钟起，我的心里只有一个，就是你。
薄荷娃娃,4,2016-04-11 09:16:13,unknown,254,Itissogoodbutsowrong.
商夏,4,2013-02-08 21:10:57,unknown,202,爱情就是一场盛大的误会。
Pirouette,4,2011-06-27 20:06:59,unknown,192,暗恋的极致
刘十九,4,2013-01-21 22:24:24,unknown,186,在16岁的时候，我也有过这样盲目的爱，在冬季寒冷的地铁口等了一班又一班的车，只为瞥一眼倾慕的男老师的脸。年少的姑娘就是容易义无反顾陷入情网，这样的爱是弥足珍贵的，同样也是危险的。这个世上从来不缺坚贞女子的悲情故事。如果不对这些冒着傻气的姑娘施以援手（对她们来说却是万恶的阻拦），那她们的一生也有可能像这位陌生女子一样悲惨，绝非虚言。
Mathis,5,2013-12-02 17:21:17,unknown,243,话痨女与脸盲男。
三和后浪える酱,4,2013-04-23 23:31:45,unknown,204,就是因为他没娶她才造就她如此爱他的幻梦。
scar,5,2014-07-09 16:38:05,unknown,166,多么悲哀啊！狂热的爱着一个不爱你的人。比死亡更悲哀。
BLACK,4,2011-10-27 17:46:24,unknown,106,千奇百怪情欲下孕育出的爱情，有多少会是畸胎啊。
安小嗔,1,2015-07-18 14:34:19,unknown,143,史上最严重的花痴
青绿十一,5,2015-04-12 00:39:57,unknown,110,短篇小说合集，都蛮好看。但是还是最著名的这篇最好看，绝望的虐哭了的少女心，临终之际——“而我如今只有你，与我素昧平生的你，我执迷不悟地深爱着的你。”
crushipper,4,2008-04-25 12:46:22,unknown,178,恐怕R先生没有想到，写了一辈子小说的他会被这个陌生女人编排进她那场由爱构成的伟大的行为艺术演出中。
小小虫,4,2015-09-17 10:03:11,unknown,137,只读了《来信》一篇。情感上很难引起共鸣，难以置信爱到如此卑微还能感觉快乐，也不很相信真会有这等痴情女性存在。故腹黑地猜想这又是一种男性的“美好想象”：我魅力无边，迷倒万千少女，她们爱我但从不打搅我的生活，不过最重要的是，我不care你们这群迷妹，因为你们于我而言不过是默默无闻的“陌生女人”罢了。#走火入魔的对抗式阅读#但文笔还是非常优美，特别是怀表的比喻。大文豪写爱情，不是三流地摊玛丽苏能够比拟的。
[已注销],5,2012-05-26 11:41:13,unknown,88,哭地稀里哗啦的。。突然想起了夏雨荷等了一辈子恨了一辈子想了一辈子怨了一辈子去依然感激上苍有这么一个可等可恨可想可怨的人要不然人生将会如一口枯井了无生趣。。
动机在杭州,4,2012-02-04 22:49:56,unknown,110,不求回报奉献一生的爱情，是每个女人的噩梦，每个男人的梦想。
liequanhu,5,2020-01-18 16:17:26,unknown,104,很多描写很棒。不过，就女主而言，少女时代脑子进水可以理解，但之后一直不把水放出来，反而越进越多，越进越上瘾，我就不能理解了。暗恋的极致，就是这种毫无尊严，不计后果，所谓的跪舔？这种极端一点都不美好。
我昨天叫何宝荣,4,2009-06-14 09:20:36,unknown,53,这种女人，只能远观，不能亵玩。
toolass,4,2012-04-28 21:54:04,unknown,95,就是那种我觉写得真好可是喜欢不起来的书。
周游雪场,3,2018-02-16 19:58:55,unknown,64,”只有像我这种从小孤独的女人才能够把满怀的热情集中在一个人身上。“
撒旦的表妹,5,2016-02-22 22:45:19,unknown,57,疯子
柴斯卡,NaN,2020-07-10 23:49:03,unknown,126,为了准备下周一个豆瓣活动重新读了一遍，可真是有点被恶心到了。完完全全是茨威格作为一个高度自恋的男性作家，对女性心理的意淫。这种到生命最后一刻也始终温暖的、一厢情愿的付出，显然的反人性的。从中读不到任何真正立体的女性成长，只有对男作家近乎反常的、温柔的执着。纵使当时的作家中能写好女性的也不多，茨威格被评为最懂女性的作家也是很讽刺的。把笔递给她，我们会看到与之完全不一样的叙述。
五月微蓝,5,2011-08-14 22:44:41,unknown,37,极致的爱情。庞大而绝望，却对自己无能为力，只能用尽一生去爱你。
、雅韵乃扬。,5,2011-08-01 12:31:08,unknown,56,没有什么能够比一个少女在最寂寞最迷茫的豆蔻梢头萌发出的朦胧的情愫更加奋不顾身、更加倾尽所有的了、
鱼剑,5,2015-12-30 14:49:37,unknown,70,很多人在读完《一封陌生女人的来信》这篇小说时都过于纠结这份感情的真实性，为女主角感到不值或者对男主表示轻蔑。但这篇小说的意义远不在于讨论这一一份感情的可行性，而是探讨这样一种状态的爱情的意义我们在喜欢上一个人时一定程度上不也是这种状态嘛？那么如果这种依恋极端化后是否还是爱情呢?
青豚|shiny 圈,5,2011-07-09 00:07:35,unknown,38,她爱的单纯，不求回报。那执着若隐若现，浓郁忧伤；最终，他感受到死亡，看到了不朽。茨威格极其擅长心理描写，他懂得怎样用心灵的共振来虏获你的阅读感官。一股巨大的力量贯穿始终，牵引着我，朝你而来。
小M,3,2007-12-28 15:32:05,unknown,43,一个男人细致成这样。。
炯之,4,2017-07-21 10:26:46,unknown,41,絮絮叨叨地谈一个人，支支吾吾地说一个人，心心念念地想一个人，战战兢兢地爱一个人。
Miaou,4,2010-11-29 02:02:43,unknown,34,现实感强烈的爱。爱是痛苦的，卑微的，难以得到的，因而也是炽烈的深刻的。爱是什么？爱不是简单的，爱是复杂的，带有基因，荷尔蒙，心理学的。可，爱依然是一切的救赎，生命的救赎。
锅蒸之鱼,5,2012-09-10 09:39:14,unknown,42,徐静蕾翻拍《一个陌生女人的来信》时，在电影海报上加了一句无比悲情的注解：“男人的一夜，女人的一生。”原著其实比男人的一夜更短，这部同名小说集还收录了茨威格其他几个经典中短篇小说。书中上流社会的气息分外浓重，但他想说的却是爱情是任何人都可以拥有的奢侈品，爱的门槛不是资产。
微笑的鱼,5,2009-04-13 12:50:42,unknown,24,最感人的情书
[已注销],5,2010-04-15 20:55:05,unknown,36,若是不到死，我是不会告诉你这些的。
有寂,4,2013-06-04 18:48:45,unknown,30,能把一个早已猜到结局的无聊故事写的那么柔情，悲剧，富有魅力。
卿一一一一一,4,2017-10-11 14:22:04,unknown,46,和年少时的自己很像，现在看来过于卑微和可怕，不同在于书中的人物从来没想过自救和成长，而我每天都在努力摆脱那种没有自我的状态，如今终于感觉内心回了家，何其幸运
Griet,5,2007-10-10 12:51:39,unknown,27,IcriedmyeyesoutwhenIwasreadingthisbook.
吴明,4,2014-05-21 11:52:14,unknown,27,我怎么以前没保存吗。以前读过。书和中国版的电影都看过。怎么说，书中的女性真的是境界很高，如飞蛾扑火。也许她活的并不快乐，为何你甘愿成为一个男人短暂留恋的牺牲品。让我想起了张爱玲。悲剧。其实局外人是不懂的。也许这也是一种爱情。如果再给一次选择，这个陌生的女人还是会愿意，张爱玲也是。
晴蘭,NaN,2011-01-27 21:45:10,unknown,33,“我爱你，与你无关。”
酚酞,5,2010-03-08 19:07:24,unknown,22,翻译的书总是显得矫情
又烧包小队长,4,2012-12-01 20:27:01,unknown,43,千言万语一句话。。。。那女人是傻逼！！！！！
易又饕,2,2013-12-06 18:46:45,unknown,16,说实话，不明白这部小说怎么就成为小清新的标志性装饰了，我实在喜欢不上，甚至看了徐静蕾之后还是喜欢不上。
CoCo✂️,3,2020-07-11 01:51:21,unknown,60,隔一段时间就会读一下，时时警告自己，千万不要成为这样的傻逼女子。
妍妍啊～,4,2013-02-16 22:29:52,unknown,24,自卑与自恋之间是自虐。
临素光,5,2017-08-07 16:08:30,unknown,17,如果要选一个人物当做茨威格的文学意象，我一定选《马来狂人》。看起来普通而和善，但他会突然跳起来，拿着匕首开始狂奔。不论什么东西拦住他，他都会用匕首把它捅倒在地，这种嗜血的醉意只有使他更加激昂暴烈。直到人家把他像条疯狗似的一枪打死，或者他自己口吐白沫倒地身亡，才能终结这种疯狂。
mado1983,3,2017-05-27 09:26:57,unknown,14,情感细腻，修辞精致的言情小说，可是依然是言情小说啊~~不懂为何人人都说好，也许我读了一本假书。。。
云的眼泪,4,2013-04-16 16:00:20,unknown,22,这爱，是一种自虐式的宗教崇拜~
Vince,4,2015-04-13 17:24:11,unknown,27,低三下四，隐忍，卑微，吃苦，都不等于崇高。伤害自己不应该被赞颂。
我认出风暴,4,2010-07-27 20:12:35,unknown,27,多少有点恋父情结
夏棉满,5,2007-08-27 09:23:06,unknown,12,女子的绝望与美艳，本是场盛大的绽放。
春花,5,2017-10-28 22:46:13,unknown,19,迷妹，狂热，爱的不是作家而是陶醉于所幻想下的爱作家的感觉。默默付出渴望回报又害怕失去她的精神信仰。她口风很紧，身边的人都认为她腼腆含羞，其实她只是不把秘密告诉任何人而已。久而久之她的心里产生了一股钢铁般坚定的意志。
