user_name,star,comment_time,geo_ip,vote,short
ison,4,2019-11-12 13:09:58,unknown,1338,“因此，我让你们去挣钱、去拥有一件自己的房间，就是让你们去面对现实，那种生活一定充满了活力，不管你能否把它表达出来。”
FM 狸猫,5,2019-11-07 22:26:37,unknown,521,非常好读。从女性作家入手，应该是从文学史上的女性入手（包括作家，角色，女作家“选择”创作的体裁入手）谈女性权益，全本书不厚但是很精华，几乎一直在做批注。很适合与《厌女》共读，后者更加概念化。伍尔芙既敏锐又俏皮，太可爱了。（还能感受到意识流文风）
미행,4,2019-11-08 08:45:49,unknown,255,关于女性，关于小说。“一个人在星空下走回家时，它的出现会压倒一切，让沉默的世界变得比语言更加真实——接着它一转身，回到皮卡迪利广场的喧嚣之中，就出现在一辆公交车上。有时候，现实太遥远、太斑驳，让我们难以看清它的本质。凡是被它触碰到的，都会定格并成为永恒。当岁月的皮囊被丢进树篱，剩下的就是现实；它是往日的留痕，是我们的爱与恨。”
温酒,5,2019-11-13 20:36:35,unknown,253,出乎我的意料。今天开始读这本书只是因为在豆瓣标记的第一本书是伍尔芙的但一直没能读完，对主题其实有点不以为然——对女性来说，何止是写小说呢，现在做哪件事不需要钱和属于自己的空间？看完后发现虽然本文并未能超越这个划定的主题，但其基于历史的论述总体来说是成功和完整的，也时见精彩之处。翻译也不错，值得一读。也许过分强调经济能力的作用让一些人反感，我倒觉得话糙理不糙（具体金额并非重点），先谈生存才有生活。btw好想看看玛丽·卡迈克尔那本《Life'sadventure》哦。博士时希望能做类似关注历史过去中下层女性的生活的课题。
#暗蓝#,5,2019-12-02 23:15:02,unknown,698,“莎士比亚有个妹妹……她活在你我之中。”
毛利小张,5,2020-05-27 12:37:07,unknown,308,把这本书打上女权的标签某种意义上似乎违背了作者的本意。比起强调女性过去被掩埋和被贬低的历史，伍尔夫更多强调了一种作为人的自由，也就是她所表述的“雌雄同体”。女人面对压迫不要愤怒，回应愤怒就阻碍了本该自由的脚步，同理，男性面对异性地位的变化也不可愤怒。两性的差异不可回避，应该结合。——这是100年前的思想深度。今天再来看，我们拥有更多女性小说家了吗？
小鬼嬉戏人间,5,2020-02-24 13:42:00,unknown,91,刚开始可能会有点不适应，可是越看越入味。啊，伍尔夫这文字的质感，就像是一帧帧精准而又悠长的电影画面一样。非常细腻。也说出了经济和独立思考的重要性。
果冻儿,5,2019-11-14 15:12:33,unknown,94,写得好，翻得也好。初看感到鼓舞，再看就是感动了。最后伍尔夫写的我们再过一百年，我们面对的不再是男人与女人的关系，而是人与真实世界的关系，等到那个时候机会就来了。1928-2028，还有9年。
逗不逗,5,2020-10-10 07:40:51,unknown,158,伍尔夫的房间有几个层次。首先，早期女性作家的匮乏是因为缺少独自写作的房间，才华过人的简奥斯汀只能在嘈杂的客厅偷偷写作。第二层是“雌雄同体”，人的两性观是脑海里的两个房间，优秀的作家让两个房间进行情感传递，彼此共鸣，而不是互相隔绝。最后她提倡，新时代的女性应为自己提供一间独立的房间，这里的房间实为“金钱“的概念，既财富独立，这是心智自由的基础，唯有心智获得自由，女性才能为自己创造更多机会。很巧妙的一点在于，结尾所述的自由，是女性走出了房间。伍尔夫的平权观点基于两性平等和相互协作，为女性争夺权利的前提并非贬低男性，贬低是自我意识过剩的表现，是那些享有优越地位的非雌雄同体的男性所具备的典型思维，如果女性用自己所反对的来支持自己的抗争，本身就是个悖论。
反侦查组组长,5,2019-12-08 02:18:47,unknown,43,伍尔芙真的诗意又现实，叙述和批判中又带有机敏的幽默。大家都不忍心去批判，她却敢，还不乏带一种诚实的浪漫。真的好。薄薄一本，但不适合做睡前读物，打开之后就停不下来。
豆友163099075,5,2020-05-16 13:54:33,unknown,59,她像浮着光的河流，清澈，透明，轻盈地涌动。她的敏锐很让人惊喜。
取名废物,5,2020-04-26 18:06:53,unknown,68,阅读伍尔夫的作品对我来说非常艰难。她的写作是肆意的、不规则的、不合常规的。但我的阅读习惯是逻辑性的，读下一句会思索与上一句关系，甚至希望每一句都能读懂记住的（当然这不现实），因此阅读她的作品让我非常疲惫。但好在这本不是小说是演讲，读小说是绕不开各类描写的，它们非常重要，但读这本可以拣核心，不必那么纠结细节。伍尔夫说简·奥斯汀她们应该在阿芙拉·贝恩的墓碑前献上花束，因为她是女性作家的先驱，她告诉后世所有女人女性有表达自己的自由甚至可以靠文字养活自己。那么我也想说今天所有萌发自我意识的女性也要向伍尔夫致意。有些问题是讨论不出什么结果的，尤其是性别议题，但我们不能因为得不出结论就放任不管，而是要无休止地表达。
ベイリ,5,2019-12-02 13:40:20,unknown,62,伍尔夫作为一个拥有每年五百英镑遗产和自己房间的女性，在那样一个年代，勇敢的指出了性别不平等的种种现象，鼓励女性勇于漠视淹死人的口水，挑战自己的认知局限，去做真正的自己。有意思的是这篇写于100年前的文章拿到现在的东亚还是可以用的orz
Modafinil,5,2019-11-08 13:49:28,unknown,13,没有读过其他译本，但这本的阅读体验非常好，感谢译者@贫血玛丽，待写读书笔记
余空空,5,2020-03-23 04:29:10,unknown,37,然后我想到我那小小的才能，觉得它是自己的宝贝，要是就这么埋没了，我的身体和灵魂也会随之消逝，所有的一切都像生了一层锈，春天的繁花被吞没，树木从芯子开始腐烂。
一颗橙,5,2021-01-16 17:54:55,unknown,31,这才是真正的冷静、克制、诚恳、温柔——通篇紧扣“女性与女性写作”主题，排篇布局逻辑巧妙，摆事实提供充分论据，无时无刻不充满对女性社会处境的关怀，但绝不会自怨自艾，还能适时地“关照”一下那些极具男权优越感又气急败坏的老学究们……薄薄一本小书读来真是十足过瘾。然而在尾声部分呼吁女性意识觉醒的伍尔夫或许不曾料到，将近一个世纪后的女性及女性写作处境在某种意义上其实并没有改善多少。不过没关系，这并不妨碍这种如灯炬般的作品照亮“每个人的小小人生”，让人相信“我们的努力都是值得的”。ps.给这一版本的译者一朵小红花，译的特别好。
果麦文化,5,2019-11-27 17:33:49,unknown,18,1928年10月，伍尔夫在剑桥大学做了两场面向女性的演讲——《女性与小说》。之后她在此基础上撰写此书《一间只属于自己的房间》，并于1929年出版。
Ayocarry,5,2020-02-22 18:33:33,unknown,29,读的第一本伍尔夫，可以说是振奋人心！本以为这样一本以女权（女性主义）为题材的演讲稿会稍显晦涩，读完发现其实非常易上手且内容充实丰富。伍尔夫的语言流畅优美，富有比喻象征意义及诗意，可读性强，也要感叹译者文学功底深厚。读完后我将伍尔夫所认为且我深表赞同的女性写作成功的关键概括为：物质基础决定心智的自由，因此一定要努力赚钱；勇敢面对性别局限性，伟大的心灵是雌雄同体的，必须将两种对立的元素紧密结合；要忠于自己内心，不要被外界的评论干扰；保持贞洁，永不屈服于衡量着的规则。
