user_name,star,comment_time,geo_ip,vote,short
何牧歌,5,2012-06-17 22:48:55,unknown,4915,以古看今之极品。原来中国的那么多问题，五百年前未解决，五百年后依然未解决。谁说社会一定是进步的？
小木心熊,5,2013-02-08 13:00:23,unknown,3507,用张居正申时行讲政治用海瑞讲经济用戚继光讲军事用李贽讲思想界线索一气呵成事实充分见解透彻清晰。看带学术性质的书会有点费劲看的很慢会想很多但是收获很多感觉这本书给中国历代政治得失打了基础。
老泰瑞,5,2012-09-06 22:25:22,unknown,1809,纵观全书，每位人物都力图转变，却都陷入了一个怪圈——被文官集团钳制，以致整个王朝发展在万历十五年几近停滞。“以史为鉴，可以知兴替。”
小晨,3,2012-09-18 09:50:26,unknown,1509,给三星会不会被喷啊，但的确有点通俗学术莫凌两可，如果没有《明朝那些事儿》系列做对比，不行没有那个我也读不懂这个，好多例子没有背景，单读我也读不出个所以然来。作者应该是想剖析那一年的一个由盛至衰的转折吧，但却是着重介绍了几个历史人物，有文有武，年代跨度不明确，还是不明白这年到底咋了
大-燕-威-王,5,2009-10-08 18:12:26,unknown,593,当一个人口众多的国家，各人行动全凭儒家简单粗浅而又无法固定的原则所限制，而法律又缺乏创造性，则其社会发展的程度，必然受到限制。——对这句话印象深刻。
海孩等pk14,5,2012-06-27 12:00:46,unknown,317,以几个万历年间的人物命运做出发点大局观的对明朝乃至整个古中国的文化政治制进行刨析。果真不是那么简单啊。依赖模糊的道德坚持儒家的人治而非法制。导致社会接近扭曲无法最优化。这种古怪脱节的体皇帝也并不是万能的。再，黄教授的大历史观确实让人开拓视野。书写的作为历史读物来讲也一点都不乏味。
断见,4,2012-09-10 16:14:11,unknown,327,自由之说，于人而言确为奢谈；命运之枷，帝王能臣名将宿儒皆是囚徒。
小岩井,5,2015-10-13 03:52:54,unknown,214,这样的书读一本，远胜简单的历史故事书看十本啊，不仅了解了文化政治制度的症结所在，人心被制度的扭曲，更是学习了一种大视野看问题的思维。绝赞推荐！
失意的孩子,5,2016-02-28 11:44:45,unknown,227,因个人意愿和作为制度产物的身份相冲突而选择消极怠工的皇帝，胆大如天手腕强硬却死后被清算的前首辅和处事温和以和为贵的现首辅，清正廉洁但与现实脱节的官吏，军事才能出众却敌不过重文轻武现状的总兵，自封异端自相矛盾的大哲学家，是这历史失败总记录年鉴的主角们，技术不能展开，财政乱作一团，军备只按最低标准，以道德支撑半瘫痪的法律系统，大明帝国的覆灭实为必然。然而跳出1587来看，似乎年年都可称得上大失败。
羲和,5,2018-02-16 15:39:42,unknown,290,道德代替不了法律和技术，个人的贤愚得失改变不了大历史的走向。明朝这个摇摇欲坠的戏台上一些人努力着把戏唱下去，张居正、戚继光走乾道，以个人力量建立的体系在政军两处弥补大体制的积弊；申时行走坤道，在已成的矛盾中调和博弈；海瑞走人道，把自身活成道德律法的矛盾体本身；谁也没能得到完满的谢幕，挽救不了这继续垮塌的戏台。万历皇帝从明君理想的破灭到个人欲求的失落，褪色成为庙堂里的一个牌位，李贽哲学精神上的叛逆、矛盾、走投无路，都是这个大国困境形而上的演绎。
朱老板,5,2017-11-11 16:08:01,unknown,227,崇祯是个好皇帝。谢谢高育良书记推荐。
一晌贪欢,4,2008-01-01 00:14:22,unknown,168,此书之热，叶公好龙者与有力焉。
newleft,5,2013-12-02 11:55:29,unknown,193,黄仁宇的书有个特点：你从他的叙述中很难说他是左是右，或者更准确地说，左右双方都能从他的书中看出很多东西来。作为一个搞历史的，能做到这一点确实罕见。另外，这书文脉比较曲折，想看明白作者到底在说啥不是很容易。
槿生_Sarah,NaN,2015-02-11 20:25:33,unknown,111,缺乏对数目字和其他以清晰为特征的技术的掌握，而寄希望于用简单的道德纲领推行于日渐复杂的社会现实，甚至不惜压抑社会局部的开放和发展来阻止复杂度上升，以维持理想中简单淳朴的民风。在旁无强敌的封闭世界不失其合理性。
润物,4,2011-01-31 17:45:28,unknown,106,名气极大的一本书，但并非十足的学术性历史著作。黄先生采取的写作手法在此书面世的年代里堪称少见，也恰恰是因此而使它引起了许多人的注意。从内容上来看正如作者自己所说，贯穿其中的就是他的所谓“大历史”的观点，并且由点至线、由线到面地将人物与史实衔接起来，最终放眼于历史发展的规律与特点。这种类型的历史类书籍很适合大众阅读，可以说在专业与非专业之间找到了平衡。
小M,4,2013-03-03 23:58:34,unknown,114,我很喜欢黄仁宇“大历史”的观点历史上的每一件小事看似平常但前后必有连结大的变革一定是弱小变动的累积这本书用年代断点、追溯上下因果的方式去研究明朝万历年间的人与事真得特别好看力荐
林小熏,3,2014-03-16 14:34:17,unknown,120,一味的用现代标准评价古人，不大懂中国。
Augentropfen,5,2012-02-23 22:34:20,unknown,72,我的明史启蒙书，由此书开启了我研究明史的嗜好。不知道读了多少遍，好书总是越读越有味道，每次读我都有新的心得。
kirk,5,2012-06-23 18:09:33,unknown,69,十多年后，重读一遍，发现那么多的处世态度，以前怎么都没有读到？
Ethan,NaN,2013-07-02 14:44:54,unknown,91,当虚伪的道德完全凌驾于法律之上，当体制的惰性阻止了一切可能的变革，每个人都成为了镶嵌在体制之中的一个个螺丝钉，无力动弹，无论你是皇帝、大臣还是平民，这一点放之如今看起来仍精准异常。
风清扬,3,2010-04-19 23:58:54,unknown,84,过誉之作！
江凌云,3,2012-01-16 22:37:16,unknown,83,我要是认为此书确实难看是不是显得我太没文化了。。。
Prunus d,5,2012-02-18 22:20:47,unknown,67,明朝最大的问题不是独裁，而是没有标准和原则，简单的说就是缺章法。道德是神马？道德能吃么？不过官僚们争相抢夺道德制高点的样子还真像当今各公知啊。
素服,5,2010-11-17 21:06:35,unknown,47,记得易中天先生说，就是这本书让他觉得历史也是可以这样写法！
大清国的猫托邦,3,2010-08-09 12:43:46,unknown,39,宏观视角独特，但总体感觉一般。除了他的从小历史中见大历史的视角外，此书不值得推荐@2010-08-0912:43:46
