user_name,star,comment_time,geo_ip,vote,short
胡蝶,5,2013-11-07 02:08:24,unknown,3376,东吴控萝莉魏国爱人妻蜀国全搞基
回回馆の巴图鲁,5,2014-07-23 21:43:43,unknown,2048,这书我看得特慢，只要出现一个地名我就想在谷歌地形图上给找出来，然后细细从战略层面揣摩用兵之道。特别是街亭之战，光在地图上找到街亭这个屯兵的小谷道就花了不少功夫，刚开始始终想不明白这个离汉中十万八千里的地方到底哪儿重要，后来研究了下才知道古时天水通长安的道路并非沿渭水河谷顺流而下，而是走官陇古道，街亭正处于古道的咽喉之处，蜀丢街亭就意味着把背后留给了魏国，腹背受敌，命都难保。总之这本书值得对着地形图细细揣摩，尤其是诸葛亮六出祁山那段。
文泽尔,5,2007-09-18 21:49:54,unknown,517,这曾经是我在小学时反复阅读的一部经典。我极爱她，甚至愿意写下每一个人的名字，并且愿意为了这部小说而去读裴注三国志。一部《三国演义》，可以说是我的文学启蒙，并且让我读繁体毫无问题..别人喜爱诸葛亮，我独独对吕布、陈宫和貂蝉感到惋惜，并且唾弃张文远，这个只顾保命的伪君子..我当时相信是因为诸侯先死，所以才被极尽抹灭的：当时谁还相信这是小说呢？
傑,5,2013-03-22 21:31:57,unknown,488,“书生轻议冢中人，冢中笑尔书生气！”
伯爵在城堡,5,2012-12-17 22:45:12,unknown,170,我是三国控，不解释。最喜欢的一部古典文学。
[己注销],5,2012-02-12 10:52:55,unknown,79,四大名著中最先看的一本书。不过当时在看时，倒不是跟着传统盲目崇拜起刘备关羽来，而是对被作者百般贬低的人物产生研究兴趣，如周瑜并不心胸狭窄，鲁肃并不平庸，草船“接”箭的是孙权，被关兴杀死的潘璋和孔明同年去世，袁绍深得民心，吕蒙“士别三日”，另外张飞有文采……
芦哲峰,4,2007-11-23 14:47:17,unknown,114,通篇都是权谋，文争武斗。其中，最有心计、最会骗人者，称王称圣称君主；最有武功、最会杀人者，称侠称将称英雄。尔虞我诈、杀人如麻都不算事，只要贴上某一种道德标签，比如“忠”，比如“义”，不论它是如何的卑鄙与残忍，都可以变得正大光明，足以垂范后世。历史不过如此。
镜泉,5,2011-01-21 11:57:31,unknown,0,
SWX,NaN,2013-11-20 23:16:33,unknown,42,看三国演义，真觉得太不干净了，里面乱七八糟的人太多了，不仁不义也能被吹上天，不说跟史记比，就是比三国志都差太多了！
鼹. MATOffice,3,2007-12-31 15:02:20,unknown,76,讨厌尊刘贬曹!
