user_name,star,comment_time,geo_ip,vote,short
托马斯杨,3,2014-01-29 14:17:00,unknown,657,因为专业和物理还算学得不错的原因，这本书对我来说，相当于把以前在科班学的东西温习了一遍。我想在我写下这段评价的时候，肯定会有很多人不同意。主要因职业原因，以前没看过科普（只看严肃学术）。关于科普的想象大概是用非专业方式来解释专业上的事儿，还不能因为哗众取宠偏离原意。这本书的名字貌似很大，甚至号称中国的时间简史。看完之后觉得更像是一本科学史，并不是严格意义上的科普；内容上涉及真正的物理知识其实并不算多，而且是用小学-初中阶段课外书的语气来写成的，特别烦书中老是出现的“乌云密布、大厦将倾、惊天劈地”等等字眼儿；当然了，我不是在说作者的水平，事实上从书的整体来说作者对现代物理的发展史理解的很透彻，可能是因为对读者的定位貌似有些偏低，所以才用这样的写法吧，从这个角度来说，我认为是有些“矫枉过正”了。
一个小标点,5,2013-02-07 19:39:52,unknown,446,两朵小乌云打破经典物理学和经典时空观，导致相对论和量子论革命的爆发；普朗克假设打破了连续、平滑的牛顿、麦克斯韦体系，宣告了量子力学的诞生（19001214）。玻尔三部曲、泡利不相容原理、德罗布意波、海森堡矩阵与测不准原理、薛定谔方程和猫，从微粒、波动说对决到波粒二象性。概率解释、不确定原理、互补原理，摧毁了经典世界的因果性、客观性和实在性——量子力学毋宁是另一种世界观。爱因斯坦说，上帝不掷骰子，玻尔笑笑说，别去指挥上帝怎么做，而霍金说，量子力学显示，上帝不仅掷骰子，有时还把骰子掷到我们看不见的地方去。哥本哈根坍缩理论、MWI多世界解释，DH退相干多历史，高手对阵，众声喧哗；超弦M理论，“万能理论”（TOE），仍未放弃失落已久的统一之梦，永无止境的探索。图景广阔，通俗易懂，文字漂亮，加一星。
Z,5,2011-08-15 19:48:26,unknown,408,我最近一直在想怎么在建筑里搞个双缝干涉的照明
芝麻酱,4,2013-11-14 08:16:59,unknown,332,作为一名高中数理化都平衡发展的妹子斗胆翻了这本300多页的史话，前半本作者心中的闪电流星齐飞，八卦故事纵横，内容方面毫无阅读压力，知识集中在高中理化知识范围内，或者说是常识。后半本进入哥本哈根理论，多宇宙理论神马神马的开始晕，但是基本能知道这些个大体神马意思，什么时间顺序，代表人物，最后超弦理论就可以去死了。其中以光的波粒属性作为线索引出了一系列著名的争论，尤以苦x胡克和小心眼牛顿，宽厚的玻尔和执着的爱因斯坦的最为精彩，把那些名字牛x闪闪的科学家们刻画的有血有肉
danyboy,5,2015-12-30 23:37:37,unknown,147,应该是今年读完的最后一本书了，虽然行文有些啰嗦，但对我这种文科生来说，需要作者不停地重复他已经说过的话，不然是完全读不懂的。其实，读科普对我而言和读科幻没什么区别，似懂非懂不要紧，只要最后给我放个惊世骇俗的结论，就会心满意足。
阿落,NaN,2011-10-13 22:19:47,unknown,78,必须吐槽，作为《费曼物理学讲义》的Fan，此类戏说乾隆读起来真是，各种概念模糊……物理学必须在非常精准的概念上做延展啊，哪怕是史话也不能如此靠华丽辞藻唬人好么。名字也很商业烂俗，作者顶多算个小说家不是科学家，有此对比，必须向Classic范儿致敬。
fox.psd.不明白,5,2015-11-30 16:07:59,unknown,64,卧槽，一部科学史为什么可以这么燃！你问我有多燃？我觉得和路飞去司法岛救罗宾的那段差不多燃。
方方土君,4,2010-11-30 17:05:18,unknown,63,这种高深又通俗的书，看不懂你都不好意思说看不懂.....终于读完了，整个世界都崩溃了......原来他妈的整个世界都是随机的......
阅微草堂,1,2012-01-15 13:03:44,unknown,42,把物理这样的学科写成幽默，我真的感觉是垃圾，只是故事的物理，我们能学到什么呢？其实读的是另一个版本，没有意思，很多都是有所抄袭特别是最后一章完全是加来道雄的某一章
greenday,2,2015-08-29 20:45:05,unknown,38,大段重复的溢美修辞简直了，自然科学本身的美感根本不需要那些冗词。梳理了时间线但是本质实在是没说明白。
M. Tong,5,2011-07-21 20:06:22,unknown,22,Smartisthenewsexy
丹AI🌵,5,2012-05-10 16:24:25,unknown,16,神书！不认真看没意思，认真看一定三观崩溃。PS：海森堡与玻尔很萌，有一部话剧叫《哥本哈根》，果断要看。
袭人继续收破烂,5,2010-06-23 17:43:07,unknown,21,读到238页终于读不懂了。
沈入忘🌟,5,2015-02-06 09:58:27,unknown,17,高中的时候读过一遍不要太喜欢！最近重读了一遍……发现好多都看不懂啊！所以我的智商已经退化成这样了么_(:з」∠)_
皂角菌,5,2015-05-16 12:35:05,unknown,14,这本书对量子论的大师的介绍，是精彩绝伦。这实质是量子力学史的介绍，实质不能算量子力学的科普。
