user_name,star,comment_time,geo_ip,vote,short
囧叔,4,2012-06-04 09:50:55,unknown,2600,事实证明，糟糕的翻译可以将神作变成屎。我说的不是这个版本。我看的是盗版。
神威,5,2012-01-19 13:49:43,unknown,1553,阿婆最佳之一，心悦诚服，原本想打四星，因为我感觉这个诡计并不是一般人想到谋杀的时候会想到的事情，本身就具有一定的迷惑性【虽然TMD读到身中深浅不一十几刀的时候我就应该想到的！！！】，但是最后还是给了五星，这个事件的结局多么治愈啊，我一直希望，在这个污浊的尘世，在法律照耀不到或者不想照耀的角落，会有一只无形的手，举起审判的利剑，如杀手月，如这十三人，看到波洛的决定和最后的几行的时候，心里感觉无比的温暖，尽管我做不了什么，是个微不足道的家伙，我还是愿意用我微不足道的一星，表达我对这种行为和这种理解的敬意，阿婆你真行！
文泽尔,5,2007-09-24 15:21:03,unknown,812,如果我将一群带着同样仇恨的人带到一架飞机上呢？阿婆最为可恨的一点在于，信誓旦旦地给出了极为复杂的设置，甚至车厢简图，人物行动时间表等...在年幼的我绞尽脑汁，画满一张纸后，却突然甩出了她新发明的不可能犯罪诡计模式...=。=结尾亦佳，波洛也是通情达理的
Z某人,4,2012-09-02 22:55:56,unknown,601,结局逆天了。。如果烧剩的字条上没留着“阿姆斯特朗”几个字，波洛侦探你肿么办呢？
Célès,5,2011-11-10 15:19:33,unknown,477,一次英国女王接见阿加莎，问道：东方快车的疑案，结局到底是什么呢，我忘记了。她笑道：对不起，陛下，我也忘了呢。
土拨鼠君,5,2016-01-30 21:01:59,unknown,181,在火车上看效果更佳哟~
littletwo,3,2010-10-06 20:15:13,unknown,172,结尾太挑战我的职业伦理观了。终于了解为什么柯南崇拜的是福尔摩斯而不是波洛了。
鬼 鬼 ™,5,2013-07-08 11:59:31,unknown,173,第一次看阿婆的书，引人入胜四个字不足为过，好看！不仅分析推理很强，而且故事情节很棒！带着你推理，一步步的带你看出真相，而且结局又很有人情味儿，杀人方法实在是在特别。。。喜欢侦探小说的一定不能错过！
巨米雨,5,2016-03-06 18:14:14,unknown,91,这就是毛姆说的，可以对付任何流感的推理小说
某个草莓,4,2016-02-16 19:33:29,unknown,106,先前看的推理小说一般是东野圭吾的，日系风和欧系风相比--可能名字更好记那么一点。。。柯南里面也有几话是在一辆列车上的谋杀，而且人们各自都有关联。推理的结果真是想不到。。。结局感觉又有点不符合现代社会观--。挺压抑的。每个人都心安理得的刺上一刀，都觉得自己是正义的，但是法律又不能结果他。细思极恐。。。
劈头士》睁木,4,2013-07-30 14:18:24,unknown,94,被害人身中十二刀，暗示了“陪审团”的十二人。大规模凶手集团啊，亏阿婆想的出，也敢写的出~~这本里面，能看出波洛的某些性格，比如，比起形式正义，他更重视实体正义，这样一贯的性格，所以才会延续到最后一部《帷幕》中的结案方式~~叹~~
威治魚,5,2017-11-10 19:24:53,unknown,82,高铁上看完，不禁开始设想故事如果发生在当代，几百号人共同策划一起案件，又该有多复杂精彩……
阅微草堂,1,2012-12-22 00:45:59,unknown,44,节奏，为什么英国小说的节奏是那样的慢？？是历史的古老还是人本身的老？？
momoco,5,2015-10-25 13:28:08,unknown,63,只能说是杀人设计的非常巧妙的推理小说不愧是阿婆从无人生还到东方快车都堪称经典但是想想12个人排着队走进被害人的卧铺房间黑灯瞎火的一人捅上一刀简直阴森恐怖到了极点最后的结局有点悔三观
江凌云,3,2010-11-24 21:41:53,unknown,31,原来这么难看还代表作不晓得其他那么多好瓦廉
吴明士,3,2010-08-08 16:18:06,unknown,27,推理不是我这牌菜....看到一半就猜出结局算个毛啊==
偏时差,4,2017-03-03 06:22:08,unknown,51,看到第四本大概可以总结说，阿加莎的魅力，除了逻辑通顺布局巧妙结局出人意料又在情理之中，这些优秀的推理小说都具备的特质外，更主要的是，她是一个写人的作者，比起技巧，她更关注的是每个参与其中的人物本身，他们之所以成为此时此刻的背后。而同时，她也充满了善意。
