user_name,star,comment_time,geo_ip,vote,short
黎蓓谛,5,2016-03-06 14:40:54,unknown,737,小时候，觉得全世界也不过在这四本书里吧。
lxghost,4,2012-11-19 11:38:29,unknown,341,直到现在我才发现这套书根本是错误百出中国的科普程度可想而知...
Hey Johnny,5,2009-09-26 20:58:26,unknown,93,这简直就是我少年时科学知识的启蒙老师加扫盲助教啊。
Fiona和平,5,2013-01-15 21:58:51,unknown,49,里面哲学的部分把我吓尿了
貓小三的意思其實是如果先生,4,2009-12-25 11:50:31,unknown,36,豆瓣你怎麼知道我有這套書！
滕子京,5,2010-02-11 22:40:43,unknown,34,时光啊，那时太阳系还是九大行星
柴犬妹妹,5,2010-01-05 21:23:58,unknown,20,我瞬间就泪流满面了。
一只麦麦,5,2010-01-28 21:04:36,unknown,19,真希望每一个中国的孩子都有机会读到这套书。
会打字的跳舞机,4,2011-10-12 21:42:43,unknown,24,这是我小学时拥有的最豪华的一套丛书！一套四本简直就是四块大理石，妈妈带着我一起从新华书店搬回家的，这是知识的重量！最喜欢看的就是人类-社会了！
倦眼书生,5,2019-08-28 05:37:40,unknown,72,结婚的时候，我俩把书合到一起了，我文科，她理科，我是乱七八糟一堆，她是职场专精，俩人重叠的书不多，唯有这套小时候的读物，一人一套，相视而笑。
耶斯特洛夫斯基,4,2012-02-29 03:46:38,unknown,22,那些年，我出恭时都要捧的书
并不靠谱女中年,NaN,2009-11-22 15:44:35,unknown,29,公务员行测常识题指定书目……
文泽尔,5,2009-03-31 03:34:01,unknown,20,这是外公在约17年前给我的一份生日礼物...反复读了两三遍.其中的内容是五花八门。固然杂而不精，但却开了一扇门..这可以算是对人生有大影响的一套书。当年似乎是100元一套
Paradox,4,2012-02-20 12:29:20,unknown,16,当年老爸看了那期焦点访谈的软广告，于是就给我买了一套。小学时读了又读，许多知识的基础均来自于这套书。至今珍藏。
墨梓,NaN,2011-06-09 02:50:57,unknown,14,小学收到的儿童节礼物，我现在都还留着呢，回家还会拿来翻翻。我忒好养，有好书好电影好音乐好的旅行就能满足了，我真是个好孩子，啧啧~~
小晨,NaN,2011-04-08 11:51:22,unknown,3,居然有这个。。。。。。。
我爱看海,4,2009-12-26 15:11:33,unknown,2,十万个为什么图文加强版~还凑活吧
❤ 。韩小绿,5,2009-12-18 16:59:55,unknown,3,很小的时候妈妈给买的一套。最喜欢红色的。
皇思猫头莺,5,2009-12-28 21:34:15,unknown,7,我記得我爸買了一套送人又買一套又送人……買到第N套的時候才真正歸我了……=3=
安德烈是条咸鱼,5,2013-02-21 02:02:07,unknown,5,最喜欢的是橙色那本科学技术卷里面的军事部分！
裸踝,5,2010-01-15 14:13:03,unknown,1,这么多年过去，才知道原来这套书是林崇德编的！
椒盐豆豉,4,2019-09-01 00:57:17,unknown,3,爆款必备百科！童年回忆！按知识体系分类，读起来很方便。
Vamei,4,2012-09-02 15:31:02,unknown,5,从这套书里学到了很多东西。但是有一部份讲未解之迷的，有些扯。
茄子酱,5,2019-06-15 08:40:42,unknown,2,这一套都读过，是爸爸奖励我的书，记得当时这套书很贵，爸爸看我舍不得走还是买下了。可惜有两本让我妈妈送给表弟和朋友的孩子了
Caesura,4,2010-01-10 16:43:05,unknown,2,LOL我的童年读物。还用来量过身高，垫过脚，压过纸，夹过树叶书签。。。
