user_name,star,comment_time,geo_ip,vote,short
沙沙,5,2021-06-16 11:09:38,unknown,1470,谁都无法逃避痛苦，但至少可以找个人聊聊，聊聊真实的你，聊聊那些看似无解的困局。当你直面痛苦，会发现所有困境其实都有出路。说出来就是最好的治疗——心理咨询的奇迹，就是这样发生的。
木木,5,2021-07-27 17:59:46,unknown,1474,生活的本质是变化，而人类的本性是抗拒变化。你越是愿意认识到自己的脆弱，就越不会害怕。因为知道有可能要失去，和害怕失去是两回事。
呼啦啦啦树,5,2021-08-03 19:40:25,unknown,638,可太喜欢这本书了！人一生下来就能看到周围世界，可唯独看不见自己，更不用说自己的后脑勺儿了；但做的事，说的话，暗涌的心绪，他人的回应又无时无刻不提醒着自己的存在。这本类似于心理咨询实录的非虚构小说，复现了不断平衡做人的恐惧与做人的奇妙这一必定充满痛苦的逃避、直视、挣扎、觉知、改变、探索的持续性过程。真实自有千钧力，文中到处散落着其他可能性与人“应然”之面向，还给了我琢磨心理咨询的好多小tips。推荐，推荐，推荐！
宴歧,5,2021-08-03 21:33:07,unknown,629,我今年的top3。一本真正让人看到心理咨询和其意义的书。我对自己要做的事、要走的路充满希望。
雪落微明,5,2021-08-18 23:36:08,unknown,503,Kindle推荐上跟蛤蟆看医生相提并论，但这根本不是一个等级啊。
Elaine,5,2021-08-24 00:47:05,unknown,156,本书和读过的一些同类书籍相区别的是没有高高在上的说教或理论的堆砌有的只是娓娓道来的分享书中出现的各个人物包括心理咨询师自己都在各自人生中面对难解的人生课题如亲密关系的处理丧失亲人的痛苦原生家庭的问题甚至罹患绝症的绝望……文化地域背景和我们不同但很多问题的本质是相通的他们的问题可能也是我们正在面对的问题书的内容随着咨询进程的推进展开可以清晰地看到过程中每个人内心的痛苦、挣扎、努力以及成长过程是艰难而漫长的因为诚实地面对自己永远需要最多的勇气但他们可以我们也可以个人觉得这本书把握住了心理咨询的精髓心理咨询师不该被曲解也不该被神话优秀的心理咨询师并没有魔法只是特别能理解你并与你共情陪伴引导你面对自己的人而最终的选择始终在每个人自己手里……
Sk,5,2021-07-27 14:04:18,unknown,47,终于出中文版了
孔洛,5,2021-08-18 10:22:17,unknown,182,心理咨询的案例书真是太好看了，从《热过上的家庭》《循环提问》到《当尼采哭泣》，每一部都像小小的刑侦剧和悬疑剧，山穷水尽，曲径通幽，又豁然开朗
你说呢,4,2021-08-08 10:08:38,unknown,139,父母有可能嫉妒孩子，另外充满鼓励和接纳的环境确实可以让人获得成长。#满含泪水的两条笔记
The Truth,5,2021-08-10 00:10:57,unknown,96,读起来真的停不下来。社畜工作很忙但还是一周读完了，过瘾，还想继续读这样的书。心理学爱好者有被爽到！后续再写更细致的书评
