user_name,star,comment_time,geo_ip,vote,short
噢还有,5,2010-11-09 21:05:33,unknown,4744,我抽风半夜给老师发短信说应该要求所有同学看这本书
柯柯柯尼,5,2013-03-20 21:26:01,unknown,3006,中国恨不得快点摆脱的土气恰恰是最中国的地方啊。
种瓜得瓜,5,2013-10-31 11:11:01,unknown,1095,了解中国可以从这本书开始，它至少为我们解答了我们为什么是这样的，我们要往何处去应该注意什么，意图“以儒救国”的或者只是以儒为幌的，也请读读这本书，至少在解释很多概念时，你们不至于不能自圆其说。这是今年最值得花时间读的一本。
#Pekingcat#,4,2013-04-28 11:20:24,unknown,1259,不知道是不是我太浅薄了，觉得老校长这本书很多时候论述牵涉的范围太大，有点循环论证。而且很多时候为了总结出一种特定范式，很多时候有点绝对主义了
朱小诺,NaN,2017-06-07 19:15:10,unknown,881,不以爱情为基础的中国婚姻才能天长地久。
狄安娜,5,2019-09-01 16:32:39,unknown,386,推荐给所有朋友阅读，越早阅读越好。在外求学几年，越发觉得了解自我的文化和政治身份是自我认知的一个重要部分。那些带着负面情绪的形容词——“老土”、“人情”、“婚姻”，与那些带着赞扬积极情绪的形容词——“先进”、“法制”、“爱情”，剥离情感的外衣来看，都只不过是某种社会现象，而社会现象的背后都隐藏着深刻的历史文化原因。不带偏见地找到现象背后的原因，这是我更赞同的认识世界的角度。
素履,5,2011-07-19 22:23:16,unknown,300,差序格局解释了中国为何没有权利意识，中国为何法治如此艰难，礼治产生的缘由是什么；为何男女有别，社会关系、社会结构的保持；中国的乡绅、师儒产生的原因，技术知识与规范知识的分化；婚姻制度产生的根源，是抚育孩子；中国传统权力的统治：教化权力。——这本书让我更加清晰的了解了中国，解开了不少疑惑。
zhifeige,3,2014-02-19 12:47:18,unknown,250,对于纯文字的论证缺乏敏感性。《乡土中国》的风格多从声明命题开始，然后以此为基础展开推论。另外感到并不舒服的是，费孝通似乎并没有论证为什么他的声明是合理的。更让我容易接受的做法应当是观察在于归纳之前。
山风雀,NaN,2013-05-06 23:41:31,unknown,212,印象最深的点在于：作者声称男女只是为了共同的事业在一起，同性之间才是真爱……我越来越像跟熊猫共度余生了怎么办？
bluewqq,5,2017-07-04 11:31:30,unknown,305,以为很枯燥，其实非常非常好读。抽丝剥茧有理有据，但是，看完之后会有很深的无力感。原来很多不公平不合理的问题，譬如重男轻女，譬如难以调和的婆媳关系，譬如男女不平等，在社会发展的宏观层面上，都有其必然性。其实社会更像一台机器，没有公平与合理，为了运行良好可以碾压一切。
午谷各,4,2015-12-30 10:23:18,unknown,145,个人认为，本书中许多论点属于观念先于理解，有些绝对主义。不过毕竟是上世纪四十年代成书，对于那个时期的民俗学或许够用了。
bird,3,2016-03-09 14:52:47,unknown,112,越读越昏……
绘里,3,2011-11-09 12:17:44,unknown,111,大学里该读却没有读的书。看过之后，觉得正如作者所说，有些随意。
鑫鑫,3,2013-11-11 21:38:25,unknown,72,怎么就怪怪的呢
鱼肉,4,2015-03-04 17:56:23,unknown,54,在中西方对比的论述上略弱了些，只能说作者对外国的研究并没有那么深，但是瑕不掩瑜，实在是非常精彩的一本书
肥匪廢·老🐰,5,2012-04-30 10:00:35,unknown,61,传统中国以世代定居为常态、迁移为变态，恪守成规变成乡土性的最大特色。不为人先、不为人后、循规蹈矩、一个模子刻出来的一套，正是传统民族性的新时代转型的最大障碍。
左树,5,2012-12-09 10:34:12,unknown,59,不是一般牛逼，亮点好多。
曼玉,1,2020-03-27 00:25:35,unknown,85,差序格局，不就是老吾老以及人之老么？不就是李宗吾那个人性同心圆么？难道外国不是这样？我实在不能相信。费孝通的书，于我没有一点儿新知识，我实在不知好在哪儿了，也许是没去过农村的城里人，或者不爱读书的农村人，读了有一种恍然大悟的感觉吧！
Azeril,5,2014-09-16 08:58:52,unknown,40,費孝通先生關於中國鄉土社會研究的論著這是在中國現代化對於地域傳統秩序的衝擊之前抽絲剝繭的梳理與分析於今看來有極為珍貴的價值也助於我們理解我們所身處的鄉土文化和生活狀態。簡明精道字字如金。
精分时代,3,2016-03-06 03:07:53,unknown,59,大多中国人想摆脱的乡土气息，恰恰是中国之最根本所在。书真的是读的越多，越觉自己的无知啊。
虫虫,4,2018-08-03 19:17:08,unknown,37,前面几章五星，通俗易懂，后几章四星，模糊的论述太多。
时间之葬,5,2016-05-04 12:26:38,unknown,39,洞悉两千年中国社会之本质
NovemberRain,5,2019-06-09 03:21:47,unknown,51,城镇化率还有20个点的上浮空间，中国正在与乡土渐行渐远，但书中所描绘的所有内容在新的社会秩序下仍然随处可见，这种传承的原因作者甚至都已预料到，不知道去掉这些“烙印”的时间会是多久。1930s写书的作者是否会想到，近一百年后被分工细化高效运转的社会机器压的喘不过气来的中年人会在深夜读他的书，幻想回到小农经济社会。
Parachute.cpp,5,2014-03-25 20:09:37,unknown,29,通俗易懂又受益匪浅说的就是这个
ryojazzz,4,2009-04-30 05:51:11,unknown,28,追随小波的足迹看了一本好书
黄某,4,2016-03-23 20:09:02,unknown,32,这书有啥意义==？
Fleurs.哼哼,5,2017-12-28 21:31:51,unknown,22,费老的学术功底和独特视角以及实践能力为这本著作夯实了地位。真正做到“知行合一”的大师。我本人是坚定的“地理决定论”者，所以从“乡土”这个接地气的社会学角度切入，使我真切的明白两个大块的知识：一方面是高屋建瓴的剖析十几亿原本都是农民子孙的国民骨髓里的“差序格局”到底如何从汉朝独尊儒术到文革时真正的“礼崩乐坏”。一方面循序渐进但又环环相扣的从文字，道德，家族，婚姻，秩序，政治，血缘地缘解释了中国的“特殊国情”。所以，我又有了更大的困惑：天朝几千年的乡土基因还有进化的可能性吗？
茶小姐元氣妇女,4,2011-04-30 14:41:23,unknown,32,昨天又看了遍对男女有别那章更有感触。亚普罗式的乡土社会性别隔离，导致中国传统的感情定向偏于同性发展。
柯西,4,2013-09-22 22:49:56,unknown,18,从个体到族群，从人性到制度，乡土里能找到中国社会运行的脉络和逻辑。费孝通的笔下是最乡土的乡土，如果观察如今夹杂在乡土和城市中的中间社会，应该也会对当下的中国有别样的理解吧。
景文あきら,2,2020-06-19 22:00:22,unknown,47,非常排斥这种有理论无实践的文字作品。望着费教授的盛名而来，却看不到所谓的“实地调查”和“考察总结”的相关内容，只看到对“中国”和“西方”社会的望文生义。做儿童读物，启蒙教育，或有价值。
melonking,5,2015-08-09 11:28:10,unknown,29,中国不少问题来源于把中西对立，硬是要把西化的东西不分青红皂白强加在中国，而不知道中国原有传统的来源，原有传统的合理之处。
从小爱科学,5,2008-05-16 10:59:20,unknown,20,社会学启蒙。虽然过去了六十年，费老的思想还是那么闪光。
晓榕,5,2015-11-24 22:12:11,unknown,26,想起一个网友那句自介，希望接下来的二十年里，我关注的依然是工作、学习、情谊、健康。拿来自励。
千耶,5,2018-07-22 15:16:50,unknown,29,通篇读来竟一点都没有印象里学者那股子自以为是的学究气，感叹于真正有学识的人的格局之大修养之高。思考如今口中动辄所提的乡村转型，传统媒体转型，经济转型，甚至是国家转型又有多少能沉下心来先真正的从历史的角度将其仔仔细细的摊开来瞧个明白呢，急于将其套上个现代化的罩衣，生怕别人不知道我们在前进。想来文字下乡中最让人印象深刻的不过是个拆字，口中喊的与时俱进的时真的知道是哪个的时吗？我说我们缺的还是这种沉淀下来思考本质的观世态度。
xiaohanyu,4,2018-03-02 22:32:19,unknown,17,病床上百无聊赖读完的，最喜欢的两篇是《差序格局》和《血缘与地缘》。不过读起来还是蛮枯燥的……
Midori,5,2012-04-11 00:18:43,unknown,13,讀此書，愈覺過去十年中國之巨變。費老本想＂鄉土＂和＂現代＂相對照寫作說明問題，如今倒是＂現代＂很有實際意義，＂鄉土＂多剩緬懷了。
灵摆,1,2020-11-26 17:53:03,unknown,44,虽是乡土中国，却频频笼统地对比西方国家，仿佛只有中国有农村似的，这种对比根本不在一个层次上。很多想法也是在重复外国媒体塑造的中国形象，都是随着自己读外国书的经验的总结归纳，无非是西方的传声筒。非常固有的绝对看法，只看皮，看不到骨，甚至这皮也是不怎么样的观察。但是各个文化名人会推荐，像一场跟风似地卖弄。但写作挺乏味的，就自己的体验，无法跟风。文字有鲜明的那个年代中国贫弱，而觉得外国一切都好的时代特点，但是又碍于学者身份，又想保持理智独立的拧巴。
