user_name,star,comment_time,geo_ip,vote,short
商夏,5,2013-05-26 20:59:57,unknown,3281,把我们这个世上所有的成功学心灵鸡汤文作者加在一起都不配给叔本华提鞋。
海生花,5,2013-07-30 09:34:55,unknown,2508,作者说这本书是写给智力超群、品性高洁的人（这两个词有时会被互换）看的，告诉他们，社会上充斥着形形色色的庸人，但天生卓尔不群者却是凤毛麟角，正因如此，孤独是后者的宿命。但译者前言告诉我们，该书译本出版后，一年内加印了三次。读者的喜爱表明，很多人认为该书面向的是自己，也就是说，他们认为自己就是叔本华说的那些与众不同的天才。这说明了什么呢？一，人性比叔本华料想的还要复杂。二，真正的天才其实是不需要看这类书来坐实他们的天才身份的。需要从这本书中寻求慰借的，其实都不是叔本华所描述的那一类天才，所以也不适合一一遵守他的建议。不过这也不是很重要。
培疯,5,2014-07-07 11:03:16,unknown,1036,我要说，如果一生只读一本心灵鸡汤，就要读这一本。
koala,5,2014-07-09 22:17:08,unknown,733,男神的书句句都是真理，没有一个字是为了完成著作或者达成自身的名誉和荣耀而写下，而纯粹是出于身上所肩负的向这个世界传播这些最简单却时常被蒙蔽了的双眼的世人所遗忘的真理的使命而写出。简洁，硬气，优美。仿佛是看着那些活到今日已隐隐有所感觉的形状，被一只笔以水彩颜料准确而优雅的描绘出了具体的形状与色彩。节制而闲暇的生活，伟大丰富的精神活动和使命，这才是人生在世所应努力追寻的幸福的奥义。
ODO,5,2013-02-21 22:52:01,unknown,506,第二遍速过，骑士依旧跳过。
慕月,5,2012-07-26 20:36:45,unknown,250,如果笼统的将叔本华称之为悲观主义者，那么悲观主义者才是真正有实力乐观的人。因为他们看得清人性的弱点，个体的局限，以及时间的界限。
water,5,2014-07-27 23:06:41,unknown,252,一套完整的三观。骄傲避世，牢骚也发得漂亮。
北纬,5,2014-09-25 22:12:40,unknown,263,尼采的话可以很好地表达我看完这本书后的感受：“我很明白他所说的，就好像他的书是专门写给我看。”
Ai-Lain,5,2014-07-15 21:48:09,unknown,182,突然觉得自己可以把什么都看淡了，因为这本书把人生的每个阶段都带着走了边，所有的所有在这一生都是必然的，看透了就不纠结了，尽自己的努力去生活着就好。
Luffyjun,5,2012-11-30 23:40:58,unknown,184,哲学可以这样深入浅出、诙谐幽默、冷峻优雅的娓娓道出真是一件幸事。。健康的体魄+平和的心境=幸福。。不耽于世俗的事务，不纵情于感官的享受，不寄期望于他人，不过分占有情和爱。。那你便获得了自由
Aaa,5,2013-11-16 08:59:42,unknown,166,不生涩很好读，叔本华真乃孤僻之人的知心大叔。
豆友157151183,5,2018-11-26 22:54:03,unknown,309,看了《亲密关系》但还是谈不好恋爱，看了《人生的智慧》但还是过不好生活，看了《论不服从》但还是怂得一逼。书是好书，我是废物。
冒号减一,3,2018-05-29 17:31:23,unknown,161,别对号入座的认为自己就是叔本华在书中描写的高贵的孤独者，那个时代可没有手机。满足读者意淫是这本书如此高分的原因吗？
豆友50084116,5,2012-06-24 11:58:17,unknown,122,有叔本华给我大独身党撑腰，还有什么可顾忌的。。
荒木,5,2014-02-17 16:47:10,unknown,111,为什么我没有早一点认识叔本华，他讲的，是我的故事。
远子,4,2016-01-07 14:19:43,unknown,63,此书系为《作为意志（欲）和表象的世界》所写的《附录与补遗》中的一部分，但结构是完整的。第三章和第四章略无聊，第五章的“建议和格言”同前面的论述也有不少重合之处。但是读起来还是很畅快，对于宅在家里的人而言实在是一剂良药，读到最后简直要以为一个星期没有出门的我是全世界最幸福的人了。从这个角度讲，封底上架建议写着“励志”也是合理的。
StLiberato音控,3,2018-04-28 16:42:04,unknown,108,方今时代看这书，没什么新意却有不少谬言，况且作者知行不一......鸡汤读多了，闲闷无聊，谁都能写写颇具理想主义的济世感言，然后妙笔一扔，继续没羞没臊的生活（仿佛人生的智慧，就在于将枷锁送给别人，而自己置身其外坐享其成）
7酱™,5,2013-06-03 03:15:22,unknown,71,幸好没有读的太早，一开始还加加书签，后来有太多感慨的句子已经标记不过来了。
菠菜,4,2013-10-21 08:00:30,unknown,46,虽然我觉得他许多见解感觉也太悲观自大臭屁了，但又感觉他闷骚又可爱--读的时候竟然会挺开心挺舒服的。。。
Ying,3,2012-04-29 21:43:46,unknown,51,同主题的书看了太多了，边际效应已经非常小。青春迷茫期早过了，但人生阅历也没见增加多少，什么人生的智慧十年二十年后再想罢。
专业吐槽的微笑,5,2014-02-18 18:23:40,unknown,57,谁说叔本华的哲学是悲观主义，人生虽然是痛苦的，但是华叔教会你怎么在痛苦漫长的人生里活得舒服一点姿态优雅一点，点赞。
斯眉,5,2014-03-02 10:49:03,unknown,40,解疑释惑的好书，值得终生收藏，一读再读。看过之后才知道自己为什么永远内心孤独——雄鹰只把巢建在人不能及的高处。
Maodao,2,2019-06-26 15:02:13,unknown,76,可悲的老家伙，絮絮叨叨这么多破玩意儿，在100多年后也不过引来一堆自以为是的庸人假高潮。
