user_name,star,comment_time,geo_ip,vote,short
danyboy,3,2014-12-27 17:59:26,unknown,4428,作者很年轻，博览群书，对几乎所有学科发展到当代的基本理论和观点熟谙于心，也敢说，因此，这本书并未提供任何新的和独到的观点，只是一份讲稿，.所谓“简史”并不是史学，而是他串起自己世界观的线索。但他提供了一套完整的“当代人”的价值体系，而且政治正确，内容丰富，语言生动，一个年轻人如果知识比较零碎，读这本书再适合不过了。
琬琰斋,4,2015-04-16 13:29:24,unknown,2417,前几章的观点很刺激，后边就水了。
礼士路西岛秀俊,3,2016-02-25 11:50:20,unknown,1417,加长版知乎答案。
空羽,3,2015-02-20 20:55:27,unknown,1207,作者认为人类（智人）的发展基于两个能力：1、虚构故事的能力。（认知革命，从而带来农业革命。）2、数字化的能力。（从而带来科技革命）。另外，虽然作者始终在小心翼翼地遮掩着他立论的基础——演化论（以免被人指控为纳粹），但是他藏不住的是由演化论导致的虚无——超人类终究会取代智人，我们只是万物演化进程中的意外，我们为吉尔伽美什计划成功的倒数计数，就是我们距离坟墓的步数。
熊阿姨,3,2017-02-07 00:12:54,unknown,776,读了四分之三，可以弃了。这是一本典型的「干货」书，用最简单轻松的方式先抛出来各种观念，再挑选历史做例证，很像杂志文章的写法。但是一本四百多页的书，顶着这么大的名头，整个推理过程都弱到令人吃惊。这本书不会给人什么思辨上的教育，也不好意思去摘录引用做论据，就是个藏得很深的机场读物。
glacial7,5,2015-01-27 18:39:25,unknown,532,2014年度最佳历史通俗读物《人类简史》，从生物学的人类演化，到历史学的社会理论，最后到心理学的幸福感，用不到40万字回顾人类发展的关键进程，刷新你的世界观。最让我印象深刻的几个观点，一是”社会秩序都是由主体间的想象所建构的，语言和文字补足了人类基因中缺乏大规模合作的生物本能“；二是”历史从无正义，秩序既不中立也不公平“；三是历史的大方向就是文化的全球融合，包括经济、政治和宗教，单一并非同质。值得一提的是作者对佛教、伦理、科学都有深刻的洞见，尤其是对‘人类中心主义’的揶揄随处可见，例如食品工业、消费主义和资本主义的批判。
丁丁虫,3,2015-06-30 17:51:38,unknown,375,立论太偏，论据太弱
不勒个二,5,2015-06-29 10:55:47,unknown,364,看《三体》的同时看的这本书，不经意间发现两本书形成了某种互文，当然这种互文更强调的是对我所造成的震撼的一致性。实际上这本书在某种程度上是对人生三大问题的解释，然而解释完之后只会让人感到无助和虚空。
SWX,NaN,2017-04-11 10:12:31,unknown,314,这种东西就是精神鸦片，不用动脑子的时候看得很爽，动点脑子的时候就觉得到处是扯淡。所以呢，这种书就是适合脑袋轻松的时候从头看到尾，随时保持“哇”“哦”的姿态。
白色的蓝,4,2015-03-19 10:28:16,unknown,247,如果说之前很多历史书是鸟瞰地球的话，这本就是在卫星上看这个世界。
farrell,5,2015-02-18 11:36:38,unknown,206,JaredDiamond后继有人，实在令人兴奋。76年出生的学者啊，起码还有25年可以产出优秀的作品。这本书最差的是北大历史系教授高毅写的序，明显没读懂的样子，看来是超出了历史系传统的研究范围，还不如让我来写。
Jonko,5,2015-05-06 19:17:53,unknown,215,觉得应该列为高中历史课辅助读物
拔刀诀,4,2015-05-15 19:46:13,unknown,179,前半部分很颠覆，后面就一般了。
小护士毒舌猫-虞兮虞兮奈若何,3,2015-06-22 15:05:26,unknown,174,没期待中那么好。主要问题是证据到结论的推导太轻松了。越靠近近代结论越多证明却越来越少。
