user_name,star,comment_time,geo_ip,vote,short
懒人老猫,5,2007-10-18 10:29:35,unknown,334,大学问并不一定总是艰涩的.
起玄,4,2017-05-04 12:58:25,unknown,232,国学大师教你如何judge。王国维最欣赏李后主，冯延巳，欧阳修，苏东坡，秦少游，周邦彦，辛弃疾，纳兰性德。但对另几个词人也是从头刻薄到尾，说吴文英，张炎“一雕琢，一敷衍”，像他们这样作词是“一日作百首也得”。另外，王国维是跟姜夔有仇吗，正面反面都用他来当教材，如果姜夔本人来读这本书，心情的大起大落估计能让他当场吐血。#再阅人间词话
剧旁,3,2009-10-28 23:58:19,unknown,177,其实人间词话，不能算多有创意的东西，尤其是现在看来，算不得经典，时代的产物吧
酱油水杂鱼,NaN,2013-06-24 10:14:49,unknown,98,果然是学然后知不足，梦窗梅溪何许人都是靠百度的。
末摘花,4,2018-04-08 21:27:40,unknown,52,人间词话的核心是境界，“能写真景物，真感情者，谓之有境界。”
is4dog,4,2017-03-12 23:41:47,unknown,43,很漂亮，以前读过很多遍，未来还可以读很多很多遍。“为什么唐诗之后几乎再无好诗？因为最好的情绪意境已经有人写了，想表达时借用好过拿新的；为什么宋词之后只有个纳兰性德呢？因为他来不及熟练地借用前，已经才华横溢地学会写了。”是的呢，是的呢。
姜纪存,4,2015-07-04 17:23:34,unknown,35,作者殉的不是灭亡的清朝，而是不远将来将被世人忽视淡忘的一种文化吧。。。。。。
Asuraa,5,2010-05-03 12:21:23,unknown,30,向爱词的小朋友强烈推荐，个人以为论词之精辟，无过于王老先生。
阅微草堂,5,2012-11-01 00:40:07,unknown,15,以前看不懂，今天，竟然我可以读了！里面的章句里面的还是有逻辑可言的，钱钟书的《谈艺录》，想起来了分子哲学的维根斯坦，还有他喜欢的叔本华，诗话
Kreuzberg,5,2009-07-19 23:04:24,unknown,14,无论是评，或是创作，均为一等。
bayonne,5,2019-02-16 10:46:35,unknown,17,任何艺术评论最有意思的其实是看到作者自己的偏好王国维对冯延巳、秦观、晏殊、李煜太过偏爱了吧通篇为花间词正名写小情小爱的诗词未若不如大家大国啊任何时代都是这样子
已注销,5,2018-03-23 21:18:55,unknown,37,经典，不知如何评价，引用原话“大师可评，我不可妄评”。
Alain,3,2016-07-29 09:00:53,unknown,10,堪称中国古词赏析的典范了吧，编译者也做了许多补足，以免过于偏颇。以及，姜夔被黑得真惨。
光年‖影视歌三栖民工,5,2010-04-28 08:27:17,unknown,10,国学庞大、深奥、驳杂，等闲人哪能阅尽全部。还好可以追随大师脚步，走马观花一番。另：看这类书还是实体书好，好久不看文言文，都生疏了。
木偶,5,2019-11-04 14:22:23,unknown,11,算上此次已经三次拜读，初次是高一，简直醍醐灌顶，对诗词的狂热奠基，而那时作文流行美文，当时深得众多诗词的给养。静安先生融会贯通，笔意洒脱畅快，提出的境界说高屋建瓴。虽然对某些词人点评带私人色彩（狂爱冯延巳，狂贬姜白石）但仍是很好的诗词总结之作。傅雷曾说，如果胸中无百首诗，几十首词，是不敢读人间词话的，诗词之于凡人，可真是避雨的屋舍了。
