user_name,star,comment_time,geo_ip,vote,short
一口胡柴,5,2019-11-07 17:46:47,unknown,11669,看到急着吐槽译名的人，忍不住想替译者/编辑高亮这句话(〃'▽'〃)——你当像鸟飞往你的山（Fleeasabirdtoyourmountain）。出自《圣经·诗篇》，这句话本身有双重解释，一种是“逃离”，一种是“找到新的信仰”。另：作者亲定中译名。
Acelin理绪,5,2019-10-05 07:43:46,unknown,6883,读完就能理解为什么一本新人处女作能得到如此赞誉，这本书就是她的前半生、她的全世界，那是一个令人无法想象的扭曲的世界，所以从那个世界中站起来走出去的她，本身就值得五星。
新经典,5,2019-10-11 18:28:25,unknown,4027,以教育之名，完成人生救赎。
Luna3.0,4,2019-12-09 19:02:48,unknown,4406,成长在一个信仰极端的摩门教家庭，拥有偏执躁郁的父亲软弱愚昧的母亲残酷暴戾的兄长，17岁之前没接受过一天正经教育，作者摸爬滚打凭着惊人的自学能力取得了剑桥硕士哈佛博士，却还是反反复复花了将近400页才从心理上真正与糟烂的原生家庭彻底决裂。离奇的是，被信奉极端生存主义的父权支配的这个家庭不送孩子上学，结果家里7个子女出了3个博士，几乎打败了90%正常接受教育的家庭吧；他们有事也不上医院，死活听天由命，由于这一家子清奇的行为方式，成员屡次遭遇车祸、烧伤、爆炸，次次都是进ICU的级别，结果都凭着母亲的玄学疗法奇迹般转危为安，带来的广告效应还使他们靠贩卖自创酊剂成了当地富豪……从始至终，我都没有看到混账父亲的世界观被打脸，事实似乎还为他的信仰提供了见证…作为非虚构的自传，实在有点气人。2019169
Deborah,3,2019-12-08 12:15:34,unknown,2341,基本是耐着性子读完扭曲的家庭回忆部分，书名educated，但恰恰接受真正教育的着墨少之又少，那些真正的震撼、真正的自省、真正的成长，我不知道作者是认为乏善可陈还是有所隐瞒，我同样惊讶于在十年学业生活中遇到的人全部面目模糊，可能对于作者来说建立一种新的亲密关系颇为困难。中国语境下，这本书给我的触动远没有预想的大，因为中国有太多扭曲的原生家庭，给人带来终生的心理创伤，恐怕更甚。
茶包,3,2019-11-28 20:02:01,unknown,1478,气死我了，女主他爹就是一个大傻比
Calypso,2,2020-02-23 13:05:29,unknown,1358,我觉得，有点扯！咋滴她自学一段时间就能高考了？咋滴她在大学读一段时间就能去剑桥了？咋滴她突然觉得自己有学术天赋就成为博士了？归根结底是不是美国的数学太简单了？？？？
Filo,3,2020-02-09 21:48:03,unknown,1141,坦白说，我不是100%相信她说的故事。
轻余,1,2019-11-19 00:47:11,unknown,981,最后一章简直读不下去，并反转了我对整本书的看法。一个受虐狂一边描述其悲惨一边享受其中，整本书唯一的白莲花，矫情的像人展现她的圣母之路。读完感觉浪费了时间并被欺骗了感情😒。
次家神受,3,2019-11-12 23:40:18,unknown,761,好无聊的书....感觉又被书商的营销忽悠了，一部琐碎无味的叙事散文型成长故事
九丄,5,2019-10-28 16:28:45,unknown,724,从某方面来讲，我不喜欢这本书，因为它让我想起自己糟糕的童年，但从另一方面来说，看完这书我才知道原来我并不孤单，庆幸当初自己“离经叛道”的选择
HelloAmy艾米,5,2019-10-06 17:17:24,unknown,476,无法想象塔拉·韦斯特弗的童年竟是在如此扭曲、极端的家庭环境中度过。教育，改变了她的人生，为她打开了新世界的大门，但也使她失去了挚爱的家人。人与人之间观念的冲突和矛盾，即使掌握了再多的思想和理论，却也难以破除。主人公难以想象的传奇经历，两个自我的内心矛盾冲突，加上还不赖的文笔，值得一看。
狗子,1,2019-12-25 23:18:12,unknown,753,阅读体验很差，而我无法跳出阅读体验来冷静地评分。为了想知道塔拉什么时候彻底摆脱了家庭的困扰坚持着读到了最后，但抱着这样的期望每一页都是折磨。我不是很理解为什么不能一刀两断，到最后她还想从家人那里得到什么？我暂时无法平和地阅读这本书，不能。
如墨清晨,5,2019-11-22 12:43:09,unknown,607,那些我经历过的、有触动的、甚至是伤害过我的，都成为了自我教育的一部分。教育，也如同麦克利兰的冰山模型：那些在海平面之上的知识技能，是最容易获得也最显而易见的；海平面之下，是自我疗愈的能力、自知自明、以及自我价值观的形成，这些是成年累月才慢慢磨出来的。而后者，更决定了“我”，是一个什么样的“我”。
ItdoneYidan,5,2019-12-15 13:49:58,unknown,504,"书名翻译的可以说神来之笔，那些吐槽中译名翻的蠢的，要么没看过这本书，只盯着英文书名”Educated""瞎嚷嚷，要么不懂诗意为何缺乏想象力，要么是自身词汇贫乏。"
冬惊,5,2019-10-29 13:45:41,unknown,433,故事太令人震惊了。在这样家庭长大的孩子竟然有三个取得了博士学位，实属不易。
桃花石上书生,5,2020-01-10 00:02:49,unknown,476,好像回到读《我的天才女友》的时候。进入得慢，读起来兴奋甚至战栗，读完心情不能平静。
火心,2,2019-12-23 13:47:12,unknown,529,单纯从书的层面来讲，远远被高估了。
七月,5,2019-12-28 17:37:28,unknown,575,只有当你成为自己时，才会摆脱来自他人的地狱。
沈入忘🌟,5,2020-02-07 15:27:34,unknown,566,读之前很怕是鸡汤式的自传，毕竟作者有着太多公众号标题党最爱的标签。看完之后很庆幸在这几天，世事都无比荒诞的日子里选择了这本书。它不励志，不鸡血，充满压抑，困窘，自我怀疑。教育给予作者的不是哈佛的学位，光鲜的生活，而是与自我真实对话的能力。借由这本书，我第一次认识到——做自己，认清自己，这句话不是轻描淡写的口号。而是混合着眼泪和鲜血的挣扎，它需要我们为之付出代价。
猎奇者不苟同,5,2019-12-19 16:57:57,unknown,528,Tara妈妈的精油前半辈子无人问津，她爸爸重度烧伤用了些精油，大难不死，品牌就火起来了，论故事对于品牌价值的重要性。
Gol,5,2019-11-16 15:36:30,unknown,373,事情本身比故事更惊艳。当国内一轮心理学科普带来普遍性地对原生家庭的讨伐时，这个故事最能说明厉声讨伐父母之余你有的是机会翻盘改变自己的命运。其实觉得泰勒才是整个家庭里最有勇气和天赋的人，真真切切凭一己之力撬开了厚壁让光透进黑暗之地，才有了塔拉和理查德通过教育改变人生的故事。虽然最后没能看到塔拉和父母和解，但最大的感动来自于看到母亲的回复”你是我的孩子，我本该好好保护你“，格外能体会塔拉看到时”当母亲告诉我，说她没有像自己所希望的那样做一个好母亲时，她才第一次成了我的母亲。顺势而出的“我爱你”由此显得格外有分量。像在很多地方被强调过的#成功学必备品质，是对知识的好奇和无限渴望和面对陌生环境的强大韧性成就了塔拉的学术之路。BTW看了书名的由来很是感动，起码比台版走心很多了。
Dia,5,2019-10-30 01:31:34,unknown,259,不是哈佛女孩剑桥女孩的励志，更多是对于作者而言“受教育”背后的代价和反思。在纽约那个凄风冷雨的上午，去书店里七折入手英文原版，是个正确的决定。在京东100-50入手中文版也是正确的决定。一流的作者，一流的译者，阅读体验非常舒适呀[呲牙]
英恩,4,2019-12-24 09:07:59,unknown,328,看到一半几乎要放弃时，看到豆瓣出的榜单又重新读下去的。前半部分极端的童年几乎让人窒息，后半部分的求学经历，似乎一边在说我好难啊我就是个文盲，但又顺利被大学录取，全奖读剑桥。所以如果想从中寻找什么关于“努力”“奋斗”的鸡汤恐怕会失望了。从头到尾，这本书都是心灵的转变，如何“破”如何“立”，如何从一个世界撕裂出来，如何脱离自己的原生家庭。当然，你也无法从这本书中获得方法，因为这件事情太自我了，以致于除了不断学习，没人可以帮助你。//坦白讲，这本书让我感叹卖书果然还是得靠营销啊。
庄晓渊,3,2020-01-17 23:24:14,unknown,272,如果没有比尔盖茨的推荐会怎么样？
如是我闻,5,2019-11-04 21:44:57,unknown,151,吐槽书名的可以看看下面翻译者的书评，原作者选的书名，来源《圣经》。
#暗蓝#,3,2019-11-22 22:10:56,unknown,186,这本书的谜面是原生家庭——何种创伤，能否逃离；解答则是教育。但如果没有可以接收接受家庭教育孩子的杨百翰大学，没有接下来一个个好人一步步的理解和帮助，这个故事也绝无成立的可能。但作为一部畅销书，它也的确具有大部分畅销故事的特性——这个故事太特殊了，很容易被当做奇观，除了对陌生故事的惊叹和劫后余生的畅快，恐怕不会给普通读者带来更多东西。
冬妮娅,4,2019-11-03 22:56:09,unknown,191,英文版早有耳闻，没想到中文简体版名字如此文艺，查了一下原是圣经中的一句话，Fleeasabirdtoyourmountain。不过作者是逃离了那座山。我很喜欢这个故事，前面由于工作太忙断断续续读的，剩下大半部今天一口气读完了。这本书讲的实际上是寻找自我。读的过程中我想到契诃夫的《新娘》，“您去吧，去念书吧，然后就随命运把您带到任何地方去。您把您的生活翻个身，一切就都会改变。主要的是把生活翻个身，其他的一切都不重要。”女主角娜佳就真的逃离家庭和婚姻，去彼得堡读书了，我相信她会走得更远，就像这本书的塔拉一样。而塔拉由于怪异的原生家庭，她的逃离、寻找自我之路走的更为艰辛，还好她做到了。她说：“你可以用很多说法来称呼这个自我：转变，蜕变，虚伪，背叛。而我称之为：教育。”
糖醋少年,5,2019-12-12 17:52:29,unknown,306,想要知道脚下所站立的土地是否是真实，唯一的方法是走出去看更多的土地。
Louisiane,5,2019-10-24 21:56:08,unknown,162,令我们震撼、鼓舞我们的从来都不是那些荒诞和光环，正如塔拉的轻描淡写一样，而是别的，比如非凡的勇气、不妥协、不放弃爱，以及在探寻未知的艰难人生旅途中，你为自己争取来的开阔与无限的可能。
A34,3,2019-10-19 22:33:07,unknown,116,哭书名受教不好吗？你当像鸟儿飞往你的山是什么神翻译
阿宁,5,2019-11-28 18:44:29,unknown,204,太过震撼，读完一时有些失落，“这就结束了啊？”在塔拉的经历里，教育真正展示了它塑造人的力量。从未迈进中小学校园，在极端的摩门教家庭长大，童年生活堆满各色废弃金属和种种草药、精油，暴力血腥也没有缺席，自学考入杨百翰大学，最后剑桥博士毕业，打开了另一个世界。但最打动我的，是亲情之爱的复杂。我们可以选择同事、朋友、伴侣，但永远无法选择血缘。这一份无法选择，成就了最深的羁绊，因为无法选择，意味着无可，也无从替代。所以塔拉无法完全与巴克峰分离，虽然逐渐明白父母观念的不合理，甚至是扭曲，她也期待着他们的认同，渴望着归属感，哪怕清楚肖恩很可能会给自己造成严重伤害，圣诞节也仍旧回家，哪怕父母认为她信奉异教无药可救，她每次回到爱达荷还是给母亲发送短信。羁绊呀，或许从来都是有矛盾的丰富。
森森,5,2019-11-03 10:07:06,unknown,137,听到的各种传闻，像极打了血的鸡汤，看的时候才知道多么极致的人生书写，没有波澜滔天的叙事，没有豪言壮励，隐匿于原生家庭诉说下那份勇气与自我的倔强，轻拨点染却足以迷思震动
苏乏,3,2019-12-03 21:40:32,unknown,161,比预想中节奏要慢、要感性，不过一点也没写知识力量甚或性别觉醒，反而充满了如《北斗》版原生家庭的疯狂与病态，每个成员包括作者都是异常的，对不同信仰的偏见、对自持成见的偏执、对家庭成员的偏心，译名有些理想主义过火了，难以再现Educated中那种绝处逢生中回望不堪回首时受教的苦楚，无法涵盖“吃一堑长一智”的刻骨铭心，作者从大学到博士那十年家庭之外的生活只字未提，全都是仍与家庭有关的苦难，她必然隐瞒了自己最致命最不可理喻的那些人格缺陷
大大大神,5,2019-11-07 00:18:15,unknown,140,“当生活本身已经如此荒唐，谁知道什么才能算作疯狂？”
［未名］,3,2020-03-21 21:15:26,unknown,164,在我看来这个评分过誉了。
库索,5,2020-01-31 01:59:42,unknown,143,「我能在风中站稳，是因为我不是努力站在风中。」
兰泽,2,2020-03-23 16:53:50,unknown,131,那么好吗？看评论的标题强烈怀疑营销。实在像一本政治正确版鸡汤，或许经历令人敬佩，但是文字情节很差。不是说传记就是流水账。传记当然是真实描述，但把真实描述地浅白而索然无味，是文字能力情节叙述能力不够，不是所谓忠于真实。
你的诺言像雨水,1,2020-04-19 17:39:23,unknown,174,从文学角度上基本没有阅读价值，琐碎又无趣。我看过别的叙事散文类回忆录，日常点滴是可以写得有意思的。作者有一个非常糟糕又脱离很多人想象的原生家庭，迷信愚蠢的父亲，暴力狂神经质的哥哥，但是没有激发让我阅读下去的好奇心。从励志角度也就那样，虽然琐碎事情很多，但没有把一点点脱离束缚的转变给写出来。唯一值得夸的反倒是被很多人吐槽的译名，要不是这个译名我也不会看了。我是在wx读书软件上阅读此书的，所以能看到他人的标记。看到作者父母相识的过程时，有人在标记中写道：非常羡慕这样的爱情。不知道她看到后面作者父亲的行为会作何感想呢。这点倒是比这本被书商吹上天但很无聊的书本身要让我在意的多。
史太,5,2020-01-31 17:18:34,unknown,121,教育的力量，是构建自我理性情绪，反思思维的力量，作者开篇引用伍尔夫、杜威是很准确的，对教育的价值理解也准确。作者最后的结论或许不重要，真正的逃离未必是逃离原生家庭，而是逃离被错误影响的旧我。作者的反思常令人共鸣：小时候，我等待思想成熟，等待经验积累，等待抉择坚定，等待成为一个成年人的样子。那个人，或者那个化身，曾经有所归属。我属于那座山，是那座山塑造了我。只是随着年龄的增长，我开始思考，我的起点是否就是我的终点——一个人初具的雏形是否就是他唯一真实的样貌。
小尾巴mori,5,2020-03-06 15:33:52,unknown,133,如果我能试着挣脱，一定有这本书的功劳
小觞君,3,2020-02-07 03:40:37,unknown,138,不相信科学，不相信教育，精神分裂，暴力倾向，每次那么严重的事故最后都平安无事，女主还取得了哈佛博士学位，我宁愿相信是上帝在帮他们，呵呵
伊夏,4,2019-10-27 11:52:47,unknown,85,进入这本书的共情角度很多：原生家庭的创痛；从荒蛮山区到文明社会的体验；影音书如何开启一个少女的心智……难得的是，作者的回忆不是只有怨憎和对立，她经历并自我教育为了能够以更宽广维度理解自身历史的那种人，那种从山里走出，也可以重新飞向更多高山的人。
酱油与云,2,2020-03-28 18:55:33,unknown,99,为什么我觉得只是一本鸡汤书。。。零散地拼接，完全无法吸引我。。。
野兔子叔叔,2,2020-02-25 16:26:17,unknown,156,每当吃到差劲的饭的时候我就都要赶紧去吃一次火锅洗洗胃，看完这本书的感受也是这样的，迫不及待想要去多看一些真正的好书洗洗眼
祝羽捷,4,2020-01-29 19:59:26,unknown,90,把这本书约化成教育改变命运就管中窥豹了，主人公的命运非常奇迹，是对原生态家庭、父权、宗教桎梏、环境一种革命式的，反动式的成功。
普通肉饼,5,2019-11-07 14:23:43,unknown,71,阅读历程像森林探秘。误打误撞进入这片充满未知的森林，一开始对一切都还因为陌生显得令人迷茫而无所适从，到后来当荆棘丛生，险境迭起，心中挣扎的痛苦喷涌膨胀，直到行至阳光照射之处，清澈的湖泊把天空映得透亮，心也重新恢复了原来的样子。可这颗心已经不是原来的心了。
ruru,2,2020-01-12 17:42:29,unknown,59,逻辑惊人。原作钦定译名能说明什么？只能说明译者提供的其他备选更烂呗。
東里悠悠,2,2020-03-25 21:34:14,unknown,151,说是一本自传却更像漏洞百出的小说。极尽全力描写父亲的残暴与家庭的压抑黑暗，刻意模糊“家庭教育”与升学过程，将自己塑造成完美受害者。这个家庭如果只有作者一个孩子成为博士可能是偶然，事实却是有三个博士。父亲在文中被描写成被熊熊大火烧伤，导致肺部问题也非常严重。然而其父亲接受媒体的采访看不出丝毫痕迹，由于极其愤怒描写不实打算起诉作者。夸张的流水账记录，喝下这碗美国鸡汤，你能在祁连山放牧十几年，不知晓何为排列组合三角函数倒装句的情况下考上清北保送哈佛。自传在于诚恳与真实，一次被营销戏弄的阅读体验，谢了。
