user_name,star,comment_time,geo_ip,vote,short
Comel,4,2011-12-31 09:37:47,unknown,2462,影响当今的偶像剧、言情小说太多太多了，绝对是言情小说的源头啊……不过可惜现在的偶像剧、小说只学到奥斯汀的套路，却缺乏那一种敏锐感以及对社会的鞭挞，因此沦为娱乐的工具。以此看来，奥斯汀值得经典
ʚmomoɞ,4,2014-01-07 10:45:53,unknown,1857,女人和男人写出来的东西真是不一样。同样是爱情，女人事无巨细的小世界，充满细碎的心理和对话描写，而站在男人的世界，无非就是爱与不爱了
米兰,5,2012-01-21 20:52:46,unknown,1328,女孩儿爱这本书就像男孩爱基督山伯爵一样
魏小河,NaN,2013-11-20 10:44:11,unknown,880,开启kindle扫击名著模式。
雷霆老姐姐,4,2013-12-04 09:27:45,unknown,751,现实中也许会有伊丽莎白，却不太会有达西，所以伊丽莎白会变成剩女
Vamei,3,2012-08-27 19:24:17,unknown,506,误会是必然的，谅解是偶然的，相爱是偶然中的偶然。
方轮自行车,5,2011-04-15 17:04:53,unknown,351,那个用求婚来表示我爱你的年代让人颠倒沉沦
树。,4,2014-01-29 12:52:11,unknown,266,心心念念达西先生，却被一条点评泼得满脸冷水，她写到，JaneAusten说过世界上没有达西生生。
chasca,3,2011-05-15 14:24:01,unknown,183,受不了奥斯丁的所有小说，一堆女人男人磨磨蹭蹭叽叽歪歪，烦死了
杨小冬,2,2013-06-21 11:02:37,unknown,154,不！好！看！翻译腔重！全是无趣对话！剧情毫无亮点！弃！
半袖,4,2013-12-30 05:17:22,unknown,119,简是把所有实现不了的梦都寄托在这本书中了，快35岁的单身身份读着这个故事，也会为书中的大团圆结局高兴，但真的也只是看看而已了。最近看的童话故事太多，不利于身心健康。20131229
千山月,NaN,2013-07-11 12:47:01,unknown,117,类似唐顿庄园。。书一般吧，没感觉多经典。两对爱情，从认识写到结婚，一年时间。一对从开始就有好感，一对从开始没好感，不过最后都幸福在一起了。有钱，有美貌。。感觉那些女人的生活真是枯燥啊，如果没有舞会，也就太死气沉沉了。。。
邓安庆,4,2014-10-23 10:30:46,unknown,87,一出场人物的各自性格都设定好了，矛盾冲突也做好了铺垫，作者就放心地设计一场又一场好戏，果然是适合改编成影视剧。印象特别深刻的是女主人公伊丽莎白特别喜欢“大叫”，见到亲人激动地大叫，看到来信“不禁大叫起来”……
石英,4,2016-01-19 15:16:34,unknown,69,莉兹的独立和聪明，简的善良和宽容，搭配上她们漂亮的脸蛋儿，都是很迷人的。然而简奥斯丁太刻薄了，而这刻薄所针对的，除了那位贵族老寡妇，全是自己最亲近的人，愚蠢的妈妈，没有同情心的父亲，势利眼的表亲，放荡的姊妹…未免太无情了一点。从女人那里，你更明白爱情的发生，是建立在很多现实的条件基础之上的
ℓ,NaN,2008-08-15 01:59:34,unknown,82,不过又是一个王子跟灰姑娘的故事罢了
Neski.,3,2015-04-02 10:05:58,unknown,65,我不清楚是不是我读的翻译问题，但是！！这本书也是名著我也是醉了。难道19世纪的言情小说两百年以后就变成了名著了？当今言情小说鼻祖简奥斯丁，但是现在的人就和对玛丽苏文鼻祖杜拉斯一样，就学了个皮毛
seventime·小7,4,2014-08-27 12:45:09,unknown,53,英国琼瑶！
风夜|日壳子,3,2011-12-01 23:32:57,unknown,48,亮点在何处..
海上蘭舟,1,2008-04-03 09:17:09,unknown,45,无语
我叫卢大胆,5,2019-04-22 09:53:33,unknown,80,你如果当爱情故事来看，这就是“斯人若彩虹，遇上方知有”。你如果当世间法则来看，其实人与人之间的接触，逃不过这本书的名字，无非傲慢与偏见
子东文,2,2007-02-12 16:32:42,unknown,45,完全理解不了为什么有那么多人狂热的喜欢。奥斯丁也太八卦了。
三七莲华,5,2012-03-14 22:58:52,unknown,51,达西先生是我童年偶像心中白马王子
时间的玫瑰,5,2007-12-22 20:14:25,unknown,38,现在都确定简爱是自恋的了，但＜傲慢与偏见＞里伊丽莎白的自恋有着明目张胆的侵略性。她谁也看不起，除了她姐，其实她也不大看得起她姐，只不过因为是她姐，对她也不错，她总得有个看得起的人吧，也只有她姐了。她对小姑子貌似客气，骨子里还是看不起的，因为她看不起私奔的她妹，可推而想之。闫红
小意达,3,2008-11-18 14:38:56,unknown,37,年轻的语文老师说，这二流小说！
retriever,NaN,2012-03-30 21:31:23,unknown,28,我讨厌这本书。
小轩Eileen,5,2014-07-15 12:53:02,unknown,33,“那种依靠情欲远多于依靠品德才结合在一起的夫妇，不会得到什么长久的幸福。”
🌷,5,2021-04-28 23:35:31,unknown,55,傲慢让别人无法来爱我，偏见让我无法去爱别人。
