user_name,star,comment_time,geo_ip,vote,short
Ruth-C,5,2019-12-11 18:27:29,unknown,1346,吹爆！妈妈问我为何跪着看书！难以置信这是1989年的作品太太太超前了吧放到现在也很超前2019年度最佳了！[爱心][爱心]2022.5.6二刷
路过小卢,5,2019-06-04 23:03:46,unknown,631,不朽的传奇之作，最顶级的娱乐作品，将“娱乐”的解释发挥到极致，定义“超越时代”的标准。无人能拒绝它的流畅度吸引力，可谓畅游于梦幻边境的阅读体验。1989年的VR题材科幻推理，完全可用“不可一世”来形容它的前瞻性。极多人知道《盗梦空间》，很多人知道《红辣椒》（《梦侦探》），而《克莱因壶》的诞生比他们更早，同时具备后来者只能仰望致敬的设定。崩坏到令人窒息纠结议论未果的结局是整个主题升华，彻底将世界观玩得团团转，犹如盘古开天地又绞为一团，握紧，然后使劲撒落绽放烟火，留给读者在合上书本之后冒险于脑海中自行浮游探秘，在绝望拷问的边缘华丽邂逅。故事是真实的吗？创作于80年代是真实的吗！30年后才读，绝不因为“倚老卖老”才给五星。比台版多了猪神总导读+上杉彰彦解说。它，能引进大陆，不能更好了……
\\hang//,4,2019-07-20 23:09:16,unknown,673,八九年的书？日本小说家脑洞都这么先进吗，环界于黑客帝国，克莱因壶于盗梦空间。结尾好绝望。
waspjia220,5,2019-12-20 22:46:53,unknown,586,阅读体验太好了，一口气读完20多万字只用了一个多小时。再一看是三十年前的作品，我情不自禁地双腿一软跪下了……
毛秃秃和胖咕咕,5,2019-06-05 06:13:35,unknown,237,无脑五星不解释
杰克乌鸦嘴,4,2019-12-21 00:32:22,unknown,219,最让我惊讶的是这本三十年前的书竟然还能如此易读，阅读体验简直纵享丝滑。
KellyWu凯利吴,4,2019-09-03 16:57:53,unknown,138,（84/100)期望过高，未免有所失望，克莱因壶根本配不上超越时代之作的称号，至少在我看来并不是。虚拟现实题材，其实就是赛博朋克题材的一个子类题材，早在电影《电子世界争霸战》里已经呈现过，如果追溯到小说的赛博朋克题材可能更早，反正印象中最早类似的设定出现在PKD的《全面回忆》《仿生人会梦见电子羊吗》（也就是小说版的银翼杀手），还有故事内核不就是庄周梦蝶所表达的观点。所以克莱因壶压根配不上超越时代之作的名号，设定题材别人早就写过，内核世界观更是我们中华祖先早就领悟提炼出来的。当然克莱因壶还是有可取之处，无论作中作，还是叙事的流畅性和娱乐感，可谓同类题材的佼佼者，不得不承认作者讲了很棒的故事，但是在理性认知方面，个人认为还是不要过度吹捧比较好，不然造成“内行看门道外行看热闹”的结果就不太好。
夏日漱口,5,2020-12-25 18:02:03,unknown,231,这种书读起来会让人有一丝痛苦，因为它让我明白世界上最好的那批作家到底有多厉害。
落日,5,2019-06-19 17:58:33,unknown,94,吹爆的神作，超时代的科幻推理梦幻之作，在80年代就能写出如此精彩的VR虚幻背景的悬疑作品，开放性的结尾，让人读完细思恐极。
一颗花生,4,2021-01-02 18:25:12,unknown,223,如果只停留到正文结束，没有后面的解说，我可能会给五星。
龟城摧塔客,3,2019-10-01 01:38:42,unknown,100,先不提《西部世界》早有这种沙盒意识，《神经流浪者》的赛博空间和pkd一大堆自我怀疑也放一边，作者这种事无巨细虚拟现实多神奇真实我还以为vr概念是作者原创的呢，无非就是一个基于缸中之脑的故事，短评都吹得让我以为是1889年写的了，不过日推也确实缺一本高逼格的小说撑撑台面，病急乱投医也正常。
迟与缓,5,2019-10-03 15:48:24,unknown,101,壶内一梦，壶外一生，虚实交错，犹在镜中。流畅到让人忍不住想一口气读完，迷离又恰似《脑部症候群》接轨《九重凶间》生成的致命游戏。解说之前，真相似游走在AB两面，是非黑白却交由读者任选。比起谜底为何，在虚拟与现实间反复横跳的临场感和恐惧“身在何处”的迷茫才是这本书最抓人的地方。有些作品的开放式结局是迫不得已，写或不写都难脱窠臼，放之本书却浑然天成，更难得的是加入台版所没有的上杉彰彦解说在我看来并未破坏这份韵味，它像作者心血来潮杀出的回马枪，在AB之间以独特的切入点撕开C的真相，既使得本书更具推理味，又让我醒觉：正如克莱因壶没有内外之分，每个地方都是开始，每个地方都是结束，在结束的地方开始，在开始的地方结束，无始无终，正应了这无限循环的噩梦，无数可能构成瓶身，ABC不过是其中三种。
Worshipbai,NaN,2019-12-14 17:46:48,unknown,149,谁也无法直接看见自己的眼睛，或许双瞳只存在于镜中？
我書不齊,5,2019-09-03 14:09:54,unknown,53,這本書當年繁體世界曾絕版一年多，後來又開始流通，什麼？你問我憑什麼這麼篤定？1.我喜愛這對曾經的搭檔2.這本領先盜夢空間不知道多少年。3.我有20本這本書，但手頭剩下2本，18本分送好友了。
道妹,4,2019-10-26 11:20:16,unknown,84,强烈安利给游戏、科幻、悬疑三类爱好者，三类中任何一类读者都可以获得阅读的乐趣
胡浩®,5,2019-09-05 18:14:42,unknown,76,能让我一口气读完的长篇并不多，这是一本。
tiiiiin,3,2019-10-02 13:56:07,unknown,71,纵使加了一个外壳，也仅仅是从平庸上升到了平常。正本的探险实在是太乏味了，这个才是硬伤。最后的一点，有点“元小说”的意思，但是又不够浓。
dboy,4,2019-12-23 20:57:16,unknown,38,在89年能提出虚拟现实这个概念的确超越时代，因为90年代后期随《楚门的世界》开始，加上《13楼》、《黑客帝国》、《感观游戏》这些同类型影片传播，VR题材才为大众接受。但是书本身是典型的日式本格推理小说，人物为推动情节的工具，如果放在十年前我不在意，如今的我看书更关注人物的温度，所以降一星。最后的解答很有意思，行文模仿原作者，但字里行间所援引的材料远超原文成书时间，看的出是为中文版单独所写。
顾冰彻,4,2019-10-26 10:13:24,unknown,58,“从开始的地方开始，在结束的地方结束。”考虑到年代的确是非常厉害的作品，就很庄周梦蝶。（？）
ETBRO,4,2019-12-21 16:16:36,unknown,44,文字很浅显易读，一目十行就给看完了。三十年前能写出这样的作品非常不错了，最近很多游戏我都超想用vr玩的...
大缸蛇,4,2021-04-18 21:50:15,unknown,65,解说不加更好
暗夜大佬,4,2019-10-02 18:12:42,unknown,31,这种虚实交错，读到最后连读者都分不清楚现实还是幻境的写法很赞，故事也精彩。当时能写出这样的科幻题材推理杰作，相当难得。书前增加了天蝎小猪对于作者的全方位介绍，书后也增加了以主人公身份对小说的解读，值得一读。
原神初学者,5,2019-10-02 18:06:12,unknown,34,无脑五星这部小说太工整了，他包含了一个完美小说/剧集的所有必备元素。最后结局又一下拔高，当虚拟的东西逼真到分辨不出真假，那么是虚拟或真实已经不重要了！
弱智青年翟二狗,5,2019-11-18 13:56:37,unknown,34,作为三十年前的作品来说确实具有非常震撼的一面，比起推理更像是一部出彩的科幻小说，全程通读下来非常激动，就是被那个《解说》整懵了。感觉我好像看懂了又好像没看懂…确实全文还存在着很多没有解释清楚的地方，作为一个开放式结局它确实太开放了…
发条凤梨,5,2021-07-12 08:03:04,unknown,51,需要一口气读完，才有最好的阅读体验。后面的揭秘狗尾续貂多此一举。
琴酒,4,2020-01-13 11:44:26,unknown,23,蛮好的。对最后以死亡破局感到一丝震撼，用杀死主体的方式去回应真与幻界限不清的混乱，但这种真与幻尚且停留在虚构和非虚构的叙事框架内。不由得在脑子里想象了下莱姆会怎么在基底上重写这个故事。
Chandler,5,2019-11-15 20:57:03,unknown,36,看完后，在高铁上的我恍惚感觉自己置身于克莱因壶里。有点意思
判官,5,2019-11-04 14:42:26,unknown,16,《玩家1号》看完羞愧地低下了头....
媌,5,2019-12-07 14:34:03,unknown,20,居然现在才翻译过来，一点也不过时，令人毛骨悚然
非非,5,2019-09-29 17:14:59,unknown,14,非常超前的天才之作
水渊,5,2019-12-13 19:58:58,unknown,14,+🌟因为它写在89年，日本创造者的脑洞真的永远向着未来，而且大部分都成真了……太让人震惊了
蜃气楼,5,2019-10-27 13:41:24,unknown,16,前卫、娱乐性极强的SF小说，读着很爽快，结尾让读者陷入无法分清虚实的境地很巧妙地符合了VR的主题。所以说没有过时的题材，真正的SF经典不会因为时间而褪色。唯一疑惑的是结尾那边解读到底是谁写的？
misaki636,3,2020-05-12 23:38:35,unknown,27,20年前确实可以封神，现在不行
笨小孩备战中,5,2019-09-04 08:51:30,unknown,8,9分:科幻悬疑。虚拟现实题材的作品现如今已非常普遍，然而本作面世于1989年，可以说是比较超前的了。我严重怀疑某部著名科幻片dmkj（打码）是不是借鉴了本作，相似之处甚多。由于先看了很多类似的科幻片，所以不难猜到故事的走向和诡计，但并不影响故事情节扣人心弦和强烈的代入感。简体比台版新增了解读篇（非作者本人所著），以小说形式对正文进行分析解答。虽然打破了原本结尾的开放性，但是补充的推理内容使之更靠拢推理小说，而且还打破了次元壁，就本书作者的状况开了个玩笑。原著已经是完整的了，解读篇即使不读也并无影响。不知道是谁所写的呢？
清雅戒奢,5,2019-10-02 15:07:14,unknown,11,“神作”之二字，予冈岛二人之《克莱因壶》，可谓恰如其分。私以为解说中所提到的庄子的《齐物论》中的：“方其梦也，不知其梦也。梦之中又占其梦焉，觉而后知其梦也。”来概括《克莱因壶》中所想表达的东西了可谓相当合适。然“不知周之梦与胡蝶（原文如此）为？胡蝶之梦与周为？”究竟是我，在理解这本书？还是这本书，在让我看懂呢？梦与现实，幻像与真相之间，可能仿佛莫比乌斯环般，无尽往复。说是VR题材开山之作，确也实至名归，虽为开山之作，却亳不逊于之后任何一作，后来的《盗梦侦探》等，甚至是本土的《玛雅计划》、《H.A》等，亦没能跳脱该作所创造的构思范围，由此不难看出，该作“神作”之名，实不虚也。大陆版该作的多了导读与解说，确实更具收藏意义，推荐所有推理爱好者入手一本。
龙骑士兰斯洛特,5,2019-09-20 01:07:09,unknown,7,这是一部带有悬疑，推理，科幻等等各种元素的小说，殉身式的开放性结局和《蝴蝶效应》某结局有异曲同工之妙。故事本身放在成书年代当是新奇有趣之极，它会让你联想引申出现代的许多饱受争议并且与众不同的优秀作品:《红辣椒》(小说原作《盗梦侦探》)，《盗梦空间》，《骇客帝国》……不胜枚举。甚至让人联想到了庄周梦蝶，探讨了一种内部宇宙与外部实存的关系一一一真真假假，假假真真，到底是在梦里，还是这就是现实呢？
