user_name,star,comment_time,geo_ip,vote,short
黄不胖,5,2012-10-19 18:05:16,unknown,456,读过这本书以后，感觉自己腕力增强了不少！
我的剑会笑,5,2010-05-27 02:24:39,unknown,300,我认为，每一个有高中以上文化的人都应该读一下这本书。就算你并不爱好历史，也可以从中获得许多，对你理解其他事物和心智成熟会有极大的帮助。
龍在田,5,2011-12-23 22:17:56,unknown,166,我其实一直没搞清楚文艺复兴以前的欧洲是个什么状况。。。
白鹇,5,2012-07-25 19:45:27,unknown,162,深入浅出，很好的入门书，有情怀的世界史，所以很生动，因为有作者的思考和关怀在其中。每章最后的“推荐读物”对进一步了解很管用。只是译者不太认真，邵雍和孔子的话费点心找出原文不行么，愣是从英文转移回来，成了不伦不类的白话古文。
阖昔,5,2015-06-17 09:54:20,unknown,114,一本书真的可以改变人对世界的认知！这本书告诉我，历史不是什么大事年表，而是各个文明的起源、交流与发展，以及人类所有的困境都是因为人文革新跟不上科技进步造成的。Can'tagreemore~
半岛peninsula,5,2011-04-12 12:49:47,unknown,17,对于非历史专业的读者来说，零星的史实并非阅读的目的，即使是历史专业，也绝不能够停留在维基百科那样的水平，而需要用大历史的眼光看出历史与当下的关系。理清这一点，才能看出《全球通史》的意义，也能够发现当下我们历史教育的最大软肋。
太空发呆,5,2011-09-17 21:05:31,unknown,8,通读两遍，这本书着实是多一字嫌啰嗦，少一字觉得意犹未尽的感觉…自己还是理解不能到位，当初说一个月看完这本书，现在真是觉得少不经事啊~~~~~~~~~·
Kratzbürste,5,2014-08-02 22:49:40,unknown,14,高中买的到大一才看理科生有一颗历史心
边城不浪,4,2013-03-01 19:32:10,unknown,6,印象最深的竟然是古希腊阿里斯托芬对官员的吐槽，那么早就有了无厘头的讽刺艺术
伊卡洛斯,5,2013-04-07 18:05:45,unknown,8,了解历史，是为了改善生活。
左胸上的吸盘,4,2011-07-16 14:19:43,unknown,5,好书
🍤,5,2013-10-23 22:58:35,unknown,7,哈哈哈哈哈，在办公室捡了一套全新的，拿回家，最近几天不要来办公室，哼
打马过长安,2,2012-10-01 18:41:03,unknown,5,讲中国的是调剂。。。调剂。。
山鬼2046,5,2015-08-22 09:21:54,unknown,8,我想通过这本书建立起历史知识的大致框架，然后再一个阶段一个阶段的细读。
Wednesday3,5,2016-03-24 19:20:30,unknown,5,没有观过世界只好先借他人的眼培养一下正确的世界观（买书的时候记得要配一张世界地图哦）
Agnes G,3,2014-02-08 23:18:35,unknown,5,忒粗略了，好多没看明白更迭变化。求更细的世界史读物
El Reverso,5,2010-12-09 00:53:38,unknown,4,总体是复述，局部有颠覆。一家之言可以做参考，权威谈不上。如果说我拿它当厕所读物会不会有人想抽我。
新西兰孙小社,4,2012-07-07 19:40:22,unknown,3,斯塔夫里阿诺斯告诉我们，文学青年也可以写通史，当年明月那套明朝那些事儿不能算历史啊
风撼斜阳,5,2016-01-19 22:50:18,unknown,6,伊斯兰文明和中国在中世纪都颇为辉煌，但强势的文化和大一统的帝国同时又是束缚；而在古典文明完全被摧毁的分裂的欧洲，反倒孕育出了以商人和市民为重要力量的新型文明。多元化和开放的心态真是相当重要。
麦克默多的浮冰,4,2020-02-05 12:46:48,unknown,5,14年读过一遍，书上做着密密麻麻的笔记。顺手翻出来了，就重读吧。此书价值在于用全球史观讲述人类文明史，在启蒙主义指导下高屋建瓴地丈量人类社会发展的脚步。上册体例编排争议较少，毕竟旧版副标题就是“1500年以前诸独立地区的世界”。各地区独立发展时期，文明的进程简洁、相似或富有独特性而并行不悖。面面俱到的宏大叙事难免顾此失彼，作者很难对所有文明做到同等熟悉，史实细节的错漏与想当然是此书最突出的弊病。不如砍掉细枝末节，干脆写一本人类简史？这么一说，对《人类简史》起了兴趣。其实作为入门级通史读物，能如此提纲挈领，对非专业读者已经很受用。（关于人类起源的叙述，普通读者其实难辨真伪，只要作者能自圆其说，帮助读者建构起对人类文明空间和时间的宏观认识便是成功。）交给中国学者，又能写出什么样的“全球通史”呢？
海扬尘,5,2013-03-08 09:25:09,unknown,3,终于第一次完整读完本书了。上册使我了解了更多的历史知识，并且对不同地区人类空间和时间上的联系有了清晰的认识。
Samuel,5,2012-05-15 17:42:11,unknown,1,全球史
少年A,4,2012-05-23 14:52:50,unknown,2,话说我初中看这本书时觉得十分之清爽，非常好，但是大学了再看……腹诽之处甚多。不过总体来说想从文明起源开始梳理历史脉络的话还是不错的参考。
猫河蓝懒,NaN,2013-04-21 09:41:51,unknown,2,简明易懂，脉络清晰，内容有趣，不错的通史教材。历史观有浓厚的“西方中心论”色彩，作者至少对中国古代文明不算太了解，比如混淆了“道家”和“道教”。(公元1500年以前的世界史。）
coldcloud,5,2012-07-24 01:08:11,unknown,5,2本一共花了10小时读完。。。果然是课本级别的简史。。。
[real]袋鼠,3,2011-11-18 21:58:39,unknown,1,靠，看的书都忘记内容了
周雷雷,5,2012-09-11 02:17:29,unknown,1,争取三天看完
神马蚁,5,2014-04-15 12:59:40,unknown,2,历史是连续的，历史也从来不是独立的。曾经只专注于国史，尽管这部分也学得很晦涩，终于通过这本书开始看全球史。上册比下册内容少，但时间跨度非常大。地理知识的匮乏让这全球史看起来更难一点，但好在有了个整体的印象。
劈头士》睁木,4,2016-03-29 08:46:23,unknown,3,已购。越读越觉得作者勇气可嘉，写全球史真的挺难，既要有广度，又不能浮光掠影。从1500年前的记述来看，这本写得还是有缺点，但瑕不掩瑜，依然是一本了不起的书，尤其是作者在其中穿插的历史对今天的影响等文字。
羊肉烤黄皮子,5,2011-08-07 23:29:28,unknown,1,第一本初中看得真正的历史书
athanos,3,2013-04-25 17:49:18,unknown,1,一本史观战胜了史料的历史书。
卡卡,NaN,2012-08-06 10:15:23,unknown,1,终于看见一本读过的历史书我真没文化，
[已注销],4,2015-01-01 04:15:59,unknown,1,重标。对于东方读者不太友好，因为西方历史大都被寥寥数笔带过了。西罗马帝国衰亡后西欧的封建局面是怎么形成的，如何导致了商人阶级的强大；伊斯兰世界如何一度走在文明前列，各时期的样貌，有过什么样的全球影响，等等
Demeter,5,2012-04-04 16:50:38,unknown,1,第一次见同学拿着这么大一本顿时觉得好牛逼-0-
Hao,5,2011-11-09 13:31:58,unknown,1,在iPhone上读的第一本书。每天在上下班公交车上看。
杨山魈,4,2016-02-15 17:11:26,unknown,2,这几年看的东西多了以后就感觉古代史对非专业人士来说是毫无鉴别能力的，只要作者能把故事说圆，逻辑没有问题，涉及证据中有我所知道的考古证明我就会接受。在解释为何欧洲人扩张的问题上这本书做的其实并不好，有大量地理决定论的东西未经详述就用于论证了。
Meursault,5,2019-10-27 12:33:31,unknown,2,观点有很大的漏洞，特别是针对中国的，仿佛不是在讲述历史而是讲述印象
Carole每天崭新,5,2020-09-27 22:09:25,unknown,1,可以说是让我的人生观震颤了几下的一本书，本历史文盲读完头一次对整个世界的发展有了个朦朦胧胧的谱，同时意识到自己对历史很多荒诞的刻板印象非常可笑。
涵湘宁,5,2018-12-14 16:55:00,unknown,1,颜书记推荐，对一个历史小白来说很难读，可是能读懂的部分都很震撼。
Rope,5,2021-01-17 15:12:27,unknown,1,好书好书好书重要的话说三遍
蝉,NaN,2013-11-25 14:09:07,unknown,1,:	K10/4845-7#1
ॐ,NaN,2013-01-25 16:26:26,unknown,0,没有通读，跳着看的
放养的行李,3,2018-07-31 17:09:52,unknown,0,有些翻译感觉不太靠谱，比如真主和上帝的混用。以及书后的地图看着实在是别扭，大陆海洋的着色怪怪的——就不能单出一本地图集么？
[已注销],4,2012-03-02 21:33:30,unknown,0,不愧是“鲜有的被盗版的历史书”…不过不太喜欢他讲的野蛮人，似乎还是太美化了……
HY,5,2013-12-05 21:11:41,unknown,2,正确的世界观。
郭Rachel,5,2016-04-25 08:35:21,unknown,0,噢噢，之前版本标错了
int cmp,5,2009-01-08 17:14:54,unknown,1,历史系列第一本
未央,5,2014-09-01 22:08:18,unknown,2,想了半天也不知道该怎么用简短的几句话描述这本书带给我的东西
郑宁素,5,2014-03-21 22:35:07,unknown,1,这本书值得一买一读
叫我妖而不孽,5,2013-12-04 14:17:42,unknown,1,确实好！第二遍读了！
洋先森丶,5,2020-04-27 14:21:22,unknown,2,新的时代需要新史学。无论是古代文明还是古典文明，都会与现代的文明有着诸多千丝万缕的联系。用全球史观的视角来看，其总体上呈一脉相承的趋势。回顾过去，是为了更好的审视未来，无论哪门学科，都是如此。
山楂卷,5,2012-03-18 20:18:10,unknown,0,我一看到这个就想起丁叔那张冷峻的脸。
綠的里,5,2012-07-06 14:51:13,unknown,0,看了两年的床头书终于看完了
solrex,5,2010-04-03 18:12:46,unknown,1,第一次读到不是以国家和地区，而是以全球的文明为视角讲述的历史。
钱之江,3,2011-09-21 21:33:24,unknown,0,演化历史，从文明的进程思考文明的形态和在世界的分布以及可能。人类是这部通史唯一研究的过程，而技术革命对演进的影响作者非常突出，从大历史的角度到还不错或者说是科学的历史，但我喜欢的历史更希望有故事的味道，不然《历史的观念》以及《历史研究》更对味。
HestiaGnade,5,2010-04-09 13:37:28,unknown,0,看完全球通史上，感觉蛮受用的，世界上没有什么无源之水，历史也不是会在准点的迈入一些时期，与其切断的纵观历史，倒不如联系起来或许会更加透彻，至于受阻的前进，我很相信
feelflame,NaN,2008-07-19 21:38:22,unknown,0,斯塔夫里阿诺斯这个历史学家的写作风格我很喜欢。
Zuriko,5,2010-10-09 20:57:29,unknown,0,总读总新，时读时新。更新思考，从时代与社会，也可以细究到个人。回味。
IRUKA,5,2011-07-12 16:51:55,unknown,0,牛书一本，不管喜不喜欢历史都应该看一看
