user_name,star,comment_time,geo_ip,vote,short
hunter,5,2010-10-26 14:11:08,unknown,3573,生命有许多种形式，有些人追求物质上的富足和崇高的社会地位，他们需要最好的派头，房屋需要最时尚的装修，需要最入时的画和最流行的家具做装饰，外表的浮华和笃定，他们认为人活着就必须工作，而且还要有能够赚钱和体面工作。而拉里，正如作者所说，他是脱俗的麟凤的光辉形象，他以追求精神富足和自我完善为人生的目的，而工作只是一种使自己得以生存的微不足道的辅助工具。伊莎贝尔和拉里是这两种生活的极端形式，而有些人则夹杂在这两种形式之间。我们无法断言什么样的人生才是应该有的人生，就像没有人能够认清真正的上帝，但是也许前者只是在别人走过的路上一直不断重负着乏味无聊而嘈杂的历史，而后者，则拥有真正属于自己的美丽人生。
大萌,5,2012-12-05 12:36:55,unknown,3121,我的确爱你，不幸的是，一个人想要做自己认为对的事情，却免不了让别人不快乐。
巨米雨,5,2011-12-23 18:58:29,unknown,2135,总有一些你渴望成为却不敢爱上的人。
信心不逆熊先生,4,2012-12-07 09:03:58,unknown,1435,“自我牺牲是压倒一切的情感，连淫欲和饥饿跟它比较起来都微不足道了。它使人对自己人格作出最高评价，驱使人走向毁灭。对象是什么人，毫无关系；值得也可以，不值得也可以。没有一种酒这样令人陶醉，没有一种爱这样摧毁人，没有一种恶使人这样抵御不了。当他牺牲自己时，人一瞬间变得比上帝更伟大了”
Black Tulip,4,2013-04-26 18:19:05,unknown,995,假如拉里有父有母，或是结了婚有小孩了，或是没有每年一笔保障的收入，他还能这样去追寻所谓的真理么？红尘俗世，大多数的人都是身不由己。
砍脖厮,4,2012-01-08 18:17:44,unknown,583,拉里是主角配角们是各式各样的我们
guest,5,2014-09-12 23:40:48,unknown,508,明天有场考试，但怎么能放下这本书？
无影,5,2015-12-04 14:39:07,unknown,513,太对口味了。。。毛姆看多了就想辞职避世然后一个人孤独终老啊。。。
望仔放弃减肥了,5,2014-04-13 09:53:24,unknown,515,虽然很多朋友对《刀锋》的评价高于《月亮和六便士》，但其实我并不怎么喜欢它，也许是因为书里很多事情被说的太直白，戳到了不想要戳穿的地方。毛姆最让我喜欢的地方是他非常会讲故事，尖酸刻薄洋溢着满满的嘲讽，偏偏又看起来无比真诚。全书相对喜欢的角色是伊莎贝尔，这是个清醒且现实的姑娘，的确如毛姆所说不够温柔，但她非常明白自己想要过什么样的生活，以及更重要的，怎样才能过得上。她离开拉里绝非是为了珠宝和貂皮大衣，而是她已经看到了自己和拉里根本无法同存在一个世界，她爱他，但是他并不爱她。若说伊莎贝尔的可悲之处，不过就是在少女时期爱上了一个太遥远的人。类似的角色还有苏珊，这个女人简直是人生赢家……至于拉里和索菲，滚他们的蛋去吧。
艾小柯,5,2011-06-26 14:39:29,unknown,370,文字如犀利的刀锋，闪电般划过混沌的暗夜，将物质与思想世界的边界照得雪亮，剥离出人生千疮百孔的本质——既欣喜又悲伤，既崇高又堕落。而毛姆最了不起的一点，便是在一切的挖苦嘲弄之后，依然保有对人性最大的慈悲。这是部了不起的作品！
李桃杏子,4,2010-08-05 14:22:47,unknown,395,东方情结是大祸害。到最后拉里去了印度，再后来《奥义书》也出来，就知道毛姆把这书写砸了。如果很多人真心喜欢毛姆，也只是因为他跟我们一样是一个俗人，不识真理，没有参透救赎，真心膜拜天才，一句话总结：见解有限。那个时候，西方社会遭遇信仰危机，还有东方可以神秘化来聊以自慰；结果现在东方也现代化了，他们再去哪里找对象呢？书中其他人显然更可爱也丰富，被最推崇的主角拉里是最大的败笔，因为毛姆也没搞明白所谓人生的真谛是怎么回事，但他仿佛以为自己搞明白了，要写一个“拉里”出来，但拉里写的非常不合理。毛姆心里没有一个自己已经有把握的、成型的主角，一个真正的圣徒，之前的月亮与六便士是写高更，如果叫作者从自己的角度出发来塑造一个非真人形象的角色出来，他就挂了，因为他搞不定啊，他实在跟我们一样见解有限。
辰暖,5,2015-04-02 10:46:25,unknown,338,你要尝尝糖的滋味，但不要变做糖
方枪枪,5,2014-08-03 00:05:24,unknown,307,《月亮和六便士》里的查尔斯，本书里的拉里，毛姆从不会去为一个人生赢家去写一本书，相反，他笔下的人物大多在常人看起来都成功，甚至在一定程度上而言会被读者当作卢瑟的反面典型去看待，但正如毛姆说的那样，查尔斯和拉里都是这世界上凤毛麟角的人物，他们没有所谓的远大前程和抱负，有的只是追随自己内心的想法和旅程，然后各自毫不后悔地过完自己这一辈子，他们不需要活在别人认为和默守观念建立的世界里，他们活在自己的生活中，自由自在。这样并不成功但心性自由的生活让很多人向往但却做不到。
慕容素衣,4,2013-11-08 19:43:19,unknown,271,其实和月亮六便士那本异曲同工，都是在探讨人如何成为自我
第六天大萌王,4,2011-07-28 20:55:39,unknown,305,刀锋，月亮与六便士，盖茨比，三本书用一句话总结：人就是贱。
[已注销],4,2013-07-27 20:34:42,unknown,228,说实话看毛姆有种很奇怪的感觉。一方面知道他的确写得好，又mean又生动故事情节也有趣，人物是我想认识的人而他们的生活也是我想过的生活。但是总是有一层戳不破的隔膜，感觉那些文字浮在面上，进不了心。
小.莹.子,4,2012-08-03 09:56:24,unknown,131,在我高中的时候，我喜欢一个这样的男孩子，后来他可能做不了这样的人，而我也可能跟随不了这样的人。但我们始终都在心里追求着点什么。
琴酒,4,2010-02-05 01:28:44,unknown,137,比起整本书，我更喜欢扉页上那句“剔刀锋利，越之不易。智者有云，得渡者稀。”毛姆惯用的观望者的角色，他淡淡叙述，讽刺着伊莎贝尔和艾洛特，却又让他们真实的可爱，和拉里相比，这个无力的第一人称让我更难过，非常难过。我们如此自信的洞察力，如此无法理解的信仰。阿辽沙俯身亲吻大地的瞬间，拉里整个生命变得单纯的瞬间，越是渴求越是远离。无论是刀锋还是月亮与六便士里，都是那么不可企及的理想，激情和信仰让人无惧于死亡。我是多么喜欢毛姆，因为他真真站在我身旁，那一句判词式的你被束缚住了，如榔头敲在枕边。其实这样也好。剔刀锋利，越之不易。
海鹰,5,2008-12-21 10:08:30,unknown,170,恐惧（飞行员朋友之死）-疑惑（为什么有恶，人生的意义是什么？）-思考（晃膀子和看各种书籍）-行动（继续晃膀子，旅行，体力劳动，宗教，自然，人）-获得启示（在印度一瞬间的领悟）-回归生活（不要拜托轮回，而是要不断轮回，正常生活，回美国开汽车）。
园园的移动城堡,5,2015-06-13 20:53:41,unknown,110,一个理想主义者和一个现实主义者的交锋。一个时代的缩影。
MajorZiggy,5,2011-06-09 19:26:12,unknown,98,拉里，我跟你去晃膀子去嘛！！！
凝淇,4,2013-07-08 23:47:36,unknown,103,要说最喜欢的人物应该是苏珊。以及关于崇高理想的谈论，一个人能够追求的最高理想是自我的完善。
玑衡,4,2011-12-11 15:14:12,unknown,87,小说中铺天盖地的印度教思想想必是受当时欧洲流行亚洲文化（被变形了的亚洲文化）的潮流影响吧。现在的读者已经很难再被暗示疗法或者瑜伽苦修说服，认为它能拯救心灵危机——我们定期在瑜伽垫上打坐，大多是出于时髦，却不期望它能真正让我们少上上网或者少买买衣服——那么小说中拉里在印度的经历并不那么能说服人了。《刀锋》不能算是一部成功的小说，它的话太多了、又太随便、它的人物性格都有些漫不经心，看来毛姆除了用这些人物说完他想说的话之外，对人物本身并不疼惜。作家中有些并没有多少才能而十分勤奋的作家，毛姆算一个，这让人安慰：《刀锋》并不成功也不难写，可是写完《刀锋》离《月亮与六便士》就不远了，写完《月亮与六便士》离《人生的枷锁》就不远了。而《人生的枷锁》是很好的。
布塔,4,2010-05-22 21:33:27,unknown,103,毛姆的聪明，适用于解剖人情世故，一旦触及宗教信仰等庄重话题……还是算了吧。。。
虫虫,5,2017-05-23 20:24:17,unknown,90,在拉里身上看到了自己的影子，并不太追求物质生活，与其拼命地工作赚钱，不如多读读书多思考思考，在别人看来是颓废不求上进，但对我来说这就是最有意义的事情。
腰腰,3,2012-05-03 11:39:27,unknown,92,拉里读书的时候肯定没读《西游记》，不然问题早解决了。
海之子,3,2011-12-29 22:30:14,unknown,86,毛姆也许是个会讲故事的作家，但艺术性太弱了。叙事动力几乎完全依赖时间顺序不断的happenings或者不断引入新人物来推动情节，很少有戳中要害的灵光乍现，写作结构松松散散。读过他oeuvre的读者会发现，几乎每部小说里都有类似元素，如主人公去巴黎开阔眼界，和好友去画廊或博物馆，学习医科，各种宴会...《刀锋》也像极了《月亮和六便士》，主人公为了理想选择走与常人不一样的路，为此付出极大代价也在所不惜。看到后三分之一简直不忍卒读了（也许和这几天身体不适心情欠佳有关）。
Peter Cat,NaN,2013-07-23 22:26:40,unknown,80,它可能并不深刻，但是或许会有一点点动人。
我爱阳光,5,2014-03-15 14:54:35,unknown,51,年轻的时候必须读这本书。
663Ö_Ö,5,2013-01-20 15:25:08,unknown,73,很喜欢，适宜与黑塞的悉达多一起看。
安东妮,4,2008-12-21 16:02:24,unknown,44,我喜欢这本书流露出来的气质，比如开头他引用奥义书就引用得很有气质。书也很好读——毛姆从来不写不好读的书。但无论《月亮和六便士》还是这本都低于我想象中那个足够聪明的毛姆。他的聪明应该令他不屑于做这种人生在世的二分法的选择题才对，苦行OR发财，安分守己地老死OR抛家弃子地画画，不该是这么简单的。所以更喜欢的都是他以女人为主角的小说，她们纷纷选择了巧妙地度过一生。
