user_name,star,comment_time,geo_ip,vote,short
马行万里,5,2021-01-17 21:38:02,unknown,2297,以前，总觉得哲学家，都是一群吃饱了撑得没事干的人，瞎琢磨。这本书，让我深深地觉得，正是因为这群没事干的人，才创造了当前现代社会的精神文明。
doughnuts hole,5,2021-01-14 08:10:00,unknown,714,人类因为理性而伟大，因为知道理性的局限而成熟。很有趣的西方现代思想科普，等出版了可以再读一遍。
沃特,4,2021-02-08 10:26:54,unknown,1032,虽然这样比较不太合适，但我想说同样是“讲义”，刘老师不知比薛兆丰好多少倍。
Sinclair.,NaN,2021-01-18 10:33:21,unknown,407,看过老师的视频课程，真的是精准、生动且没一句废话，整个课程像聊天一样就娓娓道来了，所以我相信老师的文字也是很好的。老师这次的书非常期待，粗看目录，内容应该有几点补充：1.导论与章节过渡。该补充对第一次了解西方现代思想的读者较友好；整本书阅读起来也更流畅。2.内容的深化和补充。可以看到视频一节内容，在本书里有明显更多的书写。比如韦伯就占了20多页；较近且重要的哈贝马斯也占了好几页。3.补充、问答、推荐书单与文献。问答竟有30页，我很好奇有哪些问题。推荐书单与文献可以体现刘老师把这本书放到什么位置——领读者到“新世界”的门口，看看外面的风景，门口到迈过去这一段你想走的话也帮助你。🆗以上就是应综艺了解到刘老师，然后在知乎上看到学生安利MOOC，去学习后对刘老师的感激和支持吧。（期待读
子夜歌,2,2021-04-03 18:01:27,unknown,776,这本是写的还真是通俗，很浅，学术快餐，适合那些不学无术还喜欢借助名人装点门面的人。个人觉得这本书会教坏这些人，思想得来的太容易了，思想哪来得这么容易啊，不静下心下点功夫，这本书中任何一个人你都无法理解他们真实的想法。
文刀健次郎,4,2021-01-27 16:08:36,unknown,176,“这个世界应该让那些不好的选择消失”振聋发聩。受够了薛兆丰的利己和罗振宇的油腻，刘擎简直就是这季奇葩说的一股清流。
張小得,5,2021-01-28 22:47:13,unknown,140,谁能想到我2021年的第三把“冰镐”竟是封面和书名都看起来这么“硬核”的书。这本书常常让我有醍醐灌顶的感觉，忍不住拿起笔写写画画，那些一直萦绕在我脑壳儿，难于梳理的问题都得到了清晰的解答。不过最厉害的是：不单单给读者们介绍了西方现代思想知识层面的内容，不仅仅介绍了19位思想大家构建思想大厦的地基与框架，而是把他们拉回地面与现实，让内容不难以理解，更贴近我们生活，沉浸其中，才能更好的引领我们思考。就像封面上写的那一句“来一场观念的探险”。
Joey,5,2021-01-31 20:36:05,unknown,229,没有席瑞所说的豁然开朗，我感觉是被点亮了一盏油灯如豆，然后发现脚下是错综复杂的道路，茫然和兴奋。
大只,5,2021-02-10 18:27:39,unknown,181,国内人文社科界太缺这种能把艰涩理论说明白的学者了。深入浅出，简明扼要，体贴而恳切，是一份非常漂亮的求知路线图。“人类因为理性而伟大，因为知道理性的局限而成熟”，全书所述所论，也就是这条百多年来无数杰出大脑如何因发现重重困境而解题破题的前赴后继光彩熠熠之路。
履覆长清,2,2021-03-23 23:13:32,unknown,226,他们就这样从思想里偷出些断章残句，拼凑出自己的言语
随遇而安,5,2021-05-17 23:37:23,unknown,221,这个时代需要刘擎这样的公共知识分子，既有足够的学术水平，还能有平易近人甚至引人入胜的表达。这本书明显不是给专业人士读的，但我知道如果不是这样的书，可能这些思想一辈子也不会走进某些人的头脑，从而给他们带来哪怕一点点启发。
Edison,5,2021-01-31 18:35:03,unknown,76,2021的第一本个人五星之作诞生！花了一整天细细读完，过瘾，叹绝，读完后体力脑力竟都已有透支之感……了解这些人类最伟大的思想，才不枉这辈子为人一次吧！
自喻适志与,3,2021-04-10 14:15:02,unknown,153,基本相当于英美哲学家讲义，同类通俗书中比周濂写的要好，但分数这么高也是刘擎走网红路线的结果。尽管我不熟悉刘的具体研究，也没有看过他的节目视频，但这样的人出来做网红，肯定要比把同类市场交给各种黑化/粉蛆/五毛学者来的好。难道憋在大学里写几篇论文，丰富学生参考书目，进行学术自我繁殖才是唯一的正途么？
忘川,5,2021-01-29 20:46:43,unknown,89,非常喜欢。一边读一边想自己上学的时候读过的那些令人痛苦的原典，以及每一堂讨论课我们在一起舞弄的玄之又玄的概念。哲学通向深邃，但接近它的路径如果可以轻松一些，会不会吸引来更多的人呢？
xi曦,5,2021-02-22 02:25:06,unknown,68,1什么是“现代”？第一次这么清楚地被告知！2终于读到一本书可以用一条主线把近100多年的思想、问题、哲学家、思想家、知识分子串起来；3终于将很多既熟悉又陌生名字与思想和著作对应起来；4获得了一份足够读2-3年的书单；5这是本西方现代思想的地图，带着这地图能走向很远；6是否存在东方现代思想？
终极之梦,5,2021-01-28 09:11:06,unknown,61,将韦伯、尼采、弗洛伊德、萨特、鲍曼、阿伦特、波普尔、哈耶克、柏林、马尔库塞、罗尔斯、诺齐克、德沃金、桑德尔、沃尔泽、泰勒、哈贝马斯、福山和亨廷顿的核心思想，清晰地组织在一起，对世界观、人生观很有帮助。人类因理性而伟大，因为知道理性的局限而成熟。
無事小神仙,5,2021-02-09 00:56:50,unknown,61,如果说JK罗琳让全世界回到了纸质书阅读的狂欢年代，那么刘擎老师让中国知识文化圈层重新回到阅读、探讨哲学的年代，似乎感受到了前辈们怀念的“迷人的80年代气息”。（书配合得到课程食用味道更加哦
🃏,5,2021-02-04 04:31:47,unknown,56,对于我这种一大半人名不认识的小白读者来说是绝佳的入门读物。喜欢的几段都拍下来放相册了，也希望读过的文字能成为我思考的基石。谢谢刘擎教授，为马克思的“动物的东西成了人的东西，而人的东西成为动物的东西”感动的您能在辩论场上说出“人类应该让不好的选项消失”，真是太有魅力了。
芳菲天,5,2021-03-12 12:05:13,unknown,80,很好的一本科普书，可能哲学素养好的人会不屑于，但是这是写给大众的一本书，可读性极强，一点都不枯燥。如果有人觉得韦伯、弗洛伊德这些人的中译本很难读，这会是一本很好的入门书：现代哲学之所以很难，是因为每个思想家都有自己的思想体系和概念，而刘老师很优秀的能力便是将这些诘屈聱牙的概念用浅显易懂的语言深入浅出的解释清楚，把每一位哲学家的思想脉络、人生阅历和核心框架给大家呈现出来，所以我一天就把这本书看完了！读完之后，感觉自己很想去读读书中所出现的人物和思想，我想这本书的目的就达到了！书中关于尼采真相的观点和阿伦特恶的平庸性的解读很有意思，虽然不完全同意他的解读，但是很有启发。另外，刘老师行文和说话语言风格真的很好，雅俗共赏，没有那种理性的自负感，受教了！
Sarcophagus,5,2021-05-16 18:51:19,unknown,54,在建设世一大伟大征程中，规划设计者想象对象拥有这等思考气象格局，课堂教学者想象对象拥有这等中学知识基础，通识学习者想象教师拥有这等教学技巧和深浅把握，而所有人都不愿承认需以补课建立基本共识，需更加通俗因为高考不考。更何况这都是西方那一套，虚伪矫情而且输了。
手肿河马,3,2021-02-10 16:03:11,unknown,56,过于浅显，感觉是一份书单的扩充。
