user_name,star,comment_time,geo_ip,vote,short
克思克行,5,2009-05-29 12:38:06,unknown,221,小时候的疑问——没有十万个嘛
中年痴肥王大姐,4,2013-08-03 10:53:23,unknown,108,当年有套这个就和有个什么宝贝似得
我爱看海,4,2010-01-01 18:35:34,unknown,33,这个版本才是好滴~
Daneestone,5,2009-08-01 00:13:17,unknown,25,最喜欢的是动物部分
砚小朵™,NaN,2010-07-07 15:19:36,unknown,35,当时人人家里好像都有《十万个为什么》，不管什么版本。这套我个人觉得没有文革那套屎黄色的经典，因为这里面没有我最爱的各种工厂炼钢铁和大棚种蔬菜的环节。
修复的薄码.AVI,5,2011-01-21 00:06:37,unknown,5,就是这套！
兽,5,2018-02-03 12:55:12,unknown,3,你们有的我都有系列。
文盲,NaN,2013-07-26 17:38:19,unknown,3,很好看，还想看
jiaon,5,2009-08-11 10:57:14,unknown,3,唯一一部上大学之前放在豆瓣读过里的书，呵呵。
阅微草堂,5,2012-01-12 03:43:35,unknown,7,科普必读书，喜欢，喜欢，我读很多书，都没有这本感觉好玩
自在渍,NaN,2009-10-10 07:03:23,unknown,9,我靠，小时候就抱着这套书混的
眠去,3,2008-05-11 10:48:54,unknown,5,是不是每个小孩子都读过？
浮生若夢,5,2010-01-01 01:55:27,unknown,4,神啊，居然让我找到了童年，当年的大爱，可能从那时起，就注定走上科研这条路了。
中华小快板,5,2010-03-27 17:56:02,unknown,2,小时候读过几个版本的，这个版本的封面最漂亮。
sub rosa,5,2013-08-03 10:56:15,unknown,2,整整一大箱！
蝉,NaN,2014-04-06 10:38:12,unknown,2,:无
神威,5,2015-03-06 13:12:51,unknown,4,修行6th，买给自己的新年礼物，80年14本加93年续10本，一共24本，读此书真是飞快，感觉每一页都唤起的童年狠啃若干遍的记忆，很多书很多事可以让我想起我的大学，只怕只有这本书能让我怀旧，想起我的小学，小学一年级坐在土房教室里看化学卷，漫画style的元素在当时的眼里真是可爱的无以复加，居然转眼小二十年了，我的时间啊，你们都去哪啦!所以决意留下它们，自己常读常新，以后还可以留给孩子看，经典就是问世三四十年，谈起给孩子的启蒙科普，名字还是绕不过去吧
Oscar,NaN,2010-03-02 22:03:03,unknown,1,别人送的，其实这么一套很难读完，对植物、地理什么比较感兴趣
文泽尔,5,2008-05-30 03:36:11,unknown,1,暈，這個也有..
韩楚风,5,2011-01-18 11:55:28,unknown,2,我觉得86年出生的看过这个版本的人，不会很多。我就是其中之一。
范德一彪 Alex,5,2012-08-15 00:42:01,unknown,2,其实买书上和买玩具上我很赖皮的，那天我在书店想买我妈不给我买说太贵，然后回幸福小区的路上大概刚过风神大厦还没到商店的时候那路上有个书摊，正好有个4卷本的《十万为什么》比较便宜我妈就给俺买了哈哈幸福我啊
Dr.Moth,4,2008-06-06 08:07:33,unknown,1,过去主要读的是<动物>部分的
皇后大道西,4,2009-12-25 23:39:19,unknown,1,10岁之前的唯一读物，纪念一下！
然犀,5,2009-05-24 17:05:03,unknown,2,启蒙读物
巽,NaN,2007-12-09 09:15:30,unknown,1,TOTTOTTOT
Proton,NaN,2009-06-29 05:32:36,unknown,1,非常好的书。
夏阳,5,2009-11-19 19:33:50,unknown,1,这是我某一年收到的生日礼物。具体几岁不记得了，书丢到哪里去了也不知道。
暹罗copen,5,2009-06-02 16:42:25,unknown,1,伴我度過童年時光。
狸猫,5,2010-04-06 16:10:20,unknown,1,怀念啊。。。。
1979,NaN,2010-02-11 13:06:05,unknown,0,就是这个版本！
into_the_forest,5,2007-11-28 00:21:18,unknown,0,爱科学小朋友的圣经
coldrush,5,2010-02-07 14:55:31,unknown,0,哈哈
天天考古,NaN,2007-09-21 22:12:48,unknown,0,经典。
心浪网友萧剑仁,5,2012-12-07 21:04:19,unknown,0,童年……
Tiger Tigris,5,2007-12-21 00:36:02,unknown,0,小时候看的，其实没读多少。
蜜兜,5,2019-08-23 14:23:22,unknown,1,这个封面已经烙印到心里了……
Vini_Kazma,4,2012-04-22 18:49:14,unknown,0,内容包括天文、地理、生物、医学、物理、化学、数学、文学……包罗万象。是了解这个世界各种现象的通天大道。有好多本，是以套书来的。
Masato,5,2010-01-15 10:16:32,unknown,0,小时侯最喜欢看了~
Sundance小千,5,2013-03-09 00:09:16,unknown,0,神封面
苗儿,NaN,2010-11-12 07:55:54,unknown,0,好像我小时并非如何喜爱这书。那为什么现在和科学打交道？
萝卜头,5,2020-10-21 14:54:58,unknown,0,童年奇书！
小敏吃掉小敏,5,2020-05-16 21:49:51,unknown,0,RIP，原来是叶永烈先生那么年轻的参与编写的作品
♣lùlu♣,5,2008-10-10 20:00:17,unknown,0,我是神童
12ddmm,4,2009-04-22 09:04:31,unknown,0,忘得一干二净啊
小老鼠,4,2009-12-12 00:52:41,unknown,0,小时候，内牛满面啊……
nocturne,5,2012-12-15 22:39:03,unknown,0,超好看！原来奶奶家楼下租书店那儿借的
Bill,5,2008-03-12 22:24:40,unknown,0,小时候爱不释手的经典读物一辈子用得着几代人忘不了
无为啊,NaN,2009-11-29 23:44:27,unknown,0,哎呀我的小学读本啊就是这个版本
yobalcony,4,2009-01-05 19:38:08,unknown,0,我读的那版，记忆中是白皮的，也不是什么小学生的...当时也适合父亲看
丰无涯,NaN,2008-10-30 17:20:59,unknown,1,不好意思的加一下。当年读“动物”读的很投入，读丢了一本。。。这是不是我后来上生物课就睡觉的原因？
俞晓之,4,2018-02-03 12:46:57,unknown,0,封面对但出版年对不上。先码上。
豆友36544164,5,2012-11-01 09:50:18,unknown,0,小时候家里还真有这个版本的！！我最早的关于宇宙的知识都是来自它，小时候可迷黑洞了～
狮子青铜,5,2010-05-29 00:25:13,unknown,0,再也不见。
狗血青春不在鸟,5,2010-01-14 12:52:57,unknown,0,被关在家里时就翻这个
