user_name,star,comment_time,geo_ip,vote,short
白模卡,5,2015-10-24 22:23:56,unknown,2048,洪荒巨兽，太巨大了。老陀的体量感真不是盖的，契诃夫、布尔加科夫、《百年孤独》、《悉达多》，简直都好像只是从他身上抽下来一根骨头。一边读一边也遗憾：涅朵奇卡没有写完，卡拉马佐夫没有写完，契诃夫死得那么早...
HDE_Halves,5,2017-03-03 14:43:52,unknown,1742,这是一个缺失信仰的年代。这是一个焦虑爆棚的年代。当大家都在忙着读心灵鸡汤，来寻找到人生真谛的时候，推荐你读一读这本《卡拉马佐夫兄弟》，一本被无数大师封神的小说。这本小说，在文学史上的地位已经毋庸置疑，它极其真实的写出了人性中种种的崇高与丑恶，它像一面镜子，在其中你会看到一个你都不想承认的自己。这本书，是完美的将哲学、神学、心理学融为一体的杰作。就连最狂傲的，自命为天才的尼采，读完此书也不得不承认：“陀思妥耶夫斯基是我生命中最美好的际遇，他是一个思想深刻的人，他有充分的权利，蔑视我们这些浅薄的德国人。”
Jonko,5,2016-02-29 11:57:38,unknown,1160,《宗教大法官》一章另添一星，翻译再添一星，这书至少该打七星！
Minty,5,2015-07-23 17:57:46,unknown,657,不知是陀氏自身还是荣如德功劳，语言意蕴丰满，两本大部头看起来很愉快。上海译文这版版式不错，插画精美，如果有精装版就更好了。当时的俄罗斯刚刚破除农奴制，新思潮涌入，宗教却依然占据主导。陀氏虽然拥有一定的倾向性，但理性的光芒已锐不可当。感觉“宗教大法官”和“魔鬼。伊万·费奥多罗维奇的梦魇”两节最为精彩，其中“宗”一节直接逼问上帝，毫不留情揭露宗教，大快人心。相比之下，想到《我的个神啊》这种幼稚的意淫如此为人追捧，只得耻笑。
胡如隐,5,2019-01-14 16:42:47,unknown,1070,那时候我太轻狂，只觉得他太多话，没察觉那是另一种沉默，或者说那是沉默的尽头。
黎川,5,2018-08-12 14:36:13,unknown,320,按纳博科夫的说法，真正的文学，应该用脊椎骨去阅读，如果面对的是陀思妥耶夫斯基，脊椎骨怕是会有被折断的风险。
利物浦斯嘉丽,NaN,2016-06-09 20:07:28,unknown,332,读完元气大伤，决定恢复一年再重新读书
虫虫,5,2019-06-26 16:26:51,unknown,261,我始终认为，伊万才是整部《卡拉马佐夫兄弟》里的灵魂人物，虽然陀思妥耶夫斯基偏爱于阿辽沙、围绕米嘉的恋情和案件着墨很多，但只有伊万可以当作其思想的代言人。如果说《群魔》中的基里洛夫是陀氏对否认上帝的一次尝试【假如上帝不存在，基里洛夫就是神祇。假如上帝不存在，基里洛夫就必须自杀，从而基里洛夫就必须为了成为神祇而自杀】，那么到了伊万这里，则成了理性与上帝的直接对峙，伊万不再信赖神秘的上帝，而是信赖一个更高的原则，就是正义。【他开创了以正义的王国代替圣宠的王国这一反抗的基本事业。同时他开始攻击基督教，伊万明确地拒绝基督教奥义，从而拒绝作为爱的原则的上帝】。
金嵩荐,5,2019-11-03 08:15:04,unknown,397,你读了马尔克斯、卡尔维诺、莫言、奥维尔等等的牛逼小说、又看了些其他人的平庸之作、你就会觉得那些耽误你时间的东西，降低了你读书的欲望、等你发掘了陀哥的这部“兄弟”便懂得坚持找书的意义、好翻译让你如沐春风、极短的个人观点放在了书的最后、不像一些自诩翻译大家们，开头亮观点，做诱导，先入为主的给作品定了调、生怕读者忘记他、然而荣老先生是那种，你每次阅读后放下书，除了感叹陀哥的哲思，人物对话、人性、之外，你深感荣先生是吃透了这本书的、是理解和融入这本书的、可以说，是我渺小的阅读量翻译的最好的、感谢你们的相互成全、
豌豆公主,5,2019-08-31 23:33:13,unknown,458,阿廖沙是天使，伊万是魔鬼，而米嘉是永远朝向天使却无法停止委身魔鬼的人，如你我。
yinan,5,2017-05-22 19:51:12,unknown,314,我看见在你的心里上帝和魔鬼在缠斗我看见你的卑劣懦弱自私与自闭也看见你爱的春天的湿漉漉的新叶和蓝天你的上帝让你含泪亲吻每一寸土地你的魔鬼却再也不相信任何丰功伟绩和真理哪怕不合逻辑也想要活着我看见最卑劣的人性和最痛苦的生活里有最伟大的魂灵
莫羡,5,2015-11-19 11:29:17,unknown,193,难忘“宗教大法官”那一章，这样的书每隔几年应该再读读，应该会有不同体会。“美这个东西不但可怕，而且神秘。围绕着这事儿，上帝与魔鬼在那里搏斗，战场便在人们心中。”
成知默,5,2019-08-29 16:01:46,unknown,141,作为上帝最杰出的信徒，陀翁却常常通过否定的形式来肯定信仰与宗教的力量，或者说，“上帝是否存在”、“上帝能否带来救赎”也一直困扰着陀翁，对上帝的肯定与否定，是陀翁和他笔下人物激情与痛苦的源泉。而此书即映照了陀翁的这种犹疑与惶惑，质疑上帝的德米特里、借宗教大法官说出异端邪说般渎神之论的伊万、上帝忠诚的仆从阿辽沙，在上帝与魔鬼的对峙之间，淫欲与纯洁，罪行与神圣，人性与兽性常常矛盾地集于一人之身，徘徊于天堂与地狱之间才是生命的本相。陀翁说：“天国喜欢一个悔过的人胜过十个规矩人”，劣迹斑斑的德米特里比起冰冷的、圣徒似的的阿辽沙要血肉丰满得多，苦难的净化与悔罪的可能，正代表了陀翁感化众生、宽恕一切的宗教理想。依旧被陀翁炽热的语言的火焰灼伤，在有如昏热呓语般的谵妄与疯狂之下，陀翁呈现了最复杂的生命力量。
PooomBooom,5,2019-09-28 23:28:53,unknown,279,这世上竟然存在这么伟大的小说，想想真是一件令人幸福而又不可思议的事情。
现在不是过去了,NaN,2018-01-30 00:57:13,unknown,213,每次读完陀思妥耶夫斯基就像生了一场热病。这位大神太擅长描绘各种歇斯底里的癫狂了…
孑生,5,2018-07-16 21:48:16,unknown,182,读完没脸写作系列。
刻奇坊主那那酱,5,2020-04-04 14:00:47,unknown,289,第一要真诚，第二要善良，第三要我们永不相忘。
小夜一,5,2017-07-16 23:16:23,unknown,132,“要爱伊万”。伟大的俄国文学。伟大的陀思妥耶夫斯基。
yardbird.tan,5,2018-02-09 14:05:30,unknown,186,虽然很多小说我也愿意给五星，但是在《卡拉马佐夫兄弟》面前，他们都自动减少一星。
本尼塔,NaN,2016-02-08 01:16:18,unknown,103,累累累累，简直要休息好久不读陀翁，且不说主题太宏大，已经被那种狂风暴雨一般的歇斯底里症搅得疲惫不堪。
啊砸,5,2016-03-12 10:44:37,unknown,130,去年此时的《罪与罚》，到今年把《卡拉马佐夫兄弟》阅毕，这期间我的生活包含着剧变，并没有预估的本事，我在等待中惶恐不已，躲进书里。陀氏的文章有着巨大的感染力和引人思辨的能力，大教堂下的辩论和伊万与魔鬼的对话、法庭上的争锋相对，都精彩无比，此时看到了善与恶的交锋，上帝和魔鬼的战争，并且在最后魔鬼似乎总占领了上风，生活处处是能见到绝望和恶意的，这不能妨碍我们去追求幸福和智慧的权利，就如阿辽沙所说的，只要内心的最底层，保有一丝美好的回忆，就能制止大多数悲剧的发生，这和上帝存在与否无关，而于自身的良心相关
heartsease,5,2020-02-14 04:00:48,unknown,156,小说可以这样写啊酣畅淋漓在完全知道书的内容的情况下，竟然先后被公诉人和辩护人说服
镜与灯,5,2019-04-05 18:18:45,unknown,149,愿我们的心灵走向辽阔，而不是疯狂与毁灭。
布谷,5,2019-09-09 08:38:53,unknown,83,如果说一千个人，一千个哈姆雷特，那么每个人都是卡拉马佐夫兄弟。
singularity,5,2018-12-21 05:05:15,unknown,123,我觉得我没有接近这本书！我阅读了但没有融入，它还不属于我。会重读的，我盲目地相信有生之年一定能获得可以感受它的能力。
Ascher,5,2019-01-20 13:07:05,unknown,87,几个月后和朋友谈论中国的马克思主义，猛的想起《宗教大法官》一章。
陆钓雪de飘飘,5,2017-08-07 00:34:51,unknown,33,“但是那样的做法太让人恶心了，”米嘉用拳头狠狠捶了一下桌面，“这种馊主意简直臭不可闻，我已经不知该怎么说才恰当！要知道她有可能给我这笔钱，真的有可能，一定会给。出于对我进行报复从中得到满足的愿望，她会给；出于对我的蔑视，她会给；因为她不是一盏省油的灯，这个女人发起火来可没法收拾！我会把钱收下，收下来以后那就一辈子……噢，上帝啊！请二位原谅，我这样大叫大嚷是因为我产生这念头还没多久，也就是在前天夜里我面对里亚加维束手无策的时候，接着昨天也考虑过，昨天考虑了整整一天，我记得，直到出那件事……”一方S4E3E4。
白弋,5,2018-03-28 23:57:53,unknown,60,“我们首先将是善良的，这一点最要紧，然后是正直的，然后——我们将彼此永不相忘。”
L,5,2019-01-10 21:25:45,unknown,61,"""你要对社会上所犯的罪行承担责任，因为你作为无罪的人本来可以给黑暗中的恶人带来光明，你却没有发光，你的光能为别人照亮道路，能为恶人指点迷津。"""
布拉格西,5,2017-04-03 00:27:56,unknown,55,越是体量大的小说，框架越是清晰简单。终于也迈进了“卡拉马佐夫读毕俱乐部”了^_^
