user_name,star,comment_time,geo_ip,vote,short
7酱™,4,2012-02-09 23:07:35,unknown,1076,这是一本非常好的介绍美国社会及美国精神的书，属于入门级，但无论你认为这是事实还是事实的全部，你都可以借此打开一扇门，其中喷薄而出的大量信息确实会使你短暂迷失，但更会引发你的思考，而在存疑取证的过程中，你已收获良多。我宁愿自己因了解过多而久久骑墙，也不愿自己因无知而洋洋自得。
伊卡洛斯,5,2011-07-14 12:10:23,unknown,761,如果你追求阳光，你就躲不开身后的阴影
高歌,5,2013-01-29 11:24:15,unknown,433,了解美国，建议从林达入门，但要超越林达。PS：竟然是十五年前的书了，里面的观察很多都还鲜活地存在着。PPS：这就是所谓的“长销书”吧
Ying,5,2011-03-15 11:57:35,unknown,180,看了这本书怎么能不为美国的制度和文化而动容啊.....
Adiósardour,5,2013-01-15 17:49:18,unknown,126,国内大众对美国民主的认识可能仅停留在骂总统，枪支泛滥的误解上，林达在枪在谁手里中讲述了日本留美学生被开枪打死的案例，非常令人触目，在美国你有可能因为掉以轻心和语言不通，而在误会下被合法的枪杀，更可能发生在别人家门口多转了几圈就被警察逮捕的情况。这就是美国权利法案里表明的，对私人财产的绝对保护，对于这样一个强调保护个人隐私，私人财产和私人领地的国家，发生在中国的强拆强占，文革的抄家都是难以想象的。枪杀案件善后中克林顿面对该留学生的父母时，只能一再强调表示遗憾，而处于外交上的考虑而干预司法，几乎不可能的，对于美国总统而言最顾及的是国内的原则和逻辑，国际影响相对的是次一步的了。当我们试图了解美国民主时，应该了解到自由不是美国民主的重点，重点是自由背后的代价，要知道投出一片阳光，就必然落下一片阴影。
NADPH,5,2016-10-13 12:21:02,unknown,138,美国是这个样子哒，有没有人来说说中国是什么样的，虽然在中国住了几十年了，可是我还是看不透这个国家。
田野,5,2012-12-05 12:34:05,unknown,111,“言论自由与言论内容无关，与言论的正确与否无关，与真理还是谬误无关。”
fwb,4,2012-09-10 01:30:13,unknown,44,关于辛普森案件的描述（为了“公正审判”，只能损伤“实现正义”），最能表达本书的基本态度——没有十全十美的社会！为实现一个目标，必然要付出相应代价，而这些代价，往往是由于一系列清晰的、被宪法确定下来的、要严密保护“个人”的价值观导致。美国从上到下，都普遍接受这样一个现实理性常识。
烈,4,2012-05-04 22:16:20,unknown,58,这些第三世界的饥民啊，闻到隔壁家一点点民主法治味儿就大呼高明啊感天动地啊，什么时候能改变这残疾的局面...
小晨,5,2011-03-29 11:50:07,unknown,52,虽然这本书未必百分百客观，但是还是填补了我许多美国历史知识的空白。不得不说两年的美国生活我仍然只对美国一知半解，读了这本书会让我对在美国的体验有了更深刻的体会。连读wiki都没搞明白的OJSimpson案，这次也终于搞明白了。这书不完美，但是读读有好处。
豆友,3,2019-08-07 13:14:12,unknown,58,一个无辜的人失去自由，是美国人认为最不可容忍的事情了。——斯诺登笑了
筱堂,5,2013-10-27 12:22:20,unknown,39,关于民主政治的一本启蒙读物，通过历史故事和案例，深入浅出地解读美国式民主，其中所谈到的言论自由、新闻自由、集会自由、三权分立等，真是令人神往。联系到国朝卫巫弭谤、道路以目的现实，不胜其感慨。我总好奇法学专业的老师是怎么授课的？是不是每次讲课之前，都要声明一句：“我们所学的是各种普适的原理，但并不适用于神奇的国度。如有雷同，纯属巧合！”专制集权是产生各种伪的总根源。好在飘风不终朝，暴雨不终日。世纪伟人曾说过：“世界潮流，浩浩荡荡。顺之者昌，逆之者亡。”真可谓善颂善祷矣。十三年十月廿七日筱堂记于长沙望岳楼，是日天朗气不清也。
Leito,4,2011-08-08 20:03:37,unknown,29,梳理了逻辑平衡了理性跳出了狭隘
小铭同学,3,2020-03-13 13:07:52,unknown,50,印象最深的是他们自由自在很放松的心态。“刷盘子”就“刷盘子”，“扛大包”就“扛大包”，美国青年不会在打工时，因为觉得自己“屈才”了而痛感命运不公，怨天怨地或自怨自艾。对一个临时工作，他们只在意工资的高低，一点没有什么贵贱之想。？？？你确定看过《生活大爆炸》吗？这本书让我很失望了，就算是所谓的美国入门，也感觉是“想象中的美国”入门。很不喜欢里面明里暗里的贬低华裔。让我有一种少数精英给底层洗脑的反智感。
菱夏,4,2014-04-23 10:04:18,unknown,31,世界和人性皆复杂，没有一种制度可被奉为圭臬放之四海皆准，或许我们不该对自由、正义、道德正确过多的固执己见，应克制情绪尽量保持中性，97年的书固然有局限但还是提供了一些深思的角度。我想一本书带能给你的，最好不是是幡然醒悟，而是更广阔的视野和继续探寻的好奇
别歌,5,2012-05-17 17:39:24,unknown,25,类别：社会制度。通过信件方式全面介绍美国的司法制度。核心：自由的代价是什么？林达的美国系列，作为对美国社会了解的小窗口还是不错的，也是学习法律专业的兴趣读本。
柴斯卡,4,2012-04-21 11:26:57,unknown,15,我本来还觉得这书有种微妙的囧感和喜感呢，谢谢豆娘又禁了我的日志，气得我瞬时对林达都充满了好感。。。！！！（中二病复发）
考拉小巫,5,2011-05-12 23:46:52,unknown,13,写得特别严肃，但很真实，信息量非常大。跟刘瑜完全不一个风格。
熊阿姨,5,2008-06-29 22:18:20,unknown,17,我的美国宪政启蒙
维城乱马,4,2015-06-29 11:56:29,unknown,15,辛普森案写得引人入胜身临其境
猪头妖怪,4,2008-09-24 21:46:56,unknown,21,自由不意味着浪漫，意味着代价。
Hao,3,2013-03-20 20:09:23,unknown,26,作者过于美化和简化一个国家
蓬蓬,5,2005-06-15 22:44:28,unknown,12,唯一一本买过三次的书：第一本被老爸抢去自己看；第二本被老爸抢去送了人；第三本，总算保住了。
猫糊糊,3,2012-03-20 02:21:42,unknown,11,读这么啰嗦的书的我才忧虑呢
叶酱,5,2010-12-13 19:17:08,unknown,9,要是我们也像美国司法制度一样宁可错放而不是错判，可能会少几个赵作海和佘祥林吧~
蓝调共和,4,2009-05-30 14:30:52,unknown,5,浅显易懂，感性丰富
summer,5,2012-09-09 23:32:39,unknown,9,作者太牛逼了，把一些枯燥乏味的东西写的浅显易懂又特别有趣，看的欲罢不能的。除了跟你讲解历史和文化背景，也表达了自己的观点，最重要的是还激发你从不同角度思考这些现象问题。感叹的是很多历史都是初高中学过但当时完全没深入思考过，妈的
