user_name,star,comment_time,geo_ip,vote,short
小岩井,5,2014-04-16 23:45:42,unknown,677,读得心都软化了
刘二苍松,5,2008-10-26 00:43:47,unknown,506,小英子多少成了我的梦中情人。最喜欢的短篇小说——没有之一。
oiajxnao,5,2016-08-22 14:08:22,unknown,449,“明海看着她的脚印，傻了。五个小小的指头，脚掌平平的，脚跟细细的。脚弓部分缺了一块。明海身上有一种从来没有过的感觉，他觉得心里痒痒的。这一串美丽的脚印把小和尚的心搞乱了。”这样的话居然是一个老头子给写出来的，一个大写的服气，受戒真是我看过第二美好的小说了。
陌上,4,2014-08-25 11:57:41,unknown,329,汪曾祺的文字一如沈从文，干净、清澈、有画面感。没有花哨的形容词，没有大段的议论或抒情，也没有纠结跌宕的情节，要知道很难有作家能够抑制住评点或卖弄的冲动。《受戒》也是如此，故事很简单，甚至没有故事，只是娓娓的描述，寻常日子里的明丽温暖，有种永恒的意味。是什么世道，和尚都要念经、农家都要度日、男女都要相爱。差别只是如何念经、如何度日、如何相爱。汪的文字里，是一个桃花源般的世界。
可乐,5,2010-08-22 14:05:45,unknown,245,　腻了张爱玲等沪上名媛淡淡忧郁，自寻烦恼的小资情调；烦了鲁迅似的横眉冷对，冷嘲热讽。不想沈从文和汪曾祺的文章确是另一番天地，带着浓浓的乡土气息。文章终于回到了生活本身
苏更生,5,2009-06-04 15:18:52,unknown,131,最后一段对话非常动人。
sherrylee,4,2009-06-17 13:35:13,unknown,92,来从虚空来，还归虚空去。往生再世，皆当欢喜。
王家祥悉达多,4,2016-03-25 17:58:29,unknown,72,我看佛理看到现在，知道受戒是为了入定，入定的目的是生慧。但是我总想，谁说寻常欢喜就生不出智慧的？
静流,5,2009-05-26 09:19:48,unknown,67,我喜欢死这个老头了。
朱阿宝,5,2009-10-29 06:54:50,unknown,61,点灯说话儿，吹灯做伴儿，清早起来梳小辫儿。
瑞穗(๑°⌓°๑),5,2008-12-25 18:37:35,unknown,54,这算是最喜欢的作品了吧，太清透了
瞎说,5,2015-05-12 14:52:35,unknown,57,描写两小无猜竹马青梅的又一新高境界，暖萌得人心都化了，发糖发到天女散花呀。
怀素,4,2016-06-14 11:42:38,unknown,41,好喜欢《受戒》一文中的明子和小英子，青梅竹马两小无猜，文风像一股清风悠悠荡荡，让人想到了《边城》中的翠翠。
祝馀,5,2016-11-27 13:51:32,unknown,43,文笔炼到了句句入画的境界，语言回归了最质朴的家常话，情感回到了最真。文章回归到文章本身，不再浓妆艳抹，一切都淡淡的，却淡得悠远，淡得深沉。
mon babe,5,2008-11-18 15:02:17,unknown,34,于平淡中见悠远，余味无穷，甚至几欲潸然泪下。
Phihead,4,2018-01-17 17:10:42,unknown,64,年轻人不要学汪曾祺，汪曾祺是用来喜欢的，不是用来学的。
郁离,4,2014-03-26 22:47:46,unknown,22,好似一副水墨画。
阿桔,4,2016-06-01 07:24:38,unknown,38,太美了这大概就是中国的童话故事了
liz,5,2013-12-25 22:35:58,unknown,19,室雅何须大，花香不在多
账号弃用,5,2011-04-06 09:57:03,unknown,13,何其稳当又轻盈的行文走字
AA专业莲藕打孔,5,2016-03-18 00:59:20,unknown,23,"""芦花才吐新穗。紫灰色的芦穗，发着银光，软软的，滑溜溜的，像一串丝线。有的地方结了蒲棒，通红的，像一枝一枝小蜡烛。青浮萍，紫浮萍。长脚蚊子，水蜘蛛。野菱角开着四瓣的小白花。惊起一只青桩（一种水鸟），擦着芦穗，扑鲁鲁鲁飞远了。""特别喜欢的一小说，大概是因为主角之一明海是个和尚吧，而且还是个可爱的小和尚，小英子也很可爱。平淡真实，却细水长流"
Jill,4,2012-03-31 12:32:22,unknown,18,我觉得散文的感情要适当克制。感情过于洋溢，就像老年人写情书一样，自己有点不好意思。
左小兮,5,2011-01-09 19:41:37,unknown,22,“汪曾祺的文字，融奇崛于平淡，以俗为雅，以故为新。”每篇可称得上一幅国画小品，雅，淡，生活化。似在温和午后的小庭院嗅着身旁不名贵却清香无比的绿茶香气。
家小家,5,2019-09-09 10:36:32,unknown,26,其实，我们现在都看不清爱情原本的样子了，爱情原本的样子应该是16、7岁的少男少女眼中的样子，所以，我不会反对早恋，甚至会变相的鼓励早恋，因为虽然在这个阶段学业很重要，但是过了那个年龄，就体会不到那种纯粹的心动的感觉了，这种感觉其实是一种非常重要的人生体验
弥次郎,5,2011-02-18 10:43:46,unknown,13,1949后的作品还那么有趣味的作家没几个了
阿廖沙,5,2009-10-09 20:30:33,unknown,16,贾平凹说“汪是文狐”
城市笔记人,4,2009-03-27 17:39:27,unknown,9,干净。
菲戮,NaN,2009-01-12 21:42:27,unknown,9,比沈从文更透
豆友181082292,5,2019-01-31 17:33:47,unknown,17,“小树开朝径，长茸湿夜烟。柳花惊雪浦，麦雨涨溪田。古刹疏钟度，遥岚破月悬。沙头敲石火，烧竹照渔船。”不知汪老先生创作时心中是否也曾想起李长吉这首诗，二人的隐喻和意境都出神入化。
海上花开,4,2007-03-04 11:44:31,unknown,8,真不愧是从文门下啊~
二阶糖富美,4,2012-05-10 19:36:06,unknown,7,写饮食市井人物是一绝，但貌似也囿于一些文章观念，而且连续地看他的东西好多地方重复啊
青州从事,5,2006-09-27 22:43:18,unknown,9,后来很认真的问本璨师：点香疤的时候，真的抹枣泥吗？呵呵。我读过的最美的小说之一，那时认定了要娶一个小英子一样的媳妇。
