user_name,star,comment_time,geo_ip,vote,short
danyboy,5,2013-03-12 08:36:35,unknown,276,地铁。不错，就中国读者而言，这个故事占得篇幅太长了。书后的译者后记把这本书的价值讲得很清楚。
功夫熊猫小碗熊,5,2016-06-11 22:06:59,unknown,221,重读。孔氏试图以叫魂为线索勾勒其眼中从盛世转向挣扎的大清之三个面向：皇帝继承强大帝国但时刻担忧皇权受教条化官僚系统限制、统治阶层满族根基与新生精英/经济发达腹地之汉族社群对立；官僚体系已发展出日常运作、恩庇侍从、规避皇帝监督的机制，既对皇权形成软性抵抗，又在基层吏治与地方社会形成共生关系；经济发达，商业勃兴，物价高涨，田地边际产出下降且兼并日盛，不少劳动力被释放但并未全部被雇佣手工业吸收，产生大量在经济发达地区和向欠发达地区流动的流民，成为稳固农业社会隐患。叫魂表面上是干扰国家通过合法宗教仪式同天命联系进而冲击合法性的事件，但皇帝既担忧其中包含借剪辫和结社反满意涵，又借此弹压抵制皇权的官僚；民众因不属于本社群的流民无法控制而恐慌；官僚则极力将影响纳入常规处事轨道安抚民众和抗拒皇帝审查。
泉の向日葵,5,2016-03-19 23:38:07,unknown,208,细节。这本书以这段话收尾：“没有人会哀悼旧中国的官僚制度。即使按照当时的标准，它所造成的社会上还也已超出了仅仅压碎几个无依无助的游民踝骨的程度。但不论是好事还是坏事，它的特性却可以阻挡任何一种狂热。没有这样一个应急的锚碇，中国就会在风暴中急剧偏航。在缺乏一种可行的替代制度的情况下，统治者就可以利用操纵民众的恐惧，将之转变为可怕的力量。生活于我们时代的那些异见人士和因社会背景或怪异信仰而易受指控的替罪羊，便会成为这种力量的攻击目标。——没有什么能够伫立期间，以阻挡这种疯狂。”从过去窥视未来。
琴酒,4,2016-12-31 15:56:24,unknown,103,好看是好看的，但是这个书有一处推论让人非常费解。为论证统治阶层满族与江南一代汉族社群间对立的关系，将叫魂中剪辫的行为和清初的削发令联系在一起做象征性解读，并且强行认为弘历在各路材料中绝口不提剪辫作为满/汉民族间问题是一种刻意回避激发民族矛盾。将反倒没有材料作为材料说明观点，这个解读也太脑洞了吧？
晓林子悦,5,2014-12-28 16:10:23,unknown,84,外国学者似乎很多都擅长从一件小事散发思维，挖掘出其中的政治、文化内涵。又严谨又通俗的学术书，从民间到地方政府到高官皇帝，从宗教到文化到意识形态，你会看出很多中国式的鬼影。
ありちゃん,3,2018-06-10 23:44:15,unknown,57,有点啰嗦，也不知道是否是翻译的问题…关于有清一代我一个始终的判断是：我们都是苟活之人的后代，真正有血性的人早在鞑子入关时就死绝了。经过三个世纪的筛选到七十年前，说是自愿做奴隶的人们也完全没错。当然现在更甚了：）
孤岛森林,4,2013-04-21 18:28:31,unknown,28,抱着了解卜卦算命装神弄鬼等繁多江湖伎俩的心态，最终得出冤案的结论，实在有点失望。作者自然并不打算写一出酷刑审出的冤案，而剑指皇权与制度的冲突，解释了文革等群体事件（当我们只有栽赃陷害他人的权利之时，我们为何不做），从中国内部寻找通往现代之路，却不像教科书上说现代化全是美帝外部打入，是本启智的好书。翻译方面做得很好，从后记看，译者并不认同孔飞力的大观点，但译文中并未体现出来。值得买回来多思多看。
ztlpoppy,3,2015-12-02 14:27:20,unknown,22,罗里吧嗦
至秦,NaN,2016-03-13 21:43:19,unknown,21,“盛世”重读，心有戚戚焉
欢乐分裂,4,2017-03-01 16:00:20,unknown,17,18世纪的盛世光环下，危机已然滋生，民间惶惶流言竟席卷天朝大地，庞大帝国机制出现倾颓之势；借「叫魂」这一具有十足乡土气息的事件，追溯不安的幽灵如何在平头百姓和官僚帝王的层层阶级间搅乱盛世春水；满民统治时刻提防谋反之危，人口增长引起的人员迁徙，社会资源分配的不均，西方诸强的扩张，弘历对内部矛盾的三缄其口与对外界变化的无视，最终引发政治大震荡，其余波震荡，延及清王朝末代；借古喻今之意十分明显，历史的幽灵，在大地游荡。
谜团,4,2013-12-11 01:48:30,unknown,12,久闻大名。不错的著作。不过外国人写中国史总有一些奇怪的地方。在于他们做评论的时候总要加一些莫名其妙的话，比如国家作为一种政治制度，则是由那些生活在等级秩序之中，其生涯取决于声望和权力、罢黜和安全的人们之间的各种关系所构建而成的。这种似是而非的话语在史实描述的章节里随处可见。虽然孔飞力已经比他的老师费正清做的好多了
malingcat,5,2012-07-15 10:48:59,unknown,9,读过老版本，收了新版本。
野次馬,5,2016-02-17 10:14:22,unknown,10,《萨勒姆的女巫》。
萨库拉,5,2016-01-03 17:47:43,unknown,14,做学术牛逼也就罢了，叙事还这么引人入胜。这样一本历史论著的意义绝对不弱于理科发现某条定理。由政治、经济和社会心理学验证的“历史不断重现”，是关于中国人，甚至人类本身的定理。
把噗,5,2017-02-06 21:56:27,unknown,25,最后一章简直飞起
叶酱,4,2017-06-24 13:52:43,unknown,16,某些部分读得很累，最后两章还是很有借鉴意义的，历史的本质总是在重复啊
Derridager,5,2017-02-10 17:36:13,unknown,11,以一场看似真实但实则荒诞虚无的民众恐慌为横切面，引出许多作者对社会和政治的思考。其中印象深刻的应该就是作者关于“政治罪”的观点。专制权力和常规权力跳出此消彼长的模式，而是专制权力利用“政治罪“对常规权力进行钳制，表现为问责、黜陟乃至调任撤职。这一观点我持保留意见。整本书写的生动无比，三个角度的叫魂故事，三种不同的解读，让人感叹中国此类“文化“的顽固。民众因为生活的焦虑而不安所以总会掀起骚乱来发泄从而寻求抚慰；官僚作为知识阶层对一般骚乱不屑一顾只顾如何于机制运行中来去无影不沾污名保全官帽；统治阶层则只顾宣扬统治的合法性和地位的稳定而花样百出。虽是三百余年前的事件，但在此后的历史中却依然能见其踪影。三个小时一口气读完，虽眼花头眩，却心满意足。
