user_name,star,comment_time,geo_ip,vote,short
撒旦的表妹,5,2023-06-09 13:09:08,内蒙古,203,“虽然人类已经能够上天入地、呼风唤雨，但仍然会为能不能退出一个宗教打得头破血流，为一句刺耳的言论付出沉重代价，为一句口号沦为无法退出的实验品，为一场选举而反目为仇。同一个物种，居然会同时如此智慧和愚蠢、伟大和狭隘、勇敢和懦弱。”
肖浑,5,2022-05-17 14:43:52,unknown,508,看理想音频课一开始嫌贵，想着总会出书的，到时候再买吧，可是等啊等啊书始终不见出来，还是忍不住诱惑先买了课，每天早上听一节。本来还担心刘瑜说话会不会不如文章有意思，很快证明我多虑了，她对这门课非常上心，都是先认真写好稿子再逐字念，投入的精力应该比写《民主的细节》专栏还多，文章里所有的优点都得到了保留，听着声音还觉得更亲切了。至于内容，眼下这个环境还能把政治问题讨论到这个份上，还能肯定赞美民主制，这就已经很不容易了。虽然基本没有提到当代中国，还是能处处在心里自行联想比较。因为太喜欢，这次纸质书版出来后又瞅准机会找理想国编辑讨了本，刘瑜的书必须收全，以后应该还会重温的。
魏小河,5,2022-10-28 02:07:38,广东,59,补标。
malingcat,5,2022-05-20 20:54:09,unknown,1127,如果需要一个再次启蒙的时代，就需要这样一本比较政治学启蒙书。能在今年出版，肯定有精准隐去的部分，这是与讲稿的不同吧。
今天小熊不吃糖,5,2022-06-14 13:46:13,unknown,1005,“你所见到的只是现象，而现象未必是真相，而思考得越多，就越会相信，智慧的本质就是对事物比例的公正判断。”——成年人的政治学启蒙读物，这本书使我对国家、自由、民主、政体、意识形态等之前一知半解或自以为了解的概念有了全新的认识，极大拓宽了我的知识体系。与其愤怒，不如读书，不要让自己淹没于自以为是的偏见之中。
小波福娃,NaN,2022-06-21 21:07:04,unknown,617,简单翻了一下，可能是音频转文字的缘故，读起来感觉略水（或者换个讲法就是说，读起来贼快贼顺滑），但平心而论，这类普及于当下是太少了，在谈论政治已经越来越难的情况下，这本书有它的意义。
祝羽捷,5,2022-05-05 11:09:14,unknown,397,很高兴读到自己喜欢的节目被重新编辑成书，对于一个对政治学非常陌生的读者来说，跟随刘瑜建立起观察的参照系，用比较的角度去了解政治，可以避免“优胜者偏见”，避免以偏概全，不会武断哪种体制更优劣，获得一种更加全面的认知。我们都知道没有哪种政治制度是完美的，但可以去理解这些政治现象和它们背后的意义。刘瑜在对西方发达国家和发展中国家的民主和国家能力做分析，打破了许多我们的偏见，在个案和差异中，刘瑜帮我们找到规律和背后的原因，正如她所说“了解其他国家不仅仅是为了‘猎奇’，甚至不仅仅是出于‘心怀天下’的世界主义情怀，也是为了在浩瀚的可能性中理解我们自身。”
zkjie,5,2022-04-04 11:39:17,unknown,97,不错，有种被带着环球旅行的感觉
野原新之酷,5,2022-03-31 12:36:11,unknown,43,音频课从头到尾听了两次，非常喜欢，等这本出版会买来再读一次。
余峤,5,2022-04-04 15:10:59,unknown,87,听过音频课，非常棒的政治学入门。现实的问题关怀，恰当而有力的语言，理性的数据加上感性的故事细节。书的版本把所有的俄苏故事都替换掉了，这是什么原因？
inkcyberhk,5,2022-05-11 03:46:12,unknown,9,浅显易懂入门不错
睡着了i,5,2022-05-10 21:29:42,unknown,14,读的第二本刘瑜老师的书。非常享受在一个知识领域内，既往的常识不断被打破，新的知识体系重新建构的过程。
任平生,4,2022-05-11 17:21:06,unknown,8,在当下更能理解政在结尾处作者的结语：为什么政治可能让社会变得非常糟糕，却未必会让生活变得非常美好？这是因为，在我看来，政治可能扼杀所有的社会关系和个人努力，但是它却不可能替代所有的社会关系和个人努力。...比如一个极权政府掌控一切，它可以摧毁人们的生产积极性、自发的社会组织、家庭乃至人性，使所有人的生活变成一场噩梦。可是，另一方面，当政治非常好的时候，它也只是制定一个相对公平的游戏规则
电子猫,5,2022-05-10 18:14:26,unknown,5,书到的时候我刚好到结束语…
女巫与花,5,2022-05-10 21:45:09,unknown,19,读过刘瑜的《观念的水位》和《民主的细节》，因她才惊觉政治学原来可以如此迷人！一些离我们生活近又远的政治文化和概念常识，通过她功力深厚的克化和引导，解析出落得通通透透明明白白，让一切变得可触可感又趣味横生。而大多相关的其它作品，不是正颜厉色捋须端着故弄玄虚，就是没根没据地自由阐发，读之不耐。这么多年了终于出了新书，这本一如既往的刘氏风格，开篇就以一种全球视野，比较几种国家政体的形态发展，有由内至外的单个解析，亦有与之相对的差异化呈现，以及复盘整个国际政治文化秩序的形成动因和走向…浩瀚宏大的主题写得“既见树木，又见森林”。而且语言生动幽默擅用巧喻，读起来轻松极了！从我们普通读者的角度出发，真真觉得，越是晦涩思想性极强的学问，越是需要匹配独特出众的语言风采。语言，语言是直抵人心的一道光。
逍遥虾,5,2022-05-11 03:26:32,unknown,34,如果可以的话，我想打6星。既有扎实的知识、理论基础，又有深度的思考，再加上平实、生动地讲述，同时背后还站着一位悲天悯人的灵魂。中国太需要刘瑜这样的讲述者。
豆友205391929,5,2022-05-11 06:15:30,unknown,4,大开眼界
重置,5,2022-05-11 17:26:52,unknown,21,同一天完成了夜航西飞和可能性的艺术，天上和地下的故事同样令人着迷。
徐公子～,5,2022-05-10 19:13:50,unknown,15,政治学无法被证伪，因而也不能算是科学。刘瑜这本新作对我最大的帮助在于开篇提到的通过比较建立参照系的思维方式，通过不同地理疆域和历史片段、整体和局部的比例观察来分析各国政体选择和国家建构的成果，来反思威权与民主、专制与自由、暴力与良善、宗教与文化的不同组合带来的影响。结合当下，也时刻提醒自己保持理性，不要被个例煽动情绪，也不要被立场蒙蔽双眼。
Orion,5,2022-05-12 23:25:12,unknown,2,2022.5.12纸质书+微信读书版本。Keytakeaway：国家能力
璞瑜,5,2022-05-12 22:27:13,unknown,10,爆灯！在看理想app听完了音频内容本身没有影射任何社会现象但当我分享一些片段到豆瓣大多被吞了或许正如刘瑜所说在变更好之前往往要变更糟。
Diana,5,2022-05-13 11:09:45,unknown,3,仿佛上了一个系列的通识课，即是对冷战以后世界范围内各个国家重构的极简史，也是对政治社会变迁的一次详细解读。可读性很高。
piecesky,5,2022-05-13 12:49:26,unknown,6,刘瑜的书读来真是一种享受。温柔又理性，全书一课一个关键词，比如“表亲的专制”、“防御性民主主义”、“自由霸权”、“弱独裁者”等，讲解得非常透彻。政治是一种可能性的艺术，它离不开社会和文化的土壤，可能也不具备举一反三的条件。我觉得学习政治学的作用，在于不再极端和偏颇地看待这个世界，也不再完美地要求它按照特定的逻辑去运转。
TONG,5,2022-05-14 03:28:31,unknown,3,2022年年度最佳。（截止到5月）
leezh,4,2022-05-14 08:01:42,unknown,11,别的不提，打的比方太精准了
Nick,5,2022-05-18 13:30:27,unknown,10,对比了下课程，酥-鹅两节删掉了。
keytabris,5,2022-05-18 18:36:39,unknown,8,我们之所以更偏好自由主义的政策，并非它完美，而是其余已知选项早已被证明是死路。很多国家兜兜转转几十年，最后发现自由民主的道路是唯一出路。
树木游泳的力量,4,2022-05-18 19:02:20,unknown,9,对熟悉政治学的社科学生来说，本书观点还是其次，但在非学术化的视角下，刘老师的写作风格真的值得学习...生动地能掐出水
CWRun,5,2022-05-18 21:13:14,unknown,2,刘瑜在这本书为很多偶尔会被想到的政治问题订立了度量衡，她为很多问题划出了边界，什么东西可以比较，什么东西不能比较，这种比较标准的观点其实要远比书里的洞见(一样很多)更为受用。
tiantian,5,2022-05-18 23:18:57,unknown,1,五星好评，有意思。
龙在,1,2022-05-18 08:46:51,unknown,35,以前读过这位作者的《民主的细节》，硬着头皮都读不下去，感觉就是端着，话都讲不清楚还非要讲，浅薄无知还自以为是。
鲸背月色,5,2022-05-18 11:28:08,unknown,2,日光底下无新事。
塵月🌒⛓️🇺🇦,5,2022-05-18 19:49:17,unknown,1,作为可能性的艺术的政治。
艾莉丝,5,2022-05-18 23:37:32,unknown,2,「了解其他国家不仅仅是为了“猎奇”，甚至不仅仅是出于“心怀天下”的世界主义情怀，也是为了在浩瀚的可能性中理解我们自身。」#2022年看完的第49本#
Ann__,5,2022-05-19 19:31:07,unknown,3,在理想国一刷，成功让我对世界史和政治学感兴趣，大大丰富了我的书单。读政治不可不读文史哲，本书介绍了大量的政治事件，援引各种体制的国家实践，这也就意味着，如果不博览史书，我们就是在凭空构想政治的空中楼阁。刘应该是一个温和派，我也相信读的越多，下结论时可能就会越谨慎。
鱼,5,2022-05-19 23:54:19,unknown,2,三十讲音频听完太棒啦！充满比喻的政治学，客观中立，通俗易懂。当我们从历史的角度看待整个世界，就会发现个体是多么渺小，而所能够拥有的平等，自由是多么可贵
Riceman,NaN,2022-05-20 03:05:09,unknown,0,看理想音频
bluedream,5,2022-05-20 03:04:02,unknown,6,前面的叙述都很精彩辛辣最后一章政治经济学可能因为作者没有深耕过笔力明显下降但前面几章都相当精彩包括泰国黄衫军、红衫军的对抗和“程序正义”，南非的政治软着陆等，对读者比较友好
Ansiz,5,2022-05-20 13:24:43,unknown,3,多国政治比较是非常有价值的，能极大的开阔视野。唯一的遗憾是作者对中国的情况尽可能避而不谈
手机逃宝,5,2022-05-19 08:49:19,unknown,6,个人认为和兰小欢老师的《置身事内》一样，是我目前读过的最好的讲稿与科普性质的书籍。
一碗儿沙拉,5,2022-05-19 11:07:47,unknown,4,简单易读的通识，视角和启发无穷。多一星给政治性抑郁的当下，在对「具体」保持警惕、保持愤怒、保持真实感受之外，也要将情绪适度抽离，更全面地去动态看待个体与时代的关系，不过度乐观，也不至于全盘沮丧。毕竟生而为人，来都来了=.=
鱼的九思,5,2022-05-19 12:10:51,unknown,3,不自由的民主；人民不是一个整体，是多元的，甚至于两极化的；我们珍视社会团结，但我们也珍视自由，而自由必然包含着多样性；并不存在作为整体的人民，只有形形色色的群体；如果你觉得万众一心是好事，一定因为你不是第10001个声音；不需要万众一心，需要就如何对待分歧达成共识；斗士的问题在于他们太有战斗性了；民主是一种决策程序，而不是决策本身；认同逻辑碾压理性逻辑；民主就是慢，威权的特点就是快；美国的优势从来不是国家能力，而是个体创造性和社会活力；一个强大得政府被一个更强大的市场和社会环绕；源于道德直觉的正义感有种令人敬畏的天真；真正的民主文化是参与精神、服从意识及政治冷淡的混合体；理性的无知；不甘平庸之恶；意识形态是现实的滤镜；政体有限论。
纯情又生动,5,2022-05-14 14:50:53,unknown,4,缺了第八讲“娜拉走了有多远？”和第十六讲“国家能力越强越好吗？”多年过去，刘瑜的书依然如此合我口味，可读性与学术性平衡得刚刚好，太舒服了
