user_name,star,comment_time,geo_ip,vote,short
57,4,2011-08-13 22:13:10,unknown,2633,乡愁也是有阶级的。
亚比煞,5,2017-03-16 15:07:21,unknown,2461,其实都不是台北人，是一个个曾见证过大陆繁华的旧精魂。此生谁料，心在天山，身老沧洲。
远子,4,2015-07-05 23:48:04,unknown,920,除一两篇过于清淡，其他都不错。
瓦哈拉水产🦑,5,2013-09-24 17:04:18,unknown,1028,尹雪艳是不老的幽灵，安详的立在她的公馆窗边，看着朱青，金兆丽，窦夫人他们来来往往，逐渐老去。
游牧人·芳汀,4,2012-11-20 22:10:59,unknown,285,今不如昔。一群困在过去，却被时间遗忘的可怜人，用腐朽的肉身来悼缅永不再流转重来的宝贵青春。读民国遗少白先勇的文字，感受着他对旧时代中国传统渐渐消失的惆怅惋惜之情，这个秋夜，窗外飞扑的蛾子似乎也没那么扰人了。
睡睡睡,3,2015-05-02 21:51:08,unknown,235,不论文学价值，主观讲好看程度的话，除了《冬夜》，其他几乎都不好看。中国人那点事儿，尤其是风月场交际圈的，「人」气都要溢出来了，闻多了就腻就恶。
司徒佩德,4,2014-11-30 15:41:52,unknown,258,不想放弃过去的人们都溺死在生活中
cavalier,5,2013-11-09 22:57:25,unknown,156,同样是那一时代的痛，白先生与龙先生不同。龙先生的文字让人痛得撕心裂肺，嚎啕大哭不能自己，而白先生的文字中那种痛，压抑在心里却说不出口。
黄雷蕾Linali,4,2015-03-29 17:35:47,unknown,173,惟草木之零落兮，恐美人之迟暮。
菠菜长颈鹿,5,2014-07-22 23:24:34,unknown,165,旧日子像一件暗淡的皮草大衣总让人想细细翻找其中隐藏的一点一滴华贵耀眼过的迹象
滕子京,5,2017-01-06 11:15:11,unknown,149,大陆象征传统秩序，台北象征西化混乱。如今完全反过来，讽刺之外又一讽刺。每一篇的主题不断重复，重复之中组合成众生相。上至达官将相，下至妓女奴仆，篇篇可哀，人人悲苦。无奈江水东流，大厦倾覆，渺小个体只能如鹅卵石激流颠簸。今昔画面叠加，技法高超，人情复杂，《游园惊梦》《岁除》等可反复习读
向上游的鱼,4,2014-04-15 20:27:47,unknown,120,吴念真的《这些人，那些事》讲述的是台湾本省人，而白先勇的《台北人》则讲述的是被大时代的命运抛离，最后飘落在台湾的大陆外省人，二者一起构成了二十世纪四十年代至七十年代台湾社会的一体两面。
渡边,4,2017-02-21 22:49:42,unknown,113,往好里说，算是部低配版的红楼梦，人物，腔调，构思，人情世故乃至历史感，该有的都有了，白先勇也几乎是个民国的曹雪芹，比曹还幸运许多，不仅吃过见过，还能在时过境迁后追思缅怀一下，嗯，新世界的确是好的，我接受也享受着，可我偏偏喜欢旧的。
大佑,4,2015-09-07 20:57:26,unknown,72,4.5看的時候最受震動的是寫王雄的那篇「那片血一般紅的杜鵑花」和寫娟娟的那篇「孤戀花」。其實游園驚夢那個短篇也很精彩，書名取為「台北人」確實厲害。
