user_name,star,comment_time,geo_ip,vote,short
summer,5,2010-02-09 02:50:07,unknown,1478,小学六年级读的，感觉是二十四史中最好的一套。读完这套书，语文考试古文部分总是满分。
davekozg,5,2012-05-09 03:25:56,unknown,645,又看了一遍《淮阴侯列传》。粗略算了这篇文章给汉语言的留下的遗产：胯下之辱；明修栈道暗渡陈仓，独当一面，妇人之仁，背水一战，置之死地而后生，十面埋伏，智者千虑必有一失，国士无双，捷足先登，四面楚歌，逐鹿中原，韩信点兵多多益善，成也萧何败也萧何，传檄而定。乃们这些刷影响因子的弱爆了！
Adiósardour,5,2014-12-11 18:59:51,unknown,184,中国古代，史学是包含在经学范围之内没有自己的独立地位的。所以史部之书在刘歆的《七略》和班固的《艺文志》里，都是附在《春秋》的后面。自从司马迁修成《史记》以后，作者继起，专门的史学著作越来越多。于是，晋朝的荀勖适应新的要求，才把历代的典籍分为四部：甲部记六艺小学，乙部记诸子兵术，丙部记史记皇览，丁部记诗赋图赞。从而，史学一门，在中国学术领域里才取得了独立地位。司马迁的文学修养深厚，其艺术手段特别高妙。往往某种极其复杂的事实，他都措置的非常妥贴，秩序井然，再加以视线远，见识高，文字生动，笔力洗炼，感情充沛，信手写来，莫不词气纵横，形象明快，使人“惊呼击节，不自知其所以然”。所写的虽然是历史上的实有人物，但是，通过“互见”即突出人物某种主要特征的方法，通过不同人物的对比，以及在细节方面的虚构。
陆秋槎,5,2010-08-22 13:58:05,unknown,104,等2015年的新版吧。按陈尚君老师的说法，点校本二十四史里，《史记》卖得最好，但是问题也最多。不过说是点校本，这本的校勘记在哪里呢--
乐化天,5,2007-04-01 16:44:48,unknown,113,一个史书，要不要文笔这么好啊？
Zhai Liang,NaN,2012-01-27 11:38:05,unknown,32,这书可以读一辈子每次看都感觉不一样
常州秦某,5,2015-07-03 19:51:47,unknown,28,自3月3日以来，断断续续，花整四个月，平生第一次将此十册《史记》并三家注逐字通读一过。
Isaac,5,2011-06-15 20:41:34,unknown,37,史家之绝唱无韵之离骚。盖西伯拘而演《周易》；仲尼厄而作《春秋》；屈原放逐，乃赋《离骚》；左丘失明，厥有《国语》；孙子膑脚，《兵法》修列；不韦迁蜀，世传《吕览》；韩非囚秦，《说难》、《孤愤》；《诗》三百篇，大底圣贤发愤之所为作也。
商夏,5,2012-07-07 12:47:26,unknown,25,我想吐槽说有些地方你确定不是太史公编的？不过无韵之离骚不是吹的。
沉歌,5,2013-08-19 18:51:16,unknown,17,几年前把白话文版本的送给小郡主后就琢磨着再入一套文言的，中华书局的装帧甚得我心。
青空,5,2016-10-27 11:21:30,unknown,13,在图书馆懒懒散散啃了两学期，在今天，终于读完了！！！惭愧，现在才通读一遍，以后每隔十年重读一遍吧。
［装注销］,NaN,2014-02-23 16:04:10,unknown,11,看的电子版，这纯mark下。10年夏天打算读，但正式上手是12年底了。作为人生第一本史书，读起来痛不欲生，看完后面忘前面，但还是啃完了巴扎嘿！
Vamei,5,2012-08-27 18:49:20,unknown,12,荡气回肠的古籍。
甚小望远镜,5,2012-09-02 21:57:40,unknown,8,史家之绝唱，无韵之离骚。中华书局的经典版本，繁体竖排，校勘细致，集解、索引、正义都非常完整易查。实为必备藏书。
豆总Jessica,5,2009-12-03 11:16:58,unknown,8,1991纸质。2岁开始，迄今N遍。。。最早接触的非白话文书。。深受影响
琴酒,5,2008-09-17 17:35:55,unknown,9,需要空下来的时候再重读一下几个列传。
wildice,5,2009-02-01 23:33:14,unknown,8,想給六顆星
Grit,5,2011-06-18 09:39:46,unknown,6,我觉得，这是读一辈子的书
Mephisto,5,2013-12-06 10:37:54,unknown,4,要籍補錄。子長鑄造了他之前的全部歷史，也影響了他之後的全部歷史。
蝉,NaN,2014-01-12 19:36:01,unknown,4,:	K204.2/1673-17
北方的河,5,2011-11-02 10:20:40,unknown,12,神品！！！必读，至少部分章节必读。不解释！多年前在交通路和中山大道交界路口的武汉古籍书店买的，现在那拆掉做地铁站了，就在万达星巴克正对面。一套十本，45.65元，当时觉得极贵，犹豫N久，才忍痛入手。
乌柒吗黑,5,2014-09-03 18:35:25,unknown,10,太史公写的还是太倾向于汉室正统
揽尘,4,2021-01-27 22:00:07,unknown,3,十余年前在合肥增知书店购得，59年第1版、82年第2版、85年9印。屡拿屡放。去年2月再发大愿，至今近1年，翻完。读这个版本，非惟需古文功底，对汉武帝以前的国史，也需有相当了解，否则难知其味。三家注距今已远，不知是否有今人笺注，如杨伯峻之注左传、余嘉锡之注世说、陈鼓应之注庄子者。这一版本，实在不是入门者的好选择。
潘允嫒,5,2019-06-15 11:58:59,unknown,12,顺，不妄喜；逆，不惶馁；安，不奢逸；危，不惊惧；胸有惊雷而面如平湖者，可拜上将军也。
凡夫,5,2021-03-12 15:44:05,unknown,7,宫刑之人记述，颇多幽暗之处，未见世面之人读，得其一文采而已，为末节。太史公记述，前后用语需仔细琢磨，要时刻记得提醒自己，暗夜之中，他老正眯着眼笑，看后来人能不能明白他在文字中的秘密与游戏。例如汉高祖起家前后在沛县所为。例如缇萦救父的文帝法制改革与个人命运的缄默不语。
四条眉毛,5,2021-04-06 20:29:35,unknown,10,大概，在司马迁那样的时代，读书写书是一门超级高端的事情，即使过了两千多年，依旧能品尝到书中的甜美和柔滑，现在虽然语言词汇科技更丰富了，却再也没能有人写出这样文字。读博期间最开心的事就是翻开《史记》和前后《汉书》了，心之所向，吾往矣！
景天,5,2011-03-16 16:08:13,unknown,6,无岩处奇士之行，而长贫贱，好语仁义，亦足羞也。
耶斯特洛夫斯基,5,2013-06-02 22:44:18,unknown,5,纯爷们儿打造，五千年正统观的大厦基石
鹅掌柴,NaN,2014-01-07 21:42:46,unknown,4,想来想去，这书也轮不到我来评价。太史公非常大气，每一部分之后的点评都有自知开天辟地的气韵在。等我把通史教案写到汉朝，如果感受足够允许，再来详细做比较评论。
萧萧南浦,NaN,2008-10-24 22:25:55,unknown,5,旧书不厌百回读，熟读深思子自知
malingcat,5,2021-09-15 12:31:28,unknown,2,这套老书，忘了标注。版本也都是先入为主，一直没机会看别的本子。据说《竹书纪年》和《清华简》出来，有些地方要慎重对待。
姬流,5,2012-06-15 16:23:29,unknown,1,一过，和小时候的注意点完全不同。甚至觉得小时候看的不是史记
sllllllllllyun,3,2013-05-31 15:19:50,unknown,1,给史记3星也就我了吧。其实是对里面的排版方式不感冒。这样的写法对我太多新颖比较难接受吧。还有就是。其实我挺喜欢吕雉的。怪吧
翡冷翠,NaN,2011-05-25 17:29:41,unknown,3,喜欢对秦始皇本纪！
vivo,NaN,2010-10-06 15:38:51,unknown,0,暂时只选读了一部分篇目。
鬱鬱乎文哉,5,2012-04-16 18:17:50,unknown,3,尧曰[终不以天下之病而利一人]，而卒授舜以天下。
齐鲁矿业李德友,NaN,2008-10-16 20:47:52,unknown,1,高中看的
郑奉常论隋炀帝,5,2020-01-10 10:21:45,unknown,3,请把司马迁和班固从中国文学史上删去，请不要相信文史不分家，这才是对司马迁最大的尊重。
定,5,2021-04-11 23:06:29,unknown,4,再放两千年，它还是经典！
泡腾片,5,2021-04-09 21:11:00,unknown,5,惟不拘于史法，不囿于字句，发于情，肆于心而为文。
哦,5,2021-04-01 11:40:33,unknown,1,史家之绝唱无韵之离骚
momo,5,2020-08-18 14:55:21,unknown,1,把人物传记部分基本上读完了，希望明年能选上史记导读课，按读小说的方法读史书会错过太多东西。
唐错刀,5,2011-09-27 01:15:36,unknown,0,有趣
BBS,5,2007-10-05 17:45:46,unknown,0,最好的版本
浅草君,5,2009-05-16 14:18:26,unknown,0,不错的文言文范本
秦川,NaN,2018-01-24 23:58:41,unknown,1,“史家之絕唱，無韻之離騷。”良然良然。
抚顺读书人,4,2006-10-09 09:39:27,unknown,0,读到第六册
Jeff,5,2007-04-26 11:34:20,unknown,0,大部分都读过.
清暉,5,2009-09-10 23:08:03,unknown,2,精神真是无比强大。
梦原望,5,2021-05-26 10:47:52,unknown,2,其实这个某种程度上来说也可以打一亿星，可能是我买过最多版本的书，中华书局版、中华国学文库版、岳麓书社版、教育部阉割版、购物商场一楼盗版书摊卖的不知道是啥版、还有只有二十分之一版本的超精简小人书版。
Black Tulip,5,2020-05-17 19:43:29,unknown,6,多谢太史公，留给后人观见的不仅仅是一个纸面上的历史记录，而是一个广阔的社会画卷，有王侯将相有三教九流，有血有肉有歌有泣，有满口满言的仁义道德，也有字里行间的隐晦微妙，甚至给“今上”汉武的描述评价里也全是关乎求仙问道。我想在太史公这里，历史不是为尊者歌功颂德、为后世唱礼义廉耻，而是一种不虚美不隐恶的同时倾入自己所有的感情和心血。
süden,5,2006-06-11 01:47:36,unknown,2,由于没有语言障碍，在下心目中堪称完美的一部作品。
梁某人,5,2008-04-21 11:04:41,unknown,4,最喜欢太史公的点评，呵呵，很NB
欧阳娜娜,5,2021-03-21 23:22:44,unknown,3,很好看，经典之作！史家之绝唱，无韵之离骚！
lumenlumen,5,2021-03-22 04:18:41,unknown,1,q
薄荷花栗鼠,5,2021-03-19 15:06:20,unknown,1,语言表达到位，是我最熟悉最喜欢的一本史书
豆友208256962,5,2021-03-20 12:43:28,unknown,1,最近查资料把秦末、项氏和汉初那些部分又细读了一遍。
