user_name,star,comment_time,geo_ip,vote,short
年高,4,2013-01-19 23:45:58,unknown,2876,鲁迅如果不被赋予那么多政治色彩，单看作品也是一个优秀的毒舌家的
老黄天生神力,5,2012-06-03 01:15:41,unknown,2545,看他的文章还无法醒悟的人是该有多么可悲
娅,5,2011-07-18 21:54:43,unknown,1666,一个特立独行的人需要金钱来保持他的尊严，否则就只有被毁灭的份，人们是不能容忍一个穷光蛋的异类的。就象一个老姑娘要用钱保持她的高傲，否则就是耻辱。
愚公,5,2015-05-14 17:20:21,unknown,981,这部小说，大体上是描写了辛亥革命前后乡村发生的一系列的故事，其中以鞭子、革命、秀才、假洋鬼子，扮演出一幅中国传统社会的浮世绘。在这里，我们不妨感慨，鲁迅笔下人物的生命力。鲁迅是描写了辛亥革命前后，我们已经革命胜利六十多年，但是假洋鬼子、赵老太爷难道就绝迹了吗？咸与维新，却一切照旧。
PulpOrange,5,2015-08-24 06:15:11,unknown,790,狂人在望着赵家的狗，孔乙己在讲茴字的四种写法，华老栓在拿夏瑜的血馒头，九斤老太在感叹一代不如一代，闰土在隔着厚障壁叫我老爷，圆规杨二嫂在捡东西，阿Q在逗尼姑，耍无赖，闹革命，要困觉，精神胜利法，迅哥在怀念那夜似的豆，那夜似的戏。我们在铁屋子里装睡，想着年轻时做过的许多的梦。
Azeril,5,2013-05-31 23:30:30,unknown,202,老爺子的書真是良心寫就看著是那樣眼冷心冷的樣子卻還是在感覺透著涼意的對荒誕現實的敘述之下一腔熱血。俯首甘為孺子牛誠然。那鐵屋的呐喊警世鐘依然迴蕩。回望殘陽如血抬頭低頭現實依舊殘缺。
掉线,4,2017-05-02 20:55:41,unknown,122,都tm赖张杰，故乡那一章我再也没法读进去了。
黑伞,5,2019-01-23 13:07:35,unknown,163,已经不知是第几遍看了，百看不厌最根本的原因在于：鲁迅在本质上使用的是两条并行不悖，完全自恰的逻辑。几乎没有一个现代中国作家，能像他这样把现实性和隐喻性之间的关系处理得如此圆融，简直天衣无缝。比如《狂人日记》，若看明白了，觉得它讲的是启蒙，是反封建礼教和传统文化，但如果你没有这样先入为主的陈旧阐释观，只看叙事，它还真的就是本狂人（疯子）写的日记。在这里，病/没病，疯狂/正常，非理性/理性就是一枚硬币的正反面，完全是一体的。和当时《新青年》的许多撰稿者不同，鲁迅写这些文章时已过了激情澎湃的青年时代，用他自己的话说，就是寂寞，是茫然四顾而全无应和者。所以对启蒙，对现代性，鲁迅比当时的任何一个文化人都能更深刻地认识到其中的两面性，它的吊诡。也就是说，鲁迅在启蒙的伊始，已经预言了启蒙可能的结局。
[己注销],4,2012-03-05 09:32:29,unknown,163,喜欢过鲁迅，讨厌过鲁迅，鄙视过鲁迅，尊敬过鲁迅……如今再回过头来看，鲁迅是时代的一部分，你觉得他出彩，也要看到时代给了他机会，庆幸他没活到后来
嗑樂貓,5,2011-11-25 21:11:49,unknown,182,现在是2011年，感觉中国没变啊
