user_name,star,comment_time,geo_ip,vote,short
🫀Psyche,5,2013-07-17 11:57:08,unknown,3397,你如果想把一些隐形的痛苦写的让人痛彻心扉，就用小孩子的眼光写。只要你是个成年人，你都会理解这种纯净的放大镜下最难忍的痛。萧红真了不起。
筷喜旺,5,2014-10-25 17:34:34,unknown,1562,几乎每个人都是不幸的，可日子还得安安静静的过。
任晓雯,5,2010-01-31 17:54:40,unknown,1317,年轻时读《呼兰河传》没大感觉。这会儿重读激动死了。这种地方志式的小说，很容易写得乏味（参见历届茅奖中这一类型），没想萧红写得那么耐看。所谓风土人情，“人情”是重点。光有“风土”，不过是强凑进小说的散文。这也是为何，《长恨歌》冗长的开头常为人诟病。同样写农民的劣根性，萧红写得比鲁迅好。相比夸张讽刺漫画式的手法，扎扎实实不动声色的白描，实在是更高级的表现形式。
芦哲峰,4,2012-12-14 09:17:05,unknown,752,文笔干净似雪，内心凛冽如刀。
阿梦,5,2014-01-09 11:56:46,unknown,500,第一次读萧红，对她是又敬佩又喜爱。在白话文刚刚兴起的年代，她竟能写的如此语言流畅，文思缜密又意境幽远的书；她将日常写的像隆冬时下的大雪，天地万物即便是寒苦都显得是那么的纯美。以幼童的视角展开叙事，浑然天成一股童贞的客观，即不流于煽情又不失于冷漠。
狂乱桂公子,5,2014-03-29 13:45:05,unknown,376,满天星光，满屋月亮，人生何如，为什么这么悲凉。
Février,5,2010-06-08 08:42:01,unknown,303,“是不是我将来一个人也可以走得很远？”
方悄悄,5,2013-10-07 11:14:32,unknown,242,旅行的时候看完的。看到最后，非常难受。因为写得太好了，浑然天成，又那么亮堂。真正优秀的作家一定是脱离派别，用自己独特的方式去写的。
曾良君,5,2014-09-09 10:27:40,unknown,217,萧红对于世态炎凉的观察讽刺虽然老练，可人却非常天真，既敏感又不安，时常被男人骗，可大概只有这样非常复杂的人生经历和矛盾的性格才可以写出呼兰河传来吧。
with,5,2015-08-18 22:50:23,unknown,203,越是轻描淡写越是沉重
Proton,5,2013-03-15 09:36:27,unknown,176,文字就是这么奇怪的东西，明明是最简单的句子和词，初看很淡，细想都是密密麻麻的悲凉和孤独。看得我想家。
岛上的夏奈,5,2014-11-02 23:17:32,unknown,136,说《黄金时代》流水账的人，大概是不明白许鞍华是顺承了萧红的行文呢。
刘小昭,5,2014-10-31 18:12:31,unknown,110,一直有误解，以为是那种红色小说革命题材，最近偶然开始读，才发现居然这么好看！萧红的文字有种流淌的感觉，太舒服了~不腻不装不做作，简直是意外惊喜。
宋不吃,5,2014-10-06 22:10:30,unknown,106,最开始读也有那种「哪里好了，你们真是想多了」的感受，但是越到后面，这种看起来是「自传体」的自我叙述开始写很多人，那种细腻的视角，悲凉，宿命，自我的抗争，又在其间体悟又挣扎出来冒险的朴素与真诚，把我打动了。原来写「自我」并不一定就会写的煽情自恋，也可以这么平实，朴素，意犹未尽。
小心和小欣,5,2014-11-10 16:14:21,unknown,103,萧红真的是才女。从薄薄的一本书中，能看到中国“人”。
Ichikavski🌈,4,2015-07-05 05:43:32,unknown,94,萧红自己说自己写的是童年难以忘怀的两三事，然而我想即使在她自己看来，这本书也满满的都是“恶”，自己的恶，村众的恶，来自无知的恶，来自欲望的恶，来自不幸的恶。因为是童年，所以反倒对恶没有任何矫饰，恶就是那样存在的，像童年一样纯洁清晰。
Q。,4,2014-03-05 10:15:30,unknown,102,「满天星光，满屋月亮，人生何如，为什么这么悲凉。」文笔朴实，画面感极强，干净利落，凄凉无奈，一股冷意贯穿。
哆啦C梦2.0,4,2013-09-03 10:10:23,unknown,98,这是一封写给故乡的家信。PS：看到团圆媳妇被封建迷信活活整死那一段简直让人咬牙切齿、背脊发凉。我才知道旧社会迫害妇女竟然还有这么多招数。
风细细™,4,2012-05-19 18:02:48,unknown,87,林海音的《城南旧事》是一汪平静的水，沈从文的《边城》是暖暖的流水，萧红的《呼兰河传》是萧瑟的秋水，书里唯一的温暖来自祖父，仿佛是冬夜里摇曳的那点烛光。《城南旧事》或许只是感伤，《呼兰河传》则是神伤。“并没有什么优美的故事，”只是“忘却不了，难以忘却”的回忆。可是这回忆仿佛是杜鹃啼血，回忆的尽头就是永远的离开。“出名要趁早啊……”于是奔着功名去的果然一直出名着，而沉寂的则永远沉寂了，社会居然按此规律运行着，是不是一种悲哀……（台湾百年千书的第174。）前几天晚上看电视上《舌尖上的中国》，讲到呼兰河的泡菜，怎么都是朝鲜族呢……
夏笑薇,4,2015-07-01 20:11:50,unknown,79,呼兰河的人们啊过着努力散漫、没有前路更不回头的日子，他们活在日历里，每一天平板板的，带着些冷漠，活着，然后死掉了。心好像在坠落坠落，字里行间的凄苦苍凉，源于纯真的恶，天性似的，染上了呼兰河的每一指泥土。都死啦最终，挣扎在泥坑里的人，越拼命，越窒息。19岁萧红离家，只带走了她稚拙浑朴的美，是低调大方的，若是我，洞悉往后艰难坎坷，定仍会头也不回、扬长而去，这是我的年纪，愿待我和她的31岁打个照面时，能有如她这股温静冲淡。
Lies and lies,3,2014-11-25 23:51:08,unknown,57,似乎已是将死的口吻。
玻璃渣,5,2013-09-16 08:50:20,unknown,51,要说这呼兰河传写的才叫好呢。好的叫人读着读着就把书放下了，反倒忍不住到店里买了一块豆腐来，拌着吃了。吃着这豆腐，就更忍不住喝了两碗小米粥下去。要说这书写的才叫好呢。
荒木,4,2014-10-09 10:41:08,unknown,54,她躺在病榻前，随口说了几个故事，然后背过身去，独自面对荒凉的生命。
欢乐分裂,4,2014-09-03 10:30:41,unknown,42,#重读#读过不同出版社的呼兰河，竟从未读懂过；直白浅显的文字，没有主观情绪渲染，也深深呼吸着寂寞和苍凉，人世间不受控制的生老病死，在她笔下是麻木的，也是主动，他们遵循着千百年来生存的规则，春秋更替，他们未必没有灵魂，“活着”才是大事；后花园和祖父写得极美，终生的回忆温暖，她从未远离那座北方小城。
