user_name,star,comment_time,geo_ip,vote,short
游牧人·芳汀,4,2010-09-27 00:00:52,unknown,601,《哑奴》真是看一次哭一次。
姚瑶,5,2013-10-22 19:00:15,unknown,226,19本的三毛全集，初中时候一本本买齐的，我真是按部就班的好孩子。
末摘花,4,2018-03-31 00:40:57,unknown,71,每一个故事都那么真实动人，大胡子与我好温馨…
虚弱橙,5,2012-03-21 02:51:20,unknown,33,从序言开始的每篇，都令人不仅仅是触动，而是一些更深沉的东西。生与死成为了被世人遗忘了的沙漠里寻常的故事，撕心裂肺也丝毫未见用力过猛。
Moss大妖,4,2008-08-07 12:39:07,unknown,50,印象最深的应该是沙伊达的那个故事~~唉，那个时代，那种地方……
左左☮,4,2008-02-25 20:27:16,unknown,16,重看了一遍，鼓起勇气，因为是悲剧……但是，所带来的震撼却大大少于了5年前……是我开始变得冷漠了吗？ono~
北溟鱼,NaN,2007-12-15 20:32:15,unknown,11,有人說，三毛的流浪其實不叫流浪
童子鸡OH!E!E!,4,2012-02-22 11:12:07,unknown,9,哭泣的骆驼陌生人的死哑奴要怎样才能帮助所有人冷漠何等磨人
临素光,5,2008-12-29 19:13:29,unknown,9,那些漫漫黄沙的爱与忧愁。
Chandelier,3,2015-11-19 15:00:01,unknown,10,最喜欢的是《哭泣的骆驼》那一个中篇，其他都没什么感触了，比如《女巫》那一篇，没有因果，也不知道到底想表达什么。《哭泣的骆驼》还是看得很悲伤，知道对于追求不到的人，ownordestroy，真是humannature。看完然后我把追我而不得的阴险男子们的微信全删掉了。。。
S星星陈,5,2012-01-30 20:33:18,unknown,4,这标题后面的故事现在想想还是觉得特别悲壮吖
████,5,2013-04-10 07:36:02,unknown,6,让人不忍的哑奴
宋不吃,5,2013-01-28 00:51:19,unknown,7,这是我感性的要死的时代。
眼角的花朵,5,2008-01-12 16:16:17,unknown,5,三毛印在我整个少女时代的名字
玛格丽特*年,4,2013-03-24 14:09:15,unknown,2,三毛写的撒哈拉部分都不错。
疯狂の夏虫,5,2012-08-12 21:36:31,unknown,3,伤心，是一种最堪咀嚼的滋味
