user_name,star,comment_time,geo_ip,vote,short
Yeoman,5,2012-10-29 12:31:59,unknown,988,入世弄微信，地铁绕燕京。闲时三两页，明月照人心。
水龙吟,5,2014-02-18 11:04:07,unknown,268,“浮云一别后，流水十年间”10年后再读唐诗三百首，直可谓句句动情，字字惊心。
Veronica,4,2011-09-11 22:23:45,unknown,157,初中暑假每天背一首，还真有情趣~
蓉,5,2017-03-23 20:25:11,unknown,136,读着这些优美的唐诗，不由得感叹：现在怎么写不岀这么优美的诗了。
阿烈,4,2016-03-20 23:05:07,unknown,46,杜甫粉。王维这种小清新我是真读不进去。还有就是。。。。堂堂大学生，我读的版本竟然是中小学生必读丛书版=_=
Alain,5,2016-07-12 21:00:09,unknown,17,找一处僻静的地方，读，一边走一边读出声音来，不管遇到什么不懂的词语或典故都不去查，只是读。然后你觉得美，觉得诗歌不在文字里，诗歌是节奏，是扬抑，是你的心跳，你呼吸的节奏，你行走的步数。
文泽尔,4,2008-05-30 03:41:10,unknown,7,启蒙诗集，反复读了好多遍
小愉深情款款地,5,2014-06-01 23:47:43,unknown,3,不知是几岁收到的的“儿童节”励志礼物
汤之问棘🌈,5,2009-12-28 08:24:53,unknown,4,没有李贺居然
微喵的兔姑娘,4,2012-10-03 13:25:55,unknown,10,红楼梦里黛玉告诉香菱，多读诗句，不出一年自然就是诗翁。古人常云“读书破万卷，下笔如有神”（读了唐诗三百首入肚，人笨仍不会作诗，倒是跟着熏染了意境和美句，心情很好
粟熙,5,2008-06-07 23:41:15,unknown,4,鹅，鹅，鹅……幸好前面没有恒源祥
小二切半斤孤独,NaN,2012-09-09 14:38:10,unknown,6,还记得那些美好的周末阳光正好，妈妈骑着自行车带我去郊外看山看水看花看草一路上则是唐诗三百首陪着我，在杜牧的秋思里看大雁南归，在断肠人在天涯里看细水长流，在朝发白帝城里看滚滚江水，那一年我4岁
碧荷斋书生,NaN,2013-05-22 18:54:42,unknown,2,唐三百和千家诗我的诗歌启蒙读物呀。从小学读到大学，一直都带在身上。。
乔帮主,5,2020-05-30 12:47:11,unknown,6,当年拿着《唐诗三百首》，信誓旦旦地想着一天背一首，结果第一天背了《感遇》，记得“何求美人折”，学会了“葳蕤”这个词。然后…就没有然后了…
一个家庭成员,5,2011-04-18 22:06:45,unknown,2,印象里不是这个封面……记忆里是爷爷自己包的书皮……
完颜穆尔登格,5,2017-12-26 14:14:15,unknown,1,在热带海风吹拂下重温古诗
浮生若夢,5,2009-12-31 15:13:55,unknown,5,小时候天天背，长大了全忘光。
Azeril,5,2014-02-19 21:54:59,unknown,2,作為唐詩經典選本真心不錯小時候那會抄錄的原本啊懷念那會兒的美好時光哪怕背詩也是一字一字品著的樣子
末摘花,5,2018-02-08 07:19:57,unknown,41,这本书大家都不陌生，家长们必备神器，现在看很是亲切！
blackstar,5,2009-12-09 22:32:51,unknown,3,最喜欢的书
午夜水族馆,NaN,2014-03-10 13:34:51,unknown,0,补习小学生课程
许莲子,5,2010-11-16 10:20:13,unknown,0,好便宜！纸都黄了。。。
何欢。,5,2012-02-29 20:58:53,unknown,0,不解释……
五星集中营,5,2009-03-07 18:20:17,unknown,0,|612:233|
鬼子不言,5,2009-04-29 09:02:52,unknown,1,初中开始读，当时的宏愿是背下来，背了一百多的时候，没有顶住，现在忘得差不多了
Fan,5,2010-11-16 13:47:18,unknown,0,回忆我内苦命且满足的夏天之一
蜜瓜面包,5,2015-12-12 22:55:26,unknown,1,昨天开始，睡前背一首！在路上的时候可以消磨一下无聊的时光
禾一,NaN,2008-10-04 21:52:55,unknown,0,恩。普及本
托马斯杨,5,2013-01-06 12:37:58,unknown,0,清朝的这位先贤真是做了一件大善事啊。直接影响到现在，我手机iBooks里面常年保留这个选辑本，没事儿的时候可以看两眼，哗众取宠的时候可以用来当做资料。非常好。
我叫卢大胆,5,2011-10-01 15:04:52,unknown,0,市面上那么多唐诗三百首，都把大家弄得眼花缭乱了。其实这个版本才是最早的。以后送小孩，还是自己读，也是这个版本才是最正确的。里面收录的每首诗的平仄都是规矩的。清代人做的学问，从来都不敢马虎。
JoEriCa.,3,2010-05-30 17:19:19,unknown,0,初中时候特别迷恋这个。
潘潘潘,NaN,2012-02-24 09:47:54,unknown,0,可以活到老读到老，每次看都有新意的书啦
小小,5,2011-01-06 22:31:30,unknown,0,唐诗三百首。闹静皆宜。
彭—庄影,5,2020-06-14 18:23:39,unknown,2,中国古典，满分💯
