user_name,star,comment_time,geo_ip,vote,short
我不是盆栽啊,5,2011-02-11 23:16:45,unknown,4282,男人的西服、礼帽、衬衫、皮鞋。女人的旗袍、高跟鞋、草帽、丝巾。统统被夺了去，他们赤裸裸的、所有真实与不堪全摊开来。男人的怯懦，女人的刻薄。血液流动，肌肉收缩，蓝的静脉，红的动脉，白色泛黄的骨骼。这是唯唯诺诺的、自大的、逃避着的、自欺欺人的中国人。有人的地方就有政治。男男女女，也不过一场博弈。可是我们谁也离不了谁。还是冯唐坏水最多：他说希望上天安排张爱玲和钱钟书凑一对，看谁刻薄死谁！
第五象限,4,2010-11-03 00:25:28,unknown,3315,　我不禁想起了培根的论读书，读书不应该为了炫耀，装潢，而应该是为了丰富自身，提升自己的精神涵养吧。一个读书人骨子里的干净和纯粹，那种浑然天成的优雅气质，和无所谓的态度，却不是一个心怀杂念的人能够比得了的。知道比不了，就可以放弃比较的心，炫耀的心了。就可以把读书这件事，放得低些，再低些，低到功利心都无趣了，褪去了
囧叔,5,2013-02-17 21:44:16,unknown,2667,真后悔买了这本书！看完以后再也不敢说自己写过小说了
佳浩和他的朋友,5,2012-02-02 21:41:22,unknown,1478,钱锺书先生的文字才能称之为幽默，阳春白雪的冷幽默除了韩寒在《三重门》中模仿一番现世倒是十分罕见的了。小说的带入感太强，就算断断续续也能让人读罢感觉自己就是个“不讨厌但是无用”之人。
诸葛若见,5,2011-09-05 23:07:15,unknown,938,外面的人想进来，里面的人想出去。不仅仅是婚姻，世间万物都是如此，人就是如此矛盾的动物。
小岩井,NaN,2012-01-09 14:56:06,unknown,508,如今再看方鸿渐，仿佛被附体的感觉……
又烧包小队长,5,2012-08-30 23:32:11,unknown,325,读的时候快要笑死了。。。。如果出在现代绝对是腐女最爱orz
匿,5,2013-03-12 00:21:22,unknown,323,围城的含义或许是多重的，而婚姻只是被普遍接受的一种解读。
神威,5,2013-06-12 13:35:20,unknown,247,修行88th，我相信不只是我一个人这样做，当人们认为你读书不少，当你确信一本没读过的书的质量，当你了解这本书的特点，知道一些评论以后，是没人会发现你没读过这本书的！~是的~我今天才读围城，读完之后很确信这是钱公游戏人间随意之作。后人随意拔高的行径有点过火，全书从头到尾那股随意劲挥之不去，这本用来讥嘲用来消遣的书中每个吐槽都比人物和情节重要，其实吐槽的质量也非绝顶，贱贱的贫贫的而已，钱公毫无疑问没投入多少精力和专注力，就是写着玩的，反倒是止庵说的精当“围城其实没大家炒的那么好，只是那个年代大家谁都没见过什么聪明人，突然见到一个，太过惊喜而已”
Auu,5,2015-01-05 01:22:25,unknown,291,看着门里门外的人进进出出自己却不小心就这样坐在门里看了一辈子
根,5,2011-08-23 13:10:02,unknown,271,前半部很好，后半部太弱太聒噪。
泽帆,5,2013-08-11 16:29:02,unknown,261,有的作者卖弄他的道理，浅薄得很，却沾沾自喜，让读者替作者害臊；钱钟书先生呢，卖弄起来，却让人折服，觉得可爱，有时还不幸成了他笔下讽刺的对象，虽然处处刻薄，却透着人情味。人物个个鲜活生动，对话密不透风，唇枪舌剑。里面浓厚的人情世故，让人仿佛置身其中，感同身受。讲的道理倒是挺多，通过主角方鸿渐等人口中说出来，却不轻浮多余，句句都说得妙趣横生，切中要害，一点说教味都没。这没有一定的知识积累、人事阅历、幽默以及高度的敏感力、还有天资聪慧是作不出来的。钱钟书写了这本《围城》，故事情节次要，小说技巧次要，生动的人物，诙谐的对话，处世道理，做人经验，和高深的幽默技巧，才是主要。有的作家主张“切勿卖弄”，但我觉得，除非你达到钱钟书的高度，否则还是直白浅薄一点好。
孙大侠,3,2013-03-08 16:35:38,unknown,191,弱弱的问一句，为什么方鸿新和赵辛楣最终没有在一起？钱老先生是被神坛供起来的么？各种摆弄文字技巧？各种基情，各种调戏良家，什么时候豆瓣的青年们给出了这么高的分，ohshit。推荐指数：3星。
Cassie,1,2015-06-01 03:28:33,unknown,178,我真心讨厌这本书，讨厌这个作者。以前看的书不够不敢评论，现在看多了，看到自己喜欢的佩服的，再回过头来看围城，果然还是觉得很难看呢！
夏一慕,5,2014-09-02 23:17:38,unknown,180,重温翻出来满纸的谐趣。突然想起《我们仨》里一张钱钟书年老后的照片，一双眼睛依然闪闪发亮，透着孩童般狡黠的神情。
千千,5,2016-03-29 15:45:21,unknown,179,初中的时候我就知道自己长大是个废柴了。我很坦然。
唐书钰,5,2014-07-19 17:52:39,unknown,156,杨绛在附录里写方鸿渐取自两个人物，一个志大才疏，一个狂妄自大。当真是头重脚轻根底浅，嘴笨皮薄腹中空。小时候感觉不深，现在觉得这男人是万万不能轻易托付的
retriever,NaN,2012-04-18 20:01:45,unknown,83,基得很！
老袁,5,2011-03-09 01:54:57,unknown,106,初中看的，一点时代感都没有。太超前了，真牛逼
失控芭乐,5,2010-10-11 21:12:25,unknown,97,有人说匠心太重，我倒喜欢这样的匠心。令人捧腹的句子不在少数，爱情与生活在调侃中被扒去鲜亮的外壳，讽刺到骨子里，真是又痛又要看下去。这书就是真理，赤裸裸啊。
喜北在觅食,3,2013-11-17 07:44:32,unknown,93,读了56%决定弃了⋯⋯看不下去。
芦哲峰,5,2012-12-14 09:17:44,unknown,78,喜欢钱钟书，喜欢他与生俱来的幽默和看破红尘的睿智，喜欢他笔下妙语连珠的文字和一波三折的人生。
[已注销],5,2007-12-09 16:47:24,unknown,87,一个人如果有了看破一切的本领，自然就拥有了嘲讽其他的权利
我叫卢大胆,5,2013-02-12 18:31:37,unknown,80,钱钟书真是太牙尖了，《围城》整个故事都非常的生活，一切如水往下流，看似不费力气，但认真读，就能感受到其锱铢必较之功力吧。虽然文中好似是在故事中断轻描淡写提到了这个理论。但实则整个故事围绕着“围城现象”在展开。每一件事情都是个”围城“，方鸿渐回国，在上海，去内地，回上海，和谁结婚，在哪儿工作。面对各种选择，选择了一种，就会承担它所带来的烦恼苦痛，就会去歆羡放弃的选择的美好。应了”红玫瑰白玫瑰“的理论。
毛利,5,2006-11-21 19:23:47,unknown,75,钱老随便写的一部经典之作
阿懒,3,2010-07-23 16:15:50,unknown,75,冲着钱钟书的名字和这本书的名气去读的，读了大失所望，充满了文人的小聪明，非常的不喜欢。2005年读过。
司令,4,2017-06-15 13:34:39,unknown,57,男人的幽默跟女人的脸蛋一样，是为了比较同性和吸引异性而存在的。太外露了，显得轻浮，藏着掖着，又疑似拙劣。
高歌,5,2013-12-14 21:05:52,unknown,44,人间指南~
杜边生,NaN,2007-11-17 03:02:04,unknown,49,大学时期一定要推翻高中的记忆
金魚,5,2012-10-19 20:07:31,unknown,57,大雨那段。永生难忘。
蒙面骑士,2,2015-06-24 11:33:59,unknown,32,果断2星，此书作为小说来说差极了
ayi,3,2012-01-05 15:56:40,unknown,28,自恋，小聪明如苍蝇群舞
三四,NaN,2013-08-24 16:09:50,unknown,50,高考那年这本并不在考纲范围内，可是却是认认真真看完的一部名著。所以我就是患有#被规定书目，阅读障碍症#
恪彥,4,2010-11-07 15:07:20,unknown,49,文人的围城，一般人你进不来.
伯爵在城堡,4,2012-04-21 15:13:42,unknown,34,现代版的《儒林外史》，人性中的“相对论”。
软蛋黄,3,2012-06-05 15:01:49,unknown,31,拖沓扯淡，看着嫌累。
ring,NaN,2006-12-21 18:14:48,unknown,29,我反感作者居高临下的写作态度
太乙,2,2010-12-27 13:55:03,unknown,27,唉，读这书的时候还没有18岁，很多人都说这本书幽默，可是我却并没有被他幽默到，我确信自己弄懂了作者想说的大致意思，却并没有被他逗乐，至少没有爽朗的笑过，感觉挺遗憾的。当时真的不知道为什么这书有这么高的评价。后来才发现是风格的问题，我喜欢的小说是那种有着恢宏的构架，环环相扣又高潮迭起的情节，严密的逻辑和对人性的洞察，最好有这若隐若现的历史感。围城显然不是这类型的小说，即使文字再精细，比喻再拍案也吸引不到我。开始的时候很多人都说韩寒的小说和钱钟书的很像，之后韩寒自己不喜欢，大家也没有再这样说下去，可是我真的觉得对韩寒的小说也有着这种感觉，稀松的剧情是我最不能接收的，比起他的小说，我更喜欢他的杂文。
文泽尔,3,2007-09-19 15:32:21,unknown,23,啰嗦，文字不错
