user_name,star,comment_time,geo_ip,vote,short
火山上的一坨石,NaN,2013-05-08 15:20:06,unknown,2328,最记得还是《爸爸的花儿落了》，夹竹桃落了，我是大人了。
风满蜃气楼,5,2015-08-01 23:23:10,unknown,1606,一开始觉得文笔很幼稚，看下去才意识到正是这种童真的口吻使得情感流露更纯粹更强烈。孩子分不清好人坏人、不懂什么是疯什么是贼，因而才能从实际感受评价一个人；不懂生死，也会因为突如其来的离别在瞬间长大成人。看到骊歌便在心里唱起来：长亭外，古道边，芳草碧连天…
麋鹿橙,5,2013-04-26 16:55:34,unknown,963,完全可以收录进语文课本里的纯文学读物并不枯燥反而很吸引人好的作品就像是一个漩涡一点点的地牵扯着你的身体往里拖往里拖好几个故事有似曾相识的味道很自然会联想到童年的细碎片段随着文字的描述他们渐渐地锐化出已淡化的颜色最喜欢《惠安馆》和《我们看海去》
我昨天叫何宝荣,4,2013-11-21 11:05:10,unknown,699,孩子的世界其实是更有主张的，爸爸妈妈的感情出现微妙的变化什么的根本逃不过孩子的眼睛。是不是童年记忆里总会有一两个失去爱人的疯子、一两对无法理解的婚姻、一两个不那么讨厌的坏人和一两位永远不会再见到的亲人。。
la vie en rose,NaN,2013-02-07 00:04:02,unknown,311,爸爸的花儿落了，我再也不是小孩。用了两三天慢慢看完，特别醉，特别美，林海音笔下昏黄遥远的童年
Q。,4,2015-08-28 11:42:55,unknown,146,老舍之外，还有另一种北平叙事。多美好。
兔不知,NaN,2010-05-31 10:29:09,unknown,139,谁能区分大海与天，谁能分清好与坏
第五象限,5,2011-09-14 12:31:30,unknown,123,一直以来我都认为，阅读是需要心境的，在什么样的年纪读什么样的书，倘若你觉得一本书不好，很有可能是你没有读懂它，或许再过一些年来读，会疑惑于自己当年的不以为然。对于我来说，林海音的《城南旧事》早已是耳熟能详，可是曾经在书店无数次的翻开它，却从来也提不起阅读的兴趣。到我真正喜欢上这本书的时候，才发现它一直静静在那个角落等我，从来不曾远离。
许莲子,5,2010-07-31 21:11:38,unknown,113,特别记得英子被家长误会不懂事的时候，其实是因为小孩不小心撞到并艰难消化了大人才要承担的事，想说出来又怕伤害到父母，不得已以胡闹的方式发泄出来，越被说不懂事越哭得厉害。我小时候这种时候太多了，沉重婉转得说不出来。
Jonathan,5,2014-08-13 15:10:24,unknown,79,语言朴实流畅，毫无华丽辞藻的堆砌，以一个单纯的儿童视角来记录陪伴她成长的、又一个个离她远去的那些亲人、玩伴和朋友。儿时读这本书也并未被感动，反而快三十的年纪再读起来竟然很多地方都会让我哽咽。或许在这个纷乱和浮躁的社会中越来越难以找到那份童真和纯粹了。
Luke,5,2012-08-08 19:16:08,unknown,75,问世六十多年的经典。感人。
豆力仆,5,2012-11-26 11:13:33,unknown,52,几乎是两眼含泪看完全书。虽然故事是那个年代的。但是印在脑子里的全是我小时候的魏染儿梁家园儿西郊民巷湖广会馆菜市口。好像听爸爸讲他们小时候大杂院儿里的往事。眼瞅着骡马市的一片废墟，想着书中的种种，酸涩。
撒旦的表妹,4,2019-04-17 20:51:03,unknown,64,成长就是一个不断告别的过程
/name-?P=0/,3,2018-03-20 17:25:39,unknown,74,林海音是怎么在四十岁的时候还能写出这样稚气的文字啊
树精,5,2009-02-10 00:07:58,unknown,45,轻送年华如羽
MetalDudu,5,2014-09-26 09:49:21,unknown,28,这类书是我阅读中缺失的一部分，现在读起来也有些感动，文字很平实，感情真挚，露出的是孩童变化的内心以及那个年代一个家庭的方方面面。能写出这样文字的人，是细致敏感的，每个时代都有这样的人，才把世界的丰富感觉记录下来，延续下去。20140926
巽,5,2007-12-07 17:59:55,unknown,38,妞儿她在天桥下唱苏三起解
X,5,2016-05-13 22:58:46,unknown,41,北京不是我的故乡，但是好像又有种乡愁感。
间歇文艺病患者,5,2011-05-25 10:12:40,unknown,33,我要为这本书写点什么。一定。
粟熙,5,2008-07-19 22:47:22,unknown,21,坐在单向街的沙发上安静地翻完，脑中配合着文字不断闪现电影中小沈洁的英子那张纯净小脸。读完原作，越发佩服吴贻弓竟能将林海音淡淡的文字还原成那么真挚的影像，如同关维兴的水彩画，古朴而隽永。更令人赞叹的不得不说是李叔同对于“送别”的填词，堪称意境上的绝美：长亭外古道边/芳草碧连天/晚风扶柳笛声残/夕阳山外山/天之涯地之角/知交半零落/一壶浊酒尽余欢/今宵别梦寒
小乔,4,2015-04-10 15:08:50,unknown,38,或许在每个人的童年里，都曾经遇见过一个疯子、一个不那么讨厌的坏人、一个大美人儿、一段看不太明白的婚姻、一个忧心忡忡的朋友和一个充满矛盾的父亲。
人気小圆头🔒,4,2017-03-26 14:48:18,unknown,29,来北京八年，还没去过城南，以为新帘子胡同很远，想不到就在西单，龙须沟也不是很远，当年的穷人们啊，若活到现在都是千万富翁。
momo,4,2012-04-19 23:09:39,unknown,22,对《城南旧事》有种莫名的好感，初中有节选过课文，于是第一次接触林海音。从小孩的角度出发，写出来带着不做作的童真。故事的哀愁悲戚被孩童的视角美好的淡化和回避。一股浓浓的年代味，很好闻。
阿齐Archie🌈,5,2015-07-28 15:17:04,unknown,15,人海茫茫，聚散无常。人生要经历多少离别啊，不过对写作者来说，还有文学这种东西——作者离开了北平，怀着对北平的怀念，又在《城南故事》里回到了北平。长亭外，古道边，芳草碧连天……真美啊！
衛藤美彩,3,2016-06-02 20:55:43,unknown,18,盛名难副，不像儿童读物。过于细琐，没有共鸣。
吴明士,4,2013-11-16 15:37:39,unknown,9,小学六年级校车上认识的朋友读的书
pan pan,5,2012-08-16 07:00:14,unknown,9,重读的震撼如此之大，一方面尊重林先生直面童年的勇气（孩童有着天真的残忍与无畏的气概），一方面唏嘘世事的变迁与历史的无常
姜纪存,4,2013-04-14 01:41:01,unknown,12,芳草碧连天〜永远的画面〜当我想念闭上双眼〜你在心里面〜
二黑仔,5,2013-12-20 11:31:09,unknown,9,爸爸的花儿落了
烏滌非,5,2009-03-22 12:07:05,unknown,8,花儿落了的时候，我们都不再是小孩子。很久没有看到这么一本让我难过的书了。
林中客,NaN,2012-08-08 22:51:14,unknown,8,因加班还须等下一次大屏幕，读书解瘾。清通文字，洞里人生。
阿拉慈溪宁,5,2021-04-01 11:25:04,unknown,22,我讶异于她在多年后还能以女童的视角写下这般灵动纯净的文字，俏皮而坚毅，感伤而奋进。
HTK,3,2017-08-09 23:09:05,unknown,9,说实话，不喜欢里面几乎是明示的暗示，每一章都有，如果有些硬要理解为小孩子的直觉，那还有一些现象无法解释，成了刚看到开头就猜中了结尾的故事。
红豆♥,4,2019-12-18 19:52:07,unknown,8,小时候不知道翻了多少遍的书。至今每次擦灰尘的时候，都会想起宋妈拿鸡毛掸子使劲掸，掸完灰尘又落下来，明明就该用湿布抹……
Andrea,NaN,2010-01-22 18:51:25,unknown,7,隐隐约约的不喜欢。
