user_name,star,comment_time,geo_ip,vote,short
商夏,5,2013-05-31 17:13:05,unknown,4609,这本书对我形成拜金主义的人生观价值观世界观起了巨大作用。
MetalDudu,5,2014-07-26 14:26:32,unknown,1659,标记这个已读然后打五星，完全是给自己一个信心，就是大部头的名著虽然貌似牛逼，但只要读下去，其实跟玄幻穿越差不多的难度。非要非自己一个高度，是没有必要的，名著的意义之一，是已经总结了很多矛盾和情感，这样你就不需要再读其他小说了。
陆小包,5,2010-03-03 21:59:10,unknown,1712,越狱那段启发了多少经典。。
魔云兽,5,2013-02-25 11:00:12,unknown,1179,金庸应该是系统研究过大仲马，读基督山伯爵，总体感觉像是读金庸小说。
送你一颗子弹,5,2016-05-23 10:14:53,unknown,501,“没有人能保护我，也没有人再能打败我。我不信教义，不信律法，我自己的标准就是我的法规。能阻止我的只有死亡，可是我不怕死。”
浅浅,4,2015-11-28 19:39:18,unknown,294,琅琊榜原形咩哈哈大概是我年纪渐长像这样的题材总觉得在20%刚刚出狱报完恩一切才刚刚开始的时候是最好的。后来纵然能将权势玩弄于指掌到底内心也再不会快乐了。
Vamei,5,2012-08-27 19:20:13,unknown,307,太励志了，简直是创伤恢复的典范。
方枪枪,5,2016-02-14 21:28:10,unknown,227,人类一切的智慧都包含在这四个字里面，等待和希望。
小千秋,5,2019-04-03 08:58:17,unknown,272,“甭管哲学家怎么说，有钱真是妙不可言。”
夏空,5,2016-01-31 01:36:54,unknown,182,熬夜看完，太好看！大仲马狄更斯雨果你们都是帮无可救药的直男癌！！！！！！！！！
#瞬间收藏家#,5,2007-09-16 08:49:03,unknown,159,小学的时候捧着这本125万字的书看了四天。
普六茹小可爱,5,2015-08-09 15:28:12,unknown,141,每当我想设局的时候我就会拿出来看看
Yurii,5,2014-06-03 13:35:21,unknown,123,很长，但很流畅过瘾，让人欲罢不能的小说
Againstrussia,5,2014-11-23 07:24:12,unknown,111,你一定要拔掉龙的牙齿，你一定要把狮子踩在脚下，主这样说道。该死，那些该下地狱的人，基督山完美充当了社会的角色，让那些罪恶自然发酵，罪恶的人终因自己的罪恶而跌倒，这一切只能说：活该！
猫伯爵,3,2011-03-15 07:09:41,unknown,87,"也许是如今各种电影小说的泛滥，情节“跌宕起伏""也许不再能深深吸引我，书太厚于是下了电子版，不知道是字符显示的关系，还是翻译风格非常的80年代，戏剧味太浓，感觉有点做作，导致我觉得情节太狗血。读了1/3，实在兴趣索然。"
6月下雨7月天晴,NaN,2007-11-02 23:14:05,unknown,100,不过我还是不喜欢他后来喜欢了那个年轻的女子我希望他还爱他原来的恋人
文泽尔,4,2007-09-20 18:35:32,unknown,86,法国武侠小说，带推理情节。被诬陷的水手卧薪尝胆终于偶然机遇获得宝藏，然后决心复仇的漫长故事。探险，恩仇，爱情，义气，决斗，掉包计，商业诈骗，老少恋……一样流行元素都不少。
晓木曰兮历史系,5,2019-05-15 01:08:18,unknown,91,小时候看基督山伯爵的时候，感觉像武侠小说一样痛快，觉得基督山伯爵是个大英雄。就像所有英雄一样，他一开始也是个普通人，14年黑牢的折磨把凡人锻造成了英雄。我最爱看他从黑牢出来，挟着滔天的权势惩恶扬善快意恩仇那一段，太痛快了。后来长大了点，我读这本书的时候感觉不一样了。我明白了这个世界上除了恩仇胜负以外，还有很多说不清楚的地方。那个时候我最喜欢的一章，就是当基督山伯爵的旧情人去求他放过她的儿子，梅塞苔丝一求他，基督山就放弃了自己十年的复仇计划。小时候我体会不了这种感觉，但后来我懂了。我想，如果我是基督山伯爵，也会做同样的选择。我觉得这一段让他英雄的形象更加伟岸。现在再看基督山伯爵，我的看法又变了。我觉得……基督山伯爵不是英雄，他是个即可悲又可怜的人，他需要心理医生的帮助。
黄雷蕾Linali,4,2015-04-21 10:28:56,unknown,75,在马赛看发生在马赛的故事。
小马过河,5,2009-03-30 00:11:22,unknown,61,很多字。死死的读了很久。始终不曾放弃。上千页。终于读完。很喜欢最后的结局。等待与希望。想起最近看过的《换子疑云》最后的结局说到的希望。《肖申克的救赎》里的等待与希望。这两个是人类活下去的目标。挺好的。我也要抱着他们两好好活着。
Ho,5,2010-06-21 23:42:51,unknown,61,看到越狱处时候，不知不觉读通宵
钟螺,3,2018-03-24 01:03:53,unknown,48,真实起点复仇文鼻祖，套路的产生，通俗文学跨入纯文学神殿的标志性作品，使我感到网络文学进入文学史是不可阻挡的历史潮流。
羲和,5,2013-03-17 17:48:41,unknown,51,金钱、智慧、复仇的使命，法国大革命背景，巴黎社交界的虚伪，人性的莫测。（金庸的密室修炼、易容和听墙角的启蒙在这儿）
祁十一,5,2017-02-08 11:40:47,unknown,49,有的故事与文字读完，你也只能愣愣地呆着，说不出一句话来，为作者脑袋里掀起的这一场波澜壮阔的个人史诗而震惊。
我非你杯茶,5,2013-11-28 16:53:38,unknown,51,小学就看完的巨著啊。1400多页，印象超级深刻，唐泰斯这个名字真是挥之不去啊。
布宜諾斯,5,2005-11-03 21:04:49,unknown,39,我靠，那个谁谁谁，把我这本书借走然后弄丢了
牛推鸭大爷,4,2016-08-21 16:59:07,unknown,38,后边有点啰啰嗦嗦的，直接把瓦朗蒂娜交给默莱尔就行了呗，反复讲道理。复仇的快感，真爽!怀念法利亚长老。
桥之暗面,4,2018-10-05 14:22:45,unknown,31,都是写爽文，大仲马的水平不知道比其他人高到哪里去了。
"Q,S",5,2011-05-03 02:41:22,unknown,27,上帝限制了人的力量，人卻有無窮的欲望。
太空发呆,NaN,2011-05-08 10:08:32,unknown,22,血色浪漫里知道的
甜圈,5,2019-04-09 17:09:01,unknown,23,诺瓦蒂埃老头儿怎么会那么可爱啊
oO趙初七O~oo,5,2010-04-12 21:28:18,unknown,23,人不该是以好恶分而是该分成：聪明的不聪明的有钱的没有钱的
左左❤️,5,2018-05-12 18:22:31,unknown,18,在这个暴雨倾盆的天气里读完了《基督山伯爵》。经典不愧是经典。君子报仇多少年都不晚。读到监狱那段情不自禁啧啧称赞。想要说的太多。引用大师的话，“人类全部智慧就包含在两个词中：等待和希望”
大甜甜~~,5,2008-01-28 15:32:38,unknown,28,大仲马啊大仲马，爱你需要理由么？
into_the_forest,4,2007-11-02 20:49:21,unknown,15,最后一句话最好：人生就在于等待和希望
x人,4,2010-12-26 00:01:18,unknown,9,为嘛当年读起来像流水账。。。==|||||
李四,5,2011-04-25 22:25:06,unknown,16,对我影响最大的三本书：《基督山伯爵》、《三个火枪手》、《活着》
薇羅尼卡,5,2005-12-06 23:50:05,unknown,11,一个隐忍男人的精密复仇计划，精彩又过瘾。
北洛伊,5,2009-12-27 18:52:28,unknown,13,思想决定命运。
李白白,5,2019-12-20 02:14:58,unknown,10,2019已读122：一百万字，历时两周。后来在脑海中自然而然的把基督山的形象想象成了罗伯特·德尼罗饰演的年青教父，一言一行克制而优雅。乍一看好像是拜金主义，其实大仲马字里行间对拜金主义充满了蔑视。爱德蒙唐泰斯真是个有耐心的天蝎座。只有你读完了这一百万字，才能深切地懂得，“人类的全部智慧就包含在这五个字里面：等待和希望”这句话是多么的动人有力量。太好看了。
小油桃,3,2021-05-15 09:41:05,unknown,16,哎，看到后面就是法国当代杰克苏网文，40字心理转变将“女儿”海黛视为“情人”，未婚妻等了男主那么久，在作者的心中，这样的女人还是有些“不贞洁”的罪过。哎，后面把我看吐了
launcelot,5,2017-10-09 11:21:32,unknown,12,昨天睡不着重新听基督山伯爵，结果越听越兴奋。就算能熟练背出下一个情节是什么，仍然想一直听下去，这就是大仲马的魅力吧。最后为了催眠去听了精灵宝钻。
饭夫斯基,5,2009-09-12 13:39:32,unknown,6,有时间一定再读一次。很爽
齊克斯尼力佐飛,3,2017-10-08 23:16:57,unknown,7,看了3/8，看不下去了，好长。。。。。「互相懂得和欣赏的人之间的友情才是友情，其他的都只是社交而已。」
陶者无缰,5,2012-10-31 04:46:08,unknown,7,法国式的武侠
三鲜伊面,4,2016-01-27 19:47:17,unknown,10,好看是真好看，像读金庸小说似的，不过这故事最明显的道理就是：有钱真好！有钱能让复仇都变得优雅！大仲马对金钱是真爱，而且他毫不掩饰。
八部半,3,2008-09-22 13:41:02,unknown,10,在《肖申克的救赎》一片中，摩根拿起一本《基督山伯爵》问罗宾斯，这书讲什么的？罗宾斯答：这是讲越狱的。摩根笑言：那它应该归为教育类，不是吗？
詝正,4,2020-06-16 16:37:29,unknown,7,有很浓重的时代痕迹，在我这种耐不住性子的人看来，很多地方啰嗦的不行。但这本书谋篇布局太棒了，一环扣一环，实在是令人惊叹！
Lady Irene,5,2009-01-22 23:58:16,unknown,4,一个伟大的复仇之计，Iloveit！周密而践行，爱德华，我最喜欢的名字！
一个小标点,3,2012-02-18 11:16:50,unknown,3,读过，存
懒洋洋的懒羊羊,3,2020-03-29 23:09:59,unknown,3,可能是翻译的问题，看不进去😞
子初,5,2014-03-07 10:19:43,unknown,6,无数遍的读
appleausten,NaN,2012-01-08 19:39:03,unknown,5,篇幅很长，但是，看得过程非常愉快且一气呵成。只能说，经典就是经典，任何后来的复仇故事都黯然失色。但是在完成阅读的时候，还是很遗憾地感觉到，结尾不如我意。很大可能是我未能真正体会到作者的精神精髓，或者是我本人因为没有经历过基督山伯爵的磨难人生因此无法理解其最后的抉择。
豆腐脑敢死队,5,2013-07-23 10:37:54,unknown,5,终于找到我最早读的这个版本了特好Attendreetespérer
方柯,4,2014-08-13 10:45:37,unknown,4,您唯一的目标是复仇吗？不是显摆吗？
民咕gi,3,2021-01-20 12:22:14,unknown,3,结局是什么鬼啊？老夫少妻在那个时候的法国很流行吗？觉得海带跟基督山有壁，完全不搭啊！！！！
天夜宁,5,2019-07-31 17:29:36,unknown,6,读过好多遍，从初中到高中，重温的次数已经记不得了，复仇爽文能成为经久不衰的名著也是很不容易了，要是名著都这么有意思还会有人说难啃吗？
璆,3,2021-05-19 01:57:51,unknown,3,这货，比毛姆还口水文，复仇小说当时怪流行，爽就完事。
小铭同学,3,2021-03-06 16:04:15,unknown,3,看了五分之一，看不下去了，挺长的，年代感让我觉得和这本书有代沟，另外看这本书的时候总是想到金庸的小说，嗯。
西伯利亚森林中,3,2021-05-18 01:18:51,unknown,2,虽然很庞大，但在我眼里总有种爽文的感觉，难道这就是纯小说吗，复仇都复的这么顺。
yezzi,5,2008-08-30 13:28:47,unknown,1,如痴如醉的故事
momo,5,2021-06-07 15:30:53,unknown,4,挺好看的，可以纳入小学必读书目。不过西方人真的很喜欢有事没事就提一嘴天主。
富贵,3,2018-12-14 21:20:56,unknown,3,根本配不上世界名著。
SingLesinger,5,2011-06-15 10:40:58,unknown,3,果然年龄大点看比较有感。
豆友2452604,4,2010-03-24 13:54:46,unknown,1,我看的电子书诶，真是惭愧。这书名倒是大大有名，这些年来在眼前晃啊晃啊地，一不留神就以为自己看过了。其实真正读到还是在我的九妹上。怎么说呢，这一类的书，就跟中国的武侠小说一样，看起来很热闹很过瘾。要论比方的话，这大仲马，好比是古龙。想象力丰富人情世故丰满灵活，故事情节够奇幻。可我喜欢金庸。
木子大叔,NaN,2009-04-06 16:30:17,unknown,1,复仇的故事，总是让少年的我看得热血沸腾。现在呢？不会翻开了。
"404,Not Found",5,2014-10-05 07:05:25,unknown,4,当肖申克来敲门跟这部书比就差得多了
CD,5,2005-08-01 21:23:27,unknown,2,waitandhope
清_,5,2015-08-13 16:12:07,unknown,2,最高尚的情操、最真挚的感情、最虚情与最假意。
_momo_,3,2020-03-08 21:41:27,unknown,2,原来不止我一个人有读金庸小说的错觉。不知道这能不能算复仇叙事的鼻祖，成为戏剧冲突的必备桥段。这样的话，回家的诱惑这部神剧堪称标杆。最后，有钱真好。
Mr.Savage,NaN,2010-08-25 00:05:10,unknown,2,又臭又长
🐛,3,2021-06-10 15:28:30,unknown,3,毫无精神内涵、洋溢着拜金主义的一篇爽文，看到一半看不下去了，这种一觉醒来坐拥天下财富开金手指复仇报恩的故事到底能给人什么快感呢
tallulu,5,2006-09-09 19:57:10,unknown,4,我爸的藏书，百看不厌
槿生_Sarah,5,2017-03-24 09:53:27,unknown,2,小学第一次读，深深爱上了主角，以至后来看到坏人叫爱德蒙都不习惯。
偷油猫,NaN,2011-10-23 10:14:03,unknown,1,高中时看的，都忘得差不多了。
WALL·E,NaN,2013-08-25 21:33:28,unknown,1,一个关于复仇的伟大的故事。书中的一些情节和接近最后的审判让我想到《卡拉马佐夫兄弟》，尽管它们是很不同的书。没有像《卡》中大段的独白，读起来没有那么过瘾、激动人心。这本书给予我们伟大的力量，去面对生活。
137710,5,2007-07-27 23:20:09,unknown,1,坚持信念的执着和战胜一切的勇气
