user_name,star,comment_time,geo_ip,vote,short
chili,4,2011-06-07 18:10:36,unknown,149,武侠是成人的童话
筷喜旺,NaN,2015-06-29 12:20:02,unknown,117,没看完。五册内容层次不齐，不少章节明显在梦游凑字数。情节角色并不讨喜，全是老直男癌意淫的江湖道义儿女情长。不如看古龙一本正经地胡说八道。
丹AI🌵,4,2012-05-11 10:49:42,unknown,93,无人不冤，有情皆孽。如果没有《天龙八部》，会更喜欢古龙。如果没有李寻欢，会更喜欢金庸。这如果不成立，真是武侠之幸。
法号庙平,5,2014-10-17 22:46:24,unknown,106,金氏武侠中最好看的一本。开篇如同段誉的性子，温吞但铺垫的极好，及至乔峰出场，豪气万丈，折就凄苦不堪。后续人物次第登场，真一个波澜壮阔！
Sophie,4,2011-06-11 12:17:36,unknown,87,"水木清华，婉兮清扬.喜欢木姑娘多年，特来一睹原著风貌.""群豪""二字总在我脑中置换为乌合之众."
我爱阳光,5,2007-10-31 17:39:31,unknown,89,一天一夜一口气看完。
夜莺在广场歌唱,5,2015-12-14 21:21:33,unknown,101,少时于武侠中偏爱古龙，最近逐字句看完此书，方觉金庸写得大好。前段着墨段誉，机锋遍布，趣味十足；中段主写乔峰，行间悲喜起伏，豪气自然喷薄；后段围绕虚竹，巧布机缘，呆善之相透纸而出。看似独立，故事推进却各种呼应又首尾相接，而人物百态各各不同。联想起当年乃在《明报》连载四年而非一气呵成，这种建构布局功力真得服。
7抹.tif,4,2010-01-26 07:46:52,unknown,94,乔大爷，你再打下去，这座山峰也要给你击倒了。
隆咚锵,5,2008-08-14 09:52:55,unknown,55,求偶内容过多，且结局发现所有人均为王子和公主，连他娘的那个和尚都是带头大哥的儿子，很猥琐，跟琼瑶阿姨没什么两样，说到底不过是王子和公主的故事换个背景而已
瑾朵朵,5,2013-08-26 17:29:09,unknown,71,这套书有妖气！！！无论多少次，每次都拿起来就被蛊惑就没法放下！！！第42章：我的父母是极品，贵圈真乱屌，世界真小2020年10月10日重看还是第42章最精彩
芦哲峰,4,2017-08-10 11:07:58,unknown,46,最初是发现水浒传与天龙八部年代接近，于是考证了一下具体年份，发出来后有人说应把射雕英雄传和神雕侠侣也加进来，那就索性把杨家将、三侠五义、岳飞、白娘子、济公统统加进来，弄成一份完整的大宋群英编年史，详见https://www.douban.com/note/635427554/
1968小金,4,2008-05-05 12:16:43,unknown,42,张纪中找的王语嫣活活地。。。
申公豹,2,2013-11-20 16:22:42,unknown,45,无法理解一个故事有什么好追捧的
曲非烟,5,2006-03-31 12:02:39,unknown,51,塞上牛羊空许约
Shirleysays,5,2009-09-04 17:00:38,unknown,44,这套书是我在上大学时，给一个小学生当家教时，向人家借的。后来，因故没有还回去。有一天哥哥问我，这套书怎么没有第一册，我猛然想起来，我是先看了一册，还回去。男孩大方地说，老师，你把后面四册一起拿去看吧。谁知，老师是个“偷书贼”。
易思棠,5,2016-11-13 13:03:31,unknown,37,那八个字评得切，“无人不冤，有情皆孽”，都好，各色人物栩栩如生，连配角都出彩，南海鳄神是至可爱的大恶人。萧峰俨然有古希腊悲剧的气氛，乃是性格与命运交织，无法破解，但其中豪气野性，真真男子汉。又含佛教知识，种族国家之见识，何为仁义何为情痴，书中虽然有瑕疵，如段正淳的岁数，但仍是巅峰杰作，有融会贯通之感。ps，王语嫣不及木婉清可爱多矣。
