user_name,star,comment_time,geo_ip,vote,short
撒旦的表妹,4,2023-10-04 13:17:13,内蒙古,219,角度清奇，处处影射，天上神仙“一个个沾起因果来争先恐后，七情六欲也丰沛得很”。神仙佛祖，还不是摆脱不了汲汲营营的本质，或者这本来就是世间万物运行法则。
囧之女神daisy,4,2023-10-06 23:59:53,广东,467,人人都知道这个故事里的百花羞是对应的谁。百花羞的苦难是这个故事下的冰川和暗线，嫦娥是个天庭上的百花羞，玄奘说我的母亲也是一位百花羞。这是个充满了百花羞的世界。
冒菜王,5,2023-09-22 19:15:00,广东,150,要说《长安的荔枝》是项目管理指南，这本则是运营TL手册了，相当精彩，讽刺意味十足，只是每每到悟空和六耳猕猴，不论谁写都尽显悲凉落寞。
曼仔,5,2023-10-04 01:46:20,北京,100,超出预期的好看！看前半部分的时候虽然也很有娱乐性，主要是里面人物说话做事的思路实在是太体制内咱老中了，读后不免又好笑又笑不出来。但越近结尾越读出态度，其实也是马伯庸一贯的审美，老吏的冲动一刻，明哲保身者的血性时分，功名利禄追逐之外人性的璀璨瞬间，动人的不就是这些。以及很有意思的一点，西游记原书本来就是借西游讽喻彼时的官场，而如今马伯庸写西游故事，也完完全全是折射当世。重要的永远都不是故事讲述的时代，而是讲述故事的时代。马伯庸在借奇情故事写常情洞察这点很有金庸感，而写世故里的少年心这点也类似。比长安的荔枝那本更好看！虽然是短期内写就，却笔笔有交代，毫无仓促收尾之感，喜欢喜欢。
乔峰,4,2023-10-01 10:07:00,四川,99,确实该马伯庸发财。
我爱阳光,5,2023-10-09 00:28:47,广东,33,当代经典！看之前“什么畅销书啊不看”，看之后“神作！”人物立住了，为孙悟空热泪盈眶，故事闭环了，立意与情怀并重，凡俗与超脱的转换浑然天成，关键情节站在女性立场，简直完美！
姜小白,4,2023-09-10 15:49:08,湖北,50,收到一口气读完，能感受到亲王下笔的肆意畅快，读的过瘾。前面很喜欢王母给织女安排喜鹊以及第一场护法天庭、佛祖两拨领导的招待及报销细节，后面缓缓展开更是好看到像喝酒后的兴致发挥，甚至有点狄更斯的味道，很讽刺可又真的是有趣。比《长安的荔枝》好看，松弛，就没cynical，大家都能读到各种心里想到的东西。权力这个东西实在是太容易蛊惑人心了，网友得到拉黑这样一点能让不喜欢的人直接闭嘴的权力，很多人都沉浸其中无可自拔，bureaucrat最大的问题是没人是轻松的，佛祖从中央发公文，玉帝画圈，都累。
十三,5,2023-09-20 22:40:48,吉林,72,不想错过每一个西游故事——或者说关于孙悟空的故事。
张小北,4,2023-06-03 16:18:50,北京,503,很有趣的一本小书，读起来很轻松，里面的故事和人物对大多数中国读者来说都是耳熟能详的，但是同样一个西游记，换一个角度换一个人物，然后我们就可以愉快地代入到自己的社畜职场人生了……
然潘,5,2023-07-27 06:46:44,加拿大,158,哎呀，好看！喜欢西游题材的我觉得这是亲王最好的一本了
老袁,4,2023-10-28 02:32:38,泰国,0,好看
欢乐分裂,4,2023-11-05 12:59:13,上海,7,虽说亲王宣称此乃长篇之余“乘兴而写的东西”，但却是我最喜欢的一部。前半是他拿手的讽刺幽默文风，充斥着化用当世材料的讽噱，大量职场/官场的洞察——层级分明的机构，涂饰光鲜的官样文章，携人脉进组的二代历练，冗余僵硬的规章流程，各怀鬼胎的算计，仙界实为人间的映射，仙犹如此，人何以堪。后半本逐渐沉郁，隐在众人后面的悟空终于绽放光芒，五百年后冷眼看穿世间且居然能提点太白金星“超脱因果，太上忘情”，终以残蜕本心去还一场劫；玄奘居然以真身留在人间，共苦共难，可敬可叹；观音与金星在“百花羞”后渐趋一致，此事件也是取经团队走向的分水岭，真心的的袒露比任何修行更重要，金星隧亦悟得“不是不沾因果，而是只存己念；也不是无情无欲，而是唯修自身。”真渡人乃渡己啊！吴刚——东方的西西弗斯，respect！
方枪枪,5,2023-10-28 15:21:20,上海,13,脑洞系小说，也是对《西游记》的重新解构，你能想象：原来西天取经的磨难只是佛祖故意安排的一场策划好的面子形象工程而已，所谓妖魔鬼怪只是配合演出的群众演员；孙悟空大闹天宫竟然也只是个替二郎神的背锅侠……作者将神话故事放置于职场/官场的情境之下，读来别有趣味与思考，借古喻今，狠狠吐槽了官僚政治种种百态……
锦翼,5,2023-11-12 05:54:02,河北,4,这是把《西游记》里的那些BUG彻底玩转了，比如孙悟空为什么前后法力不一样，大闹天宫时打遍天上无敌手，取经路上天天找人帮忙。比如青狮精为什么出现两次等等，有趣。最有趣的还是现实的写照，每个上班族都能找到自己的影子，我是一个财务，看到李长庚超期报销时，赵公明那番话，我还真是经常给报销的人说，还经常让写说明，还要找主管领导签字，看得我又惊又愧，但我也不想啊，后面还有审计呢，还有上级检查呢……哦，代入太深了，打住，打住，佛曰不好说，说不好，不说好……马亲王仿佛在拈花一笑，会心即可
