user_name,star,comment_time,geo_ip,vote,short
陈富贵,5,2014-08-23 10:06:20,unknown,1528,我们没有失明，却在做着全世界都失明之后的事情。
Zhuo,4,2014-08-21 21:42:02,unknown,892,书是好书，但里面的场景太脏太绝望了，生活已经如此艰难，读完了心情好沉重。
成知默,4,2014-06-21 19:58:41,unknown,367,一个全民失明的世界，一个虚无贫瘠的世界，在这个世界里，时间正在完结，腐烂四处蔓延，水源正在干枯，食物成了毒药，疾病到处肆虐。在这个世界里，唯一能够创造的奇迹是继续活下去，日复一日地维持脆弱的生命，仿佛生命也失明了，不知道走向何方。在最深的绝望和疯狂里，耐心等待就是所能做的一切了。
遲無用,5,2014-09-10 19:04:57,unknown,595,加缪说人类会胜利，但不是永恒的胜利。萨拉马戈说我们是瞎子，是看得见的瞎子。
宫徵社肖威,3,2014-12-22 16:01:25,unknown,292,作者这种写作习惯真是看得人晕头转向
水月镜花,5,2017-09-26 22:30:21,unknown,140,萨拉马戈的眼泪，是医生妻子在盲人世界里，那双看得见的眼睛。
LizzzzzzzzzzoO,3,2015-10-23 10:48:17,unknown,119,很一般，这种题材很容易就能猜到作者要写什么，而这本书写得并不高明，越看越觉得乏味
把噗,4,2014-04-17 13:40:58,unknown,81,如果这就是萨拉马戈最好的作品，不能令人信服；总期待想像力可以不断爆破，但感觉越读越憋屈，最后复明的结局太怂了，不能幸福。
Q,5,2016-01-11 09:34:29,unknown,93,看到有人读完小说，感叹真实的人性是多么黑暗，其实那就是每个人都不愿被人看到的本性，扯掉道德这块遮羞布，大家都粗鄙不堪。用帕斯卡尔的话说人是有思想的芦苇。温饱都解决不了的时候，兽性暴露出来不是很正常的么。谁还会在乎看不见摸不着的理性与尊严呢？生物的基因注定我们是自私的，活下去的意志支配人类从远古走到现在。驯养动物，培育植物，无不遵循自己的意志。看过一篇文章讲阎连科对本书的感受，阎说即便情节记不清了，有一句话仍像一记重拳打在自己的脸上：让我难过的不是被强奸，而是被强奸时我居然有快感。突然想起介绍步惊云和慧能的身世那段，父亲死的时候一个没掉一滴泪，另一个不仅没哭反而去安慰妈妈不要伤心。境界果然不同啊。
大胡子阿细,5,2014-06-07 22:38:32,unknown,58,好像《鼠疫》
渡边,4,2015-09-14 11:18:05,unknown,60,设定大胆，简单粗暴，隐喻不隐，处处点明。情节描写过于追求真实，肮脏丑恶至极，画面不忍联想。至于不分段、不用引号的写法，并不影响阅读的流畅感，叙事分明，克制冷静。作者将人性置于极端状态下剖析示众，触目惊心却也用力过猛。
