user_name,star,comment_time,geo_ip,vote,short
阿琴波尔迪,5,2018-05-11 18:08:24,unknown,10034,理想的培养、逻辑的思维、高雅的阅读等不能让别人爱你，但却能让你坦然接受不被爱。
综餐厅🌽,5,2018-06-30 13:18:47,unknown,5853,我一度以为二十多岁是一个人最难熬的一段时间，在这段时间里要实现从少年到青年的转换。看了这四本书之后发现人一辈子都在挣扎，只是每个时期面临的困难不同罢了，我们一直都经历着角色的转换。
默音,5,2018-06-24 13:12:36,unknown,3291,会让你在读完最后一行后想要重新翻开《我的天才女友》的第一页。
索马里,5,2018-04-03 11:01:09,unknown,1977,也许莉拉吸引尼诺的地方，就是尼诺在她身上，开始看到了以为自己也有的东西，但对比之下他发现自己并没有。她拥有才智，但她没有利用它为自己谋福利，而像贵妇一样在挥霍着自己的才智，就好像对她来说，整个世界的财富都是庸俗的。莉拉的才智是免费的，这就是她让尼诺入迷的原因。“她和其他女人不一样，因为她天生就那么桀骜不驯，不会为任何事儿弯腰。”我们所有人都做出让步了，经过考验、失败和成功，这种让步重新塑造了我们。只有莉拉，没有任何人、任何事可以改变她。不仅如此，随着年龄的增长，她和任何人一样变得顽固和难相处，但她的那些品质一直都原封未动，甚至更加坚固。我们恨她的同时，也害怕她，会对她充满敬意。
溺水的大象,5,2018-06-24 21:03:26,unknown,1278,读完那不勒斯四部曲的雨夜，人生几十年，像是一场玩笑，像是一次为了记录而存在的表演。
faye,5,2018-06-29 12:33:17,unknown,610,尼诺就是意大利胡兰成。
烂梗,5,2018-06-20 18:32:55,unknown,661,文字的力量太强大了，这种共鸣可以说是排山倒海式的，特别是像《那不勒斯四部曲》这种优秀的作品，读完有种爆炸般的失落感，你会想怎么有人能写的这么好这么好这么好呢，太会掌控读者的感受和心情了，快尾声那句“埃莱娜·格雷科——拉法埃拉·赛鲁罗的天才女友。”，把我对整部书的五味陈杂感情又重新溜了一遍，彻底绷不住了，难过到无以复加。
momo,5,2018-03-23 15:20:27,unknown,608,莉拉自己也经常说——有时候是开玩笑，有时候很严肃：“埃莱娜·格雷科——拉法埃拉·赛鲁罗的天才女友。”
荞麦,5,2018-06-16 19:47:07,unknown,650,女性不再是客体，而是世界本身。
nancy,5,2018-06-20 22:47:30,unknown,632,莱娜和莉拉当中，我潜意识里一直更喜欢莱娜，因为她就是中国父母想要我们成为的那个样子：成绩优异、立足大城市，甚至还嫁入名门。当莱娜离开彼得罗奋不顾身要和尼诺在一起的时候，我简直痛心疾首：好不容易逃离了那不勒斯却又为了一个渣男放弃了来之不易的一切！但当我合上最后一页书，仔细回味这两个女人的一生时我发现，莱娜确实就像她自己说的那样“她的整个生命都是为了提升社会地位的低俗奋斗”。而莉拉，她是一个战士，她一直在燃烧自己的力量去对抗那个陈旧破败的世界，但她的力量被有限的教育限制住了。我无数次想象如果莉拉的家人能让她继续读书，她的人生会是怎样？
张震老婆（V）,5,2018-07-16 12:44:48,unknown,666,这真是一套可怕的书，提供了前所未有的阅读经验，一边看一边想，这种写作是无视规则的，任性的流淌，其中的自私、坦然和悲悯夹杂在一起，完全没办法分割。而尼诺，简直是聪明女人最大的噩梦。
Yellow,5,2018-07-01 20:59:58,unknown,484,整本书的能量太密集了，像一个源源不断喷发的火山，读完怅然若失。最后几页，莱农从时间中回望，生命的真相被自己毫不留情的剖白，而即使是这样的时刻，她依然能再次在对莉拉的爱和嫉妒中被激发开始进行她最为重要、最可能留在时间之中的作品的创作，如此的勇气，诚实和坚韧……反正我已经喜欢她了。而莉拉依然是个迷。她和莱农是相反的人，莱农会攫住一切填充自己，去成为，但莉拉对任何事情的投入都不会滋养自身，而是燃烧掉自己的一部分。她的激情，超越一切的理解和视野与她的情绪化，她的恐惧，都让人困惑。莉拉是所有人的镜子，任何人在她面前都不得不面对自己；同时，是不是没有人，或者说莉拉没有允许任何人了解她？因为她在与外界和自己的对抗中也未能真正看见自己？
阿巴厮,4,2018-06-20 20:48:04,unknown,315,好吧，这套书有毒。读书读到这样的停不下来，可能是在大学图书馆痴迷金庸的日子了。一上手就被他们的命运吸引了，进入真正的中老年时代，破碎的残忍的无奈的纠结的都一点一点展现开来，但就算是发现了人生残酷的真相，仍然要推着自己往前走。她们之间互相救赎互相利用的友情，一直到书的最后一页，才揭晓了真相，有智慧但只有不停地斗争，有才智但只想浪费时间删除自己，世界的边界由自己来控制，莉拉真是文学史上光辉夺目的角色。
好的U,4,2018-06-21 11:35:27,unknown,326,读下来更多的感觉是莱农并没有很爱莉拉，她很多时候是带着恶意的心态去揣摩莉拉的行为。结局让我难以接受，或许正如莉拉说的“只有在那些糟糕的小说里，人们才会想着正确的事情，说着正确的话，事情总有个前因后果，有一些可爱的人和一些可恶的人，有好人和坏人，最后有一个让人安心的结局。”
Elsa,4,2018-04-12 13:59:26,unknown,320,想到tina那个布娃娃的下场就觉得tina的命运不会好过。这本书的宿命意味太强了。其实是我也受不了Elena这种什么都写进书里的朋友
unicorns,5,2018-07-02 22:06:47,unknown,374,成熟意味着停止展示自己，学会隐藏自己，甚至从这个世界上消失
ketos,5,2018-06-30 14:31:50,unknown,409,费兰特在书里几乎把普通读者和评论者可以说的话都说尽了，我无话可说。
大作人家王書紀,5,2018-07-08 13:37:03,unknown,283,四部完结，从未如此真切地注视过一个女人的一生。我找不出莱农的任何优点，但也不会对她的缺点无法接受——她是一个真实的庸常的女人，你不会爱上她，就像书里所有的男人一样；你也不会逃离她，就像莉拉一样
ternura,5,2018-06-17 14:06:29,unknown,231,看完之后还是因为莉拉，陷入了悲伤之中。莉拉在我心中还是那个天才少女，岁月没有磨去她的棱角，复杂没有吞噬她，即使在“界限消失”之后，她还是那样的纯粹。一直期待莉拉能因为天分而成为一个了不起的人，但她没有，她在挥霍她的天分，那种天分让她有一种致命的吸引力，这种天分还成就了她最好的朋友。她是一个脱离意识形态的女权主义者。
Chiara_x,5,2018-06-24 16:46:49,unknown,246,看第二部的时候我很疑问莉拉为什么答应嫁给斯特凡诺，直到看这部才明白“马尔切洛让我害怕，我通过斯特凡诺保护自己”。鞋匠的莉拉借助斯特凡诺转换成“模仿肯尼迪夫人”的莉拉，借助米凯莱转换成“艺术家和装修设计师”莉拉，因为尼诺成为香肠工厂的工人莉拉，最后借助恩佐转换为“程序员”莉拉。很巧合的是，尼诺也是和莉拉在一起的时候“差点儿毁掉了自己的前程”。“也许莉拉吸引尼诺的地方，就是尼诺一开始在她身上看到了以为自己也有的东西，但对比之下他发现自己并没有。她拥有才智，但她没有利用它为自己谋福利，而像贵妇一样在挥霍着自己的才智”。对我冲击力最大的是第三部，莱农在中年时，面对生育，厌倦的婚姻生活，焦虑的工作以及让自己兴奋激情甚至疯狂的情人时的心理轨迹以及抉择。感觉我跟着莱农提前经历了一次虚拟人生。
無韵,4,2018-07-11 17:48:05,unknown,264,不再像前三部一样感到震撼，也许是因为我变了。我一直在想莉娜和埃莱那到底有什么不一样。后来我发现，她们一个人用思维活着，一个人用原始感觉活着。所以用思维活着的人永远无法体会另一个人的激情和智慧从何而来
押沙龙,5,2018-07-03 16:57:39,unknown,271,天才女友的一生的确值得书写，而莱农，不管是她的成功还是她标榜的女权，终究她是一个半吊子的犬儒主义者，她与左右逢源的尼诺一样沉浮于名利，只不过她的身边一直有莉拉在鞭策，或者因她的好胜，莉拉作为她的假想敌就这样陪伴了她一生。
Francesca-CY,5,2018-05-23 08:34:23,unknown,182,一个人会和她的时代一起消失，年老的讲述者的声音，最贴近内容。到老年，这段如火如荼的友情更绚烂了。一切都会成为过去，那种满足感和成就感会消失，这才是真实的老年吧。
Kidulty,5,2018-07-08 16:19:03,unknown,170,日夜颠倒着一口气读完了，非常糟心，非常好看，第四本太丰富了，拍剧底子稳得很。二十岁的年轻人不会是最迷茫的，中老年的混沌失控会更绝望，人生一直都是挣扎奥德赛。男性，狗日的尼诺，终于趋为背景推进。但彼得罗到底“好不好”？尼诺真的有那么“烂”？是得承认些宿命论。要有思想，并不一定要成为圣人。真正的知识分子非常少。大部分的文化人一辈子都在慵懒地评论着别人的思想，他们大部分的精力都用于和对手勾心斗角。城乡发展的断层，政治牺牲的肮脏，梦想着毫无限度的发展，其实是一个充满暴力和死亡的噩梦。HBO还是眼光毒辣，但我估计自己再来一遍看不动了。
李乐乐,4,2018-06-22 18:47:00,unknown,131,或许因为没太多的选择，莉拉从最先开始就放弃了莱农形容的才华，她挥霍了那些自己不曾在意的东西，大约这就是自发性的行为吧，因为是自发性所以更不需要刻意强化，任由其发展，不做解释，即便莱农的角度看待和抒写了那个她眼里的莉拉，实际上莉拉也不见得就是那样，她的努力始终与莱农是不一样的，莱农更多是为了寻找自己，在不断的尝试与求证之中了解自己的内心，而莉拉却在很早的时候就清楚自己是什么样子，她脆弱以及又要通过伪装强大来使自己存活下去，但她却从来不追求生活里确切的意义，没有那种硬生生的仪式感，就好像老了之后的她对莱农讲的那句话——“谁的生活应该有意义？意义就是一段段黑线，就像虾子身体里的屎。”她早看穿了一切，因此才能肆无忌惮地活着，没有刻意离开那不勒斯，也没有刻意追求另一种人生，仅是旺盛生长。
沈筼筜,5,2018-06-22 16:41:04,unknown,132,书结束了，眼下的生活要继续着。已经对作者的身份没有任何深究的好奇，更多的是为书里的内容而震撼，文本已经跨越了性别的界限和历史的洪流，而是以人为个体的命运在书写，有种恢宏震颤的巨美感，往内看又有太多复杂且细致的描述，是看一遍远远体会不到的。
BiBiDiu,5,2018-07-12 22:22:38,unknown,141,理想的培养、逻辑的思维、高雅的阅读等不能让别人爱你，但却能让你坦然接受不被爱…一口气看完了四本，这句评价最扎心。
不插电柚,5,2018-06-20 12:29:17,unknown,113,莉拉的斗争是内向的，所作所为都是自我表达自我克制的完美呈现。她的驱动力像是天启，真的是抽了命运的签而行事。因此她也羡慕莱农可以从外在找认同感，这比自我认同容易太多。唉，四部曲的故事也太好读了，完全沉浸在两位天才女友的人生和那不勒斯的暴力美学里。
Itaca,2,2018-06-27 09:07:29,unknown,103,很失望。前几部的叙事节奏是流水中倏然飞溅浪花，情节的张弛把控很好，第四部则完全是失败品，老人絮絮叨叨的流水账。故事在《蓝色仙女》被扔进锅炉时就应该收尾落幕了，人生也是。
大椰子,5,2019-01-05 20:41:16,unknown,115,1.期待作者写一部番外讲述阿方索的一生，一定很精彩！2.作者对待尼诺太仁慈。
撒旦的表妹,5,2019-03-25 20:43:59,unknown,131,莉拉是这几年读过的所有小说里最难以超越的女性角色
许多,5,2018-06-18 17:14:28,unknown,121,这不是一本书，这是一把刀。它不仅划开了那不勒斯，也划开了我。
咕,5,2018-06-30 23:40:59,unknown,112,读完最后一本以为会豁然开朗，结果更迷惑了。
罔两,5,2018-07-03 01:16:16,unknown,93,曾经有人在我推荐后问我，那不勒斯四部曲到底好在哪里，我一时语塞。现在想想，也许这四本书的好就在于一个人可以完全的正视自己的内心，不会在悔恨、激情等一系列强烈感情的驱使下，去改写明明自己认识得很清楚又害怕面对的事情。我们究竟背弃自己的心灵对自己撒了多少谎。/也许要是以莉拉为第一人称来叙述，应该会是完全不同的感觉。/人总是屈服在这个世界里，究竟是为了什么，一个多么简单而又令人沉闷的问题。读完之后很伤感，其实我觉得莱农甚至所有人到最后都不会认为自己的一生不是迷惑的，我们就是在这跌跌撞撞的迷惑中度过这一生。“我的整个生命，只是一场为了提升社会地位的低俗斗争。”
灵璧,3,2018-09-12 09:28:29,unknown,86,终于意识到一个问题，就是此书的非文学性，节奏错乱。与其说它是一本文学作品倒不如说是一滩经过文学润色过的日记，谈起它的易读性，我影影约约觉得是啊这种情节流动十分快速的书籍本身就是十分好读的，但也存在一个问题即缺少节制。缺少节制的作品鲜能让读者冷静下来，充分思考和体悟文学角色的性格、思维以及处境，从而彻底反思所在社会的现实，我们容易被带动。但是你看看《醒来的女性》、房思琪的初恋乐园就做到了批判和节制为一体。
Wild Child,1,2018-09-05 09:01:33,unknown,69,这类书都9分多，水成这样就没意思了
余欢。,5,2018-07-02 11:00:13,unknown,53,Lila是我心中的完美女性，在读完这系列书很久过后我依然会回想起她。是不为任何社会规则束缚的，一种最原始的女性力量。
陆小包,5,2019-01-08 10:38:35,unknown,84,读完后第一感觉就是疲劳，当然我在任何地方都一再推荐这套书很好看很流畅，只是看完最后一句话，还是有一种怅然若失的感觉，同时身心俱疲。这时我才明白这套书的能量有多么密集，它在向我展示那些人那个城区的种种复杂关系与隐秘心理的同时，也吸取了我的能量。就像结尾处，六十多岁的莱农终于放弃寻找，放弃这段长达六十年的丑陋又亲密的关系，放弃过去与激情背叛紧密相拥的岁月，在她终于如释重负的时候，强烈的不舍居然转移到我这个不相干的人身上。我花了一个月时间读完这套书，最初我对那片城区那群人物感到陌生，甚至抵触，等我穿过那些书页，发现最终故事中的人物尘归尘土归土，还活着的人迎来了新生，而作为读者我感情的一部分却永远遗失在书页里。作者的可怕之处在于她并没有想在你身边安置一群人物，而是她想把你安置到她的生活去
小小飞行家,5,2018-06-27 17:48:39,unknown,55,酣畅淋漓怅然若失
啾,5,2018-07-02 19:37:51,unknown,64,一个渴望光芒和认可并为此追求一生奋斗一生，另一个天生光彩照人却只想在角落里混乱燃烧再把自己一键删除。埃莱娜的故事我们太熟悉了，只有莉拉是独一无二的。尼诺完全不值一提。
kidultcc,4,2018-07-09 22:47:38,unknown,54,读到一半想起去年淡豹讲的一句话，“重点在于你有怎样的决心去和知识发生怎样的关系”。倒是和性别无关的，无论男女都不应该放弃视野拓宽带来的幸福，即使这个幸福过程艰难；只是社会建构下女生会更多面对“死于安乐”这样的糖衣炮弹，而男生的幸运，就是波伏娃说的“自幼被逼上一条艰险的道路”咯？与天奋斗，其乐无穷，哪怕是低俗斗争，你我也得争啦。
Alhes,4,2018-04-01 16:32:32,unknown,43,等不及读了台版。依旧惊叹于作者的叙事功力，中老年的生活才真的是满目疮痍。阖上书页，才猛然醒悟，“消失/失踪的孩子”这个署名简直不能更贴切更直抵故事的核心了。
李小瓦,5,2018-08-05 20:45:49,unknown,75,看完了，倒抽一口凉气。从看第一部开始就一直在想，这几本书到底精彩在哪，那么抓人那么挠心挠肺，除了一眼就能看到的跌宕的情节、强有力的语言、什么都懂的分析，到底是什么，让它们那么精彩，跟我过去读过的那些小说那么不同。直到读到最后一本的后半部分，才明白，在于大胆的袒露，毫无顾忌的剖析，非常原始的自我呈现。没有一丝一毫对“我”（也是作者本人）的隐藏，每一部都是直接脱掉外衣，大大方方地昭示“看啊，人就是这样的真实、丑陋、自我保护、自我说服”。在这种直白中，作者说出了太多“我们”知道但又害怕暴露而不敢表达在人前的自我，让“我们”窥见自己对人性弱点的害怕和躲避，和“我们”羞于承认（或者口头承认但内心并不服气）的失败人生。
豆友52631981,5,2018-06-24 14:48:55,unknown,56,错过四部曲的人太可惜了。
等风声,5,2018-06-19 17:04:54,unknown,46,-201806。一开始，壮年的仍要控制一切的莉拉让人有点厌烦；一味软弱求全的莱诺差不多无法理喻。翻过一半，渐渐对费兰特心存感激。她拿出了毫无疑问最宝贵的关于自己的故事，献给读者，虽然以一种尽量粗砺、坚硬的讲述方式——但也因此更接近饱满的真实（比那些逻辑清晰、言简意赅、跌宕起伏加在一起还要打动人）。她将自己的观点揉进故事，但没有提出某一种思想并为其辩护（甚至惋惜了恶棍之死）。读完回想，仍不明白这个故事的意义何在——可你确乎浑身湿汗地从那不勒斯城区回来，当面见过“硬核”莉拉和所有人，经历过60年她们的生活，你原来所相信的，已经不一样了。也许如书中所说，语言已脱离了意义，书写并不能改变什么。然而人们还是要写、要找到更贴近“实在”的表达。我想，是因为挥舞那并不存在的武器，聊胜于在雨中呆立原地。
爬行钢炮,4,2018-08-07 13:12:27,unknown,59,友谊是个幌子，它其实是一个更宏大的主题，如何自我认知。每个人身上那种随处可见的盲目，实在是令人绝望地感到无比真实。以及直到最后，作家还是别有用心地没有对爱情给出肯定态度。
狐梨酱,5,2018-08-21 10:42:27,unknown,55,那不勒斯四部曲有着《百年孤独》气质的恢弘震撼的美感、排山倒海般的共鸣感、和来源于真实却又不仅仅是真实就足够的强烈代入感。这是一部真正的女性主义小说，inaverygoodway，女性不再是被凝视的客体，她们的命运成为了时代与世界命运的本身。埃莱娜对于莉拉无数内心阴暗的揣摩和真心实意的敬意，是她对于自己宿命的挣扎、反思与屈服。翻译非常非常优秀，有机会实在应该从第一本开始一次性马拉松式读完四部曲。
毒妇脸少女心。,5,2018-06-24 08:50:57,unknown,39,看似因情爱同欲望而起的生命中措手不及的动荡，渣男尼诺也是根导火索，自始至终他是致命的摧毁性的力量，以摧枯拉朽之势触发“我”骄纵的心性慢慢趋于将自己摆脱像莉拉一样不受任何拘束，“我的整个生命，只是一场为了提升社会地位的低俗斗争。”莱农的确也做到了，当莱农离开尼诺后，再也不用去担心还会活在失去对方的焦虑中，是自我意识的觉醒。
