user_name,star,comment_time,geo_ip,vote,short
林安,5,2022-11-30 14:19:01,浙江,1341,铃木凉美提出的很多问题也是我感到困惑的问题，上野千鹤子老师很犀利地给出了答案，很多时刻恍然大悟。
Lottie,5,2022-10-31 11:11:05,上海,1588,上野千鹤子真诚而犀利的观点，不是对年轻女性温柔寄语，而是一把利刃，严厉地刺入我的背脊。公共结构与私人领域不对等的境况下，铃木凉美对于男性群体的灰心，以及割裂感和拉扯感过于真实。与书中说到的社会大多数职场女性同样，我时常也有顾及情面、无法抗议微小的不适、沦为某种“拎得清”的女人的情况，在目睹同境遇下的女性勇敢发声时，又会产生一种难以名状的愧疚感。长久以来女人一直被至于“只能通过男人追求自身利益”的结构之下，破局的方式是女性以自身利益放在首位，而不是一味迎合错误结构之下的生存策略！只有建立起彼此自我对等的纠葛，才能有真正平等的两性关系。
叶酱,5,2023-04-02 22:52:16,浙江,175,断断续续半年读完，没想到上野老师居然就这么火了，但真的太犀利了。不管女性主义是什么，让女性能过得更好就是大家一起努力的目标。
木卫二,5,2022-09-21 17:58:07,广东,469,在上野看来，铃木或她所代表的一类女性身上，即是社会学主体与结构困境的体现。当这类女性愈强调自我决定，有主体能动（对男人这类生物彻底死心），对女性持续产生压迫的结构，愈会被免责。全书围绕“情色资本”、母女、恋爱、婚姻、工作等关键词展开。《始于极限》也揭开了一个问题：为何本该关注、了解或接触女性主义的女性群体，却有许多人产生了回避与疏离，甚至强调自己并非女性/女权。由于采用书简去信的形式，成书也并不会偏理论枯燥，而是同步围绕着日本社会的许多事件，深入挖掘了对话者的个人经历、家庭背景，乃至工作和情感生活，话题从黑木香到川端康成，从福柯到东京奥运会，交错互现，有理有据。自视唠叨老干妈的上野，不无深情地说，没有性、爱、男人、感情等等，人也可以活下去。但“有”比”没有“，更能丰富人生经历。
撒旦的表妹,5,2023-02-24 16:49:25,内蒙古,435,上野千鹤子真是少见的犀利且睿智，回信一针见血指出对方的伪装和伪善，攻击性的背后是对女性成长和觉醒的期盼。“女性不愿被称为受害者，无法忍受自己是弱者，这种心态叫“恐弱”。因为厌恶软弱转而“厌女”，不能忍受女性保持受害者的弱者姿态。这是精英女性经常陷入的一种心态。”精英女性瞧不起家庭主妇，觉得她们依靠男人而活没有独立人格，可给女性区分类别并评判优劣高低，让女性相互对立与歧视，本来就是父权制下的分而治之。在“女人的敌人是女人”的精神指导下，置身于无谓的对立之中，并依照男性意愿随心所欲地贬低女人，这是父权制的诡诈。——她的每一封回信都值得反复阅读和思考。
沈入忘🌟,5,2022-11-14 14:48:32,上海,331,超出我想象的好。实在是每个女性，或者对于女性议题有困惑的男性都应该读一读的书籍。读的时候一边为两位女性对话中迸发的灵光与哲思所折服；另一边还会为了同为女性之间的相互体恤与温厚所感动。总得来说，阅读体验就是一句说烂了的话：女孩子们真好啊。
毒妇脸少女心。,4,2022-11-25 21:06:55,广东,143,她的回信满含的情绪像成熟的果实般饱胀开，同时又令文字像鸷鸟一般锐利，毫不留情。同样的配方，熟悉的味道，上野千鹤子女士还得是你啊。
把噗,5,2022-09-20 18:22:51,北京,1533,太精彩了。男人读了沉默，女人读了流泪。美少女读了幻想破灭，穷屌丝读了自宫谢罪。给每位女性友人都送一本吧，多年后她们会感念于你。
琦殿,NaN,2022-09-21 17:34:20,北京,617,感谢上野千鹤子曾经为我开启的大门，但也只到这里了，我会继续往前走去。
祁十一,5,2022-09-25 23:01:36,四川,332,上野千鹤子女士，您就是光！这本和前av演员、前记者、现作家铃木凉美的书信集，又是值得珍藏的宝藏，真挚，亲切，透彻。关于恋爱，婚姻，工作，性，男人，上野女士总是有醍醐灌顶之语。随手摘录几句：只要执着于被爱，不愿放弃男人的认可，就无法从容地选择爱一个人；你在这样的环境下选择成为自由职业者，意味着你选择了一种没有保障的人生。
