user_name,star,comment_time,geo_ip,vote,short
LOOK,5,2015-02-12 21:27:11,unknown,6046,被震爆了。西方作家打死也写不出来的一类小说。还不是纯东方的，而是纯日本的。石神的情感模式和日本武士道剖腹、神风敢死队自杀式攻击的献祭式情感模式是完全一样的。瞬间的喜悦。瞬间的悟道。极致的浪漫。
栗,4,2008-10-25 23:09:29,unknown,5362,爱情的残酷在于，即便如此，依然不会得到爱。
江仙*响姐,5,2013-08-14 10:57:16,unknown,4616,每次看到微博上黑数学的言论，很想跳出来说数学的优雅和实用是学不好数学的人体会不到的，数学是我认为唯一受益终身的学科，数学不好会影响写稿。。这本书给我强烈的知音感，必须强调这种感觉不是主人公数学天才给予的，而是东野的叙事方式。案件的谜底并不十分惊人，书名其实已经揭晓谜底，整个案件是一个清晰简明的定理，优美的是证明这个定理的步骤。更令人感激的是，东野把情感设置为这个定理中唯一的漏洞，数学天网恢恢，控制不了人情这个变量，真是深切地熨贴了文科生脆弱的小心灵
原来是西门大嫂,4,2011-03-04 19:06:24,unknown,2751,最后那个抛给靖子和石神的道德情境设置非常非常精彩，不能赎罪的痛苦是石神永远无法用数学来计算和衡量出靖子所可能做出的选择的。
猫语猫寻,5,2013-04-10 12:35:50,unknown,1513,看的我浑身一个激灵，一身鸡皮疙瘩。要有多爱一个人，才能够做到完全抛弃自己，抛弃自己的生命、声誉、挚爱的数学、爱情、快乐、幸福以及那人生还未发生的未知的美好。当你觉得那个人已经做到极致的时候，你却完全想不到他所给予的远不止你看到的这些，着实很难忍住那激荡的情绪。躺着看书的我，已经忍不住坐了起来，震惊震惊震惊。这就是东野圭吾。这就是这本名符其实的赞誉满满的推理小说！大赞！
疯疯爱,5,2010-04-26 09:42:31,unknown,1098,逻辑的尽头不是理性与秩序的理想国，而是我用生命奉献的爱情
黑色七月半,4,2010-12-05 16:59:23,unknown,723,有时候，一个人只要好好活着，就足以拯救另一个人。
葵花卷,5,2013-01-31 01:31:15,unknown,675,深情即是一桩悲剧
小晨,4,2011-03-05 01:16:58,unknown,656,东野圭吾真是强啊，总是在最最后的短短几页，颠覆读者所有的假设。我不相信有人预测的出这个结果，却绝不突兀。这么顺理成章的意外结局，你还能写出多少种来，我们拭目以待吧。
扭腰客,5,2009-03-19 08:50:28,unknown,609,东野只有这本和《白夜行》我给五星。阅读过程真是痛苦，真是痛苦
胖达叔,5,2016-05-20 19:16:23,unknown,625,确实很牛，我读过的每一本东野圭吾给我感觉都不一样，这本书的感觉是：一个一生都理性的人却用一次感性了结了余生。
熊仔面,4,2013-08-30 10:26:55,unknown,535,结尾像是在快进。
Urban_Solitude,4,2012-05-08 09:25:37,unknown,548,[她从未遇到过这么深的爱情，不，她连这世上有这种深情都一无所知。石神面无表情的背后，竟隐藏着常人难以理解的爱。]汤川的坦白、婧子的自首，这些最在意的人将石神的牺牲变得毫无意义，这是石神最大的悲哀。
小岩井,4,2012-09-20 14:28:24,unknown,518,有时候觉得汤川的情商也很高，能够细腻到发现石达摩一句简单赞美中的内心。。。看完我就忘记了作案手法，却忘不了石达摩自杀前打开门看到邻人那张温暖的笑脸
乙左左,4,2014-12-02 10:55:52,unknown,422,还是白夜行好，连续读完东野的三本小说解忧、白夜、X，受到不小的震撼，不是惊叹于他对犯罪手法的精妙，只是在思考，是不是需要更多的语言和情节来塑造人物，他写的不是侦探小说，写的都是爱吧。
大萌,5,2013-01-17 21:54:12,unknown,404,难以理解的深情，其实只能自我感动。
我做导演不为艺术只为潜规则,4,2013-04-24 15:43:04,unknown,394,那个“技师”太无辜了
