user_name,star,comment_time,geo_ip,vote,short
安也闲,5,2011-12-29 22:29:29,unknown,4211,评语：如果所有小说都这样好看我就再也不上网了
琴酒,5,2011-04-22 13:46:02,unknown,1522,喜欢透了。这里的路数更似我熟悉的台湾文学，天文天心那种交错的故事肆意的感情延绵的气氛，好像随时能涌起一个浪把人卷走。况且他的中文实在是好，描情写景间浓浓的韵致，连”一排倒钩着油淋淋焦黄金亮的麻油鸭“都写到让我落泪。印象深刻的东西太多，比如阿凤和红莲花，台北的月亮，静静发着霉的屋子，有爱情有聚散有沉重有慈悲有苍凉。正如这个长篇的名字“孽子”所揭示的那样，“父”“子”间的对峙才是主题。主线阿青背负的十字架——家门的败落父亲的不幸和对父亲这期待的辜负——引出龙子那个狠绝的故事，以及那对父亲因原谅的不可能而深重的怨，傅老爷作为沉郁的父亲的角色出场，是“子”一代不能想象的父亲心中的骄傲和暗痛。小玉是寻父的人，吴敏的父亲是赌徒，所有人展览般被拉出来，各走各的路，孽是已注定的事，只是子的重负还得学着担待。
飞行官小北,5,2012-09-06 11:12:16,unknown,1626,看这本书，两天耗了我快一礼拜的心跳。不是触目惊心，而是沉，压得人将近窒息。这不是一本书，是一方碾压人性的石磨，将魂魄磨成一堆风暴也扬不起的沉沙。
山水,5,2016-11-21 09:26:54,unknown,1837,晚风吻尽荷花叶任我醉倒在池边
流水,4,2020-02-05 11:36:23,unknown,816,相比较下，那些耽美文既虚假又媚俗
Metaphor,5,2019-09-18 21:15:29,unknown,451,白先勇很可贵，他不夸大同性间的爱情，也不遮掩人类本能的性欲，更没有媚俗的滥用敏感题材吸引眼球，他只是自始至终在字里行间，在台北冒着腥气的街头，在午夜最深最深的黑暗里，保留对所有盲目地、危急地，四处飞扑的青春鸟和野娃娃们最大的理解与温柔。嗯，这真应该是近来我最喜欢的小说，孽子就像虎狼满布的森林，所有耐心读完的人们都是劫后余生的麋鹿，最后的最后，放肆又虚脱另，想起塞尔努达写过：“那个夏天，我遇见X，开始为他写《给一个身体的诗》。考虑到自己当时的年龄，我自始至终都明白，作为年长者爱上他无疑是荒谬的。但是我也知道（无须任何理由），一生中，总有一些时刻需要我们毫无保留地将一切托付给命运，跳下悬崖，坚信自己不会摔得头破血流”。这种被欲望焚炼得痛不可当，被寂寞折磨到发疯发狂的感受我在孽子中真切体会到了
Auu,5,2013-12-31 21:13:52,unknown,287,读到的每一个场景都会在脑海中浮现画面“阿凤奔跑在公园里莲花池边”“阿青回头望着通往自己家的那条破烂不堪的小路”“阿敏为吴先生在医院进进出出”“龙子在傅老墓前嚎啕大哭”以及最后“龙子和阿青在公园里互道再见”就像郭老在书中说的“你们是一群失去了窝巢的青春鸟如同一群越洋的海燕只有拼命往前飞最后飞到那里你们自己也不知道————”也不知最后阿青回家看了一眼父亲没
长亭,5,2015-11-09 18:11:31,unknown,302,当真是眼波流转出个泪海悲天
基基,NaN,2015-07-02 22:52:22,unknown,260,最后小玉、阿青和老鼠三人通的书信让人感动。
多摩川,5,2014-08-11 23:41:27,unknown,200,有些秘密说给旁人听，对于旁人反倒是一种伤害。它只在开满红色睡莲的池塘边兀自散开便是最好
