user_name,star,comment_time,geo_ip,vote,short
劣质的海带酒*1,5,2010-12-30 15:54:16,unknown,1222,比格林好，而且寒假过后的几个月，经常在里面翻出压岁钱
丹AI🌵,5,2016-05-21 00:49:52,unknown,433,《海的女儿》是爱情的启蒙。
珍妮的肖像🦄,5,2006-11-12 18:39:24,unknown,378,如果不是叶君健译的就不要看，书者与译者相得益彰，擦出的精致纯美，无人可及
艾小柯,5,2006-06-24 05:41:48,unknown,278,写给成人的悲伤童话
陈宥维的女朋友,5,2017-08-29 22:53:28,unknown,119,小时候看是童话现在再看的话才发现都是悲剧
绿色猫眼,5,2008-07-22 22:14:05,unknown,43,安徒生的童话里没有王子和公主，只有善对恶的悲悯和救赎。
半辈子,NaN,2007-10-09 00:32:44,unknown,21,谁小时候没读过安徒生童话啊
人在清涼國,5,2010-12-15 10:21:32,unknown,16,这个世界的丑陋与寒冷，在安徒生那里得到美丽而温暖得阐释
兮子镜,5,2017-08-30 06:05:48,unknown,32,每次重温都有感动……
丸子Bea,5,2012-08-10 21:03:31,unknown,17,完美到悲伤，每个女孩心中都有一个海的女儿，这是安徒生送给全世界女孩的厚礼，心灵上的厚礼
(๑⁼̴̀д⁼̴́๑),5,2017-08-29 22:48:53,unknown,41,安徒生童话伴随每个孩子的童年😂
小巩俐减脂中,5,2013-09-26 16:47:56,unknown,18,海涅写信给安徒生说：一个人若有心，心中有爱，那么这个人将不得安稳。安徒生就是那个心中有爱却过得安稳的。感谢造物者留了一个安徒生给世界。
歌中的雅歌,5,2017-04-25 09:17:40,unknown,17,7-100歲，童年的夢。金色的楓林，綠色的竹林，陽光照耀在溪水對岸，父親從山坡走下來，一個小紅點坐在家門口，翻開書頁，靜靜讀。
岁月的,4,2017-08-29 23:03:19,unknown,29,听过的童话多了，安徒生童话倒觉得不是那么精致了。
momo,5,2017-08-30 01:06:01,unknown,29,小时候买了好几本呢！真的很喜欢！
流苏路过的夏,3,2017-08-30 07:43:33,unknown,27,最有印象的童话作者了，还有格林童话
LORENZO 洛伦佐,5,2010-07-21 11:16:12,unknown,3,不得不读的书~
monte cristo,5,2009-11-16 07:54:17,unknown,13,最近发现其实安徒生被严重低估了，凭什么儿童小说家就不能跻身严肃文学？《光荣的荆棘路》把我看哭了。forallmankind！
夏阳,5,2009-11-03 15:49:42,unknown,8,我们都是这样长大的......起初深信，之后怀疑，怀疑过后再试着去相信.....
可缓缓归矣,5,2017-08-30 06:12:45,unknown,28,从小看了无数遍
风明,5,2012-07-10 14:43:23,unknown,6,安徒生的每一个童话都是那么美，就像夜空中对你微笑的星星，只要看看它们，你就会从心里感到快乐
sunshinE。,5,2017-08-29 22:53:53,unknown,30,超级喜欢海的女儿和豌豆上的公主
大头绿豆,4,2005-11-13 03:02:09,unknown,8,谢谢爸爸在我还在个位岁数的时候送我这本书。
陶者无缰,5,2011-12-25 11:39:25,unknown,4,感谢你，给我最初最美的梦，forever。
我对你的无语简直能沉默整个宇宙,NaN,2006-05-02 00:04:09,unknown,6,童话书丢了，童年没了
茜公子,5,2008-07-09 16:06:09,unknown,6,小时候，我可以背下一整本安徒生童话故事全集，在爸爸不在家的时候，我可以自己讲给自己听……
一年减肥300天,5,2009-08-10 10:44:31,unknown,7,重新买了安徒生和格林童话来看。不同的时段看童话的感受是不一样的。很多童话其实是写给大人看的。
寂多蔓生,5,2011-01-30 19:38:26,unknown,1,没有梦的人生是不美的
