user_name,star,comment_time,geo_ip,vote,short
刀叢中的小詩,5,2013-06-02 16:54:17,unknown,1180,我为什么要无比推崇哈斯勒的《寻路中国》，作为一个外国人来说，不远万里来到中国，了解这个国家的许多老百姓心里真正想的是什么，不由让我这个整天在微博上只顾刷粉的人感到暗暗脸红，读完我突然感到自己无是那么的的陌生，也为一个外国人比任何中国人真正平等地去了解这个国家感到深深的耻辱。
水湄物语,5,2011-12-22 20:11:10,unknown,840,何伟书的可读之处就在于，你常常在陌生与熟悉之间徘徊，熟悉的人和事，陌生的角度，魔幻与现实不断交替。
大-燕-威-王,3,2012-05-06 14:32:32,unknown,815,在无数的四星五星评论面前，我实在不敢说这书的坏话。阅读之后我有几个感觉：1、作者带着西方价值观来看中国的现象，那种字里行间的优越感我相信他已经拼命遮掩了，但是真的遮掩不住。他已经跳入一个价值观的框架，然后自动屏蔽了所有能带来反证的东西。2、我并不认为这书好，真的。
danyboy,5,2013-10-31 18:22:53,unknown,425,确实好看！非常好看！但我那个问题始终存在：这本书的意义，究竟是那些事实本身，还是作者异域的笔的二手转述？那些我们熟视无睹的事实之所以视而不见，并非因为我们残忍，而恰恰因为我们投入了感情并成为那些感情的一部分。
fateface,5,2014-03-10 08:15:15,unknown,189,这本书让我觉得，我生活的中国，很多方面对我而言都是外国。
熊阿姨,5,2011-09-18 11:06:10,unknown,98,很想知道这种写法背后的财力和时间支持是什么。书好得评注什么都多余。秋天去怀柔，想到何伟就是驶过这样的路看过这样的长城碾过这路上的粮食，甚至感到与有荣焉。
邓安庆,5,2013-08-02 09:02:12,unknown,90,《寻路中国》可能没有像《江城》那样有阅读的快感，我想前者是观察居多，后者体验居多。真是一本很厚实的好书，翻译得很流畅，都不像是译作了。另何伟的文章一以贯之的深情，很容易把人带进去。
·,5,2012-02-09 13:10:36,unknown,67,这是一本真实记录了这个国家的小人物是如何成为历史的一部分的书。
方方土君,5,2011-09-06 11:29:05,unknown,63,文字的魅力不在于辞藻的华丽，而在于源自真实的提纯，对生活的反思对世界的观察，哪怕平白直叙。
狠狠红,4,2011-09-07 15:32:31,unknown,67,写得是挺好的，文字好，也够敏感。但那些号称从这本书里才读到中国的人，你们平时是活得多不接地气？
文泽尔,4,2012-02-24 07:25:32,unknown,37,本书表达更多的是纪实所需的一种尺度海斯勒很少谈感受全书基本由按几个主要事件收纳的各种事实构成所谓“第一手原始资料”极符合“田野考察”概念的基本要求三大篇幅中“城墙”主要相关租车、公路、驾驶和明长城地域之间的牵连“村庄”主要围绕魏家人在三岔村的经济政治斗争史以及魏嘉这个典型中国孩子的生病及教育问题“工厂”则相关温州老板贵州技术员和打工郭家在丽水的奋斗故事和最终各奔东西的状似悲凉的发展常态杂糅进城市政府作为公司（正如明镜刊登中国作为公司的一期）圈地挣钱及开发商发迹到倒台等具体事例最喜欢的是第三部分：邀请作家做胸罩调节扣环合伙人的段子着实大妙最好的故事总是时代真实的细碎删节的部分略降低评价
王坏,5,2012-05-03 21:43:23,unknown,41,我好奇沙漠里那个神秘的墓碑，我好奇西部那个每个月都要去看沙漠的神秘男人，可是找不到任何和我关注点一样的。
环玥,4,2013-05-23 00:19:00,unknown,41,每次读何伟都一股凉气上背脊，他比我做中国人更称职。
