user_name,star,comment_time,geo_ip,vote,short
椒小胖,4,2018-06-04 00:53:02,unknown,1489,射雕里最牛逼的英雄是柯镇恶。不管对方武功多高都敢上，总是大叫一声:无耻之徒，纳命来！十秒之后，柯大侠又会说，要杀便杀，我柯镇恶不怕！柯大侠的一生，打架没赢过，装逼没输过。佩服之至
余執,5,2005-12-13 10:20:02,unknown,1079,無論是年少，還是現在，每一次，腦海里記得的只有兩個人：一個是吹著碧海潮聲曲的黃藥師，另一個是雙手互搏自己同自己玩的周伯通。都是寂寞的人。
豆瓣第三懂王,5,2013-04-26 16:59:24,unknown,517,“有人问我你究竟是哪里好，这么多年我还忘不掉，春风再美也比不上你的笑，没见过你的人不会明了”。
像何首乌一样,5,2016-07-09 23:26:55,unknown,249,在这世上，欢喜快活原只一忽儿时光，愁苦烦恼才当真是一辈子的事。
atmosphere,5,2011-06-05 19:14:17,unknown,165,老妈从小讲到大的故事，长大以后，我自己终于也看了，才意识到老妈真是讲故事D高手啊。
顾虑,4,2012-04-05 20:16:45,unknown,115,这本书应该叫《不解释和讲不听》
summersand,5,2013-09-28 05:04:25,unknown,105,射雕英雄传看的我飙泪。看到郭母被成吉思汗抓住，临死之前告诉郭靖，要铭记靖康之耻，最后用那把刻着“郭靖”的匕首自杀。郭靖抱着母亲尸身突出重围，慌不择路一直狂奔，在旷野中想到世界上和他最亲厚的人都已死去，悲从中来，不知道今后该往何处去。。。。
润物无声,4,2010-03-08 16:55:05,unknown,98,过年前那段无聊的上班时间又重新看了一遍。发现靖哥哥实际上是个人生道路被铺垫好的年轻人，最后才自我剖析人生的意义，未果；换成我是杨康，十有八九一样会选择这条路；最后，我挺喜欢黄药师的，因为洪七公叫他作“老妖怪”。
会打字的跳舞机,4,2011-10-12 17:26:24,unknown,65,实在是对郭靖黄蓉爱不起来。东邪西毒南帝北丐，当然还是老叫化和老顽童比较招人喜爱。杨康是里面的最杯具，一辈子的身份认同障碍。我忽而想起来很小时候看过黄日华版的射雕，剧情都不记得了，依稀是为杨康的死桑心过，小时候经常会同情和认同电视剧里的坏蛋，是因为他们大抵更符合真实的人性么？
slingXXXblade,3,2013-10-06 23:15:48,unknown,58,一个智商低一个情商低。。这俩兄弟真绝了。。
leon,5,2018-06-16 23:03:03,unknown,73,“从前爹爹教我念了许多词，都是什么愁啦、恨啦，我只道念着我那去世的妈妈，因此尽爱念这些话。今日才知在这世上，欢喜快活只一忽儿时光，愁苦烦恼才当真是一辈子的事。”
pan pan,5,2013-05-17 21:32:55,unknown,62,黄老邪真是个傲娇的爹啊
文武,4,2012-11-14 17:39:37,unknown,38,射雕简单热闹有趣，恶人也不算顶恶，算是三部曲里最欢快的一部了。欧阳克叔叔是有恋童癖么，三十多岁了还对十几岁的黄蓉那么着迷？
P.Cissi 殿下,3,2011-05-11 10:56:15,unknown,34,感觉比较早期，人物都有点头脑简单的样子~
Vamei,3,2012-08-27 18:50:17,unknown,37,不喜欢郭靖，不喜欢黄蓉。因为先看了神雕侠侣……
猴头虫,4,2013-10-23 15:51:38,unknown,22,qiu看来看去，其实也没坏人在这里面呀！
末摘花,5,2018-07-26 17:52:22,unknown,33,最爱的黄蓉和郭靖，聪明可爱机灵的蓉儿，一心一意的靖哥哥！完美搭配
阿依达,5,2013-11-17 08:35:35,unknown,20,人物描写太精彩！尤其是东邪西毒南帝北丐，每个都是活生生有意思的老头儿。郭靖、黄蓉这两口子虽然我不喜欢，但也个性鲜明。全书人物之多场面之大令一般人无法想象，却全然在金庸的掌控之中。这部作品也在方方面面体现了金庸历史、文学知识之广博。无法充分表达敬仰之情。唯一几点不爽的就是黄蓉郭靖小情调太严重，好似出演电视剧，要打就打，瞎谈什么恋爱，让人不痛快。结尾家国情节也有点空大（我看的连载最初版，不知后来有无改变）。还有就是金庸笔下的主角总不是靠自己实力成功，老是吃蛇胆呀、莫名其妙被传授了内力呀、打通了血脉呀，什么的，让人很嫉妒，无法被信服。四位老侠太有意思，每次出场都让人忍不住要叫好。郭靖太举棋不定，看了就生厌。
Stephen Curry,1,2019-08-20 03:10:31,unknown,31,人人都是没头脑，还不高兴，一言不合就开打，有误会也不解释，那么好解释的事，居然也不说清，非得他妈地闹出人命。一个个都是提线木偶，为了荒唐的剧情服务。金庸其实是沽名钓誉之徒，从他回复王朔的文章就能看出。金大侠唯一的贡献我觉得是提供了一堆ip，为华人圈子贫乏的想象力作了点贡献。
懒人老猫,4,2007-10-18 10:27:30,unknown,13,当然我最热爱的还是83的电视剧，然而我已经不再喜欢金庸了.尤其不喜他对女子的描述.
WINGWING,5,2018-10-30 21:41:13,unknown,24,最爱的一部，靖蓉之间的感情真是美好得无以言表，一个聪明一个憨厚，但对彼此都是毫无保留的爱。这应该是金庸书中最好的江湖了，与爱人并辔而行，游历天下，哪怕快乐只是一瞬间的，但这个瞬间是永恒的。蓉儿和靖哥哥真是太可爱了。
几几哭倒在厕所,NaN,2011-12-27 13:45:51,unknown,15,从来就不喜欢黄蓉。
木二开,5,2012-06-07 20:04:09,unknown,12,七张机，鸳鸯织就欲双飞，可怜未老头先白。
水仙操,4,2012-05-07 17:03:07,unknown,12,套马杆的汉子郭靖。蒙古帝国发家史。全真七子江南七怪混合群斗。可能是电影东邪西毒的缘故，对欧阳峰的印象要好过黄药师。两把匕首下落不明？
