user_name,star,comment_time,geo_ip,vote,short
C,5,2015-11-19 22:15:26,unknown,3418,刘慈欣用百万字写三体，告诉我们宇宙是什么，时间是什么，博尔赫斯用几百字就做到了。
小城就好,5,2015-08-04 23:42:22,unknown,998,总有一只猴子能在打字机上敲出哈姆雷特，总有一个你能在小径分岔的花园里终生幸福。在文字领域与玄妙事物领域间的跨境，只有大师才能做到如此潇洒不羁。【从今天起，请给我“读过博尔赫斯”之标签。
非想,4,2015-09-04 13:20:29,unknown,779,博尔赫斯在此部小说集中明显的反映出自身的创作主旨：形而上学。以玄学来揣度人、宇宙本质的奇妙可能。是亚里士多德古代哲学的反照，重认识轻实践，这放在文学中开脱写作空间，而不是放在科学应用中也未尝不可。《小径分叉的花园》以伏笔、前后呼应来展现”因果律“的无常之妙。《特隆、乌克巴尔、奥比斯·特蒂乌斯》创造了一个奇特的唯心主义宇宙观，《通天塔图书馆》把书籍作为宇宙”本体论“的根源，幻想出六角形图书馆的无限空间科幻奇观。《环形废墟》把存在、自由意志、梦、灵魂放入循环悖论中，讲了一个迷雾重重的反转奇闻。《巴比伦彩票》和《凤凰教派》把人类社会隐喻在赌博、不宣之秘中，映射资本融资、集权、社会潜规则。博尔赫斯的短篇非常难读，很多内容无法参透而且有多种解读可能，花了很久才读完，阅读过程中既艰难又有趣。
江绪林,3,2015-09-16 00:44:44,unknown,670,不明白为何评分这么高。只有“通天塔图书馆”这一篇让我眼前一亮，因为自己也曾经想过有限的字母进行无限书写可以预先把一切发生的事情都叙述出来的问题。“小径分叉的花园”这篇比较巧妙。但整个而言，设计的情节都有点在讨论无限性或可能性问题（而似乎缺少微积分和分析方法），注重形式，这里博尔赫斯的灵魂是苍老的，仿佛从来没有自己的过去和年轻时刻似的。没有捕捉到青春的激情、也没有为什么灵感而惊诧。这里博尔赫斯似乎不属于自己，像个世纪老人一样属于人类，在那些陈旧的窗棂上重复着那古旧的打扫。
夏天。,4,2016-03-12 16:22:57,unknown,501,姑娘们追一部韩剧换一个老公，我是翻一本书换一个男神……
苦杏仁的气味,2,2015-12-22 23:00:41,unknown,265,读博尔赫斯给我的启示是，当别人都说好时，不要着急跟上去，它真的不一定适合你。抱歉，如果天堂真的是图书馆的样子，至少我们的不是一家。
江凌,5,2016-07-08 15:20:45,unknown,169,读天才的作家写出来的东西，只觉得宝马扬灰，一生也难望其项背。
拥抱,4,2015-09-02 14:47:47,unknown,184,我的智商或许不太够用？
宽松睡裤又如何,5,2017-04-03 18:54:33,unknown,129,博尔赫斯数学一定很好吧。
如来,5,2015-09-07 16:47:39,unknown,94,小径分岔的花园，通天塔图书馆，环形废墟，巴比伦彩票，真好。这套书有利有弊，装帧不算不用心，陆智昌设计，但放在博尔赫斯上，就显得不够配了，起码得有加缪文集那种规格才行。这批是全集第一辑，17本还欠一本文稿拾零，据说一共四十几本，最薄最便宜的都23一本，不能不说有“骗钱”成份，再考虑到未来可能再出硬壳精装，深坑，愿者入坑。
DaVinci's bug,5,2015-10-30 00:22:51,unknown,120,我操，博尔赫斯太厉害了，100页的短篇小说集把我弄得心烦气躁，想死的心情都有！读这本的感觉和《恶棍列传》完全不一样，非常恐怖，是一种被吓死的感觉！
欢乐分裂,4,2016-10-06 16:29:31,unknown,79,4.5；博尔赫斯自创的宇宙可以通过梦境、镜子、迷宫、卷轴或词源无限复制、繁衍，永无尽头，永无休止，如恒河沙数，包罗万象，这是一个超越时空的星球，它往往隐匿于某个球体、一本书或一座微雕，以一片树叶的姿态藏于树林，参悟其道即可澄清人类奥秘；他热爱以梦模拟、塑造现实，以想象产生现实，梦是通往/影响/改变现实的途径；他的时间观足以成为记忆碎片盗梦空间的范本。
小了,5,2015-08-16 21:50:01,unknown,74,记得某文青评论道：一本正经地胡说八道。再读依然很惊艳。
TISA,5,2018-01-19 23:45:03,unknown,72,一共7个短篇，建议倒着读
不流ᝰ,4,2019-01-12 09:19:37,unknown,64,《特隆》设定覆盖整个世界的世界，《吉诃德》设定覆盖塞万提斯的梅纳尔，《通天塔》设定覆盖字母所有排列的图书馆，《废墟》设定梦中人覆盖梦者的回环，《赫伯特》设定覆盖推理小说的小说，《小径》设定覆盖所有人生的花园，四十岁左右的博尔赫斯，借助庞杂阅读和聪明的头脑，仿佛没有年龄的约等于人类规则的代言人，简短的书写透露着庞大的野心，高超的技巧掩盖着情感的不足。十几年后重读，和十几年前巧然都在《巴比伦彩票》这篇时处于疲惫犯困，这篇便又像一片擦过梦境的模糊的小小烟云般滑过去了。已没有当年的震撼，对过于精妙的雕刻有了一点厌倦，但不是博尔赫斯的问题，是我自己的问题，他已经足够伟大了。
W,NaN,2016-04-28 15:17:11,unknown,43,P37的翻译或校对有问题
孟冬,5,2017-04-12 23:18:05,unknown,43,最后两个故事五星。在第五个故事中，博尔赫斯说文学所能提供的种种幸福感中，最高级的是创新。许多人只能满足于模仿，这样的作家数目很多。于是在这本小书里我们看到他似乎就是在追求这种文学的最高幸福——创新。他在创造一种空间，进行永恒的演绎。前五个故事远不如后两个精彩。在《通天塔图书馆》中，你会有一种跟着文字偏离现状，进入另一空间的感觉。而《小径分叉的花园》则是七个故事的最后升华，他一直在探讨深不可测的时间，时间又是怎样在书籍阅读的过程中发生分岔，怎样延续，怎样循环，怎样成为永恒。时间是最大的谜底，太迷人了。
Sarcophagus,5,2017-06-24 05:26:46,unknown,40,“……人类行将灭绝，而图书馆将会存在下去：青灯孤照，无限无动，藏有珍本，默默无闻，无用而不败坏。”——《通天塔图书馆》；“由互相靠拢、分歧、交错或者永远互不干扰的时间织就的网络包含了所有的可能性。……时间永远分岔，通向无数的将来。”——《小径分叉的花园》
blackboy666,5,2017-04-09 10:40:56,unknown,67,博尔赫斯不是在写作，而是在解构旧世界，重建新的宇宙秩序。很多精致的构思和细节让人觉得诧异。甚至可以发现很多导演的思路都借鉴于此，尤其是环形废墟，通天塔图书馆这两章。在模糊的情节叙述中，读来有点恐惧，生怕那支笔不留神捅破了生活世界的界限。对宏观秩序之思并无止境，寥寥几笔确似包揽万物
mt,2,2018-07-20 23:27:03,unknown,74,文学家在讨论时间，无限等问题时，应该辅以文笔，剧情，幽默或者幻想。空洞的探讨和浅显的发散导致文字既没有文学的美感，又没有哲学的美感。在无限的问题上，几十页的文字带给人的美感完全不及几个数学公式。7个短篇只有后两个稍具可读性，99页的书买到20多块，从各方面看都没什么推荐价值
加州没有雨,4,2020-05-20 05:57:04,unknown,78,镜子和男女交媾是可憎的，因为它们使人的数目倍增。
匪有韭无赚梁皇,3,2016-05-17 10:21:05,unknown,26,不是我的菜...翻译似乎也有点问题。重读《小径分岔的花园》，不如以前在高中看语文选读课本带劲了。
一粒傻兔,4,2020-02-01 22:44:31,unknown,65,我越读博尔赫斯越觉得自己是辣鸡，因为我根本看不懂，我是废物.jpg
ecstasyyyyyyyy,5,2016-01-18 20:05:58,unknown,0,
虫虫,5,2017-06-15 23:05:07,unknown,35,意犹未尽，发现博尔赫斯就像发现爱情，发现大海一样。
深邃,5,2018-12-10 18:29:24,unknown,33,诺兰曾接受采访表示自己很喜欢博尔赫斯的文学，看完这本书觉得自己也想去做诺兰了。
万有引力之后,NaN,2015-08-12 13:11:57,unknown,21,这里的作品是纯文学性的，其构筑的影像世界异常华丽而丰富，它本身就是座无限的图书馆、花园、迷宫。
成知默,4,2016-01-03 10:19:07,unknown,14,2016年已读001：博尔赫斯的故事不在空间中展开，而在时间中延续，他将这些关于时间的、支离破碎的梦境编织成一个个庞大的谜语，在这些背离的、汇合的和平行的时间里，当下无法确定，过去与未来也并不真实。“在大部分时间里，我们并不存在；在某些时间，有你而没有我；在另一些时间，有我而没有你；再有一些时间，你我都存在。目前这个时刻，偶然的机会使您光临舍间；在另一个时刻，您穿过花园，发现我已死去；再在另一个时刻，我说着目前所说的话，不过我是个错误，是个幽灵”。
局外人,3,2019-07-14 15:44:19,unknown,70,博尔赫斯最难读的一本，全都是中文但连起来不知道在讲什么的典范
WINGWING,4,2018-11-06 19:38:32,unknown,37,似懂非懂，很难读，这样的难不是句法和文化差异造成的难，而是叙述和精神内容造成的困难。读书确实是一件有门槛的事，要从博尔赫斯如轮回般的叙事方式和形而上学的故事内核中悟得真义，真的需要阅读上的积累和思辨。
Alain,5,2016-06-02 01:39:48,unknown,28,开头两篇实在是没法认真读下去，这是过滤掉没有耐心的读者吗？好在翻到后面渐入佳境，从最短小易懂的《环形废墟》开始（即使这样也读了五六遍），然后是《通天塔图书馆》和《小径分叉的花园》，特别喜欢。
