user_name,star,comment_time,geo_ip,vote,short
眠去,5,2007-02-08 11:16:40,unknown,8441,十几岁的时候渴慕着小王子，一天之间可以看四十四次日落。是在多久之后才明白，看四十四次日落的小王子，他有多么难过。
小岩井,NaN,2012-01-09 14:55:31,unknown,5922,读了好多年，终于读完了，但是实在共鸣不起来，虽然知道那些道理，但真的觉得没什么了不起啊，是我还太幼稚吗？
自在渍,5,2012-09-01 20:44:35,unknown,3573,我的玫瑰花儿，只有四个微不足道的刺，用来抵御这个世界。
黛安Diane,5,2009-12-22 11:36:19,unknown,2311,说实话我看不太懂但还是跟风给个5星吧以显示我也是有思想有学识之人
菱夏,3,2015-09-23 15:01:18,unknown,1313,虽然我实在幼稚，但我并不怎么喜欢孩童般的纯净，我只爱风浪过后的平静，流水打磨出的清亮，大雪纷飞时的安宁，沧桑看透的纯真，我爱眼冷心热的庄子，人究竟无所逃于天地之间，各适其性，做自己认为有意义的事就好了，无论是统治宇宙还是喝酒点灯，对他们来说，都比爱一朵玫瑰重要，这不是很好的么
北溟鱼,NaN,2007-12-15 20:27:27,unknown,856,不能理解的是，為什么它忽然紅成這樣？
陳蘇蘇二逼人生,5,2011-08-14 01:59:16,unknown,926,一边读一边很想哭。太寂寞了。人类真的太寂寞了。
萌塔 C-137,5,2010-04-29 09:38:38,unknown,1140,是你浪费在我身上的时间使我变得如此珍贵
momo,5,2012-11-15 23:45:25,unknown,865,如果你是小王子，我就是那捉鸡的狐狸，求你驯养了我，却又对你说要你回去对你的玫瑰花负责。还大方地以为只要看见了麦田就会想起你头发的颜色。我却永远无法随你回到B-612星球。现在觉得，我可能只是猴面包树而已。
蛇,4,2009-11-25 03:40:45,unknown,809,狐狸告诉小王子的秘密是：用心去看才看得清楚；是分离让小王子更思念他的玫瑰；爱就是责任。
杜边生,NaN,2007-12-09 03:10:28,unknown,661,我老觉得小狐狸跟小王子是在搞GAY
暴走系乙女药,4,2012-01-30 14:42:06,unknown,698,原来在我还不懂爱情的时候就爱上了你
Cassie,2,2015-10-07 23:59:34,unknown,569,痛苦迷茫不是因为成为了“可笑”的大人，而是成为大人却没有真正长大。所以回过头来想要从怀念童年中解脱缓解痛苦那是本末倒置的做法。如果你作为一个成年人觉得痛苦，原因不是因为你“成年”了，也不是因为是生而为“人”，而是“你”停止了思考停止了学习。
猫伯爵,5,2011-02-04 06:43:28,unknown,559,他像一颗树那样倒了下去
7酱™,5,2011-11-12 13:10:01,unknown,483,第一遍读时，我才4岁。等到真的读懂，才明白为什么这是一部“童话”。
一只麦麦,4,2011-11-04 09:19:34,unknown,486,Itisthetimeyouhavewastedforyourrosethatmakesyourrosesoimportant.
[已注销],5,2012-04-27 15:36:14,unknown,483,爱屋及乌，爱一个人会让周围的一切变得美好，连麦浪的金黄都会让人心醉。　　　　　　　　爱同样意味着责任。因为“你现在要对你驯服过的一切负责到底”。爱与被爱都有责任，每一段我们曾经付出过的感情，都必须为对方，为爱情负责，不是吗？　　　　　　　　爱很多时候又会面临失去。小王子离开的时候，对狐狸说“那么你什么好处也没得到”。狐狸回答：“由于麦子颜色的缘故，我还是得到了好处”。爱同样意味着宽容，意味着放弃，也许我们在面对渐行渐远的爱情，该抱着平和感激的心态，因为我们起码收获了麦浪的金黄！　　　　　　　　狐狸同样告诉小王子，“只有用心才能看得清。实质性的东西，用眼睛是看不见的”。只有这样，才能让我看清爱的本质。　　　　　　　　爱是什么？　　　　　　
晚回舟,5,2011-10-06 20:15:06,unknown,454,狐狸再好又有什么用，他还是爱玫瑰花
齐鲁矿业李德友,4,2015-10-16 22:24:58,unknown,359,你要非常有耐心，”狐狸说，“首先，你要在离我有点远的地方坐下，就像这样，坐在草地上。我会偷偷地看你，你不要说话。语言是误解的根源。但你每天都要坐得离我更近一点
E,5,2010-06-06 11:25:19,unknown,389,漫山遍野的玫瑰，但真的，我最喜欢最初的那一朵，带刺儿的那一朵。我能不能回去继续浇灌那朵玫瑰⋯⋯
彼方有荣光,5,2011-05-16 18:19:17,unknown,377,长这么大，读过次数最多的书就是《小王子》，我是那么的爱这本书，可是我都没有一本属于我的小王子，每次想读了就去图书馆借他，读过很多版本的小王子，但是每次读他，小王子在我心中都不一样。我在我的612星球等我的小王子回家，但有时候我也不确定我是玫瑰还是狐狸或是那条毒蛇，可能我也是小王子。
The 星星,3,2010-02-12 13:23:45,unknown,303,终于读了这本被捧上天的书，事实证明，以前没读就对了
用愛膚堅啦,NaN,2013-04-07 14:28:09,unknown,273,其實我覺得小王子自私不負責，沒有看懂玫瑰，而且被動地把小狐狸傷害了，小王子看懂很多人和事，卻到最後才明白愛情的本質。
璞石,5,2016-04-25 19:49:11,unknown,294,我说小王子死掉了，小表妹说他回到自己的星球了
八月·水语,5,2009-09-04 09:46:20,unknown,225,明明知道会受伤，还是义无反顾，人和狐狸一样，理智有时候睡着了
is4dog,2,2015-10-18 00:13:59,unknown,179,哎，虽然说对作品一人一种解读，可是《小王子》它本身的基础里，是没有纯洁的。描述的是诈骗和算计。智商低的人解读不出这种算计；没见过世面，美见得少、爱见得少的，灵魂里没有天生的宏大的年轻小朋友，拿着李鬼叫李逵而已。这也能代表爱情，真正的爱情要笑死了！……直说它法式矫情和法式智商低，一定会被围殴。哎。可是真的好想拆穿---这皇帝没穿新衣。
七十三,3,2011-01-07 19:10:01,unknown,209,我俗气不知道在讲什么。。。
路边小狗,3,2012-01-06 13:29:42,unknown,155,没别人说的那么神
安东,5,2015-10-07 18:37:14,unknown,154,可如果你驯服了我，那就好比是太阳又重新照亮我的生活。我会知道有个脚步声和其他所有的都不同。其他的脚步声会让我赶快躲进地下。而你的则会像音乐一样呼唤我出洞。
Miaou,5,2012-10-09 12:24:08,unknown,220,不知道第几次重读。每过一段时间再读，都有新的收获。心变得很柔软，脑里的迷雾被驱散。更多的关注他人，关心这个世界，自私是多么无趣的事情啊。我想，写一本能温暖人心，帮助困难的人们的书，比世界上很多事情都有意义。
楊不歡,4,2008-11-12 14:18:18,unknown,143,好东西，但不喜欢有些人把小王子抬得那么高，全是装逼
thea,5,2011-07-27 20:33:19,unknown,134,记得当年傅子一语，对文学稍有感觉的人，都会感动的一本书。
Moss大妖,4,2009-10-07 16:39:33,unknown,101,这个评分给我好大的压力……
春风不解意,5,2018-03-19 22:23:02,unknown,109,——如果你爱上了某个星球的一朵花。那么，只要在夜晚仰望星空，就会觉得漫天的繁星就像一朵朵盛开的花。长大了才看得懂的童话。
桃鸢去远方,4,2009-11-07 20:36:32,unknown,117,记得世上会有干净纯粹的小王子，记得世上亦有温驯而微薄的狐狸。
迪仔I编号223,5,2011-03-17 09:50:28,unknown,91,是你浪费在我身上的时间使我变得如此珍贵。
我不是盆栽啊,5,2008-07-12 21:13:15,unknown,87,我小的时候，没有看懂。现在想起来，竟然觉得这个故事冷。看了几遍都没有太看懂。直到有一天突然发现那种孤独。那种有很多星球可是只有你一个居民的孤独。精心呵护的玫瑰，路遇的小狐狸。所以才要和飞行员对话吧，因为太寂寞了。可是我们每个人，都是拥有一个星球的小王子。我学不会爱，学不会接受爱。
喵喵最丑,2,2018-03-19 11:38:02,unknown,78,不好看
