user_name,star,comment_time,geo_ip,vote,short
扭腰客,5,2013-04-03 22:10:22,unknown,1906,现在的文艺青年多认为大陆导演文笔最好的是贾樟柯，殊不知，陈凯歌的文笔足以称之为散文大师。读完之后，掩卷沉思，一个拍出《黄土地》的导演，一个写出《少年凯歌》的导演，是怎么会拍出《无极》和《搜索》的呢？
Curiosity.,4,2014-02-25 08:30:53,unknown,915,他怕失去人群，所以他拍了《搜索》
Shyn,5,2012-05-05 16:18:53,unknown,812,这本小书，读的很慢。每每翻开，都觉得沉重，以自己的微渺生命，大概还不足以去承载其间的深切思索和无限慨叹。比小说更震撼人心，因为里面每一个人，都曾经鲜活地存在过。在这片土地上，有血有泪，有暴风也有骤雨。幸运的是我们，未直面过那么尖锐的灵魂拷问，未经历那么残酷的人生选择。但在赢得明亮青春的同时，也失却了对于某些东西的领悟。翻过去的一段历史，已经从新世纪人们的眼前消失，可是对于人性丑陋的疑问，对于群体作恶的追思，对于个人和时代的悖论，对于命运和偶然的怀想，都不局限于时代。不要说有谁免除了罪恶，我们的手上未染鲜血，也许仅仅因为我们不在场。而这个时代，又赋予了我们什么呢？在追求独立和自由的价值时，该听听那些人的低语，他们不远，他们存在于每个世代，存在于人类历史的最阴暗处。
欢乐分裂,4,2019-02-25 16:35:51,unknown,667,绝对是文笔最好的华语导演了，力压科长无误，碾压一众所谓散文家也不在话下，用典引文考究而自然，文辞丰沛，且颇有古韵（所以他怎么可能审美差），追忆意气风发的少年时代既有抚今忆昔的怅然，更兼具对历史史实和国人特性的深刻洞察，很具思辨性，沉痛之情溢于言表。几乎与共和国同龄的那代人——“毛泽东是我们生活中天然的一部分。我们对他的爱，与其说是一种感情，毋宁说是一种习惯。”所以亦不必讶异于他以及“第五代”日后如此执著于家国主题，这种几乎侵入到骨髓的教化与熏陶，在思想和行为上改变了千千万万的人们。深深震惊于其如此会写，如此敢写，群众的盲从与领导者的方针引领，人为的灾难与信仰的缺失，人性的沉沦与自然的神力，写得极其动容动情。提到《孩子王》，真是一部被低估的佳作啊。
Kidulty,5,2018-03-31 11:48:25,unknown,412,触目惊心，看哭了。散文如流水，坦然胜清泉。陈凯歌像是中国典型的古式文人儒者。骨子里有清高，悲悯，虚荣，以及极大的艺术情怀。原来霸王别姬也是他血淋淋自供书的一部分。很难想象经历文革动荡的那代人要如何拼凑自己破碎的灵魂。如今他是不是也会和满族奶奶一样，时常陷入呆状无言。恐惧比爱更有力量，相信与不相信都被颠覆，通往慰藉的宗教去路被封锁，暴力摧毁所有的文明信仰真理道德。肉体侮辱虐待杀害，精神世界彻底摧垮，让我读起仍震惊且百思不解。人如何才能脱离对离开人群的恐惧？一部中国历史掌握于理性的时间实在太少，情绪化的高度专制与混乱互相交替永成暴力乱治。麻雀被宣布为敌人，它就不再是一只鸟。它的存在即是罪恶，为了消灭罪恶就必须消灭它。而在我还弱小时已不能怜悯弱小，实在能对我日后的强壮指望些什么呢?
容安,4,2010-12-09 18:17:41,unknown,179,那一段经历凯爷是一辈子也摆脱不了了，他不应该用电影这种注定就很大众化的东西来表现他自己的私密内容。尤其在中国被称为“贺岁片”的情况下。这是一种注定的分裂和失败。
BLAKE,5,2010-07-24 16:44:53,unknown,214,此人若入文坛，必定也将是一颗妖星！
范德一彪 Alex,4,2018-06-21 11:13:57,unknown,220,陈凯歌的才华一直被低估了，这本书回忆的都是他灵魂深处的疤痕，关于文革中批斗自己的父亲，以及身边同学朋友们的文革众生相。所以，他坚决把自己儿子都送出国，骨子里对这早就看透。
流沙陷,5,2015-10-31 02:27:57,unknown,168,陈凯歌经历及旁观的文革，老舍太平湖投湖自杀那晚的中午，陈凯歌在那里看见了他，经此启发，后又有数十人在此自杀。陈凯歌说文革，当所有的人都是无辜者，真正无辜者就永远沉沦了
边城不浪,4,2013-12-20 20:46:45,unknown,94,四星半。出乎意料的好，本来对陈凯歌一直印象不佳，就算是《霸王别姬》也没觉得多好，但这本回忆录显露出的思辨力度和文字功夫都不是盖的，一些章节让我想起杨小凯的《牛鬼蛇神录》
