user_name,star,comment_time,geo_ip,vote,short
Daniel,5,2014-07-18 13:00:49,unknown,17487,道德判你死刑，哲学证你无罪。
霍不转,5,2013-06-22 21:27:52,unknown,5279,书是好书，序真的不行！写了二十多页序的柳鸣九老爷爷，带着太多主观臆断“事先”强加给读者，去为主角辩解这样辩解那样，仿佛忘了读者也会思考......
[已注销],4,2012-03-19 12:45:16,unknown,5056,其实很多人跟男主人公本质一样只不过男主人公不懂得扮演能满足社会需求和大众希望看到的角色，同质化的洪潮无法忍受一个随心所欲释放自我的人，他太直白太坦诚了，没有按照那些审判他的人所希望看到的表现出痛悔愧疚之情；因为没能满足他们的控制欲，他被无情的弄死了。这种控制欲美名其曰道德，但我没看出来这份“道德”跟他犯的过失杀人罪有什么丝毫的关系。
Mignon松弛地,5,2012-08-09 02:08:35,unknown,4440,一开始我就站在主角的一边。突然想起高中同学对我评价:你是一个没有正常道德感的人。
Veronica.C,4,2015-07-04 18:34:36,unknown,2728,“对于世界，我永远是个陌生人，我不懂它的语言，它不懂我的沉默，我们交换的只是一点轻蔑，如同相逢在镜子中”
灵鹰,5,2016-02-28 11:55:04,unknown,2176,我知道这世界我无处藏身，只是你凭什么审判我的灵魂
劉丹青Shelia,4,2016-04-13 20:18:08,unknown,2014,说实在的我并不喜欢默尔索，比起清醒的冷漠和无知的热情，我更喜欢明知一切荒谬却依然全情投入的人。
august,5,2014-04-16 18:40:06,unknown,1728,读的第一本加缪，被彻底折服。如此荒诞的基调，如此犀利的笔风，用一个与整个社会格格不入的淡漠主人公，讽刺了不健全的法律，挑战了谎言堆砌的现代文明。经典作品值得翻来覆去拜读，因为你始终感觉不能吃透作者想要告知读者的所有信息，把握不住其精髓。这位最年轻的诺贝尔文学奖获得者值得一读再读。
风撼斜阳,5,2013-11-08 14:28:33,unknown,1513,重读《局外人》，我印象最深的是这一句：「人生在世，永远也不该演戏作假。」可惜我们的社会是个大剧场，这便是默尔索的悲剧所在。
Pansenberg,5,2016-12-19 17:09:34,unknown,1519,很难想象加缪写完这本书时才26岁。
Winterreise,NaN,2016-05-29 09:40:37,unknown,1386,默尔索的麻木冷漠，容易给人一种虚无、犬儒主义的印象。但他热爱阳光、大海，被一杯牛奶咖啡所取悦，丝毫不压抑或掩饰他的本能欲求和真实情感。他实际上是无比真实的一个世俗的人，以人性的诚实对抗荒诞。其实我不太同情因为阳光被挡住而枪杀别人的默尔索，他的无意为之不仅无法洗刷、反而是强化了他的罪恶。但他最终死于道德审判，因为没有在母亲的葬礼上痛哭而被判死刑，被意识形态、世俗观念的荒诞送上断头台。他死于真实，这才是荒谬之处。
维城乱马,4,2016-08-17 18:18:28,unknown,948,我之所以觉得这本书中所描写的没什么特别，只因现实生活中我也像是这世界的局外人。
安徒死,5,2012-11-27 14:08:33,unknown,782,“这是一个毫不装腔作势的，愿意为了真实而死的人的故事。”一切怀揣着真实的自我都是这个社会的大敌。
瑾朵朵,NaN,2017-08-23 15:53:43,unknown,654,人类的悲欢并不相通
Moss大妖,4,2014-03-15 20:36:46,unknown,671,完全能够想象到当年这本小说问世时有怎样一番振聋发聩的效果。七十年过去，对小说主题和人物性格的解读更加丰富了，比如从心理学的角度来看，默尔索对人情人事的冷漠其实颇有点自闭症的倾向，尤其是对情感上不能满足社会期待的部分完全不屑于掩饰，他的很多逻辑和心理活动都像极了深夜小狗神秘习题里的自闭症小男孩。但是尽管读者完全拥有随其爱好解读的权利，我仍然觉得前言里把默尔索解读成一个善良、真诚、不对矫揉造作的社会曲意逢迎而最终被视为异端除之后快的殉道者有点过头了……哪怕加缪是一个地地道道的左派、社会批判者，哪怕庭审中检察官用伦理逾越法理而重判了他，我仍然觉得加缪写作此书的意义不可能只限于控诉暴虐而不公正的法庭乃至其背后的强权这么简单。当然，加缪的伟大之处就在于用一本薄薄的小书提供了万千种解读的可能性。
1984,NaN,2014-10-27 17:07:22,unknown,588,默尔索可急死人了。
谁是大熊,5,2017-05-15 02:14:15,unknown,783,莫尔索被判死刑，不是因为他杀了人，而是他随遇而安、追求本真的生活态度和未受世俗污染的纯真品质激怒了这个虚伪的世界
好多人我好害怕,5,2016-01-10 19:46:15,unknown,571,一个毫无参与感的人物是多么迷人，远非“孤独”、“孤僻”这样的词汇可以包括的。
瓜。相信这个世界很变态。,5,2014-07-12 00:44:55,unknown,425,所以说冷漠并不是罪恶的，尽管世俗会让众人有“孤独是可耻的”那种错觉，但无所谓和不在乎并不能成为非议的理由，而所有理所应当的“道德使然”都只是人多欺负人少的约定俗成，本身完全没有意义。正如你的亲人离开了，你不能认为没哭的人就是不爱。看完这本书，很难说你会更爱这个世界还是更恨这个世界，或许就如书中对于默尔索的审判一样，荒诞，无稽，而主人公只是一个局外人而已。
归去来兮,5,2014-01-02 12:39:47,unknown,452,局外人看人世如同舞台上荒诞的戏剧，在舞台上演得津津有味的人们判定了这个不肯演戏的看戏人的空虚乃至罪恶。
风满蜃气楼,5,2012-02-20 19:44:14,unknown,371,类似流水账般地叙述着生活种种，时常感觉不解和荒谬，但又不是无端端的。你看着发生的一切明明与你切身相关，可他们却脱离了你，仿佛与你毫无关系，你迫切想说点什么，可是看着周围愈演愈烈的情势，反而觉得一切都不那么重要了。
你呀,4,2015-10-14 18:16:45,unknown,465,为什么要写序，作者跟你很熟么
竹官碧,5,2014-11-16 14:20:52,unknown,243,原谅我这一生不羁放纵爱荒诞。人格关怀毋庸置疑，但介绍里的“精神导师”是否与作者本意背道而驰？精神就是精神，极私密，极自由，一切引导皆为专制，一切解读皆为暴力，何来导师。
冰红深蓝,5,2015-05-30 18:17:13,unknown,280,“走得慢，会中暑；走得太快，又要出汗，到了教堂就会着凉。”“进退两难，出路是没有的。”“怎么样都行”“没什么可说的”“生活是无法改变的，什么样的生活都一样，我在这儿的生活并不使我不高兴。”“毫无疑问，我很爱我妈妈，但是这不说明任何问题。所有健康的人都或多或少盼望过他们所爱的人死去。”“一个人从来也不会是百分之百的痛苦。”“谁都知道，活着是不值得的。事实上我不是不知道三十岁死或七十岁死关系不大，当然咯，因为不论是哪种情况，别的男人和女人就这么活着，而且几千年都如此。总之，没有比这更清楚的了，反正总是我去死，现在也好，二十年后也好。”“面对着充满信息和星斗的夜，我第一次向这个世界的动人的冷漠敞开了心扉。我体验到这个世界如此像我，如此友爱，我觉得我过去曾经是幸福的，我现在仍然是幸福的。”
后自愈,5,2015-08-03 23:48:42,unknown,274,世界上有太多自以为是的人，他们要求别人按照他的方式而活，或者说这个社会就是如此。不信基督就是亵渎基督，不信上帝就需要怜悯。你需要表现出别人想要的东西，你需要扮演别人所需求的角色。而男主人公所流露出来的孤独，便成了社会上的冷漠，这和那场审判一样荒诞。我们和默尔索一样审视着，观看着这场好戏，看着他们审判我们制裁我们，而我们所说的每一句话都成了多余。默尔索本身只是自己人生的局外人，漫不经心的观察着自己寡淡的人生，正是因为这场审判，他开始观察母亲、恋人、朋友，这个社会乃至整个人类，在生命行将就木的那一刻他突然感受到，自己也是人类的一员。但在这个已被选择的命运中，在死亡终将到来的人生中，在这个思考母亲的夏夜中，我和默尔索一样，从未如此期待着未来。
时间之葬,3,2014-10-27 14:25:54,unknown,197,加缪的局外人，是疏离与冷漠者，是智者，也就是那种靠己之所有而不把希望寄托在己之所无来生活的人。可索尔默似乎还不是彻底地置身事外，他更像是一种懵懂的觉醒
轱辘,5,2016-02-23 02:36:38,unknown,284,活着。一不小心，死了。
绿酱（冷萃版,4,2015-08-24 02:22:28,unknown,180,原来衰老是一种不能治愈的疾病。原来在生活中演技大根也会走上断头台。←其实就像我再觉得朋友圈无聊也会点一圈赞啊，毕竟连龙套都跑不好的话是会被片场淘汰的呢
ॐ,5,2013-03-28 17:45:58,unknown,228,你站在惯于媚俗的世人的对立面.太清醒，有一双洞悉世事的眼睛，对这个笼罩在机械和模式规范的世界太过厌倦.你坐在被告席的位子上，以局外人的视角观看一场随时生厌的滑稽戏.
刹·那,3,2012-11-16 22:33:43,unknown,194,正文之前有段很长的译者序，不建议读，因为会限制思路。我和译者的观点完全不同：说是一部揭露司法和社会罪恶的小说，简直描述成了现实主义文学。但为什么加缪被称为存在主义文学大师，读完最后的20页才能了解，那才是全书的精髓，是对存在主义内涵的最好阐述。唯一缺点是叙述太平淡说流水账也不为过
反山,5,2011-11-13 20:29:55,unknown,207,几万字的一个中篇，一个多小时看完了。开始有点闷，但越看到后来越觉得文章没有一句话多余。另，如果要问哪本书对夏日灼烧人的阳光描写最好，这本，如果要问谁是局外人，恐怕不只是莫尔索。
神威,5,2012-07-24 08:34:46,unknown,129,莫尔索的对外界的无动于衷和强烈的钝感我感觉在今天的世界已经是一种极为普遍的情绪，而在当时，应该是个新鲜东西，尤其是人民热情洋溢激情似火的法国，读这本书的时候不可控制的想起八嘎娜娜，想起她标志性的无力表达情感和对生活变化无动于衷，我们都是莫尔索，而另一些人在发出愤怒的叫声
鬼 鬼 ™,5,2013-02-05 03:16:49,unknown,109,"其实根本不想去深究什么存在主义，看完觉得这个世界冷酷的真实，虽然在每一个冷漠的外表下都有一颗热爱生活的心，但是每个人都是冷漠的。不用去批判""局外人""""的存在，因为在现实社会拥有一副洒脱的心放弃一切，对一切无所谓态度的心未尝不是一件好事。"
猪头妖怪,3,2010-12-12 15:03:30,unknown,137,读柳鸣九的译者前言简直是一个灾难，空洞、乏味、啰嗦，甚至连起码的中文表达都有问题；至于加缪的小说，我也嗅不出任何经典的味道来。如果不是读过一部分同样翻译糟糕的《西西弗的神话》，恐怕都不知道他想说点啥；翻了豆瓣里的好些高分评论，结果证明都不过是鹦鹉学舌和皇帝的新装罢了。
胡如隐,4,2016-11-12 10:54:19,unknown,99,我想说出这个小说令人印象深刻的片段，于是说完了整本小说。
