user_name,star,comment_time,geo_ip,vote,short
奥德赛的暗流,5,2016-07-08 17:57:36,unknown,3826,我本来以为推荐言过其实了，尤其书封，什么平均三个通宵读完，哼。嗯，书封确实错了，我用一天一夜读完了。
蜗牛有个家,5,2016-05-04 15:24:47,unknown,2190,肯•福莱特其实跟金庸很像，他在欧美出版界的地位绝不逊于金庸在中国的影响力，而且他们都是那种肚子里装满真材实料但绝不以此刁难读者寻找古怪存在感的好作家。
沉睡的青春,5,2016-05-26 23:45:20,unknown,1081,太好看了，肯福莱特讲故事本领惊人，一战背景的大格局，各国战事情事信手拈来，每个人物饱满立体栩栩如真，感情充沛毫不做作，随时都可能让人爆泪，《战争与和平》既视感。
殷梨亭,5,2016-05-24 17:42:44,unknown,645,KenFollett是我最爱的三位英国作家之一，另两位是AngelaCarter和NeilGaiman。写作风格差别巨大，但是一样好看！
Robin,2,2016-05-30 20:25:57,unknown,588,可能期望太高了。可能是被吹捧的太过了。觉得非常一般。数次读不下去。以后真是不能看书评。简直吹捧成神作了。
wyvern,5,2016-07-28 11:47:36,unknown,265,kindle电子版。非常流畅的阅读体验，虽然不是3个通宵读完的，但也是在5天内读完。读完之后我对里面的人物的未来非常的担忧，沃尔特和茉黛在纳粹统治下的德国的未来；格雷戈里在大清洗下的苏联；格斯在二战时的遭遇。这些人应该具有更好的未来，而不是我们已知历史中的未来。
新鲜虫子,5,2016-08-03 22:21:08,unknown,240,肯•福莱特是一个坚定的和平主义者，一个温和的女权主义者，一个左派，一个伟大的小说家。
ds,5,2016-06-18 20:15:15,unknown,237,情节不算出彩，历史事件及风土民情的描写却相当出色，作者对待历史很严谨。一个很想问作者的事是为什么在描写一战的小说里，安排了英德俄美等国多名主人公，唯独漏了法国，甚至配角都没有一个。。。
tin_tin,4,2016-06-20 19:45:13,unknown,239,一战背景下五路人马五条叙事线：威尔士的矿工少年和他的被伯爵抛弃后成长为女权政治家的女佣姐姐、美国政治权贵家族的青年外交家、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵和他的致力于民主女权和改革的妹妹，以及痴情的德国特工……俄国贵族的没落，苏维埃政权的出现，英国工会的力量，美国的自由与包容，等等等等。战争的发生其实是各方影响的结果，看大事件是怎样由各路小人物一起推动的，又看小人物在大事件下又受到怎样的影响。真实的历史，虚构的小人物故事，却也穿插了真实的历史人物。主要人物虽然基本都参战了，不过基本都没死，受伤在所难免。开篇很有唐顿庄园的味道，但唐顿庄园虽然有一战等社会背景，却始终只是家庭剧，巨人却走得更远。
丁丁虫,5,2016-05-30 21:58:32,unknown,282,果真三天看完了
愁容骑士刘大,5,2016-08-22 23:24:01,unknown,231,读完后印象最深的人物是平斯基，这哥们沙皇时期当秘密警察抓革命党，二月革命后投身革命党，十月革命后居然又当上了秘密警察，专门搞肃反，帮布尔什维克们抓孟什维克。理想主义者最终都成为他们讨厌的样子，而坏逼永远是坏逼。
赫恩曼尼,4,2017-01-04 00:33:49,unknown,197,战争持续的原因竟然是，打都打了，不分出个胜负，没面子。怎么和谈恋爱一个样儿：都谈了三年了，分了不是白谈了？看来世间的道理都是相通的。嗯。
糯米团子逗豆腐,5,2016-07-27 12:40:39,unknown,215,喜欢最后一段艾瑟尔和菲兹楼梯上的相遇结果就是刚刚看的激动人心再一翻面嗯？完了？
熊阿姨,3,2016-10-07 16:45:33,unknown,188,读一半弃了，叙述节奏太慢，信息浓度低，不管作为小说还是历史都很尴尬。
已注销02,5,2016-07-30 10:56:55,unknown,146,这本书告诉我们：所有的未婚papapa都会怀孕
遠野物語,5,2016-07-06 18:51:24,unknown,130,我爱死这种多线叙述的故事了
大力出奇迹,5,2016-05-30 13:06:10,unknown,126,巨人的陨落，是旧帝国的陨落，旧贵族的陨落，旧制度和观念的陨落。喜欢书中强烈的情感和波澜壮阔的历史画面。
神威,5,2016-07-10 01:18:10,unknown,94,休憩76th，伟大而美丽的一本书呀，在我心中它要胜过战争与和平，我受够了托尔斯泰不厌其烦任意插入的大段大段对历史与军事策略有效性的缺少价值的评论，而这本书没有，上帝视角与局外旁白领了便当，作者常见的不必要刷存在感也没有出现。紧凑而真实，多面而又全面，深刻不凡。历史更迭与旧时代的陨落有条不紊，波澜壮阔，我爱这本书。
nothing传叔,3,2017-06-12 01:44:26,unknown,99,疯狂营销的结果就是烂大街，书本身一般般，而且一部不如一部，陨落3星（可以看看）、凛冬2星（随便翻翻）、永恒1星（不看也罢）。。。
许山,5,2016-05-22 13:23:53,unknown,120,世界是属于勇敢者的，所以世界是属于我的。
ღ 狐不悔，,5,2016-08-02 09:58:57,unknown,77,你往哪里去，我也往哪里去；你在哪里住宿，我也在哪里住宿；你的国就是我的国，你的神就是我的神；你在哪里死，我也在哪里死，也葬在哪里。
周岛,5,2016-07-29 02:50:53,unknown,50,想起了茨威格的人类文明闪耀时
半梦半醒,5,2016-05-24 17:48:17,unknown,50,严重期待TheCenturyTrilogy全套，中文版一定要出完整啊！一定要啊！
寂寞魚燈,5,2016-08-01 09:03:54,unknown,68,果然很好看，还学到了很多关于一战的历史知识，比较喜欢沃尔特和茉黛这一条故事线。
妖刀,5,2016-05-29 18:48:13,unknown,42,太好看了！鸿篇巨制，情节紧凑紧张。也补充了很多一战的知识。
CYclone,5,2016-07-28 00:33:52,unknown,51,如果我说，这部系列小说，用了和《冰与火之歌》一样的叙事方式，但强烈的历史感使得它比后者更好看，你们信吗？五星推荐
QuanLarry,5,2016-06-08 14:03:44,unknown,53,都说三天看完，我却用了三周。不过也算相对较快。另外有人问我，读小说有什么用？不能赚钱也不会带来科技进步。而整个事件的无用，正是我喜欢的。我们总要去做一些无用的事情，才让一切有意义。
头就这么疼星人,5,2016-06-13 17:38:27,unknown,40,我这种不太爱看历史小说的都一口气看完了，肯爷确实牛逼。
麦扣杨,5,2016-07-20 10:28:58,unknown,36,很少读这种大部头的书了，但文笔流畅，情节丰满，相当耐读，作者以小见大，虚虚实实，随着时间的轨迹，不断切换主视角，把小人物的命运与宏大的时代背景相结合，让人看得热血沸腾，十分期待世纪三部曲的后两部。
Palimpsest,5,2016-05-18 00:38:32,unknown,43,惊天动地的场面屏住了呼吸
Amberose,5,2016-08-21 17:18:51,unknown,33,真是好看得停不下来，以不同阶级、职业和国家的人的视角来还原一战，女性争取选举权的部分写得尤其精彩，大概是今年目前为止看过最棒的新出版的小说
acAric,5,2016-06-09 07:42:50,unknown,37,非常好看。不同的家庭，不同的阶级，不同的国家，不同的制度之间的碰撞。特别是在一战那个时代，制度，国家都在发生着翻天覆地的变化。
bookbug,5,2016-10-25 11:42:47,unknown,30,一战前的欧洲主要大国像是一个张牙舞爪、威风八面的巨人，但各自有着国内日益激化的阶层和阶级矛盾，这样的巨人没法靠虚张声势存活下来，在真正有力的挑战面前，其实是不堪一击。伴随着德皇退位、沙皇被处决、保守党和自由党在英国议会的失势，帝国的夕阳残照就如同巨人的颓然陨落一般昭然。
Koji,5,2016-08-01 10:29:43,unknown,30,虽有1000多页，将近60万字，但读起来十分欢畅、不费劲。是今年迄今读起来最过瘾的一本小说，一边沉浸于情节中，一边各种用Wikipedia查书中涉及一战的各方面战争和地理知识。很棒的阅读体验。
露可小溪,5,2016-07-15 18:25:16,unknown,31,一直对这段历史不怎么感兴趣，不过看完套，有点想更多了解了。
