user_name,star,comment_time,geo_ip,vote,short
Tiger Tigris,2,2014-04-30 15:41:00,unknown,2621,忍着终于听完，长吁一口气。“生活啊，你是多么的变幻莫测”一类无病呻吟听多了，李野墨语重心长的声音现在还赖在耳边不走。每当作者摆出振聋启聩的架势，等说出道理却不过是无谓与无根的感怀，我的耐心就被削去一层。写农村是书中最上乘的部分，有血有肉。但描述官场占据大段篇幅，人物如脸谱般单调羸弱，官话连篇难以下咽。我不赞成作者极力宣扬的价值观。人经受苦难不可怕，可怕的是对苦难的偏好。书中优秀的都市女性前赴后继拜倒在农村青年的高贵思想前，后者十分感动但是出于各种原因拒绝了她们。这是官宦千金爱上穷书生的翻版。出现一次是美好，可一个个都这样算怎么回事。作品的全知视角采取一种讲课口吻，文字似未精炼，叙述常重复，正如生怕学生忘了重点。假如你对自己的价值观延续千年没有十足把握，最好不要采取这么强势的叙述态度。
江海一蓑翁,2,2013-04-30 11:47:25,unknown,1336,叙事手法平庸，平铺直叙，几乎毫无戏剧性可言；从文字到字里行间透露出的思想也是平庸之极。匠气十足的通俗文学作品，坚持读了一百多页后实在难以再读下去。真不明白八九十年代为什么会把这部作品捧得如此之高，也不明白它是怎样获得茅盾文学奖的。
阿难,5,2015-05-14 16:04:19,unknown,2033,豆瓣的短评实在让人惊讶，如此伟大的作品竟被人唾弃的一文不值，不过仔细想来也不觉得有多么奇怪了，只怕随着时间的推移，越来越多的人将其视为垃圾也不尽然。当然，于是这又增添了一种悲哀了
naoko,3,2012-07-14 13:05:31,unknown,911,每次都是连第一本的一半都看不完就弃了，真心觉得无聊。同期的《白鹿原》和《废都》我都看得很欢乐。谁能告诉我为什么这套的评价那么高....
何牧歌,5,2011-10-06 12:04:42,unknown,1131,应该拿诺贝尔文学奖的巨著，缺乏犀利严峻现实题材的中国，有这样的小说实在是凤毛麟角，更凸显其可贵。最难得的一点是，文笔还特别舒服。
Tuan.,2,2013-01-22 10:24:32,unknown,339,文学价值真的是不咋高
托马斯杨,2,2012-11-21 21:21:54,unknown,329,之前在中学就很火爆的书，彼时因为不太喜欢这个书名，就没有去阅读。后来还是补上了，其实还是令人非常失望的，文学性不高，时代的局限性很高。
陈日,1,2013-06-07 11:01:36,unknown,315,是不是我粗俗。真的好无聊
伯爵在城堡,4,2012-12-17 22:09:08,unknown,361,小说写得气势磅礴。作者标榜自己是现实主义，可是个人认为，这部巨著是完美的理想主义作品。
砚小朵™,5,2015-02-16 00:26:18,unknown,366,依然记得读这本书时的震动，彼时十多岁的我正是看漫画过多对文字突然摄入无能的阶段，可这部浸满生活与存在的油腻的大部头，突如其来，矫正了我对于文字的敏感度，从此，我又能读书了，感谢它。
水湄物语,5,2005-11-27 17:11:57,unknown,310,能够改变人生的那一类书
ayi,1,2012-01-05 15:56:58,unknown,164,虚伪
津五渡,5,2017-11-08 18:34:07,unknown,230,大二，每天废寝忘食看得兴起，总是让室友从食堂打饭回来给我送给养，三本书快看完的时候又到了饭点，睡在我上铺的兄弟探下头贱贱地对我说“哎～贺哥～吃饭去吧～别看啦…田晓霞死了…”“次…奥”事隔几年我仍旧忘不了我那时的心情和他上扬的嘴角。这是我人生到目前为止遇到的最惨烈的剧透。
陈毓秀,3,2011-10-05 22:14:27,unknown,160,如题，确实只是个平凡的世界
叶酱,2,2018-01-15 09:44:48,unknown,155,叙事语言平庸、充满革命激情的抒情语调，歌颂苦难，知识分子千金和农村小子忠贞不渝的恋情，况且一点思想性都没有，文笔这么差的书还可以获茅盾文学奖。大概是政治比较正确吧
宛平南路百乐门,2,2012-10-13 00:08:39,unknown,146,一般吧可以不看
温凉玉,2,2017-03-29 23:27:26,unknown,129,太做作了，匠气浓郁。好像时时刻刻都在高潮。
西里图,4,2011-10-04 14:05:02,unknown,175,一直都看的很受教育，但是把田晓霞写死这点太狗血了，就好像这个天使一样的女子已经脱离了作者的掌控，作者一气之下杀掉了她一样。除了这点，以及对中国官员过于温和的描写，我认为可以给满分。
Monlina,3,2012-11-15 09:38:19,unknown,146,还是更能被余华的作品打动
透明,5,2013-01-13 22:58:52,unknown,212,在读这部书的许多时刻忍不住流下泪来。拉紧生活这批马车的缰绳，浑身绷紧地赶路，原来是没有捱不过的苦难。
夏虫不语冰,2,2007-05-18 14:13:35,unknown,100,初中时很感动，后来再看当时的品位真不怎么的
爬呀爬,1,2018-06-08 07:16:07,unknown,98,作者这偏心的太明显了吧全世界你家最穷全世界你家小孩最用功读书成绩最好我就想问明明穷成这个鬼养了你生那么多小孩干嘛啊没有钱你逞什么强把房子让给弟弟啊自己照顾不了自己家人还装圣母博同情社会社会
zx2592,1,2017-06-22 08:53:58,unknown,76,不，喜，欢。
吼！,5,2014-02-04 20:57:57,unknown,149,孙少平的坚毅真诚是「自尊」的启蒙，金波遗留在草原的爱情是「梦想」的启蒙。或许没有哪个年轻人从一开始就认为自己的未来会平庸无奇，只是生活的浪如此无情地拍打在我们身上，在短暂地被阳光照亮后我们都会重归寂静。
九黎蓝,5,2006-06-14 21:40:21,unknown,147,平凡的世界，平凡的人生，不平凡的心。
巨米雨,3,2016-04-13 19:30:52,unknown,80,没有办法理解这个分数。
桃子夭||不靠谱儿爱折腾小青年,3,2009-12-20 23:37:53,unknown,66,我还是不喜欢作者自己赤果果地跳出来指手画脚的行为
琴酒,4,2009-05-09 19:19:33,unknown,94,这套书我最后也没买回家，因为觉得它挺贵，于是窝在新华书店的楼梯上奋战两天，腰酸背疼还丢了水杯。田晓霞死的时候，我记得自己一下子就感觉到眼眶发酸，然后把头埋袖子里。它真的很平凡，很朴实，很温暖，它忠实于希望和坚持，忠实于泥土和大地，是个洒满尘埃却又闪闪发亮的故事。淳朴、善良、勇敢的心灵，有时候放弃什么，就是重生，只要不畏惧承担与继续向前。虽然，它实际上，为了故事的圆有点失真。
走开,NaN,2017-05-18 11:59:36,unknown,91,田晓霞之死更像是作者也解决不了他们的关系而给出了一个最简单的解决方式，有点失望。
麦子安,4,2011-11-18 13:59:53,unknown,90,终于读完这部110万字的小说。这本书一直以来毁誉参半，的确，小说的架构和笔法常常让人有稚嫩之感，但这种稚嫩却又奇异地让人感觉到一种特别的真实和真挚，读来身如亲历。小说里的生活和人物都带给我很大的震撼和感动，如果能在20岁时读到此书，我想今天我的人生一定会是另一番景象。对我来说，能带来感动和思索的书，就是一本好书。
小小,5,2012-11-20 19:36:24,unknown,73,初读《平凡的世界》是从图书馆里借来的，好看到惊人，以至于逢人便推荐。这是第二次读，见缝插针在地铁里读完。第三次我要看自己买的书，边读边笔记，细细体味书中的细腻和粗犷、传统与改革、责任以及理想，也许80年代生人的是最后一拨能差不多懂这里的人做这样子事的人了。
肆掌柜,4,2016-06-07 14:13:25,unknown,67,人们宁愿关心一个蹩脚电影演员的吃喝拉撒和鸡毛蒜皮，也不愿了解一个普通人波涛汹涌的内心世界。平凡的世界为普通人立传了。读的不是黄原上的事，读的是自己。
Q。,4,2013-01-29 12:39:01,unknown,82,在当下这个社会，那样的生活背景似乎已经渐渐远去，那种真善美也似乎在这个浮躁社会里无处寻觅。虽然文字不属于一开始就很抓人，但随着故事的展开，真实的生活，生活的琐碎，生活的沉重，以及生活中的善，亲情、爱情、友情，总有那么多的场面会让人身临其境，感同身受，而后受益匪浅。
李斯本,NaN,2010-02-21 00:20:39,unknown,57,又看了一遍才发现我小学四年级那年知道个屁啊==。
安德烈大叔,4,2015-04-02 19:18:49,unknown,60,可以触碰到的父辈故事，我这般年龄也可以隐隐约约嗅到其中气息，现实主义的笔触平实可亲。平凡的世界总是充满了这样那样的缺憾，但是从来不缺壮丽和坚韧，有时候真应该主动忽略它的纹路，去仔细品味其中肌理。
阿措,3,2011-02-27 20:42:44,unknown,27,有点儿……读不下去啊
毛路,4,2012-05-01 21:25:12,unknown,37,眼睛都快看瞎了
我台灣來的,5,2013-05-09 20:29:11,unknown,74,看完了~這麼好看的小說就這麼完結了~我完全的沉浸在小說裡面
胡了了,1,2018-05-18 19:49:23,unknown,27,很烂，看不下去
lcy,5,2010-02-21 10:55:06,unknown,57,有些书会影响读者的一生，对我而言，这本书就是这样
姜纪存,3,2012-12-03 09:43:14,unknown,43,孙少平在计划经济年代的确是楷模，不过拿到市场经济年代他的行为惹人半信半疑。中国改革开放三十多年，人心变得有多快无法想象。至少我读完后在想90后和00后还有更多后能不能接受这书的价值观。
阿烟,4,2013-01-16 08:42:39,unknown,34,少平最后心甘情愿做矿工？结局似乎没有逃离主旋律。
LisaLeung,3,2007-02-17 16:26:02,unknown,20,其实……不怎么好看啊
北极燕鸥,3,2017-07-03 07:57:00,unknown,27,文学里的女的都是“不得好死”男子主义意淫之后，还有女人陪着，这等好事咋就不落凡人真人真事上呢。
安东妮,1,2006-04-18 20:08:08,unknown,16,初中
原来是西门大官人,3,2007-11-24 18:25:42,unknown,15,很长……
没结果的花,2,2018-03-11 23:00:00,unknown,30,被无产阶级剥削洗脑后得出的人生鸡汤
藻。,5,2012-06-15 10:28:00,unknown,52,平凡的世界全三部是在各种不同的时期缓慢地读完的，期间经历了各种不顺心的事情，但是奇妙的是只要拿起这本书心里就会平静下来。有时觉得我们是真的身在福中不知福，有那么多的抱怨和不满，可是比起在以往年代里摸爬滚打走到现在的人，这样的小挫折真的算不了什么。路遥先生的这部著作是可以名垂千史的，比起其他茅盾文学奖获奖作品强了不知多少倍，只可惜中国文坛人才匮乏。
董四行,4,2014-08-25 15:25:44,unknown,29,苦难有很多种，但大多都被劳动所驱服。劳动在今天有更多的表现形式，越多的表现就越说明当今生活的丰富。
芦哲峰,3,2012-12-14 09:20:29,unknown,20,正视人生的苦难，震撼平凡的心灵。
Surreal,1,2010-03-08 16:29:02,unknown,17,这本书也太平凡了吧
捉刀人,3,2012-11-22 11:09:52,unknown,14,在没有变成SB之前死去，是路遥最大的幸运。很难想象路遥若没有死，会不会变成摩罗的样子。
桃涩桃涩,5,2006-05-16 18:04:39,unknown,33,如果你觉得你很悲惨，那就看平凡世界
小洛,5,2007-04-24 09:47:29,unknown,22,朴实，厚重，带着巨大的悲怆和真实，震撼了所有凡人。
流惜子,5,2013-01-26 20:30:45,unknown,14,可以不读别的书，但不可不读《平凡的世界》，这是我这辈子奉若珍宝的书。中国改革开放后唯一可以称得上神作的长篇小说！
奈天昏地暗,3,2016-01-29 03:53:40,unknown,21,最后矛盾处理不了就把人写死，真是个好办法。
动机在杭州,3,2012-02-04 22:27:42,unknown,14,不知道为什么好，真心不是我的菜。
小澍巫,2,2016-03-20 22:27:25,unknown,8,可能有代沟吧，像看七八十年代连续剧看完三本，感受不深。
学姐金角,3,2016-06-25 15:25:46,unknown,17,上班路上读完了。匠气太重，对7，80年代的农村刻画得太刻意，看得出来作者是通过报刊文献获得这些历史而不是通过自身经历。不如穆斯林葬礼，连余华都不如。
路人X,3,2005-07-08 03:50:13,unknown,8,其实我不大喜欢路遥
xi-xia,4,2012-02-08 21:46:15,unknown,8,读这样一部鸿篇巨制却连几句恰当的读后感也说不出。——对于一个生活无忧，完全被城市化20多年的北京人来说，发表什么样的感慨都显得那么矫情。不管读多少乡土语言，看多少黄土满目的电影，我想窥探的西北农村始终在一层面纱之下。
小米加步枪,3,2014-05-06 11:37:04,unknown,11,还是不能理解为啥贵浙大学生对这部小说情有独钟啊
星星📷,5,2013-05-02 12:25:03,unknown,15,一本好书是可以让你思绪万千
光年‖影视歌三栖民工,5,2009-11-30 09:47:17,unknown,12,内心强健的必然阵痛和历程。人在时代面前，渺小得可怜又感人。喜欢路遥的描写，不喜欢他乱抒情。
影沫,5,2010-04-04 21:19:08,unknown,17,每次读都有不一样的感受
苏然,4,2007-04-27 20:50:38,unknown,9,曾经以为是老套的代名词，但读过后感觉不是，是以生命和鲜血写就的人生。
火山上的一坨石,NaN,2013-05-08 15:09:06,unknown,9,初三趴在教室最后面一周读完。读这本书的年级于我和这本书中记录的那个年代一样，都是最初的艰难裂变与欣喜。田晓霞死去那段读了很久都不敢相信，孙最后留在了煤矿真是只有那个年代的人才有的选择了。
商夏,5,2013-05-31 16:59:12,unknown,16,路遥写这部是花了大工夫的，我看完也是花了很大的精神。
小尾巴mori,5,2013-07-17 20:47:17,unknown,9,平凡的世界，不平凡的人
木兰,2,2018-08-17 21:41:59,unknown,23,不同于郭敬明式的青春期伤痛文学这属于不知者不怪，平凡的世界作者对于女性命运的安排可谓是主观上非常恶毒了，县委书记的侄女田姑娘嫁了门当户对司机最后丈夫丧失性能力守活寡，踏实能干不要彩礼的嫂子为孙家榨干自己得了癌症……呵呵呵，这些男人把奋斗建立在千万个嫂子似的女人们用骨血做成的肥料之上，至于不那么坚定跟自己过苦日子的田姑娘则活该不幸福。可惜现实中，如嫂子们这样被夫家榨干的凄惨底层妇女比比皆是；而田姑娘们往往顺利而富足，因为人不为男人“牺牲”一开始就赢在了起跑线。姐妹们，警惕特别认同平凡世界价值观的男人，因为他们的奋斗中根本不包括女人，对女人要么是要求牺牲，要不是泼脏水“嫌贫爱富”。所以现在对这本书深恶痛绝，给两星因为对屌丝内心描写的过于真实，太有警示作用。
Irreversing,5,2011-01-09 14:19:32,unknown,7,中国最后一部文学经典...
盆栽弯弯鱼🐟♫,2,2012-12-24 13:31:54,unknown,14,有什么比看一部比生活苦逼得多的作品更苦逼的呢？《活着》《1942》《唐山大地震》都是这样。有人说“无论生在农村或城市，我实在无法想象七十年代（和以前）出生的中国人会对那里面的人物、气氛、故事没有感觉。喜欢也罢，讨厌也罢，这些存在过。”那么，我实在无法想象，90后大城市出生的人会对这部作品有好感。
潔,5,2010-10-09 13:24:49,unknown,8,时代和思想有变化了。晓霞与少平的婚姻矛盾被晓霞的死所化解，路遥真偷懒。而且有外星人有第三类接触，我不得不笑场……
薇羅尼卡,5,2007-07-25 14:15:27,unknown,10,平凡的世界，奋斗的人生
嘉 玲,5,2013-07-06 10:40:39,unknown,5,1居然看完了2还是用手机看完的3都出现了陕西小武、女顾城这种人物和外星人乱入4爱情部分好琼瑶的呜呜
三鲜伊面,3,2011-12-12 13:36:19,unknown,6,路遥几乎写了整个村子在那个波澜壮阔的年代里的历史变迁，然而我觉得很难看
彼得潘耶夫斯基,5,2012-08-29 14:05:24,unknown,5,平凡的世界是托尔斯泰式的作品
Mancy Tsai,3,2008-10-18 07:44:37,unknown,4,“少年时经历的苦难，是人生一笔丰厚的财富”
钱钱是小弹珠,5,2014-09-12 09:48:02,unknown,7,平凡的文字，带着魔力。好似跟随着孙少安和孙少平在那个年代走了一圈，连配配配角的郝红梅和润叶都那么动人。
Ex,4,2005-12-22 19:35:34,unknown,3,她初中时候读的，我大一时候读的。读了很郁闷，果真到最后平凡的不得了……
阿懒,5,2010-01-01 16:37:28,unknown,9,深刻、真实、饱含感情。提高了我看小说的标准，此后很多小说无法再看下去了。1997读过
邝海炎,3,2013-04-03 21:13:25,unknown,5,高中时读的，有点感动，但路遥才气比较弱
上善若水,5,2012-09-18 10:43:35,unknown,3,还是在小学五六年级之时读过的书，后来才知道获过矛盾文学奖，懵懂无知的年纪已然对人世冷暖早慧许多。也许是因为白鹿原的上映让我又再次想到了它。
小李匪盗,3,2006-03-03 09:06:57,unknown,1,中国路遥
今天小熊不吃糖,3,2008-10-19 08:38:16,unknown,2,读了一半，没读完
sghdteiwuvncm,4,2007-10-23 15:22:24,unknown,5,路遥玩了命写，也没写出伟大的作品
紫书,NaN,2011-06-10 09:02:20,unknown,6,这本书我记得当时读到那种困窘的时候，给父亲看过，他不以为然，说他们的苦比我们轻多了。读过两遍，其实我应该去我的小姑姑，他们也许面临过同样的窘迫，而今再看，此书纠结颇多。
Vamei,4,2012-07-10 20:42:33,unknown,7,初中时深刻影响自己的书，现在依然觉得亲切。
Kris™在路上,5,2013-09-11 12:08:48,unknown,8,用了将近2个月的上下班时间看完了，非常震撼。现在在一个矿山出差，太像了。
乐安蓝,NaN,2012-05-20 18:57:33,unknown,6,为什么要让晓霞死掉呢？
废柴一个,4,2012-08-18 07:43:23,unknown,2,篇幅过长；作者喜欢的主人公都很理想化很完美化，洋溢着作者对他们满满的爱啊；我感觉作者是以一个居高临下的身份在叙述在分析主人公的言行，就像上帝在审视他的选民一样；感情真挚动人、人物形象鲜明。
猎隼,4,2019-07-24 10:56:35,unknown,5,全景式地描绘了70年代末到80年代初中国陕北农村的社会变迁，也让当代读者得以一瞥当时中国士农工商阶层的精神风貌，极具历史和社会价值。但是在文学性上相对来说就差一点，字里行间洋溢着几位主要角色（也是作者的精神化身）的孤芳自赏，全书也没有什么真正意义上的价值冲突，所以看似是一本典型的现实主义作品，其实骨子里还是浪漫主义的。
石湃溪,1,2018-08-29 13:20:31,unknown,5,厌恶。
辄馨,NaN,2008-01-31 18:05:06,unknown,3,高二，的确很平凡，不过一丝震撼
浪迹天涯肖卿欣,5,2016-01-09 03:36:35,unknown,6,做像少平那样的人，去感受生活本身。清楚地认清自己的卑微和这个世界的残酷后，依然保持对生活极大的热忱，去拥抱生活。
可可,4,2011-04-25 12:56:17,unknown,4,不惋惜，不呼唤，我也不啼哭，一切将逝去……如苹果花丛的薄雾金黄的落叶堆满我心间——我已经再不是青春少年
肇,1,2020-07-05 00:53:08,unknown,10,这本书老师们在那里“小孩子能看懂吗？”我对这本书实在性质缺缺，反而正是因为我看懂了——一种后革命氛围下的文学书写因缘际会因为政治被捧的高高。
[已注销],4,2012-05-07 07:10:04,unknown,7,虐心的书。表面是现实描写，其实依然过于理想化。现实描写，痛；理想化，更痛。
醉胡尘,5,2013-04-16 15:51:26,unknown,14,不婉惜，不呼唤，也不啼哭，金黄的落叶堆满心间，已不在是青春少年……80...2830
吃西瓜放糖,5,2011-10-10 13:22:29,unknown,1,超级精彩。一度把自己代入到书中的角色，让我思考了很多
