user_name,star,comment_time,geo_ip,vote,short
记录生活的痕迹,NaN,2015-08-12 21:59:04,unknown,840,这本有点晦涩故事我都看的懂但真心不清楚鲁迅想表达个啥所以每篇都去百度一下深层含义的应该不只我一个人吧
神威,5,2013-11-09 12:34:38,unknown,282,修行131st，这本阅读起来要比呐喊艰涩些，但我感觉内涵反而有过，呐喊我所不喜唯一一点是揪住底层开火不停，中国国民性是否如斯低劣值得商榷，而无力还击的底层绝不是个好靶子，而彷徨那种无助，悲悯与痛惜让我极为被触动，以魏连殳一篇为最
若存,4,2011-08-04 20:40:25,unknown,182,激情都褪去了，只剩彷徨。
佳浩和他的朋友,4,2011-05-17 18:54:52,unknown,121,《彷徨》中的人物走的是一条明显的下行路线，人物的悲剧性藉由其命运的恶化或曾经纯真美好信念的消亡而呈现。在作者有意识营造的灰暗阴霾的大背景下，这种悲剧显然无法抗拒。鲁迅的作品或许可以引人深思，引人追寻和鞭挞悲剧产生的社会根源，然而命运的恶化仅仅只是改造社会便可以彻底消除的么？
虫虫,5,2019-07-02 17:29:47,unknown,136,我在少年时，看见蜂子或蝇子停在一个地方，给什么来一吓，即刻飞去了，但是飞了一个小圈子，便又回来停在原地点，便以为这实在很可笑，也可怜。可不料现在我自己也飞回来了，不过绕了一点小圈子，又不料你也回来了。
三鲜伊面,5,2013-09-25 11:02:08,unknown,65,大抵是要重读的
豆友162107369,5,2019-07-30 21:19:44,unknown,49,两点感触：1.中学生读得懂个鬼的鲁迅。2.《孤独者》一篇最佳，原以为魏连殳又是孔乙己式的可怜人，没想到他也吃起人来了，这可真是神转折，令人拍案叫绝。然而现在又有谁能救得了孩子呢，现在也照旧谁都救不了。无法可想。总体来说《彷徨》中的每一篇单独拿出来都是佳作，文学性比《呐喊》又提高了一个档次，只可惜只有《祝福》一篇有名，不免令人遗憾。
末摘花,4,2018-05-22 18:10:09,unknown,35,印象最深的是祝福里的祥林嫂，悲剧的一生
Tacher,5,2014-10-31 11:36:45,unknown,29,因为贺喜引过其中的两篇小说，并几乎花一小时把《伤逝》读了一遍，于是自己找来《彷徨》重新读了一遍。鲁迅的短篇在我看来最大的特点就是形式的多样性，《伤逝》的自我回忆，《示众》的场景白描，《在酒楼上》的对话驱动，《长明灯》的对象淡化，《高老夫子》《肥皂》的言不由衷，《离婚》《弟兄》《幸福的家庭》的强烈对比，《孤独者》的人生聚焦，可以体现出鲁迅独特的创造力和想象力。上一次读《彷徨》似乎是在高二的时候，和《故事新编》《呐喊》一起，鲁迅的作品深深影响了我的写作思路。然而自己毕竟不在高中，也不再有当初的热情，阅读过程中只是充斥着稍许伤感而已，一次又一次地重温现实与理想的巨大冲突。
大熊,4,2009-11-07 19:52:45,unknown,27,《伤逝》为最，《祝福》次之。
商夏,5,2012-07-27 14:11:04,unknown,26,鲁迅先生的小说是一流的。
徐小萌,5,2014-04-06 09:49:47,unknown,21,相比《呐喊》，更厚重精微，技巧也更高超。《呐喊》的出发点常常是来自社会的，而《彷徨》则更多是向人生的。
陆钓雪de飘飘,5,2013-04-05 20:23:47,unknown,14,可以反複讀的現代小說有哪些？魯迅和郁達夫。
人在清涼國,5,2010-11-15 18:34:37,unknown,10,寂寞新文苑，平安旧战场。两间余一卒，荷戟独彷徨。
森雲,5,2019-03-15 16:55:08,unknown,20,鲁迅宇宙由鲁镇拓展到了北京
小鸡饲养员,5,2014-02-08 13:29:41,unknown,13,“过去的生命已经死亡。我对于这死亡有大欢喜，因为我借此知道它曾经存活。死亡的生命已经腐朽。我对着腐朽有大欢喜，因为我借此知道它还非空虚。”
Shirleysays,5,2017-08-23 11:54:52,unknown,8,最喜欢鲁迅的小说，这已经是读第三遍了。可我百看不厌的是《祝福》，而不是《伤逝》。
黑伞,5,2019-05-01 22:59:32,unknown,9,很多人认为《彷徨》是针对《呐喊》的一次翻转，我认为此言欠妥。两本小说集的内在一致性是很明显的。鲁迅对激进的革命论调一直就有所保留，比如早期就写过的《破恶声论》就谴责了唯科学者，并肯定传统文化秩序之下个体的性灵的重要性。于是才会有《祝福》里祥林嫂的追问。鲁迅思想的复杂即在于他的思想内部自带悖反倾向，所谓的自己反驳自己，自己怀疑自己。对新文化运动的成效，鲁迅一直不太乐观，而这种不乐观，在《彷徨》和之后的《野草》中体现得最为明确。鲁迅有着根深蒂固的民间立场和个人主义情怀，以至于对集体运动可能达至的目的以及局限，他的反思也多是从个人主义的角度。所以阿Q，祥林嫂，涓生子君，吕纬甫等小说中的人物基本都是以个人姿态在对所谓的“新时代”背景下的个体生存状态写下生动的注解，即是“彷徨”。
fwb,5,2010-06-17 23:59:32,unknown,4,在中学时的课余，从父亲的藏书中拿出，做休息时的阅读，就此，深刻地影响了自己。
想做小孩子,5,2014-03-07 12:40:22,unknown,5,第一次从头到尾读完了彷徨。鲁迅的两部人世小说集取名的不同，直承了呐喊更多是对文化与社会的批判，而这本册子则偏重家庭和生活的困局。尽管两者同样对人性洞悉透彻、立意直切横绝，但彷徨一书，显然以更亲近世俗的视角描绘了世俗的艰困、束缚与隔阂，以更贴合人生的笔触刻画了人生的离索、孤独和寂寞。在小说的篇目上，教科书往往高捧祝福，我却更流连于伤逝。它将爱与生计的冲突，推至极限，把初生的情侣放上万丈悬崖，令人想又不敢想，无比同情的同时，深深忧惧。
顽势布谷,3,2013-07-12 14:22:35,unknown,6,鲁迅的小说。。。。确实一般。。。。。
奥卡姆剃刀,5,2019-04-09 20:06:38,unknown,4,更添几分哀，永恒之人间悲剧。文化的场，生计的忧，人心的远，理想的困。路漫漫其修远兮。
锐利修蕊,5,2017-04-25 21:59:17,unknown,6,这也是小说历史上的独一无二。鲁迅的小说，写的令你分不清过去与现在，也分不清是自己还是他人，短篇小说写到将体会人物处境处，便也结束了。最喜欢的是《孤独者》、《伤逝》和《在酒楼上》这三篇。《在酒楼上》的结尾处，他这么写：见天色已是黄昏，和屋宇和街道都织在密雪的纯白而不定的罗网里。这句一直印在我脑海里，好像将散未散，也把一切都写尽了。我认为比如《祝福》和《高老夫子》这样的小说是不适合收录在课本里的，尤其《祝福》，那是极为晦涩黑暗的东西，犹如时代的巨轮在翻滚中浮沉与轮回。小说的方法论与符号的堆砌，在这些不断重复使用的写法故事里将够了，但对于生活事来说，崭新而又繁旧，又是不够的。
Adonis,5,2008-10-21 16:44:28,unknown,3,我们仍然彷徨
瓷爱,3,2013-11-06 14:42:11,unknown,4,说实话，好几段没看懂。。。
老白兔累又饿,5,2018-01-19 09:49:24,unknown,4,最喜欢《祝福》、《肥皂》、《孤独者》、《伤逝》。《肥皂》是杰出的讽刺作品。《伤逝》是心理流却又提出新的社会问题。《孤独者》读起来实在是太有共鸣了。
风满蜃气楼,4,2016-08-13 14:30:24,unknown,2,人皆彷徨。自知彷徨，或自以为清醒的彷徨。看得很艰涩，偶尔想到漱石，比如从魏连殳想到广田老师。
豆瓣酱,5,2020-11-09 16:58:49,unknown,7,“初闻不知曲中意，再听已是曲中人”
[已注销],5,2020-11-06 13:37:09,unknown,6,以前被迫学鲁迅的文章时，时常理解不了他的句子，觉得他是无病呻吟，直到出来社会了，才真正意义上理解他，学医救不了中国人。
C'est La Vie,4,2019-04-01 11:04:39,unknown,5,犬儒主义生活指南。“不拒绝的理解，不反抗的清醒和不认同的接受。”
陆支羽,5,2020-11-06 20:45:49,unknown,1,5.0。
mono,4,2020-11-06 13:27:20,unknown,3,这本书写自于五四运动前后，大背景是中国沦为半殖民地半封建社会，作者通过文章揭示了当时社会的黑暗，但文中却没有丝毫直铺描述。但却给人一种直抵心里的震撼。这也许就是作家和一般人的区别吧！里面有我们熟知的孔乙己，老栓，闰土，阿Q等等。
萧萧,5,2019-03-30 22:51:17,unknown,2,先生的文字，我永远都记忆深刻
happyboss,5,2013-06-05 12:59:48,unknown,3,“心境不佳，实在是可以给人不舒服的。冬天的公园，就没有人去。”“亲手造成孤独，又放在嘴里去咀嚼的人的一生，而且觉得这样的人还很多哩。这些人们，就使我要痛哭。”
Azeril,5,2013-06-01 21:14:15,unknown,2,因為魯迅衹有一個這就是他的價值。從過去到未來的許多個時代都依然是不可替代的。
乡下人,5,2017-11-21 10:14:19,unknown,1,由失望而愤怒，愤怒而呐喊，然呐喊终究孤独无力；于是，由孤独无力而彷徨，由彷徨而颓丧……这不是什么“哀其不幸怒其不争”，而是鲁迅在1925年左右内心世界的真实写照。知识分子进入中年，大抵都会自己造成孤独，并放在嘴里慢慢咀嚼……
信心不逆熊先生,5,2020-11-15 12:15:03,unknown,4,某种哀痛久久不能散去。中学时代的我们怎么可能读得懂这种感受呢？
疾走,4,2008-12-24 14:11:59,unknown,0,很小的时候读的妈妈的藏书
#天籁💤#⛓️,5,2020-12-30 12:06:19,unknown,2,此本漏读了《伤逝》，居然是写过爱情小说的，还写得如此悲切凄美耐人寻味。新一代的语文教材里，鲁迅的文章日渐少；又教人陷入彷徨的时代里，他笔下的人似又复活，《示众》里的看客们，《祝福》里的祥林嫂们……现实让我们无处可逃，日复一日，他的声音便如影相随，年复一年。
K.,5,2019-12-03 22:18:35,unknown,2,第三遍看，和《呐喊》一起。前面看，都是人在那里喧嚣吵闹、悲喜爱恨，是人世的纠缠与无爱。两本25篇，有一大半涉及死亡。这一遍，窥见了人世背后，天道苍茫，孔乙己、祥林嫂、宝儿、阿Q、陈士成、顺姑等等，似乎死于无爱的人间，但头顶三尺，命运高悬，亘古如新。
春花,5,2021-02-03 19:24:03,unknown,2,和《呐喊》的严峻冷酷相比，《彷徨》则变得缓和多了，不再是咄咄逼人，偶尔还能够驻足脚步《在酒楼上》与人共饮，从容中难掩真情流露，《祝福》《孤独者》《伤逝》三篇最爱。。。祝福也许也就是对狂人日记中隐喻礼教吃人的诠释，伤逝中涓生与子君朦胧哀伤的爱情悲剧也许是源于女性的个体意识觉醒与彼时礼俗社会不可调和的冲突，而孤独者中魏连殳在祖母大殓时发出的“旷野中嗥叫”也许正是替迅哥儿发出的悲鸣。彷徨于前方无路，所以彷徨亦会让人心哀。
跳房子,5,2021-07-22 18:10:31,unknown,1,《祝福》：祥林嫂死后，故事紧接着讲她的人生。“我”原本并不清楚这个故事线，却拼凑起片段，“连成一片”。为何不安排另一个人物流畅地把故事讲出？鲁迅的小说主人公很少把叙事的权威转让给他人，比如它不像《呼啸山庄》借用“中间人”讲述。这种叙事习惯与他的文学和革命思想或许密切关联。伊藤虎丸将他的思想总结为“二极结构”，即精神界的战士与朴素之民直接对应。他打破中间社会的“喧嚣骚乱之音”。
斯 琰 🌈 🍭,5,2014-11-10 21:58:06,unknown,1,《示众》当为迅哥儿小说第一遗珠，也是《呐喊》《彷徨》的关键所在啊。倒是觉得《在酒楼上》很普通。
瑄小璧,3,2017-09-16 23:03:54,unknown,1,伤逝那篇不错...别的就嗯哼了...
OrangeCLK,2,2013-06-29 15:40:10,unknown,1,看不懂
彭—庄影,5,2020-07-07 18:24:47,unknown,2,一如既往的好评！
中庶子鞅,5,2021-05-29 20:08:44,unknown,2,对我而言，鲁迅文章之好，不在于思想的尖锐性，而更多在于文笔之精准，之幽默，之特色鲜明。以祝福一篇为例：有一句：四叔也不是很留，放到现在应该会使用不同的描述，并不强留，不真心留一类，但不很留这个说法很直观描述出表现来，又不直接触及内心活动，有一种隐晦的乐趣。再有一句：说不清这个话，即便是对一个乞丐，也是万不能省的。能读出文人狡黠的幽默。在祥林嫂被强行带走后，作者补了一句：这一天是四婶自己烧饭，他们的儿子阿牛烧火。很有一种我的描述很简单，但你的感受应该很深刻。而祥林嫂最后的倾诉，把儿子被狼吃的段落一字不落再誊了一遍，瞬间把画面写活了。最后一段写对鲁镇的祝福，写的有多真诚，对比就有多分明，这也是一个不能忽视的技巧。民国的文风，属于白话文未完成体，有一种相似而另类的感觉。
梅梅,5,2020-07-07 18:25:19,unknown,2,喜欢鲁迅的作品。
半掩门儿的~,5,2014-05-28 09:51:18,unknown,1,#开始读迅哥儿#很完整的一部小说集，彷徨源于所有人物下行的人生，人物的悲剧源于命运的恶化，源于纯真美好愿望的消亡。
唐露,4,2013-08-30 13:54:38,unknown,1,我的孩子要是想读这些文章，我也不会拦他，但要事先提醒：看的是道理，而不是恩怨；要欣赏观点，而不要崇拜文字语气；就算说的再有理，争论中只看一方永远都是偏颇的。
浓醇黑巧,4,2011-11-04 15:00:41,unknown,1,浙江人的文笔仿若都一致，郁达夫，周树人。哪怕就是再愤怒，也有温和做底子。
朱阁潇湘,5,2018-04-05 09:36:10,unknown,2,个人最喜欢的鲁迅的作品……人物很多为知识分子，比起《呐喊》里的冷酷批判，此中的悲悯、痛惜和彷徨情怀更让人触动。然而，这些悲剧命运又岂仅仅宥于灰暗的旧时代？又岂仅仅适用于国人？或许，这些孤独和彷徨，是存在于任何时代任何社会的……
浣纱,4,2020-02-03 18:33:33,unknown,1,鲁迅先生的文字一直在提醒我时代并没有变，人还是那样。
高小猴,NaN,2009-04-13 16:08:39,unknown,0,很范儿
浮生若夢,5,2009-12-31 15:54:09,unknown,0,鲁迅的杂文，鲁迅的小说，自然是小时候或长大后必读书目。
刘二苍松,4,2008-10-26 00:42:33,unknown,0,这么多年了，看鲁迅还是把那些什么什么家去了吧。
Nobervem,5,2013-05-12 13:48:14,unknown,0,前几日说到设计方法的事情，方法是一样的手法也是一样的因素也是一样的，在不同的地便得出不同的果来，这小说集里，先生的方法也是一样的，连语气人物描写，段落符号都是一路，不同的故事便得出不同的果来，方法却也是高明的，是千百种里顶尖的，又如《倚》中，张三丰的内功修炼是天下第一的方式，进境最佳，因此上，方式方法要寻得奥妙至上的，配修为，大概不啻为好东西出来。
云胡不喜,5,2019-04-01 23:49:41,unknown,1,先生的文字，意蕴深刻
𖠚ᐝ,4,2020-11-06 10:37:19,unknown,1,先生小说内容形式的多样性，《伤逝》的自我回忆，《示众》的场景白描，《在酒楼上》的对话驱动，《长明灯》的对象淡化，《高老夫子》《肥皂》的言不由衷，《离婚》《弟兄》《幸福的家庭》的强烈对比，《孤独者》的人生聚焦，可以体现出先生独特的创造力和想象力。
