user_name,star,comment_time,geo_ip,vote,short
rushbread,5,2017-06-29 15:40:56,unknown,5519,姜乙，何方神圣？翻译地无与伦比。
一单元,5,2017-06-11 22:18:25,unknown,4283,我们这一生，要自己上路，路过踌躇满志，路过困顿怀疑，路过傲慢无理，路过世俗功利，路过爱与不爱，路过幡然醒悟，路过接受理解，路过自己的一生。
果冻儿,5,2017-04-12 17:47:07,unknown,1257,可以说是我目前读到的黑塞最好的译本了。感觉要像感谢许钧一样感谢姜乙了
Sound_Fury,5,2017-04-26 10:21:44,unknown,1289,姜乙的译笔真是厉害，黑塞也真是真善美得理直气壮。但所有的完美都是相似的，平庸和恶却各有各的有趣。
阿舟,5,2017-08-15 15:59:05,unknown,1708,好像明白了什么，又好像什么都没明白
宝琪,5,2017-06-05 22:53:37,unknown,534,一边朗读一边哭。漫长是一件多么悲伤的事呀，可这是一场漫长漫长的旅途。一个男人成了孩子，一位思考者成了世人。而所有孩童身上都栖息老人。黑塞的文字太美了，读的特别难受，是极与极的对抗和轮回，明知自己是最终踉跄归入尘土的落叶，也明知自己是天使。
荫未琐一,5,2017-12-02 20:40:10,unknown,709,智慧不可言说，要出世先入世。之前看《人类简史》讲宗教，其中提到佛教思想，并不是要人们躲避悲伤痛苦，而是要清晰地感受身边的现实，体验事物的本质。虽然遭遇苦痛，但能够不为痛苦所困，在快乐的时候，能够不耽于快乐。苦即为苦，乐即为乐。如此，种种感受，都是生命丰硕的体验。很难，这也是圣人之所以为圣人。
你像那天上月亮,5,2018-02-04 00:06:15,unknown,316,姜乙，简直了！！！！看完第一遍的首要感觉是再找译者的其他译文看
灰土豆,5,2018-11-12 19:14:46,unknown,546,人类怀抱欲望痛苦奔忙，宇宙报以一声“唵”
素年,5,2017-06-11 21:12:57,unknown,486,每个人的一生都如悉达多一般，在教义中我们无法成长为自己认可的人，在历经世事时我们开始厌恶自己的选择，后悔于不听别人的劝说，但在无数次哭泣和悲伤以后找到了与别人独一无二的自我，对自我的存在有了极大的包容，感受到了来自世界的美好善意。
春花,5,2017-12-19 08:15:43,unknown,372,“你并不爱我，也不爱任何人”在此之前的悉达多和刀锋中的拉里像很是同一个人。
我爱阳光,5,2018-03-30 14:55:14,unknown,355,前人之述备矣，但后人却无法安享其成，仍然要亲自踏上追寻自我的道路，结果必须与其过程结合才是完整的。很多启发。感觉每到一个人生阶段，都应该再读此书。
捱祀,5,2017-08-30 10:54:29,unknown,190,此版本翻译的译者文字水平，与其他几家出版社的其他译本一比即知高下。
我老大世最帅,5,2018-11-25 01:00:55,unknown,433,我在隔壁房间小情侣的调笑争吵哭喊与撕扯声中看完了悉达多，人生如此厚重却又如此单薄，一层门隔开的远不止两个房间，更是两个世界，门外的一地鸡毛也好，门内的大彻大悟也好，都是人生的一种状态，都是存在的一种方式，没有对与错，没有好与坏，万事唯心而已。
#暗蓝#,5,2017-04-16 00:40:49,unknown,125,确实是更有韵律感的译本，很值得推荐。《悉达多》可能是我重读次数最多的书，但这次读完的感觉似乎又不同以往。此前一直觉得这是一本很圆融的作品，一切都可归无。可这次却读出了反叛与无奈。悉达多作为凡人的一生，真的值得他“出逃于”乔达摩，并为之承受更多欢愉与煎熬，获得与失去吗？
恶鸟,4,2018-05-19 22:53:55,unknown,176,可能黑塞是写出了最具诗性的成佛故事，虽然这个乔达摩和悉达多，是从佛祖释迦牟尼拆分出来的，并不是佛陀本身故事。故事的文学性超过佛义，否则一部坛经就超这个文本太多。试想了下，要是还有另一个人能写这么好的佛性故事，我以为是苏轼。
女侠假面,5,2017-04-14 11:53:05,unknown,112,好的书让人读完想要有信仰。在译者后记中居然发现黑塞和荣格的关联，大概这些直指内心的，都是哲学吧。
再見阿嵐,5,2017-09-29 00:42:06,unknown,150,在拉萨读完的，冥冥之中也算一种机缘吧。
鴻之翼,NaN,2018-09-08 12:22:17,unknown,131,由于太晚看到它了，本该有的惊艳变成了一种重逢的亲切和印证的熟稔。悉达多有过的疑惑和煎熬，好像都已经有过，又还在持续着。
眠风兔,5,2018-10-04 15:01:50,unknown,145,懵懵懂懂拿起这书，读到最后像也亲吻了悉达多的额头，内心震撼无以言表。感谢黑塞，感谢姜乙。
风物岂非痴,5,2018-09-16 15:52:24,unknown,89,放下小我，成就大我，渡己最终也渡众生。“知识可以分享，智慧无法分享，它可以被发现，被体验。”“一个探求之人…往往只关注探求的事物。他一无所获，一无所纳。因为他一心想着探求，被目的左右。探求意味着拥有目标。而发现则意味自由、敞开、全无目的。可敬的人，你或许确实是位探索者。但你却因努力追求目标，而错过了些眼前事物。”黑塞的智慧是一座灯塔。翻译真的很棒，流畅，清晰，完全将思考作品的时间留给了读者，而不像有些译者你还得费力去理解他翻译的语句。
金台,5,2017-06-18 16:02:19,unknown,107,醒悟不是最终目的，不求目的的寻找，意味着自由，包容，摒弃一切目标，不沉迷于结果所造成的幻象，欲望，沉沦。这是悉达多，是释加牟尼的顿悟。可大部分你我凡夫俗子还是只能囿于世俗，到头来一生仍旧是执迷不悟。
人类的朋友小覃,5,2020-12-10 23:50:00,unknown,123,一口气读完，几乎一年没喝过酒，为了读黑塞喝了一整瓶，相见恨晚。
仲夏之门,5,2018-02-08 14:38:27,unknown,109,指引终生的智慧之书，翻译更是绝妙。大象无形，大音希声，一个人要走过多少路，历经多少世间美好艰疾，才能放下对目标的执着苦寻，拥抱万事万物，在热烈与澄净、动与静、善与恶的交织间领悟圆满，寻获心中所念？
而已,NaN,2017-04-20 20:45:26,unknown,46,真是一首印度的诗啊，忍不住朗读出来。看的过程中一直感觉是武志红推荐过，到后记才知道他曾在荣格处做治疗，心理学影响了他。于是整部著作就是抛却思想，投入并热爱生活的教义～并不是没有教义。最后处是点题的段落，是最精彩的乐章。重读的话重读最后几页。
"119°E,48°N",5,2018-09-23 09:58:24,unknown,36,相比牧羊少年的奇幻之旅，这个故事更有共鸣。
冯圈圈,5,2018-11-24 23:02:49,unknown,44,2018年第103本。智慧令人安详。
子时,5,2021-09-14 07:34:22,unknown,341,写给我自己：最好不要在绝对远离人世之处去追问人生，也最好不要在绝对沉溺于人间后忘却追问人生。
乔小囧,4,2017-12-28 19:07:36,unknown,83,你也跟河水悟出“时间并不存在”这一秘密吗？
丛林宜歌,5,2019-03-06 02:52:25,unknown,91,多美的一个译本啊，情不自禁想念诵出声：不藐视世界，不憎恶世界和自己，怀抱爱，惊叹和敬畏地注视一切存在之物和我自己。不再将这个世界与我所期待的，塑造的圆满世界比照，而是接受这个世界，爱它，属于它。
此彼氏,5,2017-07-05 17:23:09,unknown,30,看第一部分的时候，总觉得自己与文中字句产生了太多共鸣，总想抄下来整段背诵，后面反而越看越难以理解，可能是自己对宗教的感悟还不够。修行，神性，物我的统一，时间是苦痛的本源，本我不是时间的静止而是此刻的存在。后记中讲这称为东方的救赎很符合。译者将词句翻译得太美忍不住要多加一星。
gian,5,2018-04-14 19:15:48,unknown,54,1.翻译质量非常之高，让人惊叹。思辨，模糊，恍惚，辨析，思维过程都清晰。可以看出译者花费了大量心血。2.追求安宁过程。每个人都不一样。同一问题需要不同的答案。
仝冉冉K,5,2019-07-13 10:42:47,unknown,58,“人独自行过生命，蒙受玷污，承担罪过，痛饮苦酒，寻觅出路。”读黑塞让人内心平静，生活中遇到痛苦和迷失都是常事，唯有负重前行。
小岩井,5,2017-12-20 23:00:55,unknown,16,之前的版本都已经读过了，最新的这个版本出了就收来看了，文字相对来说比较大道至简，没有很多华丽的修饰，也是一种不错的风格。不过个人喜好上，还是最喜欢杨玉功的翻译
大眼袋儿姨娘,4,2019-04-06 21:11:33,unknown,34,出世苦修会遗忘自我，入世纵情又会徒增烦恼，然而智慧就扎根在世俗之中而非言语中。悉达多在浸泡人间哀乐后又被自然治愈，直达根源升华成佛，世界观和人生观俨然是四维视角：时间的过去与未来都清晰可见，世间万物都呈现出圆融和完美，而他也豁达地爱着这一切——这个不是纯然至恶也不是纯然至善的世间。
（ ）,5,2020-10-20 08:34:28,unknown,85,我会开始怀疑我是否太过追求所谓“宏大”的命题喜欢去追问没有结果的问题而忽略了真正的生活本身
不全,5,2019-08-21 05:18:22,unknown,97,不要再问了，乔文达。
