user_name,star,comment_time,geo_ip,vote,short
木·木,NaN,2012-02-19 10:06:21,unknown,2013,儿时读世界名著实在是浪费。
夏阳,5,2009-11-01 20:31:30,unknown,1139,不要轻易在小说标题里写出‘世界’两个字，除非你也能写出这样自成世界的作品。
卿一一一一一,5,2013-04-21 00:02:52,unknown,566,小时候我妈不让看，说怕产生消极世界观。这次因为先看了电影，觉得交代得不够清楚，所以下载原著看，所以就有了在地铁上看着手机流泪的我……好多作家是不是都兼修政治，怎么把背景写的那么真实。从小看了太多法国作家的著作，又看了《午夜巴黎》、《巴黎我爱你》、《玫瑰人生》、《两小无猜》、《这个杀手不太冷》、《天使爱美丽》这些电影，逐渐觉得法国的浪漫不是浮于表面，而是渗透骨血的，有天会去吧~
陈毓秀,4,2011-10-05 22:30:35,unknown,324,你相信爱，可是这世界很难让人爱
Andrea,4,2013-04-16 14:46:07,unknown,95,这是一本儿伟大的书。就算我挑剔她华丽堆砌的词藻，嘲笑她毫无节制的戏剧化，还有自鸣得意般洋洋洒洒的且蔓且枝、宽阔浩瀚，但都无损于她的伟大。此外，她充满了光明，感人至深。
C,5,2016-02-09 14:40:03,unknown,65,全书最震撼的是沙威这个人物。毁誉难辨，却有几分真实。不过不知道大过年的看完，是不是吉利。。
阿不壳,NaN,2007-12-28 09:25:34,unknown,40,“您不用向我说您是谁。这并不是我的房子，这是耶稣基督的房子。这扇门并不问走进来的人有没有名字，但是要问他是否有痛苦。您有痛苦，您又饿又渴，您安心待下吧。并且不应当谢我，不应当说我把您留在我的家里。除非是需要住处的人，谁也不是在自己家里，倒不如说您是在您的家里。这儿所有的东西都是您的，我为什么要知道您的名字呢？并且在您把您的名字告诉我以前，您已经有了一个名字，是我早知道了的。”
花事了,5,2016-10-05 23:41:22,unknown,47,那么，《这个杀手不太冷》里的杀手里昂和小女孩玛蒂达，他们的原型是《悲惨世界》里的冉阿让和珂赛特吗？
Violin,NaN,2011-04-26 23:33:03,unknown,38,冉阿讓，第一個告訴我怎麼做人的人。
辫子,5,2019-03-20 19:08:31,unknown,46,我的爸爸妈妈从来没有教过我要成为什么样的人，应当具备什么样的品格。我还可以从书里学。
rivert,5,2013-03-12 23:16:12,unknown,40,曾掩卷痛哭
钟螺,3,2018-02-25 05:52:22,unknown,19,雨果，法国姚雪垠（？）好久没看到这么明目张胆地在小说里插入专栏内容的操作了，很惊人。在中二期读可能会觉得有趣一些，但现在是燃不起激情去跟随道德和革命的浪漫了。珂赛特整个是虚的，飘在云端里，光环耀花眼睛，马吕斯又太过于熟悉，常在知乎和管院看到，倒让人想看看这一对璧人鸡零狗碎的婚后生活。学运组织真实纸片人，读来让我深刻认识到自己资产阶级的劣根性，确实是看不出这革命想干嘛。冉阿让最应该铺的监狱生活不怎么够（雨果甚至愿意大谈特谈修道院历史也不愿意换点篇幅铺这个逃脱的根源），结果最有意思的人物却是沙威。怎么说呢，圣徒崩解未遂可以，可是这二次成圣的理由有点看不透。总体上就，不太懂。
陈粒,NaN,2012-08-08 14:34:51,unknown,33,得把小时候浪费过的时间和书都争取回来。
老探戈,4,2007-03-11 17:28:26,unknown,23,个人认为，第一部最好~
orbit,5,2010-04-18 18:18:52,unknown,22,十歲的小女孩愛上這本書是怎麼回事
Novjoy,5,2011-08-02 00:08:49,unknown,22,初一那年暑假，我读了人生中第一本名著——悲惨世界，连续三天读完，震撼得满心惆怅、风中凌乱，说不出话，后来，我一共读了三遍。迄今为止让我读了三遍的书还有一本是《红楼梦》
米粒,5,2013-04-02 06:05:56,unknown,12,不愧是巨著，完美
Tofu,3,2010-02-15 23:37:34,unknown,14,德纳第的出场有时候也太刻意了吧。
拆骨为刀,5,2006-04-02 05:52:55,unknown,19,雨果式的崇高，雨果式的拖沓
雲生,5,2007-05-31 00:40:36,unknown,18,可以说这本小说确立了我的价值观
豹子头林黛玉,5,2009-08-15 23:55:18,unknown,11,安灼拉
老袁,3,2011-03-09 13:31:15,unknown,11,读了就忘了，连人名都记不住。这故事是告诉我们，所有杯具的起源都是婚前性行为吗？
过敏性痉挛,5,2011-08-21 12:51:36,unknown,11,读的第一部世界名著。冉阿让。
不要焦虑浣熊妹,5,2008-09-13 19:05:23,unknown,6,那时候被芳仙的故事震撼了……
小慢,5,2014-02-28 05:08:45,unknown,4,最近socialwork干多了感觉Vajean就是个为整个社会赎罪的人。。。人物刻画力图展现社会风貌，旧制度下的法律、贫苦中的邪恶、正直和爱、传统与闭塞的思想、革命精神、宗教、自省、向善，以及一切的交织。作者或直接或间接的大段演讲虽然有些突兀吧，但是有几段还是看得热血沸腾。好久没有这样认真看长篇小说，Vajean在酒馆里观察Cosette那段还把窝看哭了。
Adiyat,5,2018-07-16 01:21:00,unknown,6,世界杯结束了，书也看完了。引用书里一句话：“无论如何，这些人，在世界的各个角落，目光注视着法国”。
