user_name,star,comment_time,geo_ip,vote,short
貓小三的意思其實是如果先生,5,2010-01-10 22:06:13,unknown,3682,每當我想死的時候就讀讀。
娅,5,2011-11-24 20:46:49,unknown,2169,我什么也没忘，但是有些事只适合收藏。不能说，也不能想，却又不能忘。它们不能变成语言，他们无法变成语言，一旦变成语言就不再是他们了。它们是一片朦胧的温馨与寂寥，是一片成熟的希望与绝望，它们的领地只有两处：心与坟墓。
囧叔,5,2012-05-27 10:33:40,unknown,1859,你知道，一个文盲的幸运就是，很多大家死了，我才知道去读一读。如果我在史铁生去世前就读《我与地坛》和他的其他作品，当然会不可收拾地喜欢上他的书。要命的是，当他死时，我就得跟那些称史铁生为“史老爷子”的人一样，经历一场要死要活的伤心。所幸我只称他为史铁生。所以当文盲有当文盲的好，你们不要嘲笑我们。
Elact,3,2013-04-24 17:02:15,unknown,995,只读了这篇25页的散文。没有经历过重大挫折的人，可能无法完全理解作者的情绪。
又又,5,2010-10-14 18:49:55,unknown,964,有过我车辙的地方也有过母亲的脚印。
shu,5,2008-04-14 23:39:11,unknown,355,先别去死，再试着活一活看。我最爱的国内作家之一。
傅踢踢,4,2012-07-08 14:17:38,unknown,294,因为是选本，太杂，整体一般。但很多篇什还是动人的，史铁生的文字之所以触动人心，并不是因为本身遭受的苦难，也不是字里行间的挣扎与豁达彼此影响，而是那些在苦难面前的收收放放，本身是人性中普遍的东西。
潘驴邓小仁波切,5,2013-08-09 19:27:01,unknown,295,史铁生算家里一个远房亲戚，我爹娘老是说带我去北京见一见。一拖拖了四五年，就这么拖到他去世。
大头绿豆,4,2005-11-26 04:46:44,unknown,241,真的很难想象，写作的力量有这么大。
小星星,4,2013-11-26 00:10:06,unknown,235,史铁生啊：看你写北京，写地坛，写母亲，写童年，我总流泪。看你写残疾，写热点，我却总瞌睡。《我与地坛》这一篇就够有分量，恨不得通篇摘抄。
齊克斯尼力佐飛,5,2010-11-05 15:40:41,unknown,205,太阳，他每时每刻都是夕阳也都是旭日。他熄灭着走下山去收尽苍凉残照之际，正是他在另一面燃烧着爬上山巅散布烈烈朝晖之时。
Sisyphus,NaN,2011-05-20 02:58:12,unknown,157,孩子，这不是别的，这是你的罪孽和福祉
楼主没有❤,5,2010-10-03 18:22:03,unknown,198,高中课本里，我喜欢三篇。一篇我与地坛，一篇纪念刘和珍君，一篇项脊轩志。
is4dog,4,2013-07-30 00:50:42,unknown,108,那些春夏秋冬的四句比喻句和四句排比句让人跳戏，太规整了，打破了前面流畅的情感表达。遗憾。苦美苦美很打动人，尤其中国人。他不拿出稿子给马悦然的传说觉得很符合他，我在现在的这个年龄，相信是他做得出来的。
烦啦烦啦,4,2018-05-18 11:31:29,unknown,140,死亡的事大可不必急于求成，且看看能从生里额外得到什么惊喜。
虚弱橙,4,2013-06-13 19:57:03,unknown,57,	史铁生写生命体验是不错，可是一旦文论起来就真是拙计。
小意达,5,2008-08-19 13:15:04,unknown,59,对生命最深情的思考
雨哲,5,2018-03-10 15:35:57,unknown,105,梁文道推荐，只有当一个人真正经历痛苦，才知道痛苦意味着什么。只有当一个人没法活下去，他才会思考活着的意义。
投射性認同,5,2013-06-20 17:49:18,unknown,53,万物萧疏，满目凋敝。今夕何年？生死无忌。强悍的肉体落上历史的印迹，天赋的才华闻到了死亡的气息，因而灵魂脱颖而出，欲望皈依了梦想，一直到尘埃埋没了时间，时间封存了往日的波澜。命运要不幸者涉过忘川，重申一条旅程，为的是让一缕情怀游荡，刹那间清风朗月，如沐慈悲。
园园的移动城堡,5,2013-03-06 20:11:11,unknown,45,看了会让人沉静和思考的书。
格 桑 花,3,2016-04-28 10:47:31,unknown,43,关于死，是一件不必追的事
Jeff,5,2007-04-12 09:38:02,unknown,43,庆幸中国现在还有这样的文字
睡沙发の小禹,5,2011-01-05 22:50:19,unknown,50,我还记得我当时上课时在语文读本中读到这篇文章节选时的震惊……那天，在课上流泪了……
荀水,4,2018-04-07 12:58:54,unknown,43,我朋友说，史铁生去世的那一天，他刚好在学“我与地坛”这一篇课文。。。感触良多
[已注销],5,2011-08-14 14:18:13,unknown,26,真是看到我热泪盈眶
愤怒的葡萄,4,2012-03-24 13:23:14,unknown,29,命若琴弦，阳光嘶哑
Moonriver,5,2014-12-30 16:35:04,unknown,54,史铁生其实也曾不甘，在这篇文章以及《好运设计》等别的文章中，都能看出他曾无数次质问为什么要是自己，他会幻想另一种人生，但经历十五年在地坛的苦苦思索，最终他还是妥协了，还是说服了自己，上帝这样的安排有其道理，上帝的考虑是对的，一次又一次地对了，他终于慢慢接受了命运安排的苦难和不公，勇敢地面对未来。他知道，没有痛苦就没有幸福感，这不是别的，是他的罪孽，也是他的福祉。
浅   川,5,2010-05-05 22:09:21,unknown,22,我喜欢他简单的言语中蕴藏的力量
床前明阅光,4,2016-02-07 14:33:09,unknown,39,我们每天思考人生的时间，估计没有刷牙的时间多。
浠墨,5,2010-03-07 00:15:28,unknown,17,如果这个世界没有他们，我们怎能真心微笑
Fornever,5,2012-04-23 20:16:49,unknown,57,读着读着会觉得时间都变慢了。可惜脑海中会经常冒出来各种诡异的阅读题目，应该立法禁止用好文章出语文试题。
Sawako,5,2017-08-16 12:41:58,unknown,23,要是有些事我没说，地坛，你别以为是我忘了，我什么也没忘，但是有些事只适合收藏。不能说，也不能想，却又不能忘。它们不能变成语言，它们无法变成语言，一旦变成语言就不再是它们了。它们是一片朦胧的温馨与寂寥，是一片成熟的希望与绝望，它们的领地只有两处：心与坟墓。
Ying,5,2010-09-03 12:09:25,unknown,14,或哭或笑
靓女,5,2019-10-03 14:22:37,unknown,9,小时候偶然读到这本，是初中还是小学？不大记得，但是我与地坛让我感受到一种释然和静谧，那是我以前从没有过的感觉，所以后来有几年每年都去北京，一个人走在那些历史建筑下，安安静静地与自己独处，很快乐
七狸狸,5,2013-05-04 15:43:38,unknown,15,真是好到反复读了不知道多少遍。我也发现我的地坛了。
Pazaka,NaN,2015-08-10 17:55:13,unknown,8,十几年后再读一遍，真是不一样的感觉。
走走停停,3,2016-04-30 02:04:57,unknown,12,仅读了《我与地坛》这一篇。也许是我自己的原因，已经没有办法静下心来去阅读这样的文字；或许是我的阅读习惯已经被现在的电子屏幕给改变，阅读这样低信息量需要细细品味的文字会有些不耐烦。是自己太躁了。
一樽还酹江月,5,2020-07-16 00:10:08,unknown,16,朋友说记得上学时候看这篇当时看没什么感觉，现在看竟然看哭了...是我们老了吗？--是的。是我们内心更柔软了。
小愉深情款款地,4,2016-06-20 06:05:07,unknown,11,“一切好东西都永远存在，它们只是像冰一样凝结，而有一天会像花一样重开”—戴望舒
丸子Bea,5,2012-08-10 21:58:25,unknown,15,这是消极的精华，我曾经和他有过相似的心理状态，想过相同的问题，并且得出了相同的答案
石湃溪,4,2019-06-03 14:56:10,unknown,8,史鐵生生命哲學的那種精氣神真的很迷人。木製的桌子散發出的香味。
小河,5,2019-09-22 11:04:51,unknown,7,应该是隔了6年再看这本书。我还记得我当时看到我与地坛时候，对史铁生笔下母亲的感动。不知道是不是每个小孩都让母亲牵挂，这个男孩的倔强牵引我在现实中的叛逆和对我妈的反叛和抱歉。这次再读，《秋天的怀念》里母亲叫他去看看花，我也想起我写论文那阵子天天在家，我妈说要带我去公园，觉得我在家不开心。虽然我觉得好笑，但我再看到想起来仍然觉得这件事这么琐碎又这么美好。看到史铁生天天在地坛里“无所事事”度日，仍然感谢它的安静。我也曾经是个无所事事虚度光阴的年轻人，生命里的空闲却也成为我的养分。真的，一定是一个对生命倔强才会有对生命的探问和哲思，这不是文章根本就是生命。记一个忙碌周末里挣出一个早上就想看看史铁生的时光
叹小姐,4,2011-06-25 16:32:53,unknown,14,身残志不残，很多时候我们所存在的缺陷正是促使我们在另一个领域得到与获得的契机，不要总是凝视着自己的悲哀，这只会让你更悲哀。感受爱、感受美好，好好生活，生活不会亏待你的。
