user_name,star,comment_time,geo_ip,vote,short
园园的移动城堡,5,2013-03-22 03:27:13,unknown,1871,睡觉前看到这段话＂送一程，说一声再见，又能见到一面。离别拉得长，是增加痛苦还是减少痛苦呢？我算不清。但是我陪他走的愈远，愈怕从此不见＂看得泪流满面。＂世间好物不坚牢，彩云易散琉璃脆
如果,5,2015-05-18 21:45:16,unknown,1442,读着是趣味，想着是心酸
隐姓埋名-cat,5,2015-03-19 19:17:04,unknown,883,钱家三口都是知识分子，可说一家人一生都在颠沛流离。但不管经历多少事情，聚散离合，三人始终相知相守。最感人的是那份质朴的情感和淡泊的态度。”世间好物不坚牢，彩云易散琉璃脆“杨绛先生教我们珍惜眼前人，过好当下活。
请叫我蕾蕾,4,2013-08-19 09:11:41,unknown,765,还没读完第二部，终于忍受不住弃书大哭。凡所有相，皆是虚妄。
Ein,5,2014-07-31 16:59:06,unknown,222,读到动情处，我仿佛成了“我们仨”的第四个人。
岚若,4,2016-04-08 12:29:00,unknown,152,这大概，就是最理想的家庭生活的蓝本吧。一家三口有智慧，有默契，淡定从容，没有不该有的妄念和野心。这样的人生是一种境界，更是一种选择。杨绛先生的文笔，在温馨中透着一丝化不开的哀伤。
加州站街男孩,5,2013-11-05 09:14:41,unknown,126,再大的乱世，有至亲相伴也能苦中作乐，无论何时都要读书学习
言吾,5,2015-11-21 18:49:34,unknown,125,钟书谆谆嘱咐我：“我不要儿子，我要女儿——只要一个，像你的。”我对于“像我”并不满意。我要一个像钟书的女儿。女儿，又像钟书，不知是何模样，很费想象。
阿吾,4,2016-04-24 10:40:18,unknown,95,和朋友聊起独身，说的确麻烦可以降到最低，但家庭和环境的羁绊还有不经意的小温情会让人情愿过麻烦的一生。我读到的就是这种淡淡的温情，回忆的愉悦和现实的伤感，都好像一缕轻飘的茶香，从先生的书中表现出来，仿佛没有大喜也没有大悲，但持续的牵扯痛神经，经久不息，读到了一种绵长的浅淡的悲伤。更年轻的时候耐不下心，只喜欢大开大合浓墨重彩的爱恨情仇，我以为自己了解的两位先生的事就是全部，羡慕情投意合的情感。但这都只是人生的假象，杨先生写到他们也曾为法语发音争吵，彼此捡伤人的话说。经历过动乱的这些年，难免也会透露出一丝丝情绪，国家需要的是科学家，不是知识分子。可是这一些，才让人陡然更真实了起来。我逐渐从年少的理想主义走出，世间不是非黑即白，每个人生都充满了温情、烦恼、折磨和相应的妥协，幸福而脆弱。
洋洋｜山雨莎,5,2013-06-17 13:38:04,unknown,111,特喜欢三个人独立而彼此的状态
