user_name,star,comment_time,geo_ip,vote,short
HakataTonton,3,2017-05-09 17:08:06,unknown,4207,女主如此关注他人，对人情世故和他人情绪的过度分析，来源于她不爱自己。
易沛,1,2017-02-28 17:03:01,unknown,1560,用大篇幅描写少女成长，玩儿洋娃娃，黑暗地下室的冒险，青春期来月事长痘痘，读书上学考试成绩……这些事本来每个女人都要经历，作者像写日记一样写出来我不知道究竟有什么文学意义，铺垫也用不着这么长，能不能讲重点？情节不如言情小说撩动人心，文笔不如文学小说辞藻华丽，身为女人我没有看到有什么算“丑陋”“秘密”，我是个假女人？？？
别的熊,4,2016-12-31 22:28:38,unknown,1211,确实是page-turner，易读性很强。第一人称把原本就很细腻的心理描写往深扩了一层，更有代入感，从读者的角度却不由在想第三人称写会是什么效果。更喜欢童年那部分，写法也更讲究，看似顺序，时不时这里埋一个暗针那里露一个线头，之后再连上。不太喜欢“丑陋的秘密”或“战争”这样的形容，作家其实蛮好地刻画了女孩儿友谊间微妙的距离感，但过度挖掘动机让人感觉少了一种友谊中天然“真心为你”的成分。期待之后几本对时代的描绘。身为小镇姑娘，还特别有共鸣的一点，是成长过程中世界的扩大化和金钱的具象化。
阿巴厮,4,2016-12-27 15:52:05,unknown,985,因为太好看而扣一星，还因为还得再等好几个月才能看接下来的故事。表面上是传统意义上的小说，一气呵成，无法停止的贫民区史诗，写法也是传统的不能再传统，看不到一丁点儿现代小说的影子，但是人物却绝对是鲜活，关系是毫不掩饰且直接的，妒忌也好疏离也罢，情感是不会因为这些而消失，因为“天才”般的心灵，而得以延续并放大。故事才刚刚开始，背叛也只是一双鞋，但是两个女孩接下来的人生让人翘首以盼，会迸发出多少深沉而痛苦的火花？
布立吞,4,2017-01-01 02:21:22,unknown,754,想要摆脱命运的两人，一个凭强大的“天才自我”，寻求着现条件下的最优解，一个不断跳出、质疑、学习并审视。就像相互依附、对抗、缠绕而不断借力生长的两根藤蔓，将对方浓重地刻进了自己生命里。
对方,4,2017-01-10 09:46:40,unknown,642,稀里糊涂看了大半本，到“庶民”那段时被感动了。“我们就是庶民，庶民就是争抢食物和酒，就是为了上菜的先后次序、服务好坏而争吵，就是那面肮脏的地步——服务员正在上面走来走去，就是那些越来越粗俗的祝酒词。”
绿川,4,2017-01-30 01:13:15,unknown,517,我也曾以为自己有着一个brilliantfriend，她能比我勇敢且自由，十多年来，我们相互照顾，相互较劲，相互伤害，也相互爱着。我们纷纷离开小城，却未见天空如愿变广阔。成长中的羡妒或鄙夷，她会是你心中暗念的参照系，或勉力维系，或果断放手，只能凭造化来说。人生确实太孤独。
根,4,2019-07-08 10:52:26,unknown,600,好像一直都是这样，两个女孩里总有一个负责光彩夺目，负责被男生们簇拥，人生起起落落，爱情故事九转十八弯，并且不管经历过什么事情都还是会很热切地向往着真爱啊理想啊之类的东西。另一个女孩总是被忽视，被弃置一旁，被异性用完全不带情欲的目光扫过，于是十个里面有八个会写日记，八个里面有五个会写小说，五个里面有两个最终会成为作家。果然是平凡女孩写故事，漂亮女孩自己就是故事……
安东妮,5,2016-12-25 01:49:55,unknown,394,看完觉得无论NYT还是卫报那些评论都没在点子上，除了一句：莉拉是造物主。（然而站在莉拉角度看埃莱纳又会是什么景象？是墨提斯还是雅典娜？“女性友谊”的描述无疑是窄化的）最后三十页基本是内心尖叫着读完，祈祷剩下三部速度出
韧勉,3,2017-03-16 20:46:11,unknown,306,评分真心虚高，并没有看出优秀的点在哪里，即使本书真的很优越，但这种叙事性不太强，环境描写不鲜明的著作，真心不适合我。
荞麦,5,2017-04-16 15:04:04,unknown,302,每个女人都曾经遇到过一个莉拉吧，我一直在想是什么特质区分了“我”与莉拉的命运。
成知默,NaN,2017-05-05 11:28:00,unknown,157,2017年已读047：三星半，乏善可陈，不是很懂读书主页上的一片好评如潮。寻常的成长题材，太过传统的写作手法，限制的单一化女性视角，在读的过程中，一直游离于这个故事之外，没有代入，无法共鸣。贫穷、肮脏、充满暴力的那不勒斯，是两个姑娘成长的背景，却也是他们亟欲逃离的现实。或许是叙事视角的关系，两个姑娘中，莉拉是像引路人一般的存在，埃莱娜像逐日的向日葵一般亦步亦趋，她们的命运纠缠不休，却最终走上了不同的道路，就如同一蒂双花，却朝着相反的方向开放。这个系列不想再追下去。
朱尔赫斯,3,2017-01-26 00:12:32,unknown,178,就……没什么特别的……
大胡子阿细,4,2017-01-10 19:33:42,unknown,128,拍电影吧
湮没人群,NaN,2017-01-27 09:13:42,unknown,149,急于摆脱这本书，蛮无聊的，更何况直接硬生生未完待续
欧文哥哥,2,2017-08-18 20:57:14,unknown,166,挺无聊的一本书，怎么就成为畅销书了？
索马里,5,2016-11-21 15:19:24,unknown,130,来了！！
欢乐分裂,4,2017-02-18 22:07:26,unknown,143,那不勒斯中下层社区面面观，无法逃离的浓重父权阴影，一对两生花在衰败破落中倔强生长，互为镜面，互相激励；写法平铺直叙，题材中庸平淡，但颇具可读性，人物成长与时代前进的同步性；我们在少年时期，多数会遭遇到类似爱情的友谊，你也会为之嫉妒，为之痛苦，只想成为对方眼中最好的自己，即使他日殊途，那些隐秘的心思和曾暗暗气哭的热泪都成为捆绑记忆的枷锁。
沈筼筜,5,2016-12-24 14:02:03,unknown,120,很棒的故事，作者很厉害！从书里想起很多年少的事。也是像“那不勒斯”这样破败落后的城镇，对于眼界尚未开阔的孩子们来说，生活的地方就是全世界。
黄青蕉,4,2017-06-09 18:11:04,unknown,118,去意大利的路上读完的意大利小说，落地之后去米兰郊区的小餐馆吃饭，隔壁桌一群少男少女穿着衬衫和小黑裙子正在聚餐，俊俏鲜活得就像书里写的一样
小熊软糖,NaN,2017-05-16 15:41:52,unknown,140,豆瓣应该再加一个“未读完”选项，读到45%读不动了，弃。
森森,5,2016-12-15 20:27:56,unknown,117,好看的，完全不想从故事里抽离，像镜子倒映出了最真实的自己
匡轶歌,2,2017-09-17 23:08:25,unknown,125,这本书的翻译语言快把我逼疯了。啰嗦到构成精神折磨的程度。沥沥拉拉读了4个月，揉着头，拿起，放下……非常确定、极其确定绝不会追后续几册了。就算故事再精彩，也让我就此无缘吧。
M大小姐,2,2017-01-09 09:41:21,unknown,126,讲真完全看不下去。第一次觉得豆瓣有水军。
57,4,2017-01-23 12:15:07,unknown,87,女盆友做的书，像是一件给同代人的礼物。不管世界怎么变换，于个人而言始终是一段成长故事，没有尽头。我们都站在故事的开端，同时为结局绞尽脑汁。
Amber,2,2017-04-05 17:02:16,unknown,111,完全没看出畅销的点在哪？可能是翻译太差？
违天择,3,2017-03-16 20:20:06,unknown,83,很好的人设和故事走向，莉拉这个非常有魅力的人物使很多平庸情节得救，但小说并没有超出一般畅销品的水平，主述视角非常奇怪，不时僭越视角限制的同时又回避了大量这个视角本该正面描写的东西，既不是贴合着青少年的埃莱娜，也看不出一个老年人回忆时能够赋予往事的深度，此外，优秀是无法假装的，不是吹嘘考试得高分或者被老师激赏就可以的，埃莱娜说的每个字都在暴露自己的水准，她没达到人设应有的优秀程度。
