user_name,star,comment_time,geo_ip,vote,short
于北啊,5,2017-12-26 17:57:00,unknown,17569,25岁生日这天把房思琪交付印厂，简体版2018年1月25号上市。做这本书的过程经历了很多，简体版的授权很不容易，感谢游击文化对我们的信任和配合。简体版也得到了他们的认可，除了几处极个别的涉台词语外极少删减，性描写也基本保留，奕含写的克制而干净，实无删改之必要。感谢出版社老师对这本书的爱护，尊重了作者文字。感谢李银河戴锦华张悦然詹宏志蒋方舟等老师的郑重推荐。感谢很多人，为了房思琪和更多读者的相遇。这本书值得也应该被更多人看到，是我的初衷，也是我的目标。ps2020.07房思琪精装版出版，把在出版两年多里收到的建议做了用心调整。
阿返,5,2017-12-26 18:30:20,unknown,12117,她懂得很多，说话也很深刻，但却有一种单纯感。我不知道她是怎么做到的，她是深刻和单纯的糅合体。她访谈时说：在读这本书的时候，你能感受到痛，那是真实的；你能感受到美，那也是真实的。我都感受到了，甚至能够感受到她被折磨而无法解脱的心情，这是林奕含留给我们的遗言。
匡轶歌,5,2018-01-07 16:58:27,unknown,9436,北影阿廖沙、侯亮平【被】销声匿迹；恋童癖许豪杰恢复微信公号实名，并反咬一口将不肯透露举报人信息的豆瓣告上法庭；北航博士罗茜茜时隔十二年实名举报教授陈小武曾对她及多名女生性骚扰——这些，是你朝反性暴力的实时进程，我们的#metoo#远未成声势。这本书的出版告诉我们：不，你并没有选择，你不再可以假装世界上没有人以强暴小女孩为乐；假装从未有小女孩遭受强暴；假装房思琪从不存在。因为这本书属于“文学”，但不单单属于文学，它是一个承受残暴性伤害的女生，为自己提前写就的悼文；因为强暴，是人类社会有史以来最大的屠杀。读着林奕含的文字，一再想要哀叹“可惜”。但可惜这个词太傲慢、太冷酷了，终归是活人对她文学天才的掂量，对可能存在的所谓文学成就or损失的收支核算。而她经受的苦痛黑洞，这些，根本不足以抵偿。
銀 光 閃 爍,5,2017-12-26 21:21:38,unknown,5135,简体版终于体面问世了：「一切文学，余爱以血书者。」
momo,3,2018-02-21 12:22:21,unknown,3907,前两天就读完了，我还是坚持原有的观点，这部小说的社会意义远大于文学意义，按文学性来说，这部作品真的算不上是一部非常优秀的文学作品。不过，读的过程中可以知道作者实际上阅读范围很广，思想很有深度，文学修养极高。作品优点明显：主题非常深刻，剖析了受害者心理，描写很克制，语言细腻，比喻新颖；只是缺点也明显：某些语句不通顺，有点作者自说自话的感觉。比喻的滥用造成词藻堆砌，反而引起反感，情节安排、叙述逻辑有些混乱，铺垫也不算成功，人称叙述角度不断变化有时会让读者疑惑，阅读体验其实不算很好。角色塑造方面个人认为伊纹比思琪成功。当然，这部作品很特殊，警醒了很多人，也让许多曾受侵害的人感同身受，如果用这些原因来评分，以上缺陷可以忽略不计，但是有些人想用这些原因来抵消作品的缺陷也实在太不理智。
曼仔,NaN,2018-05-06 22:17:00,unknown,2952,整个阅读过程太需要心理承受力了，林奕含真的很会写，也是真的很懂得人间的丑陋，只是这份懂得代价太大了，全是血与泪，和无数个不眠之夜的自我拷问、自我厌弃、自我洗脑，在真实与自我安慰之间做艰难的选择。书前书后那些评论是没有心肝吗？面对这种文字还他妈在讲创作技巧、比喻太多、用笔太工？每看到一句这样的话，都觉得千千万万个房思琪的苦白受了，都觉得人间不值得。希望每个无意间和自己厌弃的人产生了关联、无意间发生共谋、陷入到难以挣脱的亲密关系的人，都能迈过自厌和自恨，不用否定自己的感情，诚实本身就是一种力量，面对、接受、挣脱、成长。
安悬,5,2018-01-11 19:25:44,unknown,0,
archimboldi,4,2018-01-03 00:55:06,unknown,2063,他把文学推到在床上，在少女的身上得到极度虚荣膨胀的王冠，末了，他深情地说着那一句深谙于心已经贯彻二十多年的情话，慷慨到被自己感动。这只狡猾的狐狸躲在文学似真似幻语境里捅坏了文学洁白的床单。他没有罪，正如这世界上任何不曾犯罪的无罪者那样。他开心死了。我绝望死了。
三风,3,2018-01-27 09:56:26,unknown,1445,男人视角就是洛丽塔，女人视角就是房思琪的初恋乐园。这种把文学或者学识当作自己猎艳武器的老男人，很常见。也许一开始，他们不自知，偶一发现屡试不爽。记得大学一老师上课时的调侃，最大的流氓就是美学专家。可是这种显然是假的专家，正如林奕含采访视频里讲述的，李国华就是一个想学胡兰成但没有成功的缩水的赝品。
Z某人,5,2018-01-14 17:22:52,unknown,1493,“这些上了讲台才发现自己权力之大，且战且走到人生的中年的男老师们，要荡乱起来是多荡乱，仿佛要一次把前半生所有空旷的夜晚都填满。”
鳕戈,5,2018-01-16 17:16:26,unknown,1005,假设不知道作者的新闻，这也是一本很纯粹很优秀的文学作品
秋里,5,2018-03-27 22:14:39,unknown,1384,最后压垮房思琪的不是被自己敬仰的老师性侵，不是对父母对人性的失望，也不是对升学主义的失望，而是对艺术的失望。她不是无法想象一个饱读诗书，一个勤俭谦恭让的老师会性侵未成年学生，她是无法接受这样一个人竟能坦荡荡地借文学之名行龌龊之事，她无法想象《红楼梦》对他来说只是四个字：娇喘微微。她无法接受所有从他嘴里吐出的美丽句子只是欲望的巧言令色。如果人能做到这一点，那么人还可以被什么拯救呢？
