user_name,star,comment_time,geo_ip,vote,short
劈头士》睁木,4,2013-07-10 22:40:06,unknown,1592,三毛的文字其实没有特别出挑的地方，但是合成一篇，整个却显得真实、清爽。她很好地遵循了白话文“有什么说什么，该怎么说就怎么说”的宗旨，而且她聪明在不在散文中论理，不作生硬的哲思，单纯就事论事，从而反倒能让人身临其境~~印象最深的是她和荷西去偷看别人洗澡灌肠，再如三毛考驾照的那几个考题，好笑极了~~而读到他们遇到三个疯子袭击则心提至喉~~看散文，以前喜欢过余秋雨的辞藻，现在越来越喜欢三毛这类的平淡，平淡是真，写文常常有自炫的诱惑，能抵住诱惑是不容易的。。。【题外】三毛与荷西是般配的一对，如果荷西没有去世地那么早，三毛可能也不会弃世了吧。。。“人”果然是两个人互相支撑在一起才能不倒下的。。。
游牧人·芳汀,4,2010-09-26 23:59:47,unknown,1562,自你之后，再无真正流浪自由的灵魂。
七夜,5,2014-01-11 21:29:07,unknown,874,再看到荒山之夜仍然还是以前的震惊！他们那么随便就经历了一场出生入死，而且完全不在意，人生多么的洒脱啊
玑衡,5,2010-11-28 08:04:57,unknown,412,读过三毛全集，最好的还是这一册。
犬犬七🏳️🌈,5,2012-06-12 02:05:33,unknown,351,你伤害了我的骄傲！
Neski.,5,2013-11-19 11:45:02,unknown,205,顺便说一句，那些看完这本书就想义无反顾冲到撒哈拉去的文艺青年们，有些人的浪漫情怀，洒脱和气质是天生的，学不来
我不是盆栽啊,5,2011-04-28 19:04:46,unknown,139,我不想知道故事的真假。我不想讨论立意的长存。我只想要如此的恶俗爱情。
三十余年如一梦,3,2020-11-22 15:38:45,unknown,143,以前看觉得浪漫，现在却觉得辛酸，而且可以隐隐感到他们未来的悲剧。开篇几则故事里的欢乐匆匆而过，接下来是《娃娃新娘》的野蛮、《荒山之夜》的惊险、《沙漠观浴记》的肮脏、《爱的寻求》的痴傻、《芳邻》的侵犯、《素人渔夫》的穷困、《死果》的痛苦……《白手起家》更有舍近求远、自讨苦吃之感，那种美不是撒哈拉带来的，是她用自己的经验和汗水甚至幻想拼凑、创建、隔离出来的。
Chandelier,4,2015-10-04 23:23:41,unknown,76,荒山之夜里对生死际遇的轻描淡写，死果里的扑朔迷离。上世纪70年代的故事和语言，幽默生动（“你伤害了我的骄傲”LOL）读起来没有任何隔阂。话说荷西三毛这两人真能折腾。。。
林雨飞,5,2015-06-12 07:32:16,unknown,65,三毛最好的一本书了吧，那时候的三毛多么好奇，多么有生活情趣，也为他们的感情所感动
放把火烧了,4,2008-05-31 07:12:00,unknown,0,
deepmars,5,2009-12-10 18:25:51,unknown,43,最初读三毛是这本，最喜欢的也是这本。
彩果糕,5,2020-07-11 23:12:36,unknown,109,与其说爱她的文字，不如说向往她的灵魂
豆友182975599,4,2021-01-24 02:40:57,unknown,26,重读。耳机里是齐豫的《骆驼飞鸟鱼》。三毛属于完全感知性的作者。看似是浪漫风韵，实则是一种武侠情怀，一种侯孝贤电影“聂隐娘”式的骨子。仗剑走天涯，斩不断人伦，却只有一人，所鸣谢的血雨腥风关于生活语境的“这些人”。互联网时代的萎靡，许多人丧失了乡愁这种最基本的情感，还好有撒哈拉的她，以轻快的笔触，唤醒中国人骨子里的“故乡”。
☂jackchen,5,2012-03-19 21:47:26,unknown,50,"""长久的沙漠生活，只使人学到一个好处，任何一点点现实生活上的享受，都附带地使心灵得到无限的满足和升华.."""
Julyj,5,2012-08-03 14:44:20,unknown,36,这样的奇女子到底是少有的，拜托了同时代女子的一些矫揉造作而显得格外真诚，天真，勇敢，她的爱情她的坚强她的淡然，她对生命真诚的爱与向往，一个个故事好像只是她写下的生活随笔，在我们看来就是最好的人生履历，到底是向往呀！
薇羅尼卡,NaN,2006-03-22 12:06:36,unknown,16,与荷西的爱情
人気小圆头🔒,5,2013-11-11 00:08:34,unknown,26,二十年前，三毛是一代女文青的典范，大陆人突然发现日子居然还能这么过。但二十年后，看到非洲也到处都是中国人，真心觉得三毛害了撒哈拉。
发条J,5,2012-06-29 17:58:52,unknown,19,《死果》影响忒深~
小薛,5,2010-06-30 19:53:50,unknown,12,最喜欢白手起家
dio,3,2014-03-21 11:38:17,unknown,28,三毛有一种乐于作死的精神..
秉存,5,2021-03-22 22:19:45,unknown,46,本科时，教授当代文学的老师说，当你们念了这个专业看过了全世界最伟大的文学作品之后，你们就会为当年喜欢三毛（他只是打了个比方，泛指当代比较流行的二三流作家）的自己感到无比的羞赧。我是从小学开始读三毛的，是从母亲的书架上抽下的一本——“我是一个自由魂。”高中时买了盗版全集（穷学生呐），啃了一遍又一遍。后来单独集结出版的《你是我不及的梦》，又抢去买。并且在饱餐了“面包牛奶”后，依旧爱着我的“小窝窝头”。哪怕到了现在，每当渴望自由与勇气的时候我就奔向三毛。是她告诉我，应当正直地写作，真实是日常生活最大的魔力。而对我来说，她的确已经成为了朦胧的自由灵魂的最明确的象征，直接指向某种让我从庸碌日常中叛逃出来的美丽“出口”。
考拉小巫,5,2011-04-23 04:20:26,unknown,17,真是让人心疼的文字。
温客行反黑站,3,2021-03-14 21:48:13,unknown,58,对于三毛被捧到这么高我一直是疑惑的
福鹿,5,2009-02-10 00:50:03,unknown,6,读的三毛的第一本书，也用这本书把阿彤带入了三毛的世界。最爱的两本之一，嗯，另一本是《温柔的夜》。爱她，爱她，爱她。（当然，也爱荷西。）
临素光,4,2017-10-02 19:59:53,unknown,14,如今我也自起炉灶，坐镇一隅陋室，再来读三毛兴味大不同。从锅碗瓢盆吃喝拉撒中，发散生活的乐趣和真挚的情感，是远比读几本书重要得多的大智慧。要说黄沙中的日常异域风情，即便是交通发达的今天，三毛也写到头了，后无来者。
⠀,5,2021-05-16 00:05:12,unknown,14,小时候在图书馆借的第一本书，还是小闺蜜推荐的，满满的回忆啊，那个温馨的，汗津津的，藏在小裙子里的闷红了脸的夏天，那个怯生生，充满了尴尬与白日梦的，横冲直撞的粗鲁的少年时代，那些慢悠悠的，肆意挥霍的，渴望逃离却再也回不去的日子...
豆友44887432,4,2013-02-16 19:52:57,unknown,38,我想最让人羡慕的不是撒哈拉的那些奇遇，而是她对待这周遭的一切的那颗宽阔的心，活泼又从容，很是极致。
米周,NaN,2012-05-15 03:17:00,unknown,21,一个下午一口气读完的。人多几种生活的经验总是可贵的事。
小小白告,5,2021-06-28 13:28:20,unknown,15,简单质朴的文字，不由分说的将我拽到那个遥远的世界里。
采花贼欧亨利,5,2010-04-19 19:03:46,unknown,7,13三毛的书里最值得一读的一本
JIYUZI,5,2013-03-15 17:23:48,unknown,8,“因为我在这个世界上，向来不觉得是芸芸众生里的一份子”
放开那个西红柿,4,2010-11-06 18:53:58,unknown,3,高中读过，标记一下。
W,4,2021-06-04 08:33:23,unknown,10,高中的时候读的三毛。一个人善于发现美，生活才不会如此地难过，才能弹走生命袍子的几只跳蚤。
娅,5,2010-08-02 02:36:55,unknown,3,。。。心伤
我好有福气,4,2020-11-20 16:30:07,unknown,6,永远喜欢自由的灵魂啊好向往希望自己也能活得恣意洒脱
浠墨,5,2007-12-26 14:34:40,unknown,2,很喜欢她
砚小朵™,4,2012-05-15 13:19:00,unknown,6,真是难以想象，我并不是在小学初中读到的她，在她最火的时候，我一直心有排斥兴致缺缺。有多少小朋友是被辫子长裙四处流浪行遍千山万水的波西米亚气息感染长大，于是在心底里埋下了那一点点对于旅行的小向往，安妮宝贝因此套上了球鞋，虽然尼玛去的是丽江。我却在快三十岁的某个关键节点的前夕读到了她，这是一个征兆么？
SWX,4,2010-03-15 12:05:08,unknown,2,好多年前读的。
linn,4,2011-06-10 15:21:41,unknown,6,总觉得荷西爱三毛爱得更多，在最初的时候，三毛这个洒脱的女子~哎，看完他的书，我觉得我的人生都活了
Touma,5,2018-01-31 14:39:09,unknown,1,竟然现在才看
RockyLea,5,2013-05-16 00:55:04,unknown,3,如果她只写过这一本书该有多好
猫很甜,5,2018-10-14 18:26:49,unknown,5,因要走沙漠公路，在坐地日颠一万步的车上重温了这本书，像是多年未见的朋友一样温馨，我也在流浪。
布鲁斯,5,2013-05-15 08:24:04,unknown,2,作為在kindle上讀完的第一本繁體書，一會兒寫個讀後感去。
竹竿优酱,4,2012-12-26 17:15:46,unknown,7,我每想你一次，天上飘落一粒沙，从此形成了撒哈拉。昨晚看了一视频，今天凑巧看到了友人分享的电电子书链接，刚打开的时候，刚在听《lovetobelovedbyyou》，好伤感，好想去流浪啊。
疯狂の夏虫,5,2012-08-12 21:45:51,unknown,4,不偷生苟活，就去流亡吧！我的朋友，我们原来并不相识，而今也不曾相逢，但是人生相识何必相逢，而相逢又何必相识。在台北，我不觉得离你们近，在非洲我也不觉得离你们远，只要彼此相知欣赏，天涯真是如此比邻啊！
螃蟹蟹,3,2011-05-13 23:18:51,unknown,3,没想象中好
凪时,5,2021-04-18 16:51:18,unknown,2,这个世界，许多人，许多事在我们不知道的地方上演着。透过三毛的眼睛，我看见了这个世界上美好和丑陋的一面。每个人活着，却又像是死了。
takeymoon,3,2014-02-11 02:19:57,unknown,6,瘋女人一個，哈哈，你傷害了我的驕傲
玛格丽特*年,4,2013-01-20 19:12:41,unknown,1,喜欢这本书，是因为看到了面对生活的态度。
11,5,2010-03-30 12:53:27,unknown,3,我的最爱三毛与荷西质朴仓促的婚礼，废品利用艺术布置的坟场区小舍，撒哈拉威形形色色的搭车客，被捆绑着手脚的哑奴，令人毛骨悚然的死果，为了寻找化石而差点命丧吞噬人的泥沼，“大棺材”里哭泣的骆驼……
chuchu,4,2008-06-08 00:07:57,unknown,1,三毛最为快乐的一段生活荷西沙漠还有不开化的原住民
也宜,5,2013-06-25 17:45:46,unknown,3,太喜欢三毛了！！这是一本值得一读再读的书！！
电话听听,4,2020-04-16 17:09:29,unknown,5,很欣赏像三毛这样洒脱自在的女子，似乎很多人都很憧憬她那样的生活，但若没有她那样温柔而坚强的内心，还是羡慕羡慕就好了
bamboo,5,2012-01-02 14:21:13,unknown,4,伴我度过了那段每日在交通工具上停留几个小时的实习时光
IF,NaN,2007-12-22 21:17:32,unknown,0,乐了
獅,5,2011-08-27 14:02:24,unknown,5,这本看出很多笑点..我也不知道为什么。而且，尼玛这本是我小学看的。
宛在水中央,3,2009-04-26 02:33:18,unknown,5,三毛似乎是中学女生的最爱。我老了，她的文字感动不了我。流浪的人生，听起来很浪漫。我知道那些辛酸。我的流浪，也将要开始。
拳,5,2014-01-02 05:20:18,unknown,8,不管是阳春白雪，还是青菜豆腐，都要尝尝才不枉在世上走一遭啊
苏不西,5,2020-08-15 10:03:04,unknown,0,为了豆瓣250而标的，之前可能标过另一个版本。
猴纸,NaN,2012-07-02 00:15:39,unknown,1,初中的记忆扑面而来啊我靠！
懒儿,NaN,2008-08-15 19:55:33,unknown,0,状若女鬼....
Florence,5,2007-08-08 23:54:26,unknown,1,喜欢书中精彩的生活
bonism,3,2018-08-04 15:50:22,unknown,4,倔強的奇女子。年輕時為了彰顯自己和“普通人”的不同，去沙漠生活，吃了很多苦。不禁覺得她是否內心沒有強大到足以自我支撐，而需要靠做一些特立獨行的事情來找存在感？世界觀不敢苟同。她的文字是有趣而快樂的，一口氣讀完。
H_麦色cute,3,2013-02-12 13:39:24,unknown,2,看到了三毛与荷西在撒哈拉的生活点滴，看到不为想象的沙漠生活，对白手起家那篇更是记忆深刻
小号君,3,2020-04-01 12:42:42,unknown,5,感觉一般
shawn,3,2013-09-11 01:03:24,unknown,3,我以前就是一看漫画的死宅所以从没看过这本，最近才补的，，终于了解当时身边的文学少女是模仿谁的了。。然后我果然就是一死宅欣赏不来爱作能闯的文艺女青年老三毛
阿里里小瓦当,3,2013-10-27 15:26:39,unknown,3,三毛与荷西刚到撒哈拉生活的趣事，新鲜又充满趣味。
Deryfus,3,2019-06-06 02:07:20,unknown,1,相比之下她的纠结更为决绝因此文字也更好如果失去了困顿的条件其实旅行是很好的救助办法或者干脆找一个外国伴侣
Zima,4,2020-11-29 00:04:29,unknown,3,这世上，只有一种成功，就是用自己喜欢的方式度过一生。三毛喜欢的方式就是流浪、体验各种生活，她做到了，所以她成功了。实现个人解脱后，我相信将来我也一定会成功，只不过，是以我自己喜欢的方式😌
李念,4,2009-03-29 15:50:46,unknown,2,如果你是三毛，你找到了你的荷西了么？
宋不吃,4,2020-07-10 15:32:45,unknown,0,大学的时候班上有个热爱三毛的女同学，在她的敦促之下我几乎读了所有三毛。
好命少女囧安呐,5,2012-04-18 19:26:43,unknown,1,不负如来不负卿
蝉,NaN,2014-03-31 14:51:50,unknown,1,:	I267/1127-50
弥呀,5,2013-04-17 23:25:32,unknown,1,很久以前看过，记忆都模糊了，最近又翻出来读，感受和以前完全不同。这次读，时而微笑时而眼眶湿润，好久没这么感性过了，叹...
吵,5,2012-08-02 01:11:29,unknown,0,第一次看三毛。是个有趣的女孩子。
豆友157905597,5,2020-11-09 18:22:09,unknown,5,读三毛之前，我以我仅有的，少得可怜的阅读量推想，三毛的散文是会像《荷塘月色》那般幽美而沁人心脾，还是会似《背影》那般凄婉而冷彻骨骼。读了第一本三毛后，我发现，原来散文可以如此细腻有趣接地气！打开书，我便进入了另一世界，而三毛，那个温柔可爱古灵精怪温暖如春的大姐姐，就如面对面和我交谈一般，分享着她眼中的沙漠世界和独一无二的沙漠浪漫，让我顾不得喘息地爱上了她，三毛。我想，一本本地读下去，最终，她会形成一种精神，在我的世界里坐落着。
阖昔,5,2020-04-05 11:36:05,unknown,0,看的早了
胖胖的小福泥,5,2021-05-14 11:16:16,unknown,1,印象最深的是书里写到洗头洗澡洗一半停水了，擦干之后一点都不敢动，生怕出汗然后浑身泡泡哈哈哈哈哈哈哈
朴实无华的阳光,4,2021-10-08 17:24:15,unknown,1,三毛很清晰地了解自己的作品，正如她自己所言“生动有余，深度不足”。但是在她生动实的短篇中，读者感受到的是一位有着有趣、宽容且自由灵魂的女性。而且我还很钦佩她的父母。
圣彼得堡,3,2021-08-07 02:17:39,unknown,7,不是很理解这本书的排名这么高
刘意逢,5,2011-11-02 16:40:12,unknown,2,这绝对是我的散文启蒙书！！！！！！！！！！！！
仝全铨,4,2020-11-14 17:08:51,unknown,1,现在才读了三毛有情趣的人
沧河,5,2021-08-02 19:20:59,unknown,4,下辈子如果还是一模一样，不如不活
zumaqiong,5,2021-08-14 11:45:40,unknown,3,上学时读，读的难过痛哭，过往越幸福，往后一个人的生活就越孤单。三毛，是带我走进撒哈拉的第一人，也是以后我进入撒哈拉旅行的启蒙者。虽然我无法像三毛一般，在那里住很久，去体验当地民情，但看着那广漠的沙漠，我就能看到最羡慕的爱情：三毛荷西。
拔剑四顾心茫然,5,2020-12-06 16:21:19,unknown,1,清苦、寂寥、危险的遥远沙漠生活，竟被被描绘地如此色彩斑斓、充满生机，只有心中充满热忱和希望的人笔下，才能写出来吧
芸片蒸糕,3,2010-07-21 19:29:20,unknown,3,我小時候以為三毛是漫畫的三毛。
aphrodite,1,2010-04-17 14:18:54,unknown,7,富老爸供她发癫，嫁个老外作怪，找个角落自恋，将琐碎臆化，信神鬼，又通灵，三毛？中国怨女！
自源,5,2011-08-01 21:00:54,unknown,0,爱不释手。
biu,4,2021-09-05 14:45:30,unknown,5,哑奴和军曹的故事太悲伤了
若星辰冉冉,5,2020-07-21 20:38:06,unknown,5,语言质朴，感情热烈。
我相信,3,2018-04-03 16:45:15,unknown,1,现在老没办法在一个地方好好呆着，，估计小时候就看他的书落下的
颜夕,4,2012-02-24 14:40:02,unknown,1,我一直觉得三毛是个有些装的女人——杜撰出了一个爱她到无微不至的荷西，不过这个可能也是文学女人的通病，总是对爱情期望值太高。不是七零后，对她的书没办法爱到死去活来。不过呢，说走就走的旅行倒真是潇洒！
刘小青,5,2010-03-28 12:50:53,unknown,0,三毛臆想出来的美好生活~真的很美好很人文关怀。。。
迷🐘,4,2009-11-22 23:54:20,unknown,0,重讀，仍然感覺溫暖~
三弟,NaN,2008-09-19 12:16:16,unknown,1,高中时读过，哭过
王抽抽,5,2011-08-14 16:46:15,unknown,1,撒哈拉的生活并不是那么可怕。撒哈拉生活好多幸福和刺激。
呜哇噢zZZ,5,2010-11-13 23:46:57,unknown,0,把大漠的生活过得如此缤纷有意思我爱这个女人
aloneiris,5,2009-03-09 18:13:17,unknown,1,带上爱人去用力爱生活。
Five,NaN,2010-09-22 22:33:50,unknown,0,我看的是这个版本
Monica,5,2007-05-02 23:16:02,unknown,0,最喜欢的三毛的一部
大胆趴趴走,5,2013-12-08 22:21:01,unknown,1,一直以为三毛就是文艺范代表，整天风花雪月，所以一直都不敢兴趣看她的书，总是看见别人插播一段三毛的对白之类的，直到，看了书才知道，三毛这么敢做敢为：就为了解前世的乡愁，就跑到沙漠里面去，一个那年代的人，思想作风超前，不枉此生啊。到现在她的思想或者作风都还超前在社会前面，可以随便挑个人摔好几条大街去了。佩服啊。
晨阳牙牙,4,2013-01-17 08:31:06,unknown,0,这是读三毛的第一本书。太阳白羊，金星金牛，我们外在、对爱情如此相像。
Muse,4,2016-02-15 19:05:32,unknown,1,让我想起一个旧友，愿她已过上向往的生活。
