user_name,star,comment_time,geo_ip,vote,short
丹AI🌵,5,2012-05-11 15:03:14,unknown,649,《铸剑》神文，语言难以形容其特别。
鹅掌柴,5,2013-11-10 00:21:59,unknown,398,《故事新编》是鲁迅的破冰之作，是鲁迅的文章中，我读过的，修辞最丰富，色彩最饱满的（如果说其他作品都因悲痛和不忍变成了低饱和度的影像，那这本书就是色彩明快的油彩）。虽然神话传说中的神明、英雄、先圣都在「故事」中被着重突出了悲剧色彩，但依然掩盖不住这本书的鲜艳。《补天》、《奔月》中神和超人的英雄都消亡了；《理水》中「中国的脊梁」困顿不堪，失去「脊梁」的意义，或者被异化；《铸剑》中复仇者的坚定信念与自我毁灭的绝望并存，而复仇者与暴君的死尸竟然也在「大出丧」中滑稽地被「看客」们「瞻仰」。如此等等。《故事新编》里，还有一系列隐藏着的，却深痛的讽刺：神明、英雄、先圣们生活在世界中，总是被其他卑微的小人物围绕，他们消解、扼杀着「脊梁」，同时又观看着自己的戏剧。可悲的是，他们的却有着更加顽强的生命力，至今。
停機,5,2008-11-01 09:14:49,unknown,187,我曾說　故事新編是二十世紀白話小說的最高峯　魯迅認爲　故事新編是那些在他寫吶喊與彷徨之餘　所書寫的一些可能不能稱爲作品的東西　然而只有故事新編最能在新白話文中　找到漢語文學最震攝人心的音律感　節奏感　畫面感　它將中國最最重要的那些文化源流　歷史時刻　精心地裝裱起來　無論是兩段呆木頭　還是混混沸水中的人頭　宛如種種揮之不去的幻境　時時浮現出來
神威,5,2013-11-04 11:46:51,unknown,90,修行125th，北大周末文化市场这封皮的鲁迅全集26本150块入手，贵贱不拘，品相和内容真是赞。也不怪初高中语文课本将迅哥儿言论大卸八块尽情引申，他的弦外之音总是那么强，我很爱这种讽刺，无论是神来之笔的女娲胯下衣冠小人还是直截了当不做掩饰的鸟头顾颉刚，这本书我读的极慢极慢，非常快乐，最爱理水，补天，不喜略浅薄的出关，非攻
momo,5,2020-03-29 15:06:02,unknown,175,冷知识：嫦娥因为后羿老给她吃乌鸦炸酱面而奔月。
阿歪,5,2018-07-26 21:51:32,unknown,68,这也太先锋了，这个男人是魔鬼吗
Chilx,5,2012-05-27 18:03:47,unknown,45,常闻东有鲁迅如重山峻岭，西有博尔赫斯如迷宫深渊
末摘花,4,2018-05-25 19:45:17,unknown,29,才华横溢的鲁迅先生我最爱的当代作家
小晨,4,2015-05-01 20:51:42,unknown,38,一知半解，大家都读明白了？
綠  鴨,5,2014-03-04 16:42:18,unknown,19,迅哥儿飞大了
陆钓雪de飘飘,5,2013-04-05 20:24:12,unknown,20,烏鴉雜醬面
Soo Yung,3,2016-06-19 14:50:36,unknown,20,确实不是小说，更像友邻所说的，是一则怪味汤。鲁迅的脑洞确实也大，把经典的传说、童话改编为符合当下语境的讽刺、小说，真有意思极了。为清华通识教育讲习班要求阅读Chris
边城不浪,5,2012-02-20 21:05:30,unknown,16,学力、才华与趣味的结合
walkerace,5,2010-11-19 11:49:44,unknown,25,短短百页的短篇小说集，先锋到今人尚且不及的地步，佩服。
李子鲤|Lilith,4,2015-07-02 08:22:43,unknown,22,他爱的是生命中难以名状的原始冲动和沉默寡言的执行效率，因此他偏爱女娲，眉间尺和、黑衣人（哪怕眉间尺有些懦弱呢）和墨子。老子到底骑着青牛出了函谷关，后羿每日也为着生计来回奔波。而庄子的生死之间物我两忘的瑰丽想象到底救不了国民。不食周粟的伯夷叔齐保守腐旧最不可要。先生也在时刻提醒自己不要陷入油滑（所以那些抖机灵的段子手还是算了吧~）
文若,5,2018-10-21 22:39:23,unknown,38,谁也忍受不了天天吃乌鸦炸酱面啊
ripple,NaN,2011-04-25 12:12:17,unknown,18,王妃抱着铁柱摩擦就生了一块玄铁................
高歌,5,2016-12-19 03:02:30,unknown,6,真是个厉害的文体家
南方的北瓜,5,2018-05-08 15:41:02,unknown,17,课本对于鲁迅作品的节选以及传统课堂上的解读确实固化了鲁迅在我们心中的形象。《故事新编》中的鲁迅，是极丰满的“人”的形象，而不是那个怼天怼地的斗士。诸如“烙三百五十二张大饼的工夫”和“煮熟三锅小米的工夫”这样的独特诙谐的句子，是我们在课文中很难了解到的。
denovo,5,2009-12-17 00:27:53,unknown,7,这是俺最喜欢的书之一呀。
泉の向日葵,5,2009-05-19 22:03:27,unknown,6,我是那麼深愛《奔月》
有风倚楼,4,2019-11-21 15:56:20,unknown,18,儒者嘴上称仁义，做事却要学猪狗。印象最深。
天台老阮郎,5,2021-03-18 00:50:58,unknown,18,明明每个故事都在解构英雄，消解崇高，可以说都是悲剧，但就是让人看着那么欢乐。《铸剑》里黑衣人的外貌形象和名字就是鲁迅自己。《理水》吐槽顾颉刚。《奔月》最后后羿和婢女的对话又是鲁迅上身。鲁迅真的是非常幽默。
