user_name,star,comment_time,geo_ip,vote,short
夏一慕,5,2013-10-25 18:30:47,unknown,310,先阅读了书，然后看完了电影。书是典型的欧美人风格，一股脑儿的细节、细节、还是细节。可是不看书根本不能体会电影细节背后的因果。看完后首先居然是回忆起了父母对我的童年教育，看过电影之后充满感激。
Levin Lee,5,2009-03-13 18:14:31,unknown,253,这是第一本我能记清出场人物名字和关系的小说
盐lynn,3,2009-11-28 00:15:37,unknown,55,看的txt翻译的实在太不好了，里面居然还夹杂着好多政治参考书的片段！一直听到的说法是小说远不如电影云云，影片把叙事中散乱的线头并拢，重火力的展现了一种形式感的冷酷，而其实小说在对人的理解上其实更为深刻，me很震撼。
大島,4,2015-11-08 11:40:19,unknown,35,和电影不是一回事啊
大秦在逃兵马俑,5,2013-05-02 23:29:54,unknown,21,我们的生活在蒙着的古里面，不要不承认这一个事实。读书很大的好处之一，就是，可以借助作者的眼，更加看得清晰我们自己的所处之地。
天蝎小猪,5,2011-03-03 11:49:06,unknown,16,紳士般有禮、淑女般溫柔地殺死你！
小木心熊,4,2011-11-17 18:06:39,unknown,13,有一套自己的原则靠这套原则征服一群在你身边誓死效忠的人明白底线是什么明白要爱的人是谁最后君子报仇要狠但是十年不晚。
夜照亮了夜,5,2012-01-30 14:22:35,unknown,14,这是一本邪恶的圣经，如果不想被欺骗，还是要读的
废柴一个,5,2011-11-25 16:52:39,unknown,5,过瘾。
愚公,5,2018-07-10 18:16:03,unknown,4,马里奥·普佐，美国作家，《教父》是其代表作。这部小说描绘了一位从西西里偷渡到美国，从小店员逐渐成为黑帮教父唐·考利昂的一生。故事从考利昂的女儿结婚开始，描绘了意大利社区的风俗，转手一笔写到黑帮之间的交易，考利昂因而受到枪击，从而引发黑社会之间的火并。从而引出另外一个人物，考利昂的小儿子迈克尔，因为出生在美国，受到美国教育，想要独立于家族，但是受到父亲枪击的影响，将枪击父亲的幕后黑手处刑，流亡西西里。在这个过程中，考利昂的大儿子被陷害致死，二儿子被流放到维加斯。考利昂想尽办法把小儿子重新带回国，进行权力交接以及复仇行动。这个故事虽然不长，但是描绘的西西里、纽约、维加斯等地方的风情与政治非常的细致。当然，故事中也穿插迈克尔与凯的爱情故事，但是只是作为故事的支线情节穿插于其中，结尾处凯也接受了命运
成知默,NaN,2013-11-30 13:54:31,unknown,3,补标，大学里读的，近日刚读过古龙的《流星蝴蝶剑》，于此书借鉴不少，倒是想重读一遍或者再重温下电影。
那可,NaN,2007-01-19 21:38:33,unknown,3,经典
礼士路西岛秀俊,4,2009-05-25 13:23:05,unknown,4,可惜短了点
老黄天生神力,5,2012-06-03 01:24:12,unknown,4,老头子的教诲的确让人成熟了不少
维塞西,5,2012-03-08 03:29:52,unknown,5,大学时候从图书馆借的。不知道为什么大儿子的那句电梯是死亡的陷阱让我尤其记忆深刻
离香,5,2006-02-27 15:54:39,unknown,3,小说和电影同样精彩，具备所有畅销小说的元素。
Mr.Savage,NaN,2012-01-07 12:54:54,unknown,2,这书写得太一般了，翻译也很乡土。。。
流空破刃,5,2011-06-23 17:21:24,unknown,3,对比电影以忏悔为主线作为整个故事的原创后续的第三部，以迈克尔完成被父亲推卸的职责作为结束的原作，是一个更完整更自成体系的故事。另外讲，译林你们真的不行啊。
withinbeyond,4,2007-04-09 11:49:22,unknown,1,Behindeverygreatfortunethereisagreatcrime.
Yurii,5,2007-01-12 23:00:37,unknown,5,我看的英文版，过瘾
方東美,5,2009-07-18 21:08:19,unknown,0,2007年2月购于晓风。伴我度过07年的春天。
cincin,5,2008-09-02 03:41:07,unknown,1,经典
Vamei,3,2012-08-27 18:53:41,unknown,0,和电影教父第一部的情节一致，讲述黑帮家族。
宋阿慕,5,2008-02-19 16:07:39,unknown,0,经典的黑帮小说.电影也很好看.
一只Tomason,3,2011-05-20 21:07:47,unknown,1,没电影好。。译文笔调有点奇怪。。。
乔峰,NaN,2015-10-23 10:16:47,unknown,0,好看
MetalDudu,5,2015-04-12 23:04:59,unknown,0,电影是几年前看的，读完小说能回忆起一点影像，更多的是阅读时大脑里产生的场景。译文实在糟糕，幺儿、兵团司令……应该有新译本吧。20150412
森雲,3,2011-08-21 19:00:05,unknown,0,想看电影！！
我们都在树上,3,2021-08-02 21:50:51,unknown,1,3.5。四代教父：阿尔弗雷德•柯里昂。
小桃红君,4,2018-07-01 19:46:13,unknown,1,kindle-40为了电影看的小说，这是我看过最好的爽文了，喜欢迈克尔
moly,NaN,2008-03-28 10:02:22,unknown,1,别让仇恨影响了你的判断力
五星集中营,5,2009-03-10 12:49:02,unknown,1,|1459:924|
Hermione,5,2007-09-25 22:03:18,unknown,0,保留追究的权力
马孔多,5,2015-11-02 10:46:15,unknown,0,不解释
石卓灵,3,2006-05-10 11:34:26,unknown,0,我叔叔最喜欢的书。
朵,NaN,2008-02-27 09:51:05,unknown,0,重新来读
哥德尔命题,5,2010-01-28 21:37:57,unknown,0,男人的圣经
二十九斋,5,2011-11-24 21:26:18,unknown,0,教父级读物
西柚小姐,5,2008-10-12 22:31:11,unknown,0,比电影更全面这句话似乎是废话了……
弥次郎,4,2011-04-20 16:38:45,unknown,1,当年看的是tmd删节版.......(开头编辑还大骂一通资本主义腐朽)
Stigrex,5,2008-03-17 01:02:32,unknown,1,高中时读的，过瘾，也使我了解了另一种文化
风向未来吹去,5,2008-12-09 21:04:59,unknown,0,我认为是美国最经典的现代小说
查无此人,NaN,2011-08-15 20:25:55,unknown,0,无需多说
DingDang水叮铛,3,2007-05-30 15:34:08,unknown,0,搞不懂为何那么多男生迷恋《教父》，电影版
塔可夫斯基的镜子,4,2006-09-20 09:44:10,unknown,0,小时候。最早还是在一本杂志里读的连载。
酸奶,5,2013-01-02 08:12:37,unknown,0,当年送给某人的生日礼物
半點,3,2007-02-02 07:20:26,unknown,0,翻譯真的不怎麽好。人名譯得很奇怪，作者翻譯時沒按照標準翻嗎？取的字都奇奇怪怪的。不過還算可以啦。
lllllllllllllll,NaN,2011-03-17 16:13:18,unknown,0,这个书给我印象最深的，其结构奇特
Adeline,4,2011-07-21 12:24:01,unknown,0,比看电影更精彩
NoWhere,5,2015-07-20 22:20:57,unknown,0,好精彩~~
