user_name,star,comment_time,geo_ip,vote,short
荞麦,5,2017-04-19 19:01:46,unknown,5247,我很真诚的讲：作者用极其扎实的故事告诉了女人们，为什么不能太早结婚以及为什么要坚持上学读书……（一本真正的女性主义小说
兔安叽,5,2017-06-09 13:01:08,unknown,3491,你以为那不勒斯很远，但是那种女性才懂的绝望和迷茫是全世界通用的。
阿巴厮,5,2017-04-16 20:47:42,unknown,1890,这套小说有一种奇怪的魔力，完全手不释卷，停不下来，会想一口气看掉，沉迷在人物波澜壮阔的情感和命运里。有一种看情节剧的错觉，而且一点也不累人，翻起来又快又兴奋。莉拉的命运啊，真的，最后在工厂里那一幕，哭死了，为她心碎，她的疯狂和大胆，她的天才和倔强。而莱农的心理描写也非常好看，直接而无任何保留，以后她会袒露自己，还是把自己写成故事呢。现在配角的人物形象都开始丰满起来，但是尼诺反倒有点让人爱不起来，在莉拉的光芒下，他显得迟疑而孱弱，反倒是恩佐和莉拉一起学习的画面又一次激动了人心。继续等第三部第四部，想知道莉拉如何继续把控她的命运。
#暗蓝#,5,2017-04-21 08:42:06,unknown,1939,好吧我也没忍住把这本看完了。我现在最大的困惑其实是：这个作者为什么什么都懂！不光是女人们，男人们的歇斯底里，在她笔下也能驾轻就熟。生活就是如此无望，彼此桎梏，每个人都想要挣脱，可都没有结果，只留下了故事。
[已注销],3,2017-05-12 23:37:00,unknown,0,
羽流焰,4,2017-05-03 16:19:55,unknown,387,读到一半要气死了，读完了反而释然了，莉拉和莱侬就像两株并生的植物，互相依赖，互相索取，互相想要摆脱对方，又都做不到。不过非常反感作者喜欢在每本书末尾扔炸弹这种做法。
momo,3,2017-05-03 21:01:15,unknown,345,适合出身偏远乡村大山，父母没怎么上过学，自己读到硕士、博士，或者通过其他渠道一心想改变自身贫苦命运走上人生巅峰的女孩阅读借鉴。
朱尔赫斯,NaN,2018-01-13 16:57:22,unknown,368,这本书之所以在豆瓣评分这么高，我想是因为它正好描写了豆瓣网友最有同感的青春期感受和事件：学业、爱情在同性友情影响下的变化。而给读者视角的女主，偏偏是那个更普通、更“弱势”的莱农，而不是那个更有主见和力量的莉拉。莉拉是我们所渴望的，但我们都是莱农。
Ataisnothere,5,2017-04-24 15:02:35,unknown,318,有太多部分让我感同身受以至于全身都起了鸡皮疙瘩。
YukiMorimi,4,2017-04-22 10:15:01,unknown,226,1731:太真实了，每个人都太让人讨厌了。
法兰克,5,2017-05-10 19:24:21,unknown,237,说评分水的Goodreads这本书评分4.37颗星（满分五颗星，将近四万人评价。豆瓣读书新书评分确实越来越水了，但集中在北京联合出版公司等几个渣比出版社。这本书99读书人推出的，我没看出这个评分水在哪里。
Ada,5,2017-04-23 19:31:24,unknown,230,个性鲜明有点儿头脑的女人，从小到大都是在与世挣扎中度过。而事实上，所迈出的每一步都是某种程度的妥协。刚强寸步难行，温柔打遍天下，或许真的是女人该有的智慧修行。ps:新婚初夜那段描写太好了。
petrichor,5,2017-11-13 16:07:40,unknown,262,费兰特告诉我们，女性不仅要坚持读书和学习，更应时刻保持独立自我，不要一味附和与崇拜喜欢的男性，以及再soulmate也会被琐碎的日常打败（？
丛林宜歌,4,2017-05-22 14:46:19,unknown,210,倾向于认为是作者自传，写作于她而言几乎是扒开自己内心的阴暗，将其中的虚荣与脆弱、嫉妒和愤懑全然坦诚纸上，和一个如此真实的自己裸裎相见，确实需要莫大的勇气。有埃莱娜一样憋足了劲要打破固化阶层的人，也有想莉娜一样内心强大到漠视环境和阶层的人，不知道哪一种人生更充实和值得一过。期待后续。
大胡子阿细,5,2017-04-18 22:05:50,unknown,168,什么时候出第三本？！
芥川桃,5,2017-04-23 05:51:56,unknown,140,《新名字的故事》和《我的天才女友》都是几乎一口气读完的，很久没有如此浸没式的阅读体验了，故事与情感的细腻程度几乎让人以为这是一部自传而不是小说。所有成长过程中不能承认的隐秘心事，都被细枝末节地描写出来。
蓬蓬,4,2017-04-19 13:14:11,unknown,135,蛮好看。就——我以为是高配版七月与安生，但读完发现是正经小说。我以为我经历过的友情独一无二，却发现所谓“女性友谊”你懂她也懂。最后，我以为我的女友是天才，却发现不是，人家的才是。。。
小嚷,NaN,2017-05-24 23:32:25,unknown,134,不懂豆瓣评分怎么高成这样。。。
missoctopus,4,2018-10-06 12:59:59,unknown,135,莉拉这个人物哪里玛丽苏了？就是有这样的人啊，强势到让别人误以为她驯服了自己的命运，一般人觉得不可承受的生活巨变在她这里只是没复习好就参加的随堂测试而已。
索马里,4,2017-03-02 15:55:15,unknown,102,那不勒斯四部曲NO2!绝对是好看到飞起的一本哈！
搓格子,3,2018-05-20 15:40:24,unknown,78,恩周末3天看完了，我觉得这就是一本意大利故事会，基本上一目15行吧……叙述方式令人烦躁而又隐隐带有一种催促感，强制自己机械而快速地翻页看到最后，以停止这个莱农女子的内心唠叨……呼！看完了也没啥子很大的感觉，但又觉得还是会买第三本，真是奇妙的畅销书技能。(⊙o⊙)
