user_name,star,comment_time,geo_ip,vote,short
Amber,5,2011-02-17 11:04:42,unknown,3677,书是好书，但是，先前借阅的读者在书上加了批注：“他是无罪的，所以他是凶手。”我怒了！
琦殿,4,2011-12-08 19:22:29,unknown,961,但反正吧这种书每次读完我都会有一点点“何必呢”的不理解
Sophie  Z,5,2013-06-24 08:16:05,unknown,742,我看到了荒岛杀人的鼻祖
[已注销],5,2009-02-27 17:57:22,unknown,478,至少学到了如果以后再有一个人死亡只由另一个人确定的话那么极有可能是同谋这一说==
鼻尖碰见高音咪,5,2010-09-08 16:12:53,unknown,284,我甚至以为隆巴尔德和韦拉间会有一段短暂的爱情，但欲望恐惧与道德的边缘显然不允许
瑾朵朵,3,2015-03-11 12:57:24,unknown,0,
ANNXXNA,5,2013-05-14 22:32:03,unknown,167,暴风雪山庄类型侦探小说的鼻祖啊，经典中的经典，赞！
鸭JO木,NaN,2016-01-09 11:03:46,unknown,169,不小心把自己剧透之后，全程都在关注凶手杀人的蛛丝马迹…但是、不幸的是…没看出来…感觉其实操作上困难度不小。总有种作者靠上帝之手玩弄角色的感觉。
曼靑,5,2011-01-24 11:57:35,unknown,146,居然有人膽大包天到在小說的第一章第一頁第一句話就讓眞凶粉墨登場的!!!讀完最後的自白書仿佛昰撥開迷霧重重的案件把那些散落的線索拼圖拾起來一片片的拼囬到完美的殺人案中。印第安小瓷人的數量隨著死亡人數而減少一種在劫難逃的感覺。其實看阿婆的推理小說總昰有擔憂的。因為我本身很怕去記那些繁雜的小說人物氏名看得我想死的心都有!其次不知道昰翻譯的緣故還昰阿婆本來就寫得慢條斯理看著看著就赱神了。我不得不爆料的昰我不但蠢到和收拾殘局的警察一樣直到十人全部喪生也沒有猜出眞凶。更白目的昰我在讀自白書之前還自作聰明的斷定兇手昰那位開皮艇的弗雷德。阿婆伱怎麼想的啊?!怎麼想的啊?!何止昰鼓掌簡直精彩到我要哭了!請問那些給這本書打一星的人伱們覺得甚麼才昰好的小說?饒雪漫的嗎?
莎伦酱,4,2012-07-09 19:39:17,unknown,105,推理有硬伤
SWX,5,2013-05-27 21:39:04,unknown,93,我是当道德小说来读的。
何足道,4,2013-03-18 12:45:06,unknown,111,小说的气氛在只剩下3个人的时候刻画得最好……凶手莫名其妙……
欺负我瓶仔是吧,5,2015-06-21 10:32:43,unknown,77,算是密室杀人小说的范本了前面的铺垫有些无趣但到后半程情节开始抓人悬疑气氛制造的也很好大概看到70%时猜出作案手法90%的时候才猜出凶手是谁……秉承了阿加莎婶子一贯的作风只要有一个扣子解开了其他就迎刃而解了
李升平,3,2010-08-24 15:26:21,unknown,116,在飞机上看的，邻座的小伙子一劲儿瞥我，确实不太吉利
徐若风,4,2014-05-24 12:13:08,unknown,66,阿加莎·克里斯蒂虽然是个女性作家，但其手法堪比男人中的男人，一点都没有对人性思考的厚度和大量惊悚的心理描写，大量的篇幅给了杀人过程和道德审判，所以才给后人疯狂抄袭带来了极大便利，比如《孤岛惊魂》。
恪彥,2,2011-09-25 01:35:11,unknown,50,牵强附会
猴纸,5,2014-03-27 20:24:13,unknown,46,看到结局的时候，公车坐过站，地铁坐过站ˊ_>ˋ
Lycidas,5,2013-03-05 15:17:56,unknown,52,当年读的时候吓崩了，看完后一个小时坐着动都不敢动，不敢回头。近日重读，依然觉得环环相扣无比精彩，阿加莎真是满肚子黑暗童谣的怪阿姨啊。
文泽尔,4,2008-03-16 05:23:00,unknown,35,这一本除了说是经典之外，已无它言了
7酱™,5,2012-10-28 10:23:43,unknown,37,十个印地安小男孩，为了吃饭去奔走；噎死一个没法救，十个只剩九。九个印地安小男孩，深夜不寐真困乏；倒头一睡睡死啦，九个只剩八。八个印地安小男孩，德文城里去猎奇；丢下一个命归西，八个只剩七。。。研究每个人的性格和出场方式，尽情的推测。
姨妈的鸭,5,2011-01-08 17:18:53,unknown,34,十个小黑人不可复制的传奇
神威,4,2012-01-26 11:14:18,unknown,31,思路巧妙，但是刚读完的时候，感觉按照这样的思路，用拉医生入伙以后假死后杀人的手段，有好几个人可以同样的成功杀死其余人再自杀，答案不唯一，这本书其实比尼罗河惨案与东方列车都颇有不如，更不要说啤酒谋杀案什么的了，被当做阿婆代表作之一真是不知所谓
面包你大爷,4,2010-08-17 11:02:53,unknown,31,这本书是我妈妈的，我看这本书的时候已经没了封面，一开始不知道是什么书，看下去之后内容吸引死我了
更深的白色,4,2010-05-14 08:40:34,unknown,25,太注重道德感和气氛营造了，没有推理小说的快感
星期天先森,5,2011-04-30 19:17:42,unknown,29,真的无人生还，谁又是真正的法官呢？
H!karu,5,2011-12-23 22:30:14,unknown,26,大逃杀，人类内心隐秘的欲望，还有不能提及的甚至为了它可以杀戮的东西，我们将它称作——秘密。
韧勉,5,2012-09-05 01:50:20,unknown,21,阿婆的文笔出神入化，紧张的气氛贯穿始终，让人一直血脉贲张，开始就预料凶手会是一个女人，但是还是算错了具体对象，太赞了！
水云,5,2012-09-14 10:51:09,unknown,23,作为一个女性悬疑小说家，婆婆理性得让人发冷。相比而言，作为男性悬疑小说家的东野，就显得格外温情脉脉。
烤雞,4,2013-04-20 00:18:47,unknown,13,好有有點缺了啥
[己注销],4,2012-03-20 11:42:52,unknown,8,因为这本书不是我看过阿婆作品的第一部、又有太多类似的抄袭故事（如《木偶师左近》），以致于当年在看时并没有很大震撼，凶手是谁也很快就猜到了……另外我并不觉得第二有影响力的《罗杰疑案》有多出彩，它基本上就是爱伦坡《凶手就是你》的改编加长版罢
若存,3,2016-04-24 16:33:56,unknown,9,昨天看电影的时候没看出来推理，下午又翻了一遍原著，还是没看出来+_+最后就十页解释杀人过程，也太随便了吧。越想bug越多，真心有种上当受骗的赶脚。还有，一句一段，分上那么多段，是因为跟古龙一样，按行收稿费么？！翻译也平，开头那个诗译呀，全是人人人人人。。。
白宇,5,2012-06-12 11:09:46,unknown,19,最好看的一本悬疑推理小说，知道看到最后才知道真相，之前自己的各种揣测推测都都不对，曾经一度认为谜底应该是其中有一个人是精神分裂，但却不是这样，不多剧透。。。作者所揭晓的真相，逻辑还是挺严谨，能经得起推敲自圆其说，感觉应该被拍成电影！另一方面，这10个人所被指控的“谋杀”，是否是真的恶，是否真的是一种法律无法去声张正义的道德败落和心理阴暗？也值得人们反思
dellizheng,5,2011-04-14 13:25:05,unknown,12,阿婆的心理描写远远超过同类型的很多作品
高歌,5,2018-02-13 10:45:11,unknown,13,杰作！！了不起的杰作！！侦探小说世上无可争议的皇冠！！简直要在阿加莎面前长跪不起
mumudancing,3,2011-04-10 17:35:11,unknown,8,不好看啊……
何生生,3,2009-10-30 02:07:14,unknown,12,我怎么就不觉得克里斯蒂有传说的那么好呢？文学性极差！故事也没有想象的精彩
月球漫舞者,5,2009-10-05 09:56:36,unknown,10,绝对经典。诡计并不见得如何华丽，但是暴风雪山庄模式架构的建立，影响后来一代又一代各国作家，这本书推理小说史上的地位绝对数一数二。而且语言简练，完全没有美其名曰“铺陈”的废话
望仔放弃减肥了,5,2016-07-25 11:23:10,unknown,9,无人生还模式真是太经典，各种手法一直在不断的被后人模仿和致敬。一开始因为对欧美人命有严重的记忆障碍不想读，看了舞台剧再回来看原作就觉得好多了。果然这种真正的无人生还结局才是最棒的！
朱小囍,5,2015-04-28 20:21:04,unknown,10,高明之处在于，并不单单是一个杀人案
血源2出了吗？,4,2011-05-03 11:19:15,unknown,7,有大bug啊女王！！！
吃饱饱的贼贼,5,2012-12-11 22:15:15,unknown,8,看着让人背脊发冷。。。我很没用我承认啦。就是又爱看又害怕嘛==
Rebecca,5,2008-04-28 09:47:32,unknown,4,阿婆这本书果然很猛．
Amberose,5,2016-01-18 06:34:01,unknown,3,精彩
白白八佰瓣,4,2011-04-17 18:09:59,unknown,7,开头觉得众多人名恶难记，不过很快就入戏了，初读阿加莎原作--有空再找剧本对照着看看，有创意的模式对后世影响极为深远。
海若,4,2011-04-17 21:31:47,unknown,6,周末一个人旅行坐火车上看完，对白和心理描写真是精彩。杀人游戏真人版的内心活动。
流星飞绊,5,2009-09-08 22:45:56,unknown,5,阿加莎·克里斯蒂的杰作推理史上最经典的暴风雪山庄（孤岛）模式小说推理史上最经典的童谣杀人诡计悬念迭起情节极富张力是阿加莎的众多小说中最富有本格精神的作品虽然凶手的诡计有一些漏洞但《无人生还》仍可称的上是推理小说史上不朽的经典
六十六个猴,5,2013-11-08 20:33:37,unknown,3,克里斯蒂脑残粉。
陆秋槎,NaN,2009-11-27 23:54:40,unknown,1,竟然忘了登记这个--、
胤祥,5,2009-07-09 16:07:20,unknown,2,莫雨笙《安魂曲的邀宴》推荐语：全面超越《无人生还》，揭秘我们这个时代的隐秘伤痛。
鬼 鬼 ™,5,2019-02-19 13:22:51,unknown,3,阿婆的书再看还是好看的，孤岛杀人的鼻祖，若没有所谓的漂流瓶…则是永远无法解开的连环杀人案。
容安,5,2015-07-08 01:03:22,unknown,7,如临其境，跟玩杀人游戏一样，有很强的参与感，尽管一直没猜对过。。。
朱鸰,NaN,2015-10-06 17:08:50,unknown,2,我今天花了一些时间把电影版和原著仔细对比了下，终于明白小说好在哪里。全景式的写一群人不是个容易的事情，透过镜头和人物对话非常单薄。而阿婆的心理描写水平确实高超，这无可替代，并且结局也是用原著的好。自述的方式和事后再把死循环解开差很多，不然无法体会到暴风雪山庄模式精义。人在复盘的时候才会出点心得
Soo Yung,4,2018-05-31 11:57:40,unknown,1,朴实！除了用朴实这个形容词想不到别的了。感觉比向其致敬的《十角馆杀人事件》稍好一些，但一点都不恐怖啊。任何推理小说都会有bug，可能阿加莎克里斯蒂对于人性的黑暗描写是略逊一筹的。最后通过凶手自白解开的疑团，不是很喜欢那个动机。Chris
朽瞳,5,2013-12-29 00:06:29,unknown,2,作为类型先驱...这个起点也未免太高了...自从被《控方证人》惊艳到跪舔之后莎婆的电影后面也没从剧情角度让我失望过。无人生还也是如雷贯耳了好久，今天两顿饭间闲来无事买了一本4小时撸完酣畅淋漓。孤岛绝境+童谣杀人让整个故事丰富华丽的不像话，惊悚气氛绝望蔓延，登岛之后全无冷场直到最后瓶中信解谜，《无人生还》就像是书名本身，给我的阅读体验是颤栗、死路、绝境、讽刺与无望。
liz,5,2014-01-19 02:58:32,unknown,2,啊哟哟！！！
千寻｜Scorpio,4,2016-03-04 14:34:12,unknown,1,过程很精彩，结局有点蛇尾。所谓公平的审判只是凶手杀人快感的借口。凶手必然是杀人后回到自己房间假装尸体，却没猜到会是谁。暴风雪杀人+童谣杀人的鼻祖？
愚人,3,2010-12-29 10:43:33,unknown,1,唉，完全没点……
许莲子,3,2015-07-14 14:03:08,unknown,1,感觉她写着书都快逼死自己了，好尴尬…暴风雪鼻祖嘛，放在快要一百年前还是很猎奇啊。童谣太丑了，怎么会有这么丑的童谣。
减卐肥™,5,2010-07-17 19:51:20,unknown,1,第一次用PDF看书，很爽。其实作案原理猜到了，但没去研究到底是谁。有的地方比较牵强，有硬凑的成分，但是创意上说还不错。另外很紧凑，可以一下子看完。
自娱者小五,5,2009-07-27 20:22:49,unknown,2,书配话剧配电影，大餐
筷喜旺,5,2017-09-25 14:11:49,unknown,5,不算电锯惊魂，光是直接用《无人生还》做title的改编影视剧我都看了可能有两三部，但是读到原著还是一阵鸡皮疙瘩。黄蜂研究学家阿加莎小姐牛逼牛逼的。
宝宝宝宝宝猴子,5,2011-02-13 20:53:13,unknown,1,默默无语两眼泪好好紧张
芝麻小元宵,4,2015-08-09 14:32:46,unknown,1,终于看了书，感觉两个结局都适合各自的体裁。
芒来小姐,4,2016-11-23 21:04:35,unknown,2,童谣和小孩简直是悬疑小说的恐怖bgm配乐，比如《闪灵》。读的过程中体会着背脊慢慢发凉的感觉，尽管情节有很多不合逻辑的地方，但是氛围足够把人唬住了
接40退休！,5,2012-08-17 21:25:34,unknown,3,很喜欢阿加莎营造出的紧张气氛，后来柯南的剧场版还模仿了这一段。
无敌霸王龙,4,2021-02-03 21:30:32,unknown,2,也不是很本格吧？
麦子,NaN,2009-10-14 20:32:55,unknown,1,奕导演的的第二部阿加莎悬疑话剧。
Urim_xx,5,2011-05-12 11:15:03,unknown,2,最喜欢的一部阿婆的书，虽然经典还有很多，但这部看完各种回味。日漫好多都取材在这边，之后也都成为了经典。
可可爱爱郭麒麟,4,2013-05-29 10:57:25,unknown,0,bug太多
库索,4,2011-04-14 00:14:38,unknown,3,虽然一早就猜到有人乍死，但没想到居然是那个人。暴风雪山庄模式赛高！
